"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4096",15,15,15,97.99720124,99.57780126,106.69050135,1041122.80885474,1010,40,1
"result.3840",15,15,14,97.99720124,99.57780126,105.90020134,1033410.78804841,1006,40,0.976232201533406
"result.4080",15,14,15,97.99720124,98.78750125,106.69050135,1032859.92941939,1006,40,0.974534501642935
"result.4095",14,15,15,97.20690123,99.57780126,106.69050135,1032726.65717043,1001,40,0.974123767798467
"result.3584",15,15,13,97.99720124,99.57780126,105.10990133,1025698.76724208,1002,40,0.952464403066813
"result.3824",15,14,14,97.99720124,98.78750125,105.90020134,1025209.11512739,1002,40,0.950955336497505
"result.3839",14,15,14,97.20690123,99.57780126,105.90020134,1025076.83008028,998,40,0.950547645125958
"result.4064",15,13,15,97.99720124,97.99720124,106.69050135,1024597.04998403,1002,40,0.949069003285871
"result.4079",14,14,15,97.20690123,98.78750125,106.69050135,1024530.41385955,997,40,0.948863636363636
"result.4094",13,15,15,96.41660122,99.57780126,106.69050135,1024330.50548612,993,40,0.948247535596933
"result.3328",15,15,12,97.99720124,99.57780126,104.31960132,1017986.74643575,998,40,0.928696604600219
"result.3568",15,14,13,97.99720124,98.78750125,105.10990133,1017558.3008354,998,40,0.927376171352075
"result.3583",14,15,13,97.20690123,99.57780126,105.10990133,1017427.00299013,994,40,0.92697152245345
"result.3808",15,13,14,97.99720124,97.99720124,105.90020134,1017007.44220637,998,40,0.925678471461604
"result.3823",14,14,14,97.20690123,98.78750125,105.90020134,1016941.29968282,994,40,0.925474625775831
"result.3838",13,15,14,96.41660122,99.57780126,105.90020134,1016742.87211215,990,40,0.92486308871851
"result.4048",15,12,15,97.99720124,97.20690123,106.69050135,1016334.17054868,997,40,0.923603504928806
"result.4063",14,13,15,97.20690123,97.99720124,106.69050135,1016334.17054868,993,40,0.923603504928806
"result.4078",13,14,15,96.41660122,98.78750125,106.69050135,1016200.89829972,989,40,0.923192771084337
"result.4093",12,15,15,95.62630121,99.57780126,106.69050135,1015934.3538018,985,40,0.9223713033954
"result.3072",15,15,11,97.99720124,99.57780126,103.52930131,1010274.72562942,995,40,0.904928806133625
"result.3312",15,14,12,97.99720124,98.78750125,104.31960132,1009907.4865434,994,40,0.903797006206645
"result.3327",14,15,12,97.20690123,99.57780126,104.31960132,1009777.17589998,990,40,0.903395399780942
"result.3552",15,13,13,97.99720124,97.99720124,105.10990133,1009417.83442871,994,40,0.902287939637337
"result.3567",14,14,13,97.20690123,98.78750125,105.10990133,1009352.18550608,990,40,0.902085615188025
"result.3582",13,15,13,96.41660122,99.57780126,105.10990133,1009155.23873817,986,40,0.901478641840088
"result.3792",15,12,14,97.99720124,97.20690123,105.90020134,1008805.76928535,994,40,0.900401606425703
"result.3807",14,13,14,97.20690123,97.99720124,105.90020134,1008805.76928535,990,40,0.900401606425703
"result.3822",13,14,14,96.41660122,98.78750125,105.90020134,1008673.48423824,986,40,0.899993915054156
"result.3837",12,15,14,95.62630121,99.57780126,105.90020134,1008408.91414401,981,40,0.899178532311062
"result.4047",14,12,15,97.20690123,97.20690123,106.69050135,1008137.9272378,989,40,0.898343373493976
"result.4032",15,11,15,97.99720124,96.41660122,106.69050135,1008071.29111332,993,40,0.898138006571741
"result.4062",13,13,15,96.41660122,97.99720124,106.69050135,1008071.29111332,985,40,0.898138006571741
"result.4077",12,14,15,95.62630121,98.78750125,106.69050135,1007871.38273989,981,40,0.897521905805038
"result.4092",11,15,15,94.8360012,99.57780126,106.69050135,1007538.20211749,977,40,0.896495071193866
"result.2816",15,15,10,97.99720124,99.57780126,102.7390013,1002562.70482308,991,40,0.881161007667032
"result.3056",15,14,11,97.99720124,98.78750125,103.52930131,1002256.6722514,991,40,0.880217841061215
"result.3071",14,15,11,97.20690123,99.57780126,103.52930131,1002127.34880982,986,40,0.879819277108434
"result.3296",15,13,12,97.99720124,97.99720124,104.31960132,1001828.22665105,990,40,0.87889740781307
"result.3311",14,14,12,97.20690123,98.78750125,104.31960132,1001763.07132934,986,40,0.878696604600219
"result.3326",13,15,12,96.41660122,99.57780126,104.31960132,1001567.6053642,982,40,0.878094194961665
"result.3536",15,12,13,97.99720124,97.20690123,105.10990133,1001277.36802203,990,40,0.877199707922599
"result.3551",14,13,13,97.20690123,97.99720124,105.10990133,1001277.36802203,986,40,0.877199707922599
"result.3566",13,14,13,96.41660122,98.78750125,105.10990133,1001146.07017676,982,40,0.876795059023975
"result.3581",12,15,13,95.62630121,99.57780126,105.10990133,1000883.47448622,978,40,0.875985761226725
"result.3791",14,12,14,97.20690123,97.20690123,105.90020134,1000670.23888789,986,40,0.875328587075575
"result.3776",15,11,14,97.99720124,96.41660122,105.90020134,1000604.09636433,990,40,0.875124741389801
"result.3806",13,13,14,96.41660122,97.99720124,105.90020134,1000604.09636433,982,40,0.875124741389801
"result.3821",12,14,14,95.62630121,98.78750125,105.90020134,1000405.66879366,978,40,0.874513204332481
"result.3836",11,15,14,94.8360012,99.57780126,105.90020134,1000074.95617588,973,40,0.873493975903615
"result.4031",14,11,15,97.20690123,96.41660122,106.69050135,999941.683926924,985,40,0.873083242059146
"result.4046",13,12,15,96.41660122,97.20690123,106.69050135,999941.683926924,981,40,0.873083242059146
"result.4016",15,10,15,97.99720124,95.62630121,106.69050135,999808.411677966,989,40,0.872672508214677
"result.4061",12,13,15,95.62630121,97.99720124,106.69050135,999808.411677966,977,40,0.872672508214677
"result.4076",11,14,15,94.8360012,98.78750125,106.69050135,999541.867180052,973,40,0.871851040525739
"result.4091",10,15,15,94.04570119,99.57780126,106.69050135,999142.05043318,969,40,0.870618838992333
"result.2560",15,15,9,97.99720124,99.57780126,101.94870129,994850.684016753,987,40,0.857393209200438
"result.2800",15,14,10,97.99720124,98.78750125,102.7390013,994605.857959409,987,40,0.856638675915784
"result.2815",14,15,10,97.20690123,99.57780126,102.7390013,994477.521719673,983,40,0.856243154435926
"result.3040",15,13,11,97.99720124,97.99720124,103.52930131,994238.618873394,987,40,0.855506875988804
"result.3055",14,14,11,97.20690123,98.78750125,103.52930131,994173.957152603,983,40,0.855307594012413
"result.3070",13,15,11,96.41660122,99.57780126,103.52930131,993979.971990232,978,40,0.854709748083242
"result.3280",15,12,12,97.99720124,97.20690123,104.31960132,993748.966758706,986,40,0.853997809419496
"result.3295",14,13,12,97.20690123,97.99720124,104.31960132,993748.966758706,982,40,0.853997809419496
"result.3310",13,14,12,96.41660122,98.78750125,104.31960132,993618.656115281,978,40,0.853596202993793
"result.3325",12,15,12,95.62630121,99.57780126,104.31960132,993358.034828431,974,40,0.852792990142388
"result.3535",14,12,13,97.20690123,97.20690123,105.10990133,993202.550537981,982,40,0.852313800657174
"result.3520",15,11,13,97.99720124,96.41660122,105.10990133,993136.901615346,986,40,0.852111476207862
"result.3550",13,13,13,96.41660122,97.99720124,105.10990133,993136.901615346,978,40,0.852111476207862
"result.3565",12,14,13,95.62630121,98.78750125,105.10990133,992939.954847443,974,40,0.851504502859924
"result.3580",11,15,13,94.8360012,99.57780126,105.10990133,992611.71023427,970,40,0.850492880613363
"result.3775",14,11,14,97.20690123,96.41660122,105.90020134,992534.708490428,982,40,0.850255567725447
"result.3790",13,12,14,96.41660122,97.20690123,105.90020134,992534.708490428,978,40,0.850255567725447
"result.3760",15,10,14,97.99720124,95.62630121,105.90020134,992402.423443315,986,40,0.849847876353901
"result.3805",12,13,14,95.62630121,97.99720124,105.90020134,992402.423443315,974,40,0.849847876353901
"result.3820",11,14,14,94.8360012,98.78750125,105.90020134,992137.853349088,970,40,0.849032493610807
"result.4030",13,11,15,96.41660122,96.41660122,106.69050135,991812.076740526,977,40,0.84802847754655
"result.4015",14,10,15,97.20690123,95.62630121,106.69050135,991745.440616047,981,40,0.847823110624316
"result.4045",12,12,15,95.62630121,97.20690123,106.69050135,991745.440616047,973,40,0.847823110624316
"result.3835",10,15,14,94.04570119,99.57780126,105.90020134,991740.998207749,965,40,0.847809419496167
"result.4000",15,9,15,97.99720124,94.8360012,106.69050135,991545.532242611,985,40,0.847207009857612
"result.4060",11,13,15,94.8360012,97.99720124,106.69050135,991545.532242611,969,40,0.847207009857612
"result.4075",10,14,15,94.04570119,98.78750125,106.69050135,991212.351620218,965,40,0.84618017524644
"result.4090",9,15,15,93.25540118,99.57780126,106.69050135,990745.898748867,961,40,0.844742606790799
"result.2304",15,15,8,97.99720124,99.57780126,101.15840128,987138.663210422,983,40,0.833625410733844
"result.2544",15,14,9,97.99720124,98.78750125,101.94870129,986955.043667414,983,40,0.833059510770354
"result.2559",14,15,9,97.20690123,99.57780126,101.94870129,986827.694629521,979,40,0.832667031763417
"result.2784",15,13,10,97.99720124,97.99720124,102.7390013,986649.011095734,983,40,0.832116344164537
"result.2799",14,14,10,97.20690123,98.78750125,102.7390013,986584.842975866,979,40,0.831918583424607
"result.2814",13,15,10,96.41660122,99.57780126,102.7390013,986392.338616261,975,40,0.831325301204819
"result.3024",15,12,11,97.99720124,97.20690123,103.52930131,986220.565495382,983,40,0.830795910916393
"result.3039",14,13,11,97.20690123,97.99720124,103.52930131,986220.565495382,979,40,0.830795910916393
"result.3054",13,14,11,96.41660122,98.78750125,103.52930131,986091.242053802,975,40,0.830397346963612
"result.3069",12,15,11,95.62630121,99.57780126,103.52930131,985832.59517064,970,40,0.829600219058051
"result.3279",14,12,12,97.20690123,97.20690123,104.31960132,985734.862188071,978,40,0.829299014238773
"result.3264",15,11,12,97.99720124,96.41660122,104.31960132,985669.706866359,982,40,0.829098211025922
"result.3294",13,13,12,96.41660122,97.99720124,104.31960132,985669.706866359,974,40,0.829098211025922
"result.3309",12,14,12,95.62630121,98.78750125,104.31960132,985474.240901221,970,40,0.828495801387368
"result.3324",11,15,12,94.8360012,99.57780126,104.31960132,985148.464292659,966,40,0.827491785323111
"result.3519",14,11,13,97.20690123,96.41660122,105.10990133,985127.733053932,978,40,0.827427893391749
"result.3534",13,12,13,96.41660122,97.20690123,105.10990133,985127.733053932,974,40,0.827427893391749
"result.3504",15,10,13,97.99720124,95.62630121,105.10990133,984996.435208663,982,40,0.827023244493124
"result.3549",12,13,13,95.62630121,97.99720124,105.10990133,984996.435208663,970,40,0.827023244493124
"result.3564",11,14,13,94.8360012,98.78750125,105.10990133,984733.839518125,966,40,0.826213946695874
"result.3774",13,11,14,96.41660122,96.41660122,105.90020134,984465.320616522,974,40,0.825386394061093
"result.3759",14,10,14,97.20690123,95.62630121,105.90020134,984399.178092965,978,40,0.82518254837532
"result.3789",12,12,14,95.62630121,97.20690123,105.90020134,984399.178092965,970,40,0.82518254837532
"result.3579",10,15,13,94.04570119,99.57780126,105.10990133,984339.945982318,962,40,0.825
"result.3744",15,9,14,97.99720124,94.8360012,105.90020134,984200.750522296,982,40,0.824571011317999
"result.3804",11,13,14,94.8360012,97.99720124,105.90020134,984200.750522296,966,40,0.824571011317999
"result.3819",10,14,14,94.04570119,98.78750125,105.90020134,983870.037904512,961,40,0.823551782889132
"result.4014",13,10,15,96.41660122,95.62630121,106.69050135,983682.469554128,973,40,0.822973713033954
"result.4029",12,11,15,95.62630121,96.41660122,106.69050135,983682.469554128,969,40,0.822973713033954
"result.3999",14,9,15,97.20690123,94.8360012,106.69050135,983549.197305171,977,40,0.822562979189485
"result.4044",11,12,15,94.8360012,97.20690123,106.69050135,983549.197305171,965,40,0.822562979189485
"result.3834",9,15,14,93.25540118,99.57780126,105.90020134,983407.040239616,957,40,0.822124863088719
"result.3984",15,8,15,97.99720124,94.04570119,106.69050135,983282.652807256,981,40,0.821741511500548
"result.4059",10,13,15,94.04570119,97.99720124,106.69050135,983282.652807256,961,40,0.821741511500548
"result.4074",9,14,15,93.25540118,98.78750125,106.69050135,982882.836060384,957,40,0.820509309967141
"result.4089",8,15,15,92.46510117,99.57780126,106.69050135,982349.747064555,953,40,0.818866374589266
"result.2048",15,15,7,97.99720124,99.57780126,100.36810127,979426.64240409,979,40,0.809857612267251
"result.2288",15,14,8,97.99720124,98.78750125,101.15840128,979304.229375419,979,40,0.809480345624924
"result.2303",14,15,8,97.20690123,99.57780126,101.15840128,979177.86753937,975,40,0.809090909090909
"result.2528",15,13,9,97.99720124,97.99720124,101.94870129,979059.403318075,979,40,0.80872581234027
"result.2543",14,14,9,97.20690123,98.78750125,101.94870129,978995.728799128,975,40,0.808529572836802
"result.2558",13,15,9,96.41660122,99.57780126,101.94870129,978804.705242289,971,40,0.807940854326397
"result.2768",15,12,10,97.99720124,97.20690123,102.7390013,978692.164232059,979,40,0.807594012413289
"result.2783",14,13,10,97.20690123,97.99720124,102.7390013,978692.164232059,975,40,0.807594012413289
"result.2798",13,14,10,96.41660122,98.78750125,102.7390013,978563.827992322,971,40,0.807198490933431
"result.2813",12,15,10,95.62630121,99.57780126,102.7390013,978307.155512849,967,40,0.806407447973713
"result.3023",14,12,11,97.20690123,97.20690123,103.52930131,978267.173838162,975,40,0.806284227820372
"result.3008",15,11,11,97.99720124,96.41660122,103.52930131,978202.512117371,979,40,0.806084945843982
"result.3038",13,13,11,96.41660122,97.99720124,103.52930131,978202.512117371,971,40,0.806084945843982
"result.3053",12,14,11,95.62630121,98.78750125,103.52930131,978008.526955,967,40,0.805487099914811
"result.3263",14,11,12,97.20690123,96.41660122,104.31960132,977720.757617436,974,40,0.80460021905805
"result.3278",13,12,12,96.41660122,97.20690123,104.31960132,977720.757617436,970,40,0.80460021905805
"result.3068",11,15,11,94.8360012,99.57780126,103.52930131,977685.218351048,962,40,0.804490690032859
"result.3248",15,10,12,97.99720124,95.62630121,104.31960132,977590.446974011,978,40,0.804198612632348
"result.3293",12,13,12,95.62630121,97.99720124,104.31960132,977590.446974011,966,40,0.804198612632348
"result.3308",11,14,12,94.8360012,98.78750125,104.31960132,977329.825687162,962,40,0.803395399780942
"result.3518",13,11,13,96.41660122,96.41660122,105.10990133,977118.564492518,970,40,0.802744310575636
