"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4082",1,15,15,120.7809951,130.4990062,118.0044205,1859962.054787,1498,27,1
"result.3537",0,13,13,121.193190429,130.300193178,117.690497064,1858509.02830686,1500,27.5,0.992052545899229
"result.3297",0,14,12,121.193190429,131.000731851,116.989958391,1857378.98249472,1500,27.5,0.985871662517842
"result.3057",0,15,11,121.193190429,131.701270524,116.289419718,1856129.98449182,1499,27.5,0.979040159833152
"result.4051",2,13,15,121.47513875,129.1107189,118.0044205,1850750.94409748,1499,27,0.949619032809828
"result.4001",0,10,15,121.193190429,128.198577159,119.09157441,1850301.32714498,1497,27.5,0.947159813971266
"result.4066",1,14,15,120.7809951,129.80486255,118.0044205,1850068.63960196,1494,27,0.94588710931426
"result.3811",2,14,14,121.47513875,129.80486255,117.31027685,1849755.91670818,1498,27,0.944176644378791
"result.3761",0,11,14,121.193190429,128.899115832,118.391035737,1849468.66180972,1497,27.5,0.94260547884814
"result.4081",0,15,15,120.08685145,130.4990062,118.0044205,1849272.61769052,1490,27,0.94153319856943
"result.3826",1,15,14,120.7809951,130.4990062,117.31027685,1849021.10152354,1494,27,0.940157509124005
"result.3571",2,15,13,121.47513875,130.4990062,116.6161332,1848643.82727308,1498,27,0.938093974955866
"result.3521",0,12,13,121.193190429,129.599654505,117.690497064,1848517.04428371,1496,27.5,0.93740052442171
"result.3266",1,12,12,121.893729102,129.599654505,116.989958391,1848135.43465442,1500,27.5,0.935313277523827
"result.3281",0,13,12,121.193190429,130.300193178,116.989958391,1847446.47456694,1496,27.5,0.931544950691975
"result.3026",1,13,11,121.893729102,130.300193178,116.289419718,1846998.85678556,1500,27.5,0.929096666492837
"result.3041",0,14,11,121.193190429,131.000731851,116.289419718,1846256.95265942,1495,27.5,0.925038757658937
"result.2786",1,14,10,121.893729102,131.000731851,115.588881045,1845742.63914103,1499,27.5,0.922225675353324
"result.2801",0,15,10,121.193190429,131.701270524,115.588881045,1844948.47856115,1495,27.5,0.917881945322596
"result.2546",1,15,9,121.893729102,131.701270524,114.888342372,1844366.78172083,1499,27.5,0.914700304105283
"result.4020",3,11,15,122.1692824,127.7224316,118.0044205,1841312.39857612,1499,27,0.897994091121132
"result.2001",0,13,7,122.29096833,131.48046306,114.51524202,1841276.04950368,1500,28,0.897795276723198
"result.4035",2,12,15,121.47513875,128.41657525,118.0044205,1840800.67020448,1495,27,0.895195148499457
"result.3970",1,8,15,121.893729102,126.797499813,119.09157441,1840657.94867507,1497,27.5,0.894414520741001
"result.3780",3,12,14,122.1692824,128.41657525,117.31027685,1840429.4162878,1499,27,0.893164543068045
"result.4070",5,14,15,122.407155344,128.596281176,116.90571016,1840225.05482012,1500,26.5,0.892046770331943
"result.3985",0,9,15,121.193190429,127.498038486,119.09157441,1840190.39093108,1493,27.5,0.891857173190443
"result.4050",1,13,15,120.7809951,129.1107189,118.0044205,1840175.22441692,1490,27,0.891774218628518
"result.3730",1,9,14,121.893729102,127.498038486,118.391035737,1839940.11002106,1497,27.5,0.890488240089851
"result.3795",2,13,14,121.47513875,129.1107189,117.31027685,1839864.17383808,1494,27,0.890072900564363
"result.1761",0,14,6,122.29096833,132.18734727,113.80835781,1839748.37456549,1499,28,0.889439526419831
"result.4085",4,15,15,121.719474696,129.283961824,116.90571016,1839672.20225303,1496,26.5,0.889022895363713
"result.4065",0,14,15,120.08685145,129.80486255,118.0044205,1839436.06121344,1486,27,0.88773130150832
"result.3540",3,13,13,122.1692824,129.1107189,116.6161332,1839428.70302771,1499,27,0.887691055274544
"result.3745",0,10,14,121.193190429,128.198577159,118.391035737,1839417.20169119,1493,27.5,0.88762814771897
"result.3810",1,14,14,120.7809951,129.80486255,117.31027685,1839185.88289842,1490,27,0.886362929559945
"result.3830",5,15,14,122.407155344,129.283961824,116.218029512,1839183.09033485,1500,26.5,0.88634765539182
"result.3490",1,10,13,121.893729102,128.198577159,117.690497064,1839102.63159137,1497,27.5,0.885907579330174
"result.3555",2,14,13,121.47513875,129.80486255,116.6161332,1838810.61542588,1494,27,0.884310371637381
"result.3905",0,4,15,122.29096833,125.11850517,120.1703157,1838709.55560752,1499,28,0.883757616213541
"result.3505",0,11,13,121.193190429,128.899115832,117.690497064,1838525.06026055,1492,27.5,0.88274850294419
"result.3825",0,15,14,120.08685145,130.4990062,117.31027685,1838394.54346881,1485,27,0.88203463005479
"result.3300",3,14,12,122.1692824,129.80486255,115.92198955,1838310.25879583,1498,27,0.881573627740632
"result.3665",0,5,14,122.29096833,125.82538938,119.46343149,1838220.6996273,1499,28,0.881083776116464
"result.3250",1,11,12,121.893729102,128.899115832,116.989958391,1838145.51338601,1496,27.5,0.880672538461973
"result.1521",0,15,5,122.29096833,132.89423148,113.1014736,1838098.48563224,1499,28,0.880415316092195
"result.3570",1,15,13,120.7809951,130.4990062,116.6161332,1838080.14826009,1489,27,0.880315018248009
"result.3315",2,15,12,121.47513875,130.4990062,115.92198955,1837639.99496788,1494,27,0.877907561718514
"result.2995",2,11,11,122.594267775,128.899115832,116.289419718,1837639.45088663,1500,27.5,0.877904585819015
"result.3425",0,6,13,122.29096833,126.53227359,118.75654728,1837609.62965202,1499,28,0.877741475995117
"result.3265",0,12,12,121.193190429,129.599654505,116.989958391,1837513.96663916,1492,27.5,0.877218238866109
