"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4096",15,15,15,96.41660122,110.6420014,134.3510017,1433219.63730568,1175,40,1
"result.3840",15,15,14,96.41660122,110.6420014,133.56070169,1424788.93355682,1172,40,0.979433456756675
"result.4080",15,14,15,96.41660122,109.85170139,134.3510017,1422982.35418207,1171,40,0.975026340347392
"result.4095",14,15,15,95.62630121,110.6420014,134.3510017,1421471.93536055,1165,40,0.971341702037991
"result.3584",15,15,13,96.41660122,110.6420014,132.77040168,1416358.22980796,1168,40,0.958866913513351
"result.3824",15,14,14,96.41660122,109.85170139,133.56070169,1414611.8697457,1167,40,0.954606700984377
"result.3839",14,15,14,95.62630121,110.6420014,133.56070169,1413110.33574078,1162,40,0.950943737017972
"result.4064",15,13,15,96.41660122,109.06140138,134.3510017,1412745.07105845,1167,40,0.950052680694783
"result.4079",14,14,15,95.62630121,109.85170139,134.3510017,1411318.56439369,1161,40,0.946572744513682
"result.4094",13,15,15,94.8360012,110.6420014,134.3510017,1409724.23341542,1156,40,0.942683404075981
"result.3328",15,15,12,96.41660122,110.6420014,131.98010167,1407927.52605911,1165,40,0.938300370270026
"result.3568",15,14,13,96.41660122,109.85170139,132.77040168,1406241.38530934,1164,40,0.934187061621361
"result.3583",14,15,13,95.62630121,110.6420014,132.77040168,1404748.73612101,1159,40,0.930545771997953
"result.3808",15,13,14,96.41660122,109.06140138,133.56070169,1404434.80593458,1163,40,0.929779945212078
"result.3823",14,14,14,95.62630121,109.85170139,133.56070169,1403016.69048549,1158,40,0.926320479243807
"result.4048",15,12,15,96.41660122,108.27110137,134.3510017,1402507.78793484,1162,40,0.925079021042175
"result.3838",13,15,14,94.8360012,110.6420014,133.56070169,1401431.73792474,1152,40,0.922454017279268
"result.4063",14,13,15,95.62630121,109.06140138,134.3510017,1401165.19342683,1157,40,0.921803786989373
"result.4078",13,14,15,94.8360012,109.85170139,134.3510017,1399654.77460531,1152,40,0.918119148679972
"result.3072",15,15,11,96.41660122,110.6420014,131.18980166,1399496.82231025,1161,40,0.917733827026702
"result.4093",12,15,15,94.04570119,110.6420014,134.3510017,1397976.53147029,1146,40,0.914025106113971
"result.3312",15,14,12,96.41660122,109.85170139,131.98010167,1397870.90087297,1160,40,0.913767422258346
"result.3327",14,15,12,95.62630121,110.6420014,131.98010167,1396387.13650125,1155,40,0.910147806977935
"result.3552",15,13,13,96.41660122,109.06140138,132.77040168,1396124.54081071,1160,40,0.909507209729372
"result.3567",14,14,13,95.62630121,109.85170139,132.77040168,1394714.81657729,1154,40,0.906068213973931
"result.3792",15,12,14,96.41660122,108.27110137,133.56070169,1394257.74212346,1159,40,0.904953189439779
"result.3582",13,15,13,94.8360012,110.6420014,132.77040168,1393139.24243406,1149,40,0.902224630482555
"result.3807",14,13,14,95.62630121,109.06140138,133.56070169,1392923.0452302,1154,40,0.901697221469641
"result.4032",15,11,15,96.41660122,107.48080136,134.3510017,1392270.50481123,1158,40,0.900105361389567
"result.3822",13,14,14,94.8360012,109.85170139,133.56070169,1391421.51122528,1148,40,0.898034257503236
"result.2816",15,15,10,96.41660122,110.6420014,130.39950165,1391066.11856139,1158,40,0.897167283783377
"result.4047",14,12,15,95.62630121,108.27110137,134.3510017,1391011.82245997,1153,40,0.897034829465065
"result.3837",12,15,14,94.04570119,110.6420014,133.56070169,1389753.1401087,1143,40,0.893964297540564
"result.4062",13,13,15,94.8360012,109.06140138,134.3510017,1389585.3157952,1147,40,0.893554893283964
