"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4049",0,13,15,108.392988528,149.793088313,127.96394479,2077689.21323843,1500,33.5,1
"result.3809",0,14,14,108.392988528,150.5458174,127.211215703,2075846.74571265,1500,33.5,0.990512296054836
"result.3569",0,15,13,108.392988528,151.298546487,126.458486616,2073881.44701849,1499,33.5,0.980392078513329
"result.4081",0,15,15,107.96558976,150.70196904,127.4593768,2073843.97315476,1496,33,0.980199108531628
"result.3761",0,11,14,108.81871344,148.87004547,127.71085119,2068896.22624881,1500,34,0.954720907595989
"result.4050",1,13,15,108.7153508,149.20244696,127.4593768,2067467.10355792,1499,33,0.947361704352114
"result.4033",0,12,15,108.392988528,149.040359226,127.96394479,2067248.56392568,1496,33.5,0.946236344310739
"result.3521",0,12,13,108.81871344,149.62573098,126.95516568,2067094.10596643,1499,34,0.945440969972373
"result.3810",1,14,14,108.7153508,149.952208,126.70961576,2065633.70086485,1498,33,0.937920679356682
"result.3793",0,13,14,108.392988528,149.793088313,127.211215703,2065467.51198409,1496,33.5,0.937064897163747
"result.3827",2,15,14,109.030056806,150.103023411,126.206024659,2065455.13356964,1500,32.5,0.937001155073339
"result.3281",0,13,12,108.81871344,150.38141649,126.19948017,2065167.70152665,1499,34,0.935521036650579
"result.3570",1,15,13,108.7153508,150.70196904,125.95985472,2063678.07132557,1497,33,0.927850252694889
"result.3553",0,14,13,108.392988528,150.5458174,126.458486616,2063563.62887412,1495,33.5,0.92726093642041
"result.4065",0,14,15,107.96558976,149.952208,127.4593768,2063526.34144752,1492,33,0.92706892648837
"result.4082",1,15,15,108.283275595,150.103023411,126.95280587,2063446.09882839,1494,32.5,0.926655720717593
"result.3058",1,15,11,109.145717615,151.298546487,124.953028442,2063422.88482701,1500,33.5,0.926536181257933
"result.3041",0,14,11,108.81871344,151.137102,125.44379466,2063117.01292946,1498,34,0.924961107630602
"result.2529",0,14,9,109.242774432,151.7260756,124.415381992,2062182.15122716,1500,34.5,0.920147079194815
"result.3825",0,15,14,107.96558976,150.70196904,126.70961576,2061644.89095973,1491,33,0.91738048152754
