"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4017",0,11,15,127.614457558,137.532679648,100.504650512,1763973.03200499,1500,24.5,1
"result.3313",0,15,12,127.614457558,140.177538872,98.521006094,1762410.80892503,1499,24.5,0.991050318595363
"result.4083",2,15,15,127.61494785,138.74035356,99.47421576,1761225.10812008,1499,24,0.984257662295767
"result.3777",0,12,14,127.614457558,138.193894454,99.843435706,1760792.79216364,1499,24.5,0.981781005711989
"result.3537",0,13,13,127.614457558,138.85510926,99.1822209,1757500.96495943,1497,24.5,0.962922748466502
"result.3986",1,9,15,128.275672364,136.210250036,100.504650512,1756063.6272182,1500,24.5,0.954688511615307
"result.4001",0,10,15,127.614457558,136.871464842,100.504650512,1755492.39242805,1496,24.5,0.951416015231968
"result.3282",1,13,12,128.275672364,138.85510926,98.521006094,1754829.80632529,1500,24.5,0.947620184406759
"result.3297",0,14,12,127.614457558,139.516324066,98.521006094,1754097.55039236,1496,24.5,0.943425228263542
"result.4052",3,13,15,128.26938348,137.4314823,99.47421576,1753556.49371608,1499,24,0.940325616603257
"result.3746",1,10,14,128.275672364,136.871464842,99.843435706,1752979.07498593,1499,24.5,0.937017693593936
"result.4067",2,14,15,127.61494785,138.08591793,99.47421576,1752917.44251574,1495,24,0.936664612795547
"result.3761",0,11,14,127.614457558,137.532679648,99.843435706,1752367.94626812,1495,24.5,0.933516652422692
"result.4082",1,15,15,126.96051222,138.74035356,99.47421576,1752193.1844887,1491,24,0.93251547514681
"result.3042",1,14,11,128.275672364,139.516324066,97.859791288,1751352.674718,1498,24.5,0.92770035318267
"result.3057",0,15,11,127.614457558,140.177538872,97.859791288,1750582.54846245,1494,24.5,0.923288445103107
"result.3812",3,14,14,128.26938348,138.08591793,98.81978013,1750315.27087368,1498,24,0.921757262203104
"result.3506",1,11,13,128.275672364,137.532679648,99.1822209,1749782.35721793,1498,24.5,0.91870430037179
"result.3827",2,15,14,127.61494785,138.74035356,98.81978013,1749638.10082982,1494,24,0.917877882729671
"result.3521",0,12,13,127.614457558,138.193894454,99.1822209,1749131.91274534,1494,24.5,0.914978026655944
