"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4096",15,15,15,97.20690123,120.12560152,175.44660222,2048696.55023862,1411,40,1
"result.3840",15,15,14,97.20690123,120.12560152,174.65630221,2039468.18739971,1408,40,0.982812069060621
"result.4080",15,14,15,97.20690123,119.33530151,175.44660222,2035218.28346074,1406,40,0.974896574549065
"result.4095",14,15,15,96.41660122,120.12560152,175.44660222,2032040.48072449,1399,40,0.96897788074356
"result.3584",15,15,13,97.20690123,120.12560152,173.8660022,2030239.8245608,1404,40,0.965624138121242
"result.3824",15,14,14,97.20690123,119.33530151,174.65630221,2026050.63353524,1403,40,0.957821722102709
"result.3839",14,15,14,96.41660122,120.12560152,174.65630221,2022887.14522573,1396,40,0.951929689080111
"result.4064",15,13,15,97.20690123,118.5450015,175.44660222,2021740.01668285,1401,40,0.94979314909813
"result.3328",15,15,12,97.20690123,120.12560152,173.07570219,2021011.46172188,1401,40,0.948436207181863
"result.4079",14,14,15,96.41660122,119.33530151,175.44660222,2018671.7933513,1395,40,0.94407854818247
"result.3568",15,14,13,97.20690123,119.33530151,173.8660022,2016882.98360974,1400,40,0.940746869656352
"result.4094",13,15,15,95.62630121,120.12560152,175.44660222,2015384.41121035,1388,40,0.93795576148712
"result.3583",14,15,13,96.41660122,120.12560152,173.8660022,2013733.80972697,1393,40,0.934881497416662
"result.3808",15,13,14,97.20690123,118.5450015,174.65630221,2012633.07967077,1398,40,0.932831375144796
"result.3072",15,15,11,97.20690123,120.12560152,172.28540218,2011783.09888297,1398,40,0.931248276242485
"result.3823",14,14,14,96.41660122,119.33530151,174.65630221,2009578.67716503,1391,40,0.927142515674702
"result.4048",15,12,15,97.20690123,117.75470149,175.44660222,2008261.74990497,1397,40,0.924689723647195
"result.3312",15,14,12,97.20690123,119.33530151,173.07570219,2007715.33368424,1397,40,0.923672017209995
"result.3838",13,15,14,95.62630121,120.12560152,174.65630221,2006306.10305175,1385,40,0.921047309099601
"result.4063",14,13,15,96.41660122,118.5450015,175.44660222,2005303.10597811,1390,40,0.91917921562138
"result.3327",14,15,12,96.41660122,120.12560152,173.07570219,2004580.47422821,1390,40,0.917833305753213
"result.3552",15,13,13,97.20690123,118.5450015,173.8660022,2003526.14265868,1395,40,0.915869601191461
"result.2816",15,15,10,97.20690123,120.12560152,171.49510217,2002554.73604406,1395,40,0.914060345303106
"result.4078",13,14,15,95.62630121,119.33530151,175.44660222,2002125.30324186,1383,40,0.913260521815875
"result.3567",14,14,13,96.41660122,119.33530151,173.8660022,2000485.56097877,1388,40,0.910206483166933
"result.3792",15,12,14,97.20690123,117.75470149,174.65630221,1999215.52580629,1394,40,0.907841028186883
"result.4093",12,15,15,94.8360012,120.12560152,175.44660222,1998728.34169622,1376,40,0.90693364223068
"result.3056",15,14,11,97.20690123,119.33530151,172.28540218,1998547.68375874,1393,40,0.906597164763638
"result.3582",13,15,13,95.62630121,120.12560152,173.8660022,1997227.79489314,1381,40,0.904138856712082
"result.3807",14,13,14,96.41660122,118.5450015,174.65630221,1996270.20910434,1387,40,0.902355342269292
