"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4096",15,15,15,105.90020134,123.28680156,106.69050135,1392961.54610212,1214,40,1
"result.4080",15,14,15,105.90020134,122.49650155,106.69050135,1384032.30542198,1210,40,0.977626892252894
"result.3840",15,15,14,105.90020134,123.28680156,105.90020134,1382643.31242729,1210,40,0.974146631047789
"result.4095",14,15,15,105.10990133,123.28680156,106.69050135,1382566.31068345,1205,40,0.973953695458593
"result.4064",15,13,15,105.90020134,121.70620154,106.69050135,1375103.06474184,1206,40,0.955253784505788
"result.3824",15,14,14,105.90020134,122.49650155,105.90020134,1373780.2142707,1206,40,0.951939250024735
"result.4079",14,14,15,105.10990133,122.49650155,106.69050135,1373703.70612778,1201,40,0.951747551202137
"result.3584",15,15,13,105.90020134,123.28680156,105.10990133,1372325.07875246,1205,40,0.948293262095577
"result.3839",14,15,14,105.10990133,123.28680156,105.90020134,1372325.07875246,1201,40,0.948293262095577
"result.4094",13,15,15,104.31960132,123.28680156,106.69050135,1372171.07526477,1196,40,0.947907390917186
"result.4048",15,12,15,105.90020134,120.91590153,106.69050135,1366173.82406169,1202,40,0.932880676758682
"result.3808",15,13,14,105.90020134,121.70620154,105.90020134,1364917.11611412,1202,40,0.929731869001682
"result.4063",14,13,15,105.10990133,121.70620154,106.69050135,1364841.10157212,1197,40,0.929541406945681
"result.3568",15,14,13,105.90020134,122.49650155,105.10990133,1363528.12311943,1201,40,0.926251607796577
"result.3823",14,14,14,105.10990133,122.49650155,105.90020134,1363528.12311943,1197,40,0.926251607796577
"result.4078",13,14,15,104.31960132,122.49650155,106.69050135,1363375.10683359,1192,40,0.925868210151381
"result.3583",14,15,13,105.10990133,123.28680156,105.10990133,1362083.84682147,1196,40,0.922632828732562
"result.3328",15,15,12,105.90020134,123.28680156,104.31960132,1362006.84507763,1200,40,0.922439893143366
"result.3838",13,15,14,104.31960132,123.28680156,105.90020134,1362006.84507763,1191,40,0.922439893143366
"result.4093",12,15,15,103.52930131,123.28680156,106.69050135,1361775.8398461,1187,40,0.921861086375779
"result.4032",15,11,15,105.90020134,120.12560152,106.69050135,1357244.58338155,1198,40,0.910507569011576
"result.3792",15,12,14,105.90020134,120.91590153,105.90020134,1356054.01795753,1198,40,0.907524487978629
"result.4047",14,12,15,105.10990133,120.91590153,106.69050135,1355978.49701646,1193,40,0.907335262689226
"result.3552",15,13,13,105.90020134,121.70620154,105.10990133,1354731.1674864,1197,40,0.904209953497576
"result.3807",14,13,14,105.10990133,121.70620154,105.90020134,1354731.1674864,1193,40,0.904209953497576
"result.4062",13,13,15,104.31960132,121.70620154,106.69050135,1354579.13840241,1188,40,0.903829029385574
"result.3567",14,14,13,105.10990133,122.49650155,105.10990133,1353352.54011108,1192,40,0.900755664391016
"result.3312",15,14,12,105.90020134,122.49650155,104.31960132,1353276.03196816,1197,40,0.900563965568418
"result.3822",13,14,14,104.31960132,122.49650155,105.90020134,1353276.03196816,1188,40,0.900563965568418
"result.4077",12,14,15,103.52930131,122.49650155,106.69050135,1353046.5075394,1183,40,0.899988869100623
"result.3327",14,15,12,105.10990133,123.28680156,104.31960132,1351842.61489048,1192,40,0.896972395369546
"result.3582",13,15,13,104.31960132,123.28680156,105.10990133,1351842.61489048,1187,40,0.896972395369546
"result.3072",15,15,11,105.90020134,123.28680156,103.52930131,1351688.6114028,1196,40,0.896586524191155
"result.3837",12,15,14,103.52930131,123.28680156,105.90020134,1351688.6114028,1182,40,0.896586524191155
"result.4092",11,15,15,102.7390013,123.28680156,106.69050135,1351380.60442743,1178,40,0.895814781834373
"result.4016",15,10,15,105.90020134,119.33530151,106.69050135,1348315.34270141,1194,40,0.88813446126447
"result.3776",15,11,14,105.90020134,120.12560152,105.90020134,1347190.91980095,1194,40,0.885317106955575
"result.4031",14,11,15,105.10990133,120.12560152,106.69050135,1347115.89246079,1189,40,0.88512911843277
"result.3536",15,12,13,105.90020134,120.91590153,105.10990133,1345934.21185337,1193,40,0.882168299198575
"result.3791",14,12,14,105.10990133,120.91590153,105.90020134,1345934.21185337,1189,40,0.882168299198575
"result.4046",13,12,15,104.31960132,120.91590153,106.69050135,1345783.16997122,1184,40,0.881789848619769
"result.3551",14,13,13,105.10990133,121.70620154,105.10990133,1344621.23340068,1188,40,0.878878500049471
"result.3296",15,13,12,105.90020134,121.70620154,104.31960132,1344545.21885868,1193,40,0.87868803799347
"result.3806",13,13,14,104.31960132,121.70620154,105.90020134,1344545.21885868,1184,40,0.87868803799347
"result.4061",12,13,15,103.52930131,121.70620154,106.69050135,1344317.17523269,1179,40,0.878116651825468
"result.3311",14,14,12,105.10990133,122.49650155,104.31960132,1343176.95710272,1188,40,0.875259720985456
"result.3566",13,14,13,104.31960132,122.49650155,105.10990133,1343176.95710272,1183,40,0.875259720985456
"result.3056",15,14,11,105.90020134,122.49650155,103.52930131,1343023.94081688,1192,40,0.87487632334026
"result.3821",12,14,14,103.52930131,122.49650155,105.90020134,1343023.94081688,1179,40,0.87487632334026
"result.4076",11,14,15,102.7390013,122.49650155,106.69050135,1342717.9082452,1174,40,0.874109528049867
"result.3326",13,15,12,104.31960132,123.28680156,104.31960132,1341678.38470334,1183,40,0.871504897595726
"result.3071",14,15,11,105.10990133,123.28680156,103.52930131,1341601.38295949,1187,40,0.87131196200653
"result.3581",12,15,13,103.52930131,123.28680156,105.10990133,1341601.38295949,1178,40,0.87131196200653
"result.2816",15,15,10,105.90020134,123.28680156,102.7390013,1341370.37772797,1191,40,0.870733155238943
