"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4096",15,15,15,55.3210007,55.3210007,113.01290143,345866.166090401,437,40,1
"result.3840",15,15,14,55.3210007,55.3210007,112.22260142,343447.521572286,435,40,0.984370015948963
"result.3584",15,15,13,55.3210007,55.3210007,111.43230141,341028.877054172,434,40,0.968740031897927
"result.4080",15,14,15,55.3210007,54.53070069,113.01290143,340925.220860538,434,40,0.968070175438597
"result.4095",14,15,15,54.53070069,55.3210007,113.01290143,340925.220860538,431,40,0.968070175438597
"result.3328",15,15,12,55.3210007,55.3210007,110.6420014,338610.232536057,432,40,0.95311004784689
"result.3824",15,14,14,55.3210007,54.53070069,112.22260142,338541.128406968,432,40,0.952663476874003
"result.3839",14,15,14,54.53070069,55.3210007,112.22260142,338541.128406968,429,40,0.952663476874003
"result.3072",15,15,11,55.3210007,55.3210007,109.85170139,336191.588017942,431,40,0.937480063795853
"result.3568",15,14,13,55.3210007,54.53070069,111.43230141,336157.035953398,431,40,0.93725677830941
"result.3583",14,15,13,54.53070069,55.3210007,111.43230141,336157.035953398,428,40,0.93725677830941
"result.4079",14,14,15,54.53070069,54.53070069,113.01290143,336054.860562531,428,40,0.93659649122807
"result.4064",15,13,15,55.3210007,53.74040068,113.01290143,335984.275630675,431,40,0.936140350877193
"result.4094",13,15,15,53.74040068,55.3210007,113.01290143,335984.275630675,424,40,0.936140350877193
"result.2816",15,15,10,55.3210007,55.3210007,109.06140138,333772.943499828,429,40,0.921850079744816
"result.3312",15,14,12,55.3210007,54.53070069,110.6420014,333772.943499828,429,40,0.921850079744816
"result.3327",14,15,12,54.53070069,55.3210007,110.6420014,333772.943499828,426,40,0.921850079744816
"result.3823",14,14,14,54.53070069,54.53070069,112.22260142,333704.826572583,426,40,0.921409888357257
"result.3808",15,13,14,55.3210007,53.74040068,112.22260142,333634.73524165,429,40,0.920956937799043
"result.3838",13,15,14,53.74040068,55.3210007,112.22260142,333634.73524165,423,40,0.920956937799043
"result.3056",15,14,11,55.3210007,54.53070069,109.85170139,331388.851046257,428,40,0.906443381180223
"result.3071",14,15,11,54.53070069,55.3210007,109.85170139,331388.851046257,425,40,0.906443381180223
"result.3567",14,14,13,54.53070069,54.53070069,111.43230141,331354.792582635,425,40,0.906223285486443
"result.2560",15,15,9,55.3210007,55.3210007,108.27110137,331354.298981713,428,40,0.90622009569378
"result.3552",15,13,13,55.3210007,53.74040068,111.43230141,331285.194852624,428,40,0.905773524720893
"result.3582",13,15,13,53.74040068,55.3210007,111.43230141,331285.194852624,421,40,0.905773524720893
