"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.3826",1,15,14,111.43230141,112.22260142,161.22120204,2016107.04296025,1498,40,1
"result.4066",1,14,15,111.43230141,111.43230141,162.01150205,2011722.38596956,1497,40,0.987422977595541
"result.4081",0,15,15,110.6420014,112.22260142,162.01150205,2011621.19778053,1491,40,0.9871327277258
"result.3827",2,15,14,111.821248076,111.821248076,160.644609912,2008698.84027807,1498,39.5,0.978750189283155
"result.3555",2,14,13,112.22260142,111.43230141,160.43090203,2006224.16529868,1500,40,0.971651790770903
"result.3570",1,15,13,111.43230141,112.22260142,160.43090203,2006224.16529868,1495,40,0.971651790770903
"result.4067",2,14,15,111.821248076,111.033774498,161.43208349,2004330.29474723,1497,39.5,0.966219381255773
"result.4082",1,15,15,111.033774498,111.821248076,161.43208349,2004330.29474723,1491,39.5,0.966219381255773
"result.3810",1,14,14,111.43230141,111.43230141,161.22120204,2001909.106038,1493,40,0.959274403642706
"result.3795",2,13,14,112.22260142,110.6420014,161.22120204,2001808.4114499,1498,40,0.958985569625988
"result.3825",0,15,14,110.6420014,112.22260142,161.22120204,2001808.4114499,1488,40,0.958985569625988
"result.3828",3,15,14,112.20308671,111.41844974,160.06594188,2001063.40837903,1498,39,0.956848590534218
"result.3059",2,15,11,112.22260142,112.22260142,158.85030201,2000546.7674931,1498,40,0.955366649298869
"result.3571",2,15,13,111.821248076,111.821248076,159.857136334,1998852.27733553,1495,39.5,0.950506145792866
"result.3556",3,14,13,112.608721654,111.033774498,159.857136334,1998753.14758561,1500,39.5,0.950221800383794
"result.4050",1,13,15,111.43230141,110.6420014,162.01150205,1997454.85131729,1491,40,0.946497745961987
"result.4065",0,14,15,110.6420014,111.43230141,162.01150205,1997454.85131729,1486,40,0.946497745961987
"result.4035",2,12,15,112.22260142,109.85170139,162.01150205,1997252.47493925,1497,40,0.945917246222504
"result.4083",2,15,15,111.41844974,111.41844974,160.85057885,1996810.49698044,1491,39,0.944649469358339
"result.4068",3,14,15,112.20308671,110.63381277,160.85057885,1996711.46848922,1496,39,0.944365414401382
"result.3299",2,14,12,112.22260142,111.43230141,159.64060202,1996341.28763711,1496,40,0.943303581541807
"result.3314",1,15,12,111.43230141,112.22260142,159.64060202,1996341.28763711,1491,40,0.943303581541807
"result.3811",2,14,14,111.821248076,111.033774498,160.644609912,1994553.07379724,1493,39.5,0.938174239480205
"result.3796",3,13,14,112.608721654,110.24630092,160.644609912,1994353.83764962,1498,39.5,0.937602747229459
"result.3829",4,15,14,112.57776792,111.01418781,159.48517122,1993202.52455986,1497,38.5,0.934300301780426
"result.3060",3,15,11,112.608721654,111.821248076,158.282189178,1993096.89195362,1498,39.5,0.933997303471079
"result.3554",1,14,13,111.43230141,111.43230141,160.43090203,1992095.82610644,1489,40,0.931125829689871
"result.3539",2,13,13,112.22260142,110.6420014,160.43090203,1991995.62511926,1495,40,0.930838411526176
"result.3569",0,15,13,110.6420014,112.22260142,160.43090203,1991995.62511926,1484,40,0.930838411526176
"result.3524",3,12,13,113.01290143,109.85170139,160.43090203,1991695.02215772,1500,40,0.92997615703509
"result.3572",3,15,13,112.20308671,111.41844974,159.28130491,1991254.27402423,1494,39,0.928711907822111
"result.3557",4,14,13,112.98772368,110.63381277,159.28130491,1991058.14930503,1499,39,0.928149340443941
"result.2803",2,15,10,112.22260142,112.22260142,158.060002,1990593.7985006,1494,40,0.926817388940489
"result.2788",3,14,10,113.01290143,111.43230141,158.060002,1990495.07831619,1499,40,0.926534218335862
"result.4051",2,13,15,111.821248076,110.24630092,161.43208349,1990115.18627384,1491,39.5,0.925444529738104
"result.4036",3,12,15,112.608721654,109.458827342,161.43208349,1989814.86708074,1496,39.5,0.924583089213082
"result.4084",3,15,15,111.795977865,111.01418781,160.266961275,1989063.58957898,1491,38.5,0.922428112440302
"result.3315",2,15,12,111.821248076,111.821248076,159.069662756,1989005.71439299,1491,39.5,0.922262102302578
