"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.3827",2,15,14,125.178049024,103.942487136,138.031152272,1795967.181663,1499,17.5,1
"result.4082",1,15,15,124.619218448,103.942487136,138.589982848,1795188.13285661,1495,17.5,0.995290208501391
"result.4067",2,14,15,125.178049024,103.38365656,138.589982848,1793543.47426535,1498,17.5,0.985347315337661
"result.4052",3,13,15,125.7368796,102.824825984,138.589982848,1791812.25469559,1500,17.5,0.974881112007419
"result.2497",0,12,9,125.81950344,103.71607716,137.15459384,1789799.60293979,1500,18,0.962713491633169
"result.3473",0,9,13,125.81950344,102.0158136,139.42161192,1789557.11552576,1500,18,0.961247517804904
"result.3316",3,15,12,125.7368796,103.942487136,136.91349112,1789377.72717563,1499,17.5,0.960163013574264
"result.1521",0,15,5,125.81950344,105.41634072,134.88757576,1789072.1406977,1500,18,0.958315570148373
"result.3571",2,15,13,125.178049024,103.942487136,137.472321696,1788696.05947003,1496,17.5,0.956041946012982
"result.3826",1,15,14,124.619218448,103.942487136,138.031152272,1787949.47103058,1492,17.5,0.951528395826814
"result.2737",0,11,10,125.81950344,103.14932264,137.72134836,1787374.72879951,1499,18,0.948053753350516
"result.4081",0,15,15,124.060387872,103.942487136,138.589982848,1787137.96185726,1489,17.5,0.946622363015763
"result.3556",3,14,13,125.7368796,103.38365656,137.472321696,1787021.73280146,1498,17.5,0.945919692509923
"result.1761",0,14,6,125.81950344,104.8495862,135.45433028,1786930.16854046,1499,18,0.945366134665362
"result.3713",0,8,14,125.81950344,101.44905908,139.98836644,1786849.33940245,1499,18,0.944877476722607
"result.3811",2,14,14,125.178049024,103.38365656,138.031152272,1786311.44412718,1495,17.5,0.941625594974228
"result.4066",1,14,15,124.619218448,103.38365656,138.589982848,1785536.58375523,1491,17.5,0.936941124935288
"result.2977",0,10,11,125.81950344,102.58256812,138.28810288,1784869.02552122,1498,18,0.932905357125106
"result.2001",0,13,7,125.81950344,104.28283168,136.0210848,1784707.3672452,1498,18,0.931928041239596
"result.3796",3,13,14,125.7368796,102.824825984,138.031152272,1784587.2052815,1497,17.5,0.931201594076768
"result.3953",0,7,15,125.81950344,100.88230456,140.55512096,1784060.73414113,1498,18,0.928018777697556
"result.4051",2,13,15,125.178049024,102.824825984,138.589982848,1783848.64467472,1494,17.5,0.926736576688302
"result.3781",4,12,14,126.295710176,102.265995408,138.031152272,1782776.75449353,1500,17.5,0.920256393134435
"result.2805",4,15,10,126.295710176,103.942487136,135.795829968,1782658.43122052,1500,17.5,0.91954106189876
"result.2241",0,12,8,125.81950344,103.71607716,136.58783932,1782403.73681194,1497,18,0.918001289871075
"result.3217",0,9,12,125.81950344,102.0158136,138.8548574,1782282.49310492,1497,18,0.917268302956942
"result.3060",3,15,11,125.7368796,103.942487136,136.354660544,1782074.14461572,1496,17.5,0.916008718274803
"result.4036",3,12,15,125.7368796,102.265995408,138.589982848,1782074.14461572,1496,17.5,0.916008718274803
"result.1010",1,15,3,126.38625796,105.41634072,133.75406672,1782029.08283441,1500,18,0.915736294271548
"result.3938",1,6,15,126.38625796,100.31555004,140.55512096,1782029.08283441,1500,18,0.915736294271548
"result.1265",0,15,4,125.81950344,105.41634072,134.32082124,1781555.03086284,1497,18,0.912870381472146
"result.3315",2,15,12,125.178049024,103.942487136,136.91349112,1781424.93727707,1493,17.5,0.912083892025963
"result.3570",1,15,13,124.619218448,103.942487136,137.472321696,1780710.80920454,1489,17.5,0.907766583152237
"result.2226",1,11,8,126.38625796,103.14932264,136.58783932,1780648.79786957,1500,18,0.907391689492337
"result.3045",4,14,11,126.295710176,103.38365656,136.354660544,1780370.84794226,1499,17.5,0.905711324675693
"result.3202",1,8,12,126.38625796,101.44905908,138.8548574,1780364.62155328,1500,18,0.905673682626029
"result.4021",4,11,15,126.295710176,101.707164832,138.589982848,1780213.08357824,1499,17.5,0.904757549694792
"result.2481",0,11,9,125.81950344,103.14932264,137.15459384,1780019.27724066,1496,18,0.903585880559798
"result.1250",1,14,4,126.38625796,104.8495862,134.32082124,1779958.65538715,1499,18,0.903219387102732
"result.3825",0,15,14,124.060387872,103.942487136,138.031152272,1779931.76039815,1485,17.5,0.903056791653628
"result.3300",3,14,12,125.7368796,103.38365656,136.91349112,1779757.41681447,1495,17.5,0.902002785894867
"result.3457",0,8,13,125.81950344,101.44905908,139.42161192,1779615.13155061,1496,18,0.901142590846022
"result.1505",0,14,5,125.81950344,104.8495862,134.88757576,1779453.4732746,1496,18,0.900165274960513
"result.3555",2,14,13,125.178049024,103.38365656,137.472321696,1779079.41398901,1492,17.5,0.897903874610795
"result.3810",1,14,14,124.619218448,103.38365656,138.031152272,1778336.8394659,1488,17.5,0.893414590823478
"result.2466",1,10,9,126.38625796,102.58256812,137.15459384,1778213.00087281,1499,18,0.892665916352555
"result.3285",4,13,12,126.295710176,102.824825984,136.91349112,1778004.38248199,1498,17.5,0.891404699962176
"result.1490",1,13,5,126.38625796,104.28283168,134.88757576,1777807.03470668,1498,18,0.890211620829257
"result.3442",1,7,13,126.38625796,100.88230456,139.42161192,1777644.64824023,1498,18,0.889229902619938
"result.2721",0,10,10,125.81950344,102.58256812,137.72134836,1777553.98853138,1495,18,0.888681813305767
"result.4065",0,14,15,124.060387872,103.38365656,138.589982848,1777529.69324512,1484,17.5,0.888534934532917
"result.3540",3,13,13,125.7368796,102.824825984,137.472321696,1777362.1558674,1494,17.5,0.887522076146119
"result.1745",0,13,6,125.81950344,104.28283168,135.45433028,1777271.08654835,1495,18,0.886971510506123
"result.3697",0,7,14,125.81950344,100.88230456,139.98836644,1776866.9408583,1495,18,0.884528220792349
"result.3795",2,13,14,125.178049024,102.824825984,138.031152272,1776655.70659136,1491,17.5,0.883251189948455
"result.4050",1,13,15,124.619218448,102.824825984,138.589982848,1775885.03465385,1487,17.5,0.878592041369186
"result.2294",5,15,8,126.854540752,103.942487136,134.678168816,1775809.29379768,1500,17.5,0.878134144973487
"result.2706",1,9,10,126.38625796,102.0158136,137.72134836,1775696.01064281,1498,18,0.877449284108112
"result.1730",1,12,6,126.38625796,103.71607716,135.45433028,1775574.22079297,1498,18,0.876712995451123
"result.3525",4,12,13,126.295710176,102.265995408,137.472321696,1775559.03483971,1497,17.5,0.876621187758208
"result.2549",4,15,9,126.295710176,103.942487136,135.236999392,1775322.38829368,1497,17.5,0.875190525286856
"result.1985",0,12,7,125.81950344,103.71607716,136.0210848,1775007.87068409,1494,18,0.87328908810898
"result.2961",0,9,11,125.81950344,102.0158136,138.28810288,1775007.87068409,1494,18,0.87328908810898
"result.3780",3,12,14,125.7368796,102.265995408,138.031152272,1774888.36177453,1493,17.5,0.872566589028559
"result.3682",1,6,14,126.38625796,100.31555004,139.98836644,1774843.48169394,1497,18,0.872295263509187
"result.2804",3,15,10,125.7368796,103.942487136,135.795829968,1774770.56205582,1493,17.5,0.871854422975343
"result.754",1,15,2,126.38625796,105.41634072,133.1873122,1774478.11214443,1497,18,0.87008639753822
