"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4096",15,15,15,59.27250075,113.01290143,396.73060502,2657522.68434767,1255,40,1
"result.3840",15,15,14,59.27250075,113.01290143,395.94030501,2652228.81445853,1253,40,0.993475443943569
"result.3584",15,15,13,59.27250075,113.01290143,395.150005,2646934.9445694,1252,40,0.986950887887139
"result.3328",15,15,12,59.27250075,113.01290143,394.35970499,2641641.07468026,1251,40,0.980426331830708
"result.4080",15,14,15,59.27250075,112.22260142,396.73060502,2638938.60963196,1250,40,0.9770956144033
"result.3072",15,15,11,59.27250075,113.01290143,393.56940498,2636347.20479112,1250,40,0.973901775774278
"result.3824",15,14,14,59.27250075,112.22260142,395.94030501,2633681.75981197,1249,40,0.970616684612998
"result.2816",15,15,10,59.27250075,113.01290143,392.77910497,2631053.33490198,1248,40,0.967377219717848
"result.3568",15,14,13,59.27250075,112.22260142,395.150005,2628424.90999199,1248,40,0.964137754822696
"result.2560",15,15,9,59.27250075,113.01290143,391.98880496,2625759.46501284,1247,40,0.960852663661417
"result.3312",15,14,12,59.27250075,112.22260142,394.35970499,2623168.060172,1246,40,0.957658825032395
"result.4095",14,15,15,58.48220074,113.01290143,396.73060502,2622089.04855637,1238,40,0.956328971462292
"result.2304",15,15,8,59.27250075,113.01290143,391.19850495,2620465.5951237,1246,40,0.954328107604986
"result.4064",15,13,15,59.27250075,111.43230141,396.73060502,2620354.53491624,1246,40,0.9541912288066
"result.3056",15,14,11,59.27250075,112.22260142,393.56940498,2617911.21035202,1245,40,0.951179895242093
"result.3839",14,15,14,58.48220074,113.01290143,395.94030501,2616865.76359909,1237,40,0.949891409486613
"result.2048",15,15,7,59.27250075,113.01290143,390.40820494,2615171.72523456,1245,40,0.947803551548555
"result.3808",15,13,14,59.27250075,111.43230141,395.94030501,2615134.70516541,1245,40,0.947757925282427
"result.2800",15,14,10,59.27250075,112.22260142,392.77910497,2612654.36053204,1244,40,0.944700965451791
"result.3583",14,15,13,58.48220074,113.01290143,395.150005,2611642.4786418,1235,40,0.943453847510935
"result.3552",15,13,13,59.27250075,111.43230141,395.150005,2609914.87541458,1243,40,0.941324621758254
"result.1792",15,15,6,59.27250075,113.01290143,389.61790493,2609877.85534542,1243,40,0.941278995492125
"result.2544",15,14,9,59.27250075,112.22260142,391.98880496,2607397.51071205,1243,40,0.93822203566149
"result.3327",14,15,12,58.48220074,113.01290143,394.35970499,2606419.19368452,1234,40,0.937016285535257
"result.3296",15,13,12,59.27250075,111.43230141,394.35970499,2604695.04566375,1242,40,0.934891318234081
"result.1536",15,15,5,59.27250075,113.01290143,388.82760492,2604583.98545629,1242,40,0.934754439435694
"result.4079",14,14,15,58.48220074,112.22260142,396.73060502,2603752.76150353,1233,40,0.933729977673547
"result.2288",15,14,8,59.27250075,112.22260142,391.19850495,2602140.66089207,1241,40,0.931743105871188
"result.4048",15,12,15,59.27250075,110.6420014,396.73060502,2601770.46020052,1241,40,0.931286843209899
"result.3071",14,15,11,58.48220074,113.01290143,393.56940498,2601195.90872724,1233,40,0.930578723559579
"result.3040",15,13,11,59.27250075,111.43230141,393.56940498,2599475.21591292,1241,40,0.928458014709908
"result.1280",15,15,4,59.27250075,113.01290143,388.03730491,2599290.11556715,1241,40,0.928229883379264
"result.3823",14,14,14,58.48220074,112.22260142,395.94030501,2598566.00301448,1232,40,0.927337433613783
"result.2032",15,14,7,59.27250075,112.22260142,390.40820494,2596883.81107208,1240,40,0.925264176080886
"result.3792",15,12,14,59.27250075,110.6420014,395.94030501,2596587.65051885,1240,40,0.924899165951856
"result.2815",14,15,10,58.48220074,113.01290143,392.77910497,2595972.62376995,1232,40,0.924141161583901
"result.2784",15,13,10,59.27250075,111.43230141,392.77910497,2594255.38616209,1240,40,0.922024711185735
"result.1024",15,15,3,59.27250075,113.01290143,387.2470049,2593996.24567801,1239,40,0.921705327322834
"result.3567",14,14,13,58.48220074,112.22260142,395.150005,2593379.24452543,1231,40,0.920944889554019
"result.1776",15,14,6,59.27250075,112.22260142,389.61790493,2591626.9612521,1239,40,0.918785246290585
"result.3536",15,12,13,59.27250075,110.6420014,395.150005,2591404.84083717,1239,40,0.918511488693811
"result.2559",14,15,9,58.48220074,113.01290143,391.98880496,2590749.33881267,1230,40,0.917703599608223
"result.2528",15,13,9,59.27250075,111.43230141,391.98880496,2589035.55641126,1238,40,0.915591407661563
"result.768",15,15,2,59.27250075,113.01290143,386.45670489,2588702.37578887,1238,40,0.915180771266403
"result.3311",14,14,12,58.48220074,112.22260142,394.35970499,2588192.48603638,1230,40,0.914552345494255
"result.4094",13,15,15,57.69190073,113.01290143,396.73060502,2586655.41276507,1221,40,0.912657942924583
"result.1520",15,14,5,59.27250075,112.22260142,388.82760492,2586370.11143212,1238,40,0.912306316500283
"result.3280",15,12,12,59.27250075,110.6420014,394.35970499,2586222.0311555,1238,40,0.912123811435767
"result.2303",14,15,8,58.48220074,113.01290143,391.19850495,2585526.05385539,1229,40,0.911266037632545
"result.4063",14,13,15,58.48220074,111.43230141,396.73060502,2585416.47445069,1229,40,0.911130983884803
"result.2272",15,13,8,59.27250075,111.43230141,391.19850495,2583815.72666043,1237,40,0.90915810413739
"result.512",15,15,1,59.27250075,113.01290143,385.66640488,2583408.50589973,1237,40,0.908656215209973
"result.4032",15,11,15,59.27250075,109.85170139,396.73060502,2583186.3854848,1237,40,0.908382457613199
"result.3055",14,14,11,58.48220074,112.22260142,393.56940498,2583005.72754733,1229,40,0.90815980143449
"result.3838",13,15,14,57.69190073,113.01290143,395.94030501,2581502.71273964,1220,40,0.906307375029657
"result.1264",15,14,4,59.27250075,112.22260142,388.03730491,2581113.26161213,1236,40,0.905827386709981
"result.3024",15,12,11,59.27250075,110.6420014,393.56940498,2581039.22147382,1236,40,0.905736134177723
"result.2047",14,15,7,58.48220074,113.01290143,390.40820494,2580302.7688981,1228,40,0.904828475656867
"result.3807",14,13,14,58.48220074,111.43230141,395.94030501,2580266.24242987,1228,40,0.904783457740953
"result.2016",15,13,7,59.27250075,111.43230141,390.40820494,2578595.8969096,1236,40,0.902724800613217
"result.256",15,15,0,59.27250075,113.01290143,384.87610487,2578114.63601059,1236,40,0.902131659153541
"result.3776",15,11,14,59.27250075,109.85170139,395.94030501,2578040.59587228,1236,40,0.902040406621284
"result.2799",14,14,10,58.48220074,112.22260142,392.77910497,2577818.96905828,1227,40,0.901767257374726
"result.3582",13,15,13,57.69190073,113.01290143,395.150005,2576350.01271421,1219,40,0.899956807134731
"result.1008",15,14,3,59.27250075,112.22260142,387.2470049,2575856.41179215,1235,40,0.89934845691968
"result.2768",15,12,10,59.27250075,110.6420014,392.77910497,2575856.41179215,1235,40,0.89934845691968
"result.3551",14,13,13,58.48220074,111.43230141,395.150005,2575116.01040905,1227,40,0.898435931597102
"result.1791",14,15,6,58.48220074,113.01290143,389.61790493,2575079.48394082,1227,40,0.898390913681188
"result.1760",15,13,6,59.27250075,111.43230141,389.61790493,2573376.06715877,1235,40,0.896291497089044
"result.3520",15,11,13,59.27250075,109.85170139,395.150005,2572894.80625976,1234,40,0.895698355629369
"result.2543",14,14,9,58.48220074,112.22260142,391.98880496,2572632.21056922,1226,40,0.895374713314961
"result.3326",13,15,12,57.69190073,113.01290143,394.35970499,2571197.31268878,1217,40,0.893606239239806
"result.2512",15,12,9,59.27250075,110.6420014,391.98880496,2570673.60211047,1234,40,0.892960779661636
"result.752",15,14,2,59.27250075,112.22260142,386.45670489,2570599.56197216,1234,40,0.892869527129378
"result.3295",14,13,12,58.48220074,111.43230141,394.35970499,2569965.77838823,1225,40,0.892088405453252
"result.1535",14,15,5,58.48220074,113.01290143,388.82760492,2569856.19898354,1225,40,0.89195335170551
"result.4078",13,14,15,57.69190073,112.22260142,396.73060502,2568566.9133751,1217,40,0.890364340943795
"result.1504",15,13,5,59.27250075,111.43230141,388.82760492,2568156.23740795,1233,40,0.889858193564872
"result.3264",15,11,12,59.27250075,109.85170139,394.35970499,2567749.01664724,1233,40,0.889356304637454
"result.2287",14,14,8,58.48220074,112.22260142,391.19850495,2567445.45208017,1225,40,0.888982169255197
"result.4047",14,12,15,58.48220074,110.6420014,396.73060502,2567080.18739785,1225,40,0.888531990096059
"result.3070",13,15,11,57.69190073,113.01290143,393.56940498,2566044.61266336,1216,40,0.88725567134488
"result.2256",15,12,8,59.27250075,110.6420014,391.19850495,2565490.7924288,1233,40,0.886573102403592
"result.496",15,14,1,59.27250075,112.22260142,385.66640488,2565342.71215218,1233,40,0.886390597339076
