"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4049",0,13,15,123.447689271,122.773111734,120.074801586,1819860.53087794,1498,25.5,1
"result.3809",0,14,14,123.447689271,123.447689271,119.400224049,1819579.65352721,1498,25.5,0.998397743864735
"result.3569",0,15,13,123.447689271,124.122266808,118.725646512,1819186.42523618,1498,25.5,0.996154585275362
"result.4033",0,12,15,123.447689271,122.098534197,120.074801586,1809861.2971918,1494,25.5,0.942959681584548
"result.4018",1,11,15,124.122266808,121.42395666,120.074801586,1809697.37532809,1498,25.5,0.94202459439741
"result.3793",0,13,14,123.447689271,122.773111734,119.400224049,1809636.59531121,1494,25.5,0.941677876676336
"result.3778",1,12,14,124.122266808,122.098534197,119.400224049,1809527.9280083,1498,25.5,0.941057987417447
"result.3553",0,14,13,123.447689271,123.447689271,118.725646512,1809299.54249033,1494,25.5,0.939755169314018
"result.3538",1,13,13,124.122266808,122.773111734,118.725646512,1809245.51580866,1498,25.5,0.939446975784174
"result.3298",1,14,12,124.122266808,123.447689271,118.051068975,1808850.13872916,1498,25.5,0.937191559497592
"result.3313",0,15,12,123.447689271,124.122266808,118.051068975,1808850.13872916,1494,25.5,0.937191559497592
"result.3058",1,15,11,124.122266808,124.122266808,117.376491438,1808341.79676979,1498,25.5,0.934291738557702
"result.4083",2,15,15,123.56779,122.899856,118.892252,1805552.85699168,1493,25,0.918382318098232
"result.4068",3,14,15,124.235724,122.231922,118.892252,1805446.77280501,1497,25,0.91777716414584
"result.3828",3,15,14,124.235724,122.899856,118.224318,1805114.21675918,1497,25,0.91588010849733
"result.3457",0,8,13,124.65318036,120.56619084,119.88502592,1801747.15510203,1498,26,0.896672809710571
"result.3697",0,7,14,124.65318036,119.88502592,120.56619084,1801747.15510203,1498,26,0.896672809710571
"result.3217",0,9,12,124.65318036,121.24735576,119.203861,1801631.48052864,1498,26,0.896012947694564
"result.3937",0,6,15,124.65318036,119.203861,121.24735576,1801631.48052864,1498,26,0.896012947694564
"result.2977",0,10,11,124.65318036,121.92852068,118.52269608,1801400.13138187,1498,26,0.89469322366255
"result.2737",0,11,10,124.65318036,122.6096856,117.84153116,1801053.1076617,1498,26,0.89271363761453
"result.2497",0,12,9,124.65318036,123.29085052,117.16036624,1800590.40936815,1498,26,0.890074189550502
"result.2257",0,13,8,124.65318036,123.97201544,116.47920132,1800012.0365012,1497,26,0.886774879470469
"result.4017",0,11,15,123.447689271,121.42395666,120.074801586,1799862.06350566,1490,25.5,0.885919363169096
"result.3777",0,12,14,123.447689271,122.098534197,119.400224049,1799693.53709522,1490,25.5,0.884958009487938
"result.4002",1,10,15,124.122266808,120.749379123,120.074801586,1799643.50102071,1494,25.5,0.884672580252913
"result.3762",1,11,14,124.122266808,121.42395666,119.400224049,1799530.53614085,1494,25.5,0.884028175599603
"result.3537",0,13,13,123.447689271,122.773111734,118.725646512,1799412.65974448,1490,25.5,0.883355753352671
"result.2017",0,14,7,124.65318036,124.65318036,115.7980364,1799317.98906087,1497,26,0.882815707374427
"result.3987",2,9,15,124.796844345,120.074801586,120.074801586,1799315.6572933,1498,25.5,0.882802405878634
"result.3522",1,12,13,124.122266808,122.098534197,118.725646512,1799304.60638114,1494,25.5,0.882739366292985
"result.3747",2,10,14,124.796844345,120.749379123,119.400224049,1799258.86788359,1498,25.5,0.882478452452379
"result.3507",2,11,13,124.796844345,121.42395666,118.725646512,1799088.49965445,1498,25.5,0.881506592173612
"result.3297",0,14,12,123.447689271,123.447689271,118.051068975,1799019.43145345,1490,25.5,0.8811125947633
"result.3282",1,13,12,124.122266808,122.773111734,118.051068975,1798965.71174156,1494,25.5,0.880806152333059
"result.3267",2,12,12,124.796844345,122.098534197,118.051068975,1798804.5526059,1498,25.5,0.879886825042332
"result.3042",1,14,11,124.122266808,123.447689271,117.376491438,1798513.85222213,1494,25.5,0.878228533719823
"result.3057",0,15,11,123.447689271,124.122266808,117.376491438,1798513.85222213,1490,25.5,0.878228533719823
"result.1777",0,15,6,124.65318036,125.33434528,115.11687148,1798508.26704715,1497,26,0.878196673262379
"result.3027",2,13,11,124.796844345,122.773111734,117.376491438,1798407.02673792,1498,25.5,0.877619151058542
"result.2802",1,15,10,124.122266808,124.122266808,116.701913901,1797949.02782284,1493,25.5,0.875006510453278
"result.2787",2,14,10,124.796844345,123.447689271,116.701913901,1797895.92205052,1497,25.5,0.874703570222238
"result.2547",2,15,9,124.796844345,124.122266808,116.027336364,1797271.23854369,1497,25.5,0.871140082533424
"result.4082",1,15,15,122.899856,122.899856,118.892252,1795793.11181875,1485,25,0.862708154478176
"result.4067",2,14,15,123.56779,122.231922,118.892252,1795740.06972542,1489,25,0.86240557750198
"result.4052",3,13,15,124.235724,121.563988,118.892252,1795580.94344542,1493,25,0.861497846573391
"result.3827",2,15,14,123.56779,122.899856,118.224318,1795409.30161532,1489,25,0.860518721077387
"result.4037",4,12,15,124.903658,120.896054,118.892252,1795315.73297877,1497,25,0.859984961692411
"result.3812",3,14,14,124.235724,122.231922,118.224318,1795303.81340723,1493,25,0.859916966866301
"result.3797",4,13,14,124.903658,121.563988,118.224318,1795092.83699106,1497,25,0.858713458444128
"result.3572",3,15,13,124.235724,122.899856,117.556384,1794915.83135377,1493,25,0.857703735276373
"result.3557",4,14,13,124.903658,122.231922,117.556384,1794758.4930095,1497,25,0.856806203571701
"result.3317",4,15,12,124.903658,122.899856,116.88845,1794312.70103409,1497,25,0.854263197075133
"result.3302",5,14,12,125.571592,122.231922,116.88845,1794104.10853223,1500,25,0.853073287618183
"result.3062",5,15,11,125.571592,122.899856,116.220516,1793599.91065629,1500,25,0.850197106473668
"result.3441",0,7,13,124.65318036,119.88502592,119.88502592,1791567.79264383,1494,26,0.838604952301968
"result.3201",0,8,12,124.65318036,120.56619084,119.203861,1791509.95535714,1494,26,0.838275021293964
"result.3681",0,6,14,124.65318036,119.203861,120.56619084,1791509.95535714,1494,26,0.838275021293964
"result.2961",0,9,11,124.65318036,121.24735576,118.52269608,1791336.44349705,1494,26,0.837285228269955
"result.3921",0,5,15,124.65318036,118.52269608,121.24735576,1791336.44349705,1494,26,0.837285228269955
"result.3186",1,7,12,125.33434528,119.88502592,119.203861,1791122.7931921,1498,26,0.836066466732193
"result.3426",1,6,13,125.33434528,119.203861,119.88502592,1791122.7931921,1498,26,0.836066466732193
"result.2721",0,10,10,124.65318036,121.92852068,117.84153116,1791047.25706358,1494,26,0.835635573229937
"result.2946",1,8,11,125.33434528,120.56619084,118.52269608,1791006.48651722,1498,26,0.83540299891282
"result.3666",1,5,14,125.33434528,118.52269608,120.56619084,1791006.48651722,1498,26,0.83540299891282
"result.2706",1,9,10,125.33434528,121.24735576,117.84153116,1790773.87316746,1498,26,0.834076063274074
"result.3906",1,4,15,125.33434528,117.84153116,121.24735576,1790773.87316746,1498,26,0.834076063274074
"result.2481",0,11,9,124.65318036,122.6096856,117.16036624,1790642.39605672,1494,26,0.833326056173913
"result.2466",1,10,9,125.33434528,121.92852068,117.16036624,1790424.95314281,1498,26,0.832085659815954
"result.1681",0,9,6,125.845558584,122.407155344,116.218029512,1790268.64644297,1500,26.5,0.831194013094897
"result.3841",0,0,15,125.845558584,116.218029512,122.407155344,1790268.64644297,1500,26.5,0.831194013094897
"result.2241",0,12,8,124.65318036,123.29085052,116.47920132,1790121.86047647,1493,26,0.830356677101883
"result.2226",1,11,8,125.33434528,122.6096856,116.47920132,1789959.72644328,1497,26,0.829431788538463
"result.4001",0,10,15,123.447689271,120.749379123,120.074801586,1789862.82981951,1486,25.5,0.828879044753646
"result.3761",0,11,14,123.447689271,121.42395666,119.400224049,1789750.47887922,1486,25.5,0.828238142299539
"result.1441",0,10,5,125.845558584,123.094835992,115.530348864,1789673.51691487,1500,26.5,0.827799115161013
"result.3986",1,9,15,124.122266808,120.074801586,120.074801586,1789589.62671333,1490,25.5,0.827320566108414
"result.3746",1,10,14,124.122266808,120.749379123,119.400224049,1789533.14427341,1490,25.5,0.826998363781759
"result.3521",0,12,13,123.447689271,122.098534197,118.725646512,1789525.77699863,1486,25.5,0.826956337391326
"result.2001",0,13,7,124.65318036,123.97201544,115.7980364,1789485.65032283,1493,26,0.826727436013845
"result.4087",6,15,15,124.969598334,121.663524304,117.696235468,1789482.01878812,1495,24.5,0.826706720036713
"result.1986",1,12,7,125.33434528,123.29085052,115.7980364,1789378.19306887,1497,26,0.826114449441598
"result.3506",1,11,13,124.122266808,121.42395666,118.725646512,1789363.69695362,1490,25.5,0.826031756801796
"result.3731",2,9,14,124.796844345,120.074801586,119.400224049,1789207.14236468,1494,25.5,0.825138696005091
"result.3971",2,8,15,124.796844345,119.400224049,120.074801586,1789207.14236468,1494,25.5,0.825138696005091
"result.3281",0,13,12,123.447689271,122.773111734,118.051068975,1789188.72417775,1486,25.5,0.825033630029008
"result.4072",7,14,15,125.63081314,121.002309498,117.696235468,1789173.27447846,1499,24.5,0.82494549769861
