"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.3825",0,15,14,113.40865053,112.7820834,154.76208111,1979478.80879569,1498,22,1
"result.4065",0,14,15,113.40865053,112.15551627,155.38864824,1976451.26585826,1497,22,0.984707451784043
"result.3314",1,15,12,114.03521766,112.7820834,153.50894685,1974298.43389625,1500,22,0.973833192604157
"result.3569",0,15,13,113.40865053,112.7820834,154.13551398,1971464.72454955,1495,22,0.959519725310704
"result.3554",1,14,13,114.03521766,112.15551627,154.13551398,1971343.70154621,1499,22,0.958908420978379
"result.3809",0,14,14,113.40865053,112.15551627,154.76208111,1968481.70430238,1494,22,0.944452067509688
"result.3794",1,13,14,114.03521766,111.52894914,154.76208111,1968299.43185222,1498,22,0.94353138354576
"result.3058",1,15,11,114.03521766,112.7820834,152.88237972,1966240.07294158,1497,22,0.933129269988401
"result.4049",0,13,15,113.40865053,111.52894914,155.38864824,1965409.6386747,1492,22,0.928934628878792
"result.4034",1,12,15,114.03521766,110.90238201,155.38864824,1965165.62481429,1496,22,0.9277020803063
"result.4019",2,11,15,114.66178479,110.27581488,155.38864824,1964799.60402367,1500,22,0.925853257447562
"result.1265",0,15,4,114.689660473,114.05601594,150.173754321,1964429.74968031,1500,22.5,0.923985070770889
"result.2241",0,12,8,114.689660473,112.155082341,152.708332453,1964291.60412829,1500,22.5,0.923287278019903
"result.3953",0,7,15,114.689660473,108.986859676,157.143844184,1964245.55561095,1500,22.5,0.92305468043624
"result.3313",0,15,12,113.40865053,112.7820834,153.50894685,1963450.64030342,1492,22,0.919039450621408
"result.3298",1,14,12,114.03521766,112.15551627,153.50894685,1963330.1092635,1496,22,0.918430631266044
"result.3283",2,13,12,114.66178479,111.52894914,153.50894685,1963089.04718366,1500,22,0.917212992555316
"result.3217",0,9,12,114.689660473,110.254148742,155.242910585,1963048.29416014,1500,22.5,0.917007143261024
"result.4085",4,15,15,114.588882525,111.4918857,153.61104252,1962493.29534048,1499,21.5,0.914203765609615
"result.1505",0,14,5,114.689660473,113.422371407,150.807398854,1961758.93567465,1499,22.5,0.910494410918484
"result.2481",0,11,9,114.689660473,111.521437808,153.341976986,1961298.45050126,1499,22.5,0.908168435081863
"result.2547",2,15,9,114.66178479,112.7820834,151.62924546,1960838.31449943,1499,22,0.905844222960257
"result.3553",0,14,13,113.40865053,112.15551627,154.13551398,1960512.1427465,1491,22,0.904196683235333
"result.3538",1,13,13,114.03521766,111.52894914,154.13551398,1960330.60824148,1495,22,0.903279726736846
"result.3523",2,12,13,114.66178479,110.90238201,154.13551398,1960028.05073311,1499,22,0.901751465906035
"result.3457",0,8,13,114.689660473,109.620504209,155.876555118,1959732.80091173,1499,22.5,0.90026011723735
"result.1745",0,13,6,114.689660473,112.788726874,151.441043387,1958996.02463431,1498,22.5,0.896538555898756
"result.2721",0,10,10,114.689660473,110.887793275,153.975621519,1958213.19983955,1498,22.5,0.8925843969765
"result.2802",1,15,10,114.03521766,112.7820834,152.25581259,1958181.7119869,1494,22,0.892425347372645
"result.2787",2,14,10,114.66178479,112.15551627,152.25581259,1958002.3913173,1498,22,0.891519573270481
"result.3793",0,13,14,113.40865053,111.52894914,154.76208111,1957484.59980907,1489,22,0.888904135019377
"result.3778",1,12,14,114.03521766,110.90238201,154.76208111,1957241.56987552,1493,22,0.887676556400806
"result.3763",2,11,14,114.66178479,110.27581488,154.76208111,1956877.02497519,1497,22,0.885835188472951
"result.3697",0,7,14,114.689660473,108.986859676,156.510199651,1956325.21062865,1497,22.5,0.883047896046352
"result.1009",0,15,3,114.689660473,114.05601594,149.540109788,1956141.01655929,1497,22.5,0.882117505711703
"result.1985",0,12,7,114.689660473,112.155082341,152.07468792,1956141.01655929,1497,22.5,0.882117505711703
"result.3057",0,15,11,113.40865053,112.7820834,152.88237972,1955436.55605728,1489,22,0.878559175932113
"result.3042",1,14,11,114.03521766,112.15551627,152.88237972,1955316.51698079,1493,22,0.877952841553709
"result.3027",2,13,11,114.66178479,111.52894914,152.88237972,1955076.43882781,1497,22,0.876740172796903
"result.2961",0,9,11,114.689660473,110.254148742,154.609266052,1955035.85214316,1497,22.5,0.876535163703811
