"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4081",0,15,15,129.80486255,118.69856415,111.75712765,1721914.79773095,1495,27,1
"result.4066",1,14,15,130.4990062,118.0044205,111.75712765,1720999.37253279,1498,27,0.994696075638572
"result.3826",1,15,14,130.4990062,118.69856415,111.062984,1720370.58211535,1498,27,0.991052897779792
"result.4001",0,10,15,131.000731851,116.289419718,112.786726353,1718192.886579,1500,27.5,0.978435446970795
"result.3761",0,11,14,131.000731851,116.989958391,112.08618768,1717807.1514402,1500,27.5,0.976200518323602
"result.3521",0,12,13,131.000731851,117.690497064,111.385649007,1717292.83792181,1499,27.5,0.973220613460678
"result.3281",0,13,12,131.000731851,118.391035737,110.685110334,1716649.94602381,1499,27.5,0.969495732382023
"result.3041",0,14,11,131.000731851,119.09157441,109.984571661,1715878.47574622,1499,27.5,0.965025875087637
"result.2801",0,15,10,131.000731851,119.792113083,109.284032988,1714978.42708903,1498,27.5,0.959811041577519
"result.4065",0,14,15,129.80486255,118.0044205,111.75712765,1711845.12055124,1490,27,0.941656832024308
"result.3825",0,15,14,129.80486255,118.69856415,111.062984,1711219.67476368,1490,27,0.93803303277116
"result.4050",1,13,15,130.4990062,117.31027685,111.75712765,1710875.84681201,1494,27,0.936040912112209
"result.3810",1,14,14,130.4990062,118.0044205,111.062984,1710309.93543632,1493,27,0.932762052039306
"result.4085",4,15,15,131.347003768,117.593390808,110.716584328,1710077.38158638,1498,26.5,0.931414647540786
"result.4035",2,12,15,131.19314985,116.6161332,111.75712765,1709798.87599065,1497,27,0.929801001098766
"result.3570",1,15,13,130.4990062,118.69856415,110.36884035,1709618.26597713,1493,27,0.928754556394649
"result.3795",2,13,14,131.19314985,117.31027685,111.062984,1709293.1679528,1497,27,0.926870955927237
"result.3555",2,14,13,131.19314985,118.0044205,110.36884035,1708661.03290548,1497,27,0.923208399462825
"result.3780",3,12,14,131.8872935,116.6161332,111.062984,1708169.37231312,1500,27,0.920359744434948
"result.3315",2,15,12,131.19314985,118.69856415,109.6746967,1707902.47084869,1496,27,0.91881333170553
"result.3985",0,9,15,131.000731851,115.588881045,112.786726353,1707842.32702129,1495,27.5,0.918464861604446
"result.3540",3,13,13,131.8872935,117.31027685,110.36884035,1707597.44060364,1500,27,0.917046002871909
"result.3745",0,10,14,131.000731851,116.289419718,112.08618768,1707520.8810723,1495,27.5,0.916602421065118
"result.3505",0,11,13,131.000731851,116.989958391,111.385649007,1707070.8567437,1495,27.5,0.913995004310059
"result.3300",3,14,12,131.8872935,118.0044205,109.6746967,1706898.41295872,1500,27,0.912995874294861
"result.3970",1,8,15,131.701270524,114.888342372,112.786726353,1706569.26354628,1499,27.5,0.911088800302702
"result.3265",0,12,12,131.000731851,117.690497064,110.685110334,1706492.25403551,1495,27.5,0.91064261133927
"result.3730",1,9,14,131.701270524,115.588881045,112.08618768,1706310.73161725,1499,27.5,0.909590880211179
"result.3060",3,15,11,131.8872935,118.69856415,108.98055305,1706072.28937836,1500,27,0.908209358703803
"result.3490",1,10,13,131.701270524,116.289419718,111.385649007,1705922.9337237,1498,27.5,0.907344000073893
"result.3025",0,13,11,131.000731851,118.391035737,109.984571661,1705785.07294771,1494,27.5,0.906545242152748
"result.3250",1,11,12,131.701270524,116.989958391,110.685110334,1705405.86986563,1498,27.5,0.904348159890847
"result.2785",0,14,10,131.000731851,119.09157441,109.284032988,1704949.31348032,1494,27.5,0.901702896750497
"result.3010",1,12,11,131.701270524,117.690497064,109.984571661,1704759.54004305,1498,27.5,0.900603359662039
"result.2545",0,15,9,131.000731851,119.792113083,108.583494315,1703984.97563333,1494,27.5,0.896115575132514
"result.2770",1,13,10,131.701270524,118.391035737,109.284032988,1703983.94425595,1498,27.5,0.896109599387468
