"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.3569",0,15,13,120.3441134,111.404264976,139.599171544,1871584.8036699,1500,26.5,1
"result.3809",0,14,14,120.3441134,110.716584328,140.286852192,1869194.52933571,1499,26.5,0.987704242909101
"result.4049",0,13,15,120.3441134,110.02890368,140.97453284,1866690.43241418,1498,26.5,0.974822973575779
"result.3313",0,15,12,120.3441134,111.404264976,138.911490896,1862365.17409517,1497,26.5,0.952573508363677
"result.3298",1,14,12,121.031794048,110.716584328,138.911490896,1861445.48758944,1500,26.5,0.947842569444893
"result.3553",0,14,13,120.3441134,110.716584328,139.599171544,1860031.81105465,1496,26.5,0.940570507393991
"result.3538",1,13,13,121.031794048,110.02890368,139.599171544,1859041.55454477,1500,26.5,0.935476550884904
"result.4083",2,15,15,120.56619084,110.34871704,139.6388086,1857800.01927902,1496,26,0.929089996911079
"result.3793",0,13,14,120.3441134,110.02890368,140.286852192,1857584.62542679,1495,26.5,0.927981994181881
"result.4068",3,14,15,121.24735576,109.66755212,139.6388086,1856763.37282897,1500,26,0.923757406941582
"result.3778",1,12,14,121.031794048,109.341223032,140.286852192,1856523.14849798,1498,26.5,0.922521674298249
"result.4033",0,12,15,120.3441134,109.341223032,140.97453284,1855023.61721159,1494,26.5,0.914807968727347
"result.2802",1,15,10,121.031794048,111.404264976,137.5361296,1854462.63445969,1498,26.5,0.911922229818259
"result.2257",0,13,8,121.47513875,111.062984,137.4404427,1854262.80547148,1500,27,0.910894293960181
"result.4018",1,11,15,121.031794048,108.653542384,140.97453284,1853890.26944905,1497,26.5,0.908977939684928
"result.3473",0,9,13,121.47513875,108.2864094,140.91116095,1853560.43319668,1500,27,0.907281236348008
"result.3057",0,15,11,120.3441134,111.404264976,138.223810248,1853145.54452044,1493,26.5,0.905147016727355
"result.3042",1,14,11,121.031794048,110.716584328,138.223810248,1852230.41091821,1497,26.5,0.900439498298269
