"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4096",15,15,15,120.12560152,100.36810127,92.46510117,1114831.24734475,1157,40,1
"result.4095",14,15,15,119.33530151,100.36810127,92.46510117,1107496.8312438,1149,40,0.97857328257484
"result.4080",15,14,15,120.12560152,99.57780126,92.46510117,1106053.04854676,1152,40,0.974355424813982
"result.3840",15,15,14,120.12560152,100.36810127,91.67480116,1105302.77514522,1152,40,0.972163580780989
"result.4094",13,15,15,118.5450015,100.36810127,92.46510117,1100162.41514284,1142,40,0.95714656514968
"result.4079",14,14,15,119.33530151,99.57780126,92.46510117,1098776.38375369,1145,40,0.953097421699256
"result.3839",14,15,14,119.33530151,100.36810127,91.67480116,1098031.04636137,1144,40,0.950919997692796
"result.4064",15,13,15,120.12560152,98.78750125,92.46510117,1097274.84974877,1148,40,0.948710849627963
"result.3824",15,14,14,120.12560152,99.57780126,91.67480116,1096599.60368738,1147,40,0.94673818999827
"result.3584",15,15,13,120.12560152,100.36810127,90.88450115,1095774.30294569,1147,40,0.944327161561977
"result.4093",12,15,15,117.75470149,100.36810127,92.46510117,1092827.99904189,1134,40,0.93571984772452
"result.4078",13,14,15,118.5450015,99.57780126,92.46510117,1091499.71896062,1137,40,0.93183941858453
"result.3838",13,15,14,118.5450015,100.36810127,91.67480116,1090759.31757752,1137,40,0.929676414604602
"result.4063",14,13,15,119.33530151,98.78750125,92.46510117,1090055.93626358,1140,40,0.927621560823672
"result.3823",14,14,14,119.33530151,99.57780126,91.67480116,1089385.13261049,1140,40,0.925661879217857
"result.3583",14,15,13,119.33530151,100.36810127,90.88450115,1088565.26147894,1139,40,0.923266712810751
"result.4048",15,12,15,120.12560152,97.99720124,92.46510117,1088496.65095078,1143,40,0.923066274441945
"result.3808",15,13,14,120.12560152,98.78750125,91.67480116,1087896.43222955,1143,40,0.92131279921555
"result.3568",15,14,13,120.12560152,99.57780126,90.88450115,1087146.15882801,1142,40,0.919120955182557
"result.3328",15,15,12,120.12560152,100.36810127,90.09420114,1086245.83074616,1142,40,0.916490742342966
"result.4092",11,15,15,116.96440148,100.36810127,92.46510117,1085493.58294094,1126,40,0.91429313029936
"result.4077",12,14,15,117.75470149,99.57780126,92.46510117,1084223.05416755,1129,40,0.910581415469804
"result.3837",12,15,14,117.75470149,100.36810127,91.67480116,1083487.58879367,1129,40,0.90843283151641
"result.4062",13,13,15,118.5450015,98.78750125,92.46510117,1082837.02277839,1132,40,0.90653227201938
"result.3822",13,14,14,118.5450015,99.57780126,91.67480116,1082170.6615336,1132,40,0.904585568437446
"result.3582",13,15,13,118.5450015,100.36810127,90.88450115,1081356.2200122,1132,40,0.902206264059526
"result.4047",14,12,15,119.33530151,97.99720124,92.46510117,1081335.48877347,1135,40,0.902145699948088
"result.3807",14,13,14,119.33530151,98.78750125,91.67480116,1080739.21885962,1135,40,0.900403760742919
"result.3567",14,14,13,119.33530151,99.57780126,90.88450115,1079993.8814673,1135,40,0.898226336736459
"result.4032",15,11,15,120.12560152,97.20690123,92.46510117,1079718.45215279,1138,40,0.897421699255926
"result.3792",15,12,14,120.12560152,97.99720124,91.67480116,1079193.26077171,1138,40,0.895887408432831
"result.3327",14,15,12,119.33530151,100.36810127,90.09420114,1079099.47659652,1134,40,0.895613427928707
"result.3552",15,13,13,120.12560152,98.78750125,90.88450115,1078518.01471033,1138,40,0.893914748803138
"result.4091",10,15,15,116.17410147,100.36810127,92.46510117,1078159.16683999,1119,40,0.892866412874199
"result.3312",15,14,12,120.12560152,99.57780126,90.09420114,1077692.71396864,1137,40,0.891503720366846
"result.4076",11,14,15,116.96440148,99.57780126,92.46510117,1076946.38937447,1122,40,0.889323412355078
"result.3072",15,15,11,120.12560152,100.36810127,89.30390113,1076717.35854664,1137,40,0.888654323123954
"result.3836",11,15,14,116.96440148,100.36810127,91.67480116,1076215.86000982,1121,40,0.887189248428217
"result.4061",12,13,15,117.75470149,98.78750125,92.46510117,1075618.1092932,1125,40,0.885442983215089
"result.3821",12,14,14,117.75470149,99.57780126,91.67480116,1074956.19045671,1125,40,0.883509257657034
"result.4046",13,12,15,118.5450015,97.99720124,92.46510117,1074174.32659616,1128,40,0.88122512545423
"result.3581",12,15,13,117.75470149,100.36810127,90.88450115,1074147.17854545,1124,40,0.8811458153083
