"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.3777",0,12,14,131.5790973,122.80715748,105.88984497,1711058.64271009,1500,22,1
"result.3537",0,13,13,131.5790973,123.43372461,105.26327784,1709612.27023104,1499,22,0.991311619679937
"result.3297",0,14,12,131.5790973,124.06029174,104.63671071,1708062.58543207,1499,22,0.982002640765583
"result.3057",0,15,11,131.5790973,124.68685887,104.01014358,1706409.58831316,1498,22,0.972073063256938
"result.4083",2,15,15,131.31266538,123.260473635,105.29789205,1704316.01938028,1495,21.5,0.959496964514281
"result.4068",3,14,15,131.932064745,122.64107427,105.29789205,1703750.4456562,1499,21.5,0.956099555005319
"result.4001",0,10,15,131.5790973,121.55402322,106.5164121,1703620.155675,1497,22,0.955316901211101
"result.3986",1,9,15,132.20566443,120.92745609,106.5164121,1702909.26852118,1500,22,0.951046591836104
"result.3761",0,11,14,131.5790973,122.18059035,105.88984497,1702328.75167585,1496,22,0.947559418782472
"result.3828",3,15,14,131.932064745,123.260473635,104.678492685,1702282.56796981,1498,21.5,0.947281992594874
"result.3746",1,10,14,132.20566443,121.55402322,105.88984497,1701663.61712086,1499,22,0.943563945927804
"result.3521",0,12,13,131.5790973,122.80715748,105.26327784,1700934.03535677,1496,22,0.939181337759555
"result.3506",1,11,13,132.20566443,122.18059035,105.26327784,1700314.16143718,1499,22,0.935457746193812
"result.3281",0,13,12,131.5790973,123.43372461,104.63671071,1699436.00671776,1495,22,0.930182658142345
"result.3266",1,12,12,132.20566443,122.80715748,104.63671071,1698860.90147014,1498,22,0.926727992634129
"result.3041",0,14,11,131.5790973,124.06029174,104.01014358,1697834.66575882,1494,22,0.920563379930847
"result.3026",1,13,11,132.20566443,123.43372461,104.01014358,1697303.83721974,1497,22,0.917374685248755
"result.4082",1,15,15,130.693266015,123.260473635,105.29789205,1696276.79287377,1488,21.5,0.911205215065462
"result.2801",0,15,10,131.5790973,124.68685887,103.38357645,1696130.01247995,1493,22,0.910323503125057
"result.4067",2,14,15,131.31266538,122.64107427,105.29789205,1695751.61727284,1492,21.5,0.908050477664283
"result.2786",1,14,10,132.20566443,124.06029174,103.38357645,1695642.96868598,1497,22,0.907397824037689
"result.4052",3,13,15,131.932064745,122.021674905,105.29789205,1695145.64542561,1495,21.5,0.904410396047537
"result.2771",2,13,10,132.83223156,123.43372461,103.38357645,1695074.75092636,1500,22,0.903984531769092
"result.3985",0,9,15,131.5790973,120.92745609,106.5164121,1694838.6084808,1493,22,0.902566020696428
"result.4037",4,12,15,132.55146411,121.40227554,105.29789205,1694458.87733209,1498,21.5,0.900284970215226
"result.3827",2,15,14,131.31266538,123.260473635,104.678492685,1694290.63103098,1491,21.5,0.899274312260461
"result.3970",1,8,15,132.20566443,120.30088896,106.5164121,1694085.90443558,1496,22,0.898044516652313
"result.2546",1,15,9,132.20566443,124.68685887,102.75700932,1693878.29586886,1496,22,0.89679740900093
"result.3812",3,14,14,131.932064745,122.64107427,104.678492685,1693728.38421117,1494,21.5,0.895896887513315
"result.3745",0,10,14,131.5790973,121.55402322,105.88984497,1693598.86064162,1492,22,0.895118837564946
"result.2531",2,14,9,132.83223156,124.06029174,102.75700932,1693353.86285435,1499,22,0.893647132327058
"result.3955",2,7,15,132.83223156,119.67432183,106.5164121,1693249.56660756,1499,22,0.893020623269965
"result.3797",4,13,14,132.55146411,122.021674905,104.678492685,1693085.81641709,1498,21.5,0.892036973516578
"result.3730",1,9,14,132.20566443,120.92745609,105.88984497,1692892.15517694,1496,22,0.89087364765686
"result.1505",0,14,5,133.06535193,125.461617534,101.38312528,1692550.14448992,1500,22.5,0.888819184532454
"result.2689",0,8,10,133.06535193,121.659750336,104.551347945,1692550.14448992,1500,22.5,0.888819184532454
"result.3505",0,11,13,131.5790973,122.18059035,105.26327784,1692255.8004825,1492,22,0.887051055839173
"result.3572",3,15,13,131.932064745,123.260473635,104.05909332,1692209.89005283,1494,21.5,0.886775271226648
"result.3715",2,8,14,132.83223156,120.30088896,105.88984497,1692102.30789289,1499,22,0.886129023641941
"result.3557",4,14,13,132.55146411,122.64107427,104.05909332,1691611.04728616,1497,21.5,0.883178014099512
"result.3490",1,10,13,132.20566443,121.55402322,105.26327784,1691594.60163494,1495,22,0.883079224835714
"result.2291",2,15,8,132.83223156,124.68685887,102.13044219,1691528.67853556,1498,22,0.882683223827929
"result.2449",0,9,9,133.06535193,122.293394869,103.917703412,1691054.20370565,1500,22.5,0.879833046688744
"result.3542",5,13,13,133.170863475,122.021674905,104.05909332,1690932.35881727,1500,21.5,0.879101122688757
"result.3475",2,9,13,132.83223156,120.92745609,105.26327784,1690850.75293143,1498,22,0.878610914956825
"result.3265",0,12,12,131.5790973,122.80715748,104.63671071,1690809.42800346,1491,22,0.878362675519108
"result.1265",0,15,4,133.06535193,126.095262067,100.749480747,1690466.51268326,1499,22.5,0.876302778250145
"result.3250",1,11,12,132.20566443,122.18059035,104.63671071,1690193.24380958,1494,22,0.874661248188878
"result.3317",4,15,12,132.55146411,123.260473635,103.439693955,1690034.5699393,1496,21.5,0.873708091964027
"result.3235",2,10,12,132.83223156,121.55402322,104.63671071,1689494.90172318,1498,22,0.870466297214616
"result.2209",0,10,8,133.06535193,122.927039402,103.284058879,1689451.41000822,1499,22.5,0.870205041856199
"result.3302",5,14,12,133.170863475,122.64107427,103.439693955,1689399.60649782,1499,21.5,0.869893857422872
"result.3873",0,2,15,133.06535193,117.857883138,107.71957061,1689344.55709505,1499,22.5,0.869563174867363
"result.3025",0,13,11,131.5790973,123.43372461,104.01014358,1689259.74320448,1490,22,0.869053696604754
"result.3010",1,12,11,132.20566443,122.80715748,104.01014358,1688688.08170086,1494,22,0.865619717716349
"result.3633",0,3,14,133.06535193,118.491527671,107.085926077,1688436.30733318,1498,22.5,0.864107305462255
"result.4081",0,15,15,130.07386665,123.260473635,105.29789205,1688237.56636726,1481,21.5,0.862913465616643
"result.2995",2,11,11,132.83223156,122.18059035,104.01014358,1688034.75426815,1497,22,0.861695170415312
"result.3062",5,15,11,133.170863475,123.260473635,102.82029459,1687764.6706904,1499,21.5,0.860072774472595
"result.4066",1,14,15,130.693266015,122.64107427,105.29789205,1687752.78888948,1485,21.5,0.860001400323247
"result.1969",0,11,7,133.06535193,123.560683935,102.650414346,1687741.76339762,1498,22.5,0.859935170034818
"result.2785",0,14,10,131.5790973,124.06029174,103.38357645,1687606.74608557,1490,22,0.85912411909611
"result.3393",0,4,13,133.06535193,119.125172204,106.452281544,1687421.20465813,1498,22.5,0.858009569068309
"result.2980",3,10,11,133.45879869,121.55402322,104.01014358,1687299.76090635,1500,22,0.857280054701648
"result.4051",2,13,15,131.31266538,122.021674905,105.29789205,1687187.2151654,1488,21.5,0.856603990814285
"result.2770",1,13,10,132.20566443,123.43372461,103.38357645,1687079.11530878,1493,22,0.855954633418128
"result.4036",3,12,15,131.932064745,121.40227554,105.29789205,1686540.84519503,1491,21.5,0.852721237089757
"result.2755",2,12,10,132.83223156,122.80715748,103.38357645,1686470.31056632,1496,22,0.852297534558918
"result.3153",0,5,12,133.06535193,119.758816737,105.818637011,1686299.24906993,1497,22.5,0.851269965685526
"result.3826",1,15,14,130.693266015,123.260473635,104.678492685,1686298.69409216,1484,21.5,0.851266631926045
"result.3969",0,8,15,131.5790973,120.30088896,106.5164121,1686057.0612866,1489,22,0.849815140181756
"result.1729",0,12,6,133.06535193,124.194328468,102.016769813,1685925.26387386,1497,22.5,0.8490234312246
"result.2545",0,15,9,131.5790973,124.68685887,102.75700932,1685850.43664673,1489,22,0.848573942993176
"result.4021",4,11,15,132.55146411,120.782876175,105.29789205,1685813.67897836,1494,21.5,0.848353139149663
"result.2740",3,11,10,133.45879869,122.18059035,103.38357645,1685780.33185821,1499,22,0.848152822518479
"result.3811",2,14,14,131.31266538,122.64107427,104.678492685,1685776.60775947,1487,21.5,0.848130451803698
"result.2530",1,14,9,132.20566443,124.06029174,102.75700932,1685366.34463334,1492,22,0.845665995294216
"result.3954",1,7,15,132.20566443,119.67432183,106.5164121,1685262.54034998,1492,22,0.845042441468524
"result.3796",3,13,14,131.932064745,122.021674905,104.678492685,1685174.20045252,1491,21.5,0.844511782431756
"result.2913",0,6,11,133.06535193,120.39246127,105.184992478,1685070.44056856,1497,22.5,0.84388849531391
"result.4006",5,10,15,133.170863475,120.16347681,105.29789205,1685005.71651539,1497,21.5,0.843499696994003
"result.3729",0,9,14,131.5790973,120.92745609,105.88984497,1684868.96960738,1488,22,0.842678256347418
"result.2515",2,13,9,132.83223156,123.43372461,102.75700932,1684801.57061771,1495,22,0.842273389645429
"result.3781",4,12,14,132.55146411,121.40227554,104.678492685,1684491.47217132,1494,21.5,0.840410623810223
"result.3939",2,6,15,132.83223156,119.0477547,106.5164121,1684384.38563056,1495,22,0.839767353417058
"result.3571",2,15,13,131.31266538,123.260473635,104.05909332,1684265.24268169,1487,21.5,0.839051660006639
"result.2898",1,5,11,133.698996463,119.758816737,105.184992478,1684183.56138932,1500,22.5,0.838560999306567
"result.2500",3,12,9,133.45879869,122.80715748,102.75700932,1684156.11459985,1499,22,0.838396126046815
"result.3714",1,8,14,132.20566443,120.30088896,105.88984497,1684120.69323302,1492,22,0.838183349385916
"result.4088",7,15,15,132.83813193,121.81930071,104.0667393,1684033.81921747,1495,21,0.837661495922864
