"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.3041",0,14,11,133.45028922,112.63694136,112.02478407,1683892.96902383,1499,21,1
"result.3281",0,13,12,133.45028922,112.02478407,112.63694136,1683892.96902383,1499,21,1
"result.4083",2,15,15,133.06013908,111.89148059,113.101118218,1683882.92247395,1496,20.5,0.999936827257453
"result.2801",0,15,10,133.45028922,113.24909865,111.41262678,1683792.95162249,1499,21,0.999371090212784
"result.3521",0,12,13,133.45028922,111.41262678,113.24909865,1683792.95162249,1499,21,0.999371090212784
"result.3761",0,11,14,133.45028922,110.80046949,113.86125594,1683592.9168198,1498,21,0.998113270638355
"result.4001",0,10,15,133.45028922,110.1883122,114.47341323,1683292.86461577,1498,21,0.996226541276711
"result.3828",3,15,14,133.664957894,111.89148059,112.496299404,1682491.28369505,1499,20.5,0.991186197501416
"result.4068",3,14,15,133.664957894,111.286661776,113.101118218,1682393.49286194,1499,20.5,0.990571288383423
"result.4082",1,15,15,132.455320266,111.89148059,113.101118218,1676228.90918998,1490,20.5,0.951808363599248
"result.3827",2,15,14,133.06013908,111.89148059,112.496299404,1674878.2009634,1492,20.5,0.943315105306624
"result.4067",2,14,15,133.06013908,111.286661776,113.101118218,1674780.85262274,1492,20.5,0.94270297858283
"result.3025",0,13,11,133.45028922,112.02478407,112.02478407,1674741.37680088,1494,21,0.942454754469848
"result.2785",0,14,10,133.45028922,112.63694136,111.41262678,1674691.3681002,1494,21,0.942140299576241
"result.3265",0,12,12,133.45028922,111.41262678,112.63694136,1674691.3681002,1494,21,0.942140299576241
"result.2545",0,15,9,133.45028922,113.24909865,110.80046949,1674541.34199819,1494,21,0.94119693489542
"result.3505",0,11,13,133.45028922,110.80046949,113.24909865,1674541.34199819,1494,21,0.94119693489542
"result.3745",0,10,14,133.45028922,110.1883122,113.86125594,1674291.29849483,1494,21,0.939624660427382
"result.3985",0,9,15,133.45028922,109.57615491,114.47341323,1673941.23759013,1494,21,0.937423476172131
"result.3572",3,15,13,133.664957894,111.89148059,111.89148059,1673445.63163217,1495,20.5,0.934307104087174
"result.3812",3,14,14,133.664957894,111.286661776,112.496299404,1673396.73621562,1495,20.5,0.933999649528177
"result.4052",3,13,15,133.664957894,110.681842962,113.101118218,1673250.04996595,1495,20.5,0.93307728585119
"result.2770",1,13,10,134.06244651,112.02478407,111.41262678,1673230.10469066,1497,21,0.932951869886888
"result.3010",1,12,11,134.06244651,111.41262678,112.02478407,1673230.10469066,1497,21,0.932951869886888
"result.2530",1,14,9,134.06244651,112.63694136,110.80046949,1673129.6284939,1497,21,0.932320075192393
"result.3250",1,11,12,134.06244651,110.80046949,112.63694136,1673129.6284939,1497,21,0.932320075192393
"result.2290",1,15,8,134.06244651,113.24909865,110.1883122,1672928.67610037,1497,21,0.931056485803401
"result.3490",1,10,13,134.06244651,110.1883122,113.24909865,1672928.67610037,1497,21,0.931056485803401
"result.3730",1,9,14,134.06244651,109.57615491,113.86125594,1672627.24751009,1497,21,0.929161101719916
"result.3970",1,8,15,134.06244651,108.96399762,114.47341323,1672225.34272303,1497,21,0.926633922941933
"result.3317",4,15,12,134.269776708,111.89148059,111.286661776,1671931.20119631,1498,20.5,0.924784359940897
"result.3557",4,14,13,134.269776708,111.286661776,111.89148059,1671931.20119631,1498,20.5,0.924784359940897
"result.3797",4,13,14,134.269776708,110.681842962,112.496299404,1671832.96787074,1498,20.5,0.924166668428706
"result.2755",2,12,10,134.6746038,111.41262678,111.41262678,1671685.34051486,1500,21,0.923238387072429
"result.4037",4,12,15,134.269776708,110.077024148,113.101118218,1671636.5012196,1498,20.5,0.922931285404325
"result.2515",2,13,9,134.6746038,112.02478407,110.80046949,1671634.87301877,1500,21,0.922921047271542
"result.2995",2,11,11,134.6746038,110.80046949,112.02478407,1671634.87301877,1500,21,0.922921047271542
"result.2275",2,14,8,134.6746038,112.63694136,110.1883122,1671483.4705305,1500,21,0.921969027868876
"result.3235",2,10,12,134.6746038,110.1883122,112.63694136,1671483.4705305,1500,21,0.921969027868876
"result.2035",2,15,7,134.6746038,113.24909865,109.57615491,1671231.13305004,1500,21,0.920382328864435
"result.3475",2,9,13,134.6746038,109.57615491,113.24909865,1671231.13305004,1500,21,0.920382328864435
"result.3715",2,8,14,134.6746038,108.96399762,113.86125594,1670877.86057741,1500,21,0.918160950258218
"result.3955",2,7,15,134.6746038,108.35184033,114.47341323,1670423.65311259,1499,21,0.915304892050225
"result.3302",5,14,12,134.874595522,111.286661776,111.286661776,1670384.24756481,1500,20.5,0.915057109820991
"result.3062",5,15,11,134.874595522,111.89148059,110.681842962,1670334.9096558,1500,20.5,0.914746872867796
"result.3542",5,13,13,134.874595522,110.681842962,111.89148059,1670334.9096558,1500,20.5,0.914746872867796
"result.3782",5,12,14,134.874595522,110.077024148,112.496299404,1670186.89592876,1500,20.5,0.913816162008211
"result.4022",5,11,15,134.874595522,109.472205334,113.101118218,1669940.20638369,1500,20.5,0.912264977242236
"result.4081",0,15,15,131.850501452,111.89148059,113.101118218,1668574.89590601,1483,20.5,0.903679899941042
"result.1233",0,13,4,135.02906157,113.350083795,109.01428824,1668524.23281496,1500,21.5,0.903361330238352
"result.2913",0,6,11,135.02906157,109.01428824,113.350083795,1668524.23281496,1500,21.5,0.903361330238352
"result.993",0,14,3,135.02906157,113.96948316,108.394888875,1668109.79559866,1500,21.5,0.90075534749921
"result.3153",0,5,12,135.02906157,108.394888875,113.96948316,1668109.79559866,1500,21.5,0.90075534749921
"result.753",0,15,2,135.02906157,114.588882525,107.77548951,1667591.74907829,1500,21.5,0.897497869075282
"result.3393",0,4,13,135.02906157,107.77548951,114.588882525,1667591.74907829,1500,21.5,0.897497869075282
"result.3826",1,15,14,132.455320266,111.89148059,112.496299404,1667265.11823175,1486,20.5,0.895444013111831
"result.4066",1,14,15,132.455320266,111.286661776,113.101118218,1667168.21238355,1486,20.5,0.894834668782237
