"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.3825",0,15,14,139.72446999,104.01014358,110.90238201,1611717.94353455,1500,22,1
"result.4065",0,14,15,139.72446999,103.38357645,111.52894914,1611059.69646755,1500,22,0.995935317473579
"result.3569",0,15,13,139.72446999,104.01014358,110.27581488,1602612.19244113,1496,22,0.943771891717831
"result.3809",0,14,14,139.72446999,103.38357645,110.90238201,1602008.79929639,1496,22,0.940045932735277
"result.4049",0,13,15,139.72446999,102.75700932,111.52894914,1601295.69830714,1495,22,0.935642526664986
"result.3314",1,15,12,140.35103712,104.01014358,109.64924775,1600652.210143,1498,22,0.931668980518081
"result.3554",1,14,13,140.35103712,103.38357645,110.27581488,1600101.21110336,1498,22,0.928266555682809
"result.3794",1,13,14,140.35103712,102.75700932,110.90238201,1599440.0122558,1498,22,0.924183645880485
"result.4034",1,12,15,140.35103712,102.13044219,111.52894914,1598668.61360031,1497,22,0.919420251111105
"result.3299",2,14,12,140.97760425,103.38357645,109.64924775,1598112.44894467,1500,22,0.915985928543003
"result.3539",2,13,13,140.97760425,102.75700932,110.27581488,1597503.64420222,1500,22,0.91222655288796
"result.3779",2,12,14,140.97760425,102.13044219,110.90238201,1596784.14768841,1500,22,0.907783654386547
"result.4019",2,11,15,140.97760425,101.50387506,111.52894914,1595953.95940324,1499,22,0.902657233038761
"result.4085",4,15,15,140.603655855,102.82029459,110.25308697,1593918.88007284,1497,21.5,0.890090596878961
"result.3313",0,15,12,139.72446999,104.01014358,109.64924775,1593506.44134771,1492,22,0.88754378343566
"result.3553",0,14,13,139.72446999,103.38357645,110.27581488,1592957.90212522,1491,22,0.884156547996975
"result.3793",0,13,14,139.72446999,102.75700932,110.90238201,1592299.65505823,1491,22,0.880091865470553
"result.3830",5,15,14,141.22305522,102.82029459,109.633687605,1591946.50111913,1499,21.5,0.877911136201311
"result.1777",0,15,6,141.302730859,105.184992478,107.085926077,1591610.26801272,1499,22.5,0.875834893250975
"result.4033",0,12,15,139.72446999,102.13044219,111.52894914,1591531.70014673,1491,22,0.875349735856394
"result.3058",1,15,11,140.35103712,104.01014358,109.02268062,1591505.62608504,1494,22,0.875188728252582
"result.2017",0,14,7,141.302730859,104.551347945,107.71957061,1591383.3327781,1499,22.5,0.874433565802596
"result.4070",5,14,15,141.22305522,102.200895225,110.25308697,1591296.32897246,1499,21.5,0.873896316392389
"result.2257",0,13,8,141.302730859,103.917703412,108.353215143,1591042.92992617,1499,22.5,0.872331574630031
"result.3298",1,14,12,140.35103712,103.38357645,109.64924775,1591009.72694936,1494,22,0.872126545900838
"result.2497",0,12,9,141.302730859,103.284058879,108.986859676,1590589.05945693,1499,22.5,0.869528919733275
"result.3538",1,13,13,140.35103712,102.75700932,110.27581488,1590403.62800576,1494,22,0.868383878582041
"result.2737",0,11,10,141.302730859,102.650414346,109.620504209,1590021.72137037,1498,22.5,0.866025601112333
"result.3778",1,12,14,140.35103712,102.13044219,110.90238201,1589687.32925424,1493,22,0.863960726296187
"result.2803",2,15,10,140.97760425,104.01014358,108.39611349,1589423.14489327,1496,22,0.862329385102849
"result.2977",0,10,11,141.302730859,102.016769813,110.254148742,1589340.91566651,1498,22.5,0.8618216187672
"result.3043",2,14,11,140.97760425,103.38357645,109.02268062,1588980.37780785,1496,22,0.859595293717362
"result.4018",1,11,15,140.35103712,101.50387506,111.52894914,1588860.83069478,1493,22,0.858857089043282
"result.3217",0,9,12,141.302730859,101.38312528,110.887793275,1588546.64234534,1498,22.5,0.856916972697879
"result.3283",2,13,12,140.97760425,102.75700932,109.64924775,1588426.91895107,1496,22,0.856177679485505
"result.3523",2,12,13,140.97760425,102.13044219,110.27581488,1587762.76832294,1496,22,0.852076542407276
"result.3457",0,8,13,141.302730859,100.749480747,111.521437808,1587638.90140686,1497,22.5,0.851311662904369
"result.2722",1,10,10,141.936375392,102.016769813,109.620504209,1587292.90149757,1500,22.5,0.849175109844063
"result.2548",3,15,9,141.60417138,104.01014358,107.76954636,1587258.99777241,1499,22,0.848965753986458
"result.3763",2,11,14,140.97760425,101.50387506,110.90238201,1586987.92592345,1495,22,0.847291882482677
"result.4084",3,15,15,139.98425649,102.82029459,110.25308697,1586897.21099763,1490,21.5,0.846731716866524
"result.2788",3,14,10,141.60417138,103.38357645,108.39611349,1586869.85470067,1499,22,0.846562791446548
"result.3697",0,7,14,141.302730859,100.115836214,112.155082341,1586617.69285106,1497,22.5,0.845005689386671
"result.2962",1,9,11,141.936375392,101.38312528,110.254148742,1586552.05463298,1500,22.5,0.844600372703171
"result.3028",3,13,11,141.60417138,102.75700932,109.02268062,1586369.52789414,1498,22,0.843473268180948
"result.4003",2,10,15,140.97760425,100.87730793,111.52894914,1586102.3917526,1495,22,0.841823699711705
"result.3268",3,12,12,141.60417138,102.13044219,109.64924775,1585758.01735283,1498,22,0.839697184189661
"result.3202",1,8,12,141.936375392,100.749480747,110.887793275,1585697.23132768,1500,22.5,0.839321829848297
"result.3937",0,6,15,141.302730859,99.482191681,112.788726874,1585483.01667796,1496,22.5,0.837999052144784
"result.3508",3,11,13,141.60417138,101.50387506,110.27581488,1585035.32307674,1498,22,0.835234539472685
"result.3829",4,15,14,140.603655855,102.82029459,109.633687605,1584964.27962299,1492,21.5,0.834795845402428
"result.3442",1,7,13,141.936375392,100.115836214,111.521437808,1584728.43158167,1499,22.5,0.833339481279438
"result.3057",0,15,11,139.72446999,104.01014358,109.02268062,1584400.6902543,1487,22,0.831315675153489
"result.4069",4,14,15,140.603655855,102.200895225,110.25308697,1584316.95910854,1492,21.5,0.830798634452317
"result.3748",3,10,14,141.60417138,100.87730793,110.90238201,1584201.44506586,1497,22,0.83008533403002
"result.3297",0,14,12,139.72446999,103.38357645,109.64924775,1583907.00495405,1487,22,0.828267163258673
"result.3013",4,12,11,142.23073851,102.13044219,109.02268062,1583673.07634392,1500,22,0.826822651643341
"result.3682",1,6,14,141.936375392,99.482191681,112.155082341,1583645.65539496,1499,22.5,0.826653326996597
"result.3537",0,13,13,139.72446999,102.75700932,110.27581488,1583303.61180931,1487,22,0.824541204276119
"result.3988",3,9,15,141.60417138,100.2507408,111.52894914,1583256.3833202,1497,22,0.824249567861668
"result.3253",4,11,12,142.23073851,101.50387506,109.64924775,1583003.02215465,1500,22,0.822685060013306
"result.3574",5,15,13,141.22305522,102.82029459,109.01428824,1582952.45309021,1495,21.5,0.822372795511224
"result.3777",0,12,14,139.72446999,102.13044219,110.90238201,1582590.51082007,1487,22,0.820137798205828
"result.3922",1,5,15,141.936375392,98.848547148,112.788726874,1582448.90276755,1498,22.5,0.819263366999774
"result.2802",1,15,10,140.35103712,104.01014358,108.39611349,1582359.04202708,1490,22,0.818708475987084
"result.3814",5,14,14,141.22305522,102.200895225,109.633687605,1582356.46195576,1494,21.5,0.818692544019711
"result.3493",4,10,13,142.23073851,100.87730793,110.27581488,1582221.29226717,1500,22,0.817857869778266
"result.1521",0,15,5,141.302730859,105.184992478,106.452281544,1582192.45577596,1495,22.5,0.817679804143311
"result.1761",0,14,6,141.302730859,104.551347945,107.085926077,1582022.25434999,1495,22.5,0.816628808557028
"result.3042",1,14,11,140.35103712,103.38357645,109.02268062,1581918.24279537,1490,22,0.815986536118867
"result.4017",0,11,15,139.72446999,101.50387506,111.52894914,1581767.70198632,1486,22,0.815056945047801
"result.2001",0,13,7,141.302730859,103.917703412,107.71957061,1581738.58530672,1495,22.5,0.814877149246556
"result.4054",5,13,15,141.22305522,101.58149586,110.25308697,1581652.10879687,1494,21.5,0.814343155893379
"result.3282",1,13,12,140.35103712,102.75700932,109.64924775,1581367.24375573,1489,22,0.812584111283595
