"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4082",1,15,15,130.23269037,113.21736399,116.48954214,1717591.92541799,1495,24,1
"result.3827",2,15,14,130.887126,113.21736399,115.83510651,1716525.15837042,1498,24,0.993381974487737
"result.4067",2,14,15,130.887126,112.56292836,116.48954214,1716244.87275623,1498,24,0.991643134363653
"result.2801",0,15,10,130.920531588,114.390161438,114.390161438,1713109.43059357,1497,24.5,0.972191430946388
"result.3041",0,14,11,130.920531588,113.728946632,115.051376244,1713052.19147998,1497,24.5,0.9718363300695
"result.3281",0,13,12,130.920531588,113.067731826,115.71259105,1712880.47413922,1497,24.5,0.970771027438838
"result.3521",0,12,13,130.920531588,112.40651702,116.373805856,1712594.27857127,1497,24.5,0.968995523054399
"result.3761",0,11,14,130.920531588,111.745302214,117.035020662,1712193.60477615,1497,24.5,0.966509816916185
"result.2546",1,15,9,131.581746394,114.390161438,113.728946632,1711809.11982124,1500,24.5,0.964124543349212
"result.2786",1,14,10,131.581746394,113.728946632,114.390161438,1711809.11982124,1500,24.5,0.964124543349212
"result.3026",1,13,11,131.581746394,113.067731826,115.051376244,1711694.0634212,1500,24.5,0.963410754717892
"result.4001",0,10,15,130.920531588,111.084087408,117.696235468,1711678.45275385,1496,24.5,0.963313909024196
"result.3266",1,12,12,131.581746394,112.40651702,115.71259105,1711463.95062111,1500,24.5,0.961983177455254
"result.3506",1,11,13,131.581746394,111.745302214,116.373805856,1711118.78142099,1500,24.5,0.959841811561294
"result.3746",1,10,14,131.581746394,111.084087408,117.035020662,1710658.55582082,1500,24.5,0.956986657036015
"result.3986",1,9,15,131.581746394,110.422872602,117.696235468,1710083.27382061,1500,24.5,0.953417713879417
"result.4081",0,15,15,129.57825474,113.21736399,116.48954214,1708960.81021489,1488,24,0.946454157218968
"result.3826",1,15,14,130.23269037,113.21736399,115.83510651,1707942.53257856,1491,24,0.940136951048172
"result.4066",1,14,15,130.23269037,112.56292836,116.48954214,1707663.64839245,1491,24,0.938406805124709
"result.3571",2,15,13,130.887126,113.21736399,115.18067088,1706827.27611974,1494,24,0.933218106194443
"result.3811",2,14,14,130.887126,112.56292836,115.83510651,1706603.04762839,1494,24,0.931827034095176
"result.4051",2,13,15,130.887126,111.90849273,116.48954214,1706266.70489137,1494,24,0.929740425946277
"result.3316",3,15,12,131.54156163,113.21736399,114.52623525,1705615.0408384,1497,24,0.925697622657782
"result.3556",3,14,13,131.54156163,112.56292836,115.18067088,1705446.02861305,1497,24,0.924649102062959
"result.3796",3,13,14,131.54156163,111.90849273,115.83510651,1705164.3415708,1497,24,0.922901567738255
"result.4036",3,12,15,131.54156163,111.2540571,116.48954214,1704769.97971164,1497,24,0.92045501968367
"result.3301",4,14,12,132.19599726,112.56292836,114.52623525,1704192.59134643,1500,24,0.916873009028057
"result.3541",4,13,13,132.19599726,111.90849273,115.18067088,1703966.12057017,1500,24,0.915468026207797
"result.3781",4,12,14,132.19599726,111.2540571,115.83510651,1703626.41440578,1500,24,0.913360551977408
"result.2545",0,15,9,130.920531588,114.390161438,113.728946632,1703207.06394274,1493,24.5,0.910758979244818
"result.2785",0,14,10,130.920531588,113.728946632,114.390161438,1703207.06394274,1493,24.5,0.910758979244818
"result.4021",4,11,15,132.19599726,110.59962147,116.48954214,1703173.47285327,1500,24,0.910550586336889
"result.3025",0,13,11,130.920531588,113.067731826,115.051376244,1703092.58571556,1493,24.5,0.910048777491042
"result.3425",0,6,13,132.250932,109.541176,117.556384,1703030.2383041,1500,25,0.909661985678688
"result.3265",0,12,12,130.920531588,112.40651702,115.71259105,1702863.62926121,1493,24.5,0.908628373983492
"result.3505",0,11,13,130.920531588,111.745302214,116.373805856,1702520.19457968,1492,24.5,0.906497768722165
"result.3665",0,5,14,132.250932,108.873242,118.224318,1702263.21387582,1500,25,0.904903507952513
"result.3745",0,10,14,130.920531588,111.084087408,117.035020662,1702062.28167097,1492,24.5,0.903656961707064
"result.2530",1,14,9,131.581746394,113.728946632,113.728946632,1701914.26941765,1496,24.5,0.902738721055718
"result.2290",1,15,8,131.581746394,114.390161438,113.067731826,1701856.74121763,1496,24.5,0.902381826740058
"result.2770",1,13,10,131.581746394,113.067731826,114.390161438,1701856.74121763,1496,24.5,0.902381826740058
"result.3010",1,12,11,131.581746394,112.40651702,115.051376244,1701684.15661756,1496,24.5,0.901311143793079
"result.3985",0,9,15,130.920531588,110.422872602,117.696235468,1701489.89053508,1492,24.5,0.900105952938187
"result.3250",1,11,12,131.581746394,111.745302214,115.71259105,1701396.51561746,1496,24.5,0.89952667221478
"result.3905",0,4,15,132.250932,108.205308,118.892252,1701378.18568934,1500,25,0.899412956730001
"result.3490",1,10,13,131.581746394,111.084087408,116.373805856,1700993.81821731,1496,24.5,0.897028412005161
"result.2275",2,14,8,132.2429612,113.728946632,113.067731826,1700522.02915986,1499,24.5,0.894101519928996
"result.2515",2,13,9,132.2429612,113.067731826,113.728946632,1700522.02915986,1499,24.5,0.894101519928996
"result.3730",1,9,14,131.581746394,110.422872602,117.035020662,1700476.06441713,1495,24.5,0.893816363164222
"result.2035",2,15,7,132.2429612,114.390161438,112.40651702,1700406.39458695,1499,24.5,0.893384144420131
