"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4081",0,15,15,133.400743756,109.440415994,115.268603828,1682856.24597608,1498,23.5,1
"result.3825",0,15,14,133.400743756,109.440415994,114.621027402,1673401.99740318,1494,23.5,0.94342094143497
"result.4065",0,14,15,133.400743756,108.792839568,115.268603828,1672898.51670995,1493,23.5,0.940407855475886
"result.3570",1,15,13,134.048320182,109.440415994,113.973450976,1672025.16508674,1497,23.5,0.935181272711908
"result.3810",1,14,14,134.048320182,108.792839568,114.621027402,1671575.45417628,1496,23.5,0.932489972631949
"result.4050",1,13,15,134.048320182,108.145263142,115.268603828,1671013.31553821,1496,23.5,0.929125847532
"result.3315",2,15,12,134.695896608,109.440415994,113.32587455,1670556.5439492,1500,23.5,0.926392292740641
"result.3555",2,14,13,134.695896608,108.792839568,113.973450976,1670161.14595064,1499,23.5,0.924026028902223
"result.3795",2,13,14,134.695896608,108.145263142,114.621027402,1669652.77709534,1499,23.5,0.9209836896814
"result.4035",2,12,15,134.695896608,107.497686716,115.268603828,1669031.4373833,1499,23.5,0.917265275078172
"result.2289",0,15,8,134.81373978,110.59962147,111.90849273,1668594.63663169,1499,24,0.914651235991309
"result.2529",0,14,9,134.81373978,109.94518584,112.56292836,1668421.42012213,1499,24,0.913614619811453
"result.2769",0,13,10,134.81373978,109.29075021,113.21736399,1668132.72593952,1499,24,0.911886926178356
"result.3009",0,12,11,134.81373978,108.63631458,113.87179962,1667728.55408387,1499,24,0.909468155092022
"result.3249",0,11,12,134.81373978,107.98187895,114.52623525,1667208.90455518,1499,24,0.90635830655245
"result.3489",0,10,13,134.81373978,107.32744332,115.18067088,1666573.77735344,1498,24,0.90255738055964
"result.3729",0,9,14,134.81373978,106.67300769,115.83510651,1665823.17247867,1498,24,0.898065377113591
"result.3969",0,8,15,134.81373978,106.01857206,116.48954214,1664957.08993084,1498,24,0.892882296214304
"result.3569",0,15,13,133.400743756,109.440415994,113.973450976,1663947.74883028,1489,23.5,0.88684188286994
"result.3809",0,14,14,133.400743756,108.792839568,114.621027402,1663500.2104363,1489,23.5,0.884163584239642
"result.4049",0,13,15,133.400743756,108.145263142,115.268603828,1662940.78744382,1489,23.5,0.880815710951772
"result.3954",1,7,15,135.46817541,105.36413643,116.48954214,1662712.00216125,1500,24,0.87944654281518
"result.3314",1,15,12,134.048320182,109.440415994,113.32587455,1662525.02210329,1492,23.5,0.878327558522776
"result.3554",1,14,13,134.048320182,108.792839568,113.973450976,1662131.52505664,1492,23.5,0.875972670952811
"result.3794",1,13,14,134.048320182,108.145263142,114.621027402,1661625.60028238,1492,23.5,0.872944958362858
"result.4085",4,15,15,134.5371195,108.27034855,114.0362251,1661095.08221618,1494,23,0.869770066936442
"result.3059",2,15,11,134.695896608,109.440415994,112.678298124,1661010.50655521,1495,23.5,0.869263922927406
"result.4034",1,12,15,134.048320182,107.497686716,115.268603828,1661007.2477805,1492,23.5,0.869244420752914
"result.3299",2,14,12,134.695896608,108.792839568,113.32587455,1660671.59398501,1495,23.5,0.867235696780192
"result.3539",2,13,13,134.695896608,108.145263142,113.973450976,1660219.71055807,1495,23.5,0.864531395250571
"result.3779",2,12,14,134.695896608,107.497686716,114.621027402,1659654.85627441,1495,23.5,0.861151018338545
"result.3830",5,15,14,135.17777245,108.27034855,113.39557215,1659628.62588356,1497,23,0.860994042264964
"result.2804",3,15,10,135.343473034,109.440415994,112.030721698,1659404.20218603,1498,23.5,0.859650976083833
"result.4070",5,14,15,135.17777245,107.6296956,114.0362251,1659129.28921947,1497,23,0.8580057562956
"result.3044",3,14,11,135.343473034,108.792839568,112.678298124,1659120.4172214,1498,23.5,0.857952661721783
"result.4019",2,11,15,134.695896608,106.85011029,115.268603828,1658977.031134,1494,23.5,0.857094566044114
"result.2033",0,15,7,134.81373978,110.59962147,111.2540571,1658836.77325958,1495,24,0.856255191192674
"result.3284",3,13,12,135.343473034,108.145263142,113.32587455,1658723.11827091,1498,23.5,0.85557502161491
"result.2273",0,14,8,134.81373978,109.94518584,111.90849273,1658721.29558653,1495,24,0.855564113739435
"result.2513",0,13,9,134.81373978,109.29075021,112.56292836,1658490.34024045,1495,24,0.854181958832959
"result.3524",3,12,13,135.343473034,107.497686716,113.973450976,1658212.30533458,1498,23.5,0.852518055763218
"result.2753",0,12,10,134.81373978,108.63631458,113.21736399,1658143.90722132,1495,24,0.852108726473245
