"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4033",0,12,15,138.58238058,112.96210854,103.64564598,1622526.76781905,1499,19,1
"result.3793",0,13,14,138.58238058,113.54438745,103.06336707,1621728.00275902,1499,19,0.994762120525601
"result.3553",0,14,13,138.58238058,114.12666636,102.48108816,1620835.26533899,1498,19,0.988908019936566
"result.3313",0,15,12,138.58238058,114.70894527,101.89880925,1619848.55555895,1498,19,0.982437698232897
"result.3298",1,14,12,139.16465949,114.12666636,101.89880925,1618397.51176478,1500,19,0.972922519256911
"result.3058",1,15,11,139.16465949,114.70894527,101.31653034,1617359.47254441,1500,19,0.966115606188103
"result.4017",0,11,15,138.58238058,112.37982963,103.64564598,1614163.22777874,1495,19,0.945156320797464
"result.3777",0,12,14,138.58238058,112.96210854,103.06336707,1613411.44889872,1495,19,0.940226551880382
"result.3537",0,13,13,138.58238058,113.54438745,102.48108816,1612565.69765869,1494,19,0.934680561848664
"result.4002",1,10,15,139.16465949,111.79755072,103.64564598,1612546.74524995,1498,19,0.934556281959997
"result.3762",1,11,14,139.16465949,112.37982963,103.06336707,1611838.99123605,1497,19,0.92991520486763
"result.3297",0,14,12,138.58238058,114.12666636,101.89880925,1611625.97405865,1494,19,0.928518350702312
"result.3522",1,12,13,139.16465949,112.96210854,102.48108816,1611036.87002031,1497,19,0.924655317496279
"result.3987",2,9,15,139.7469384,111.21527181,103.64564598,1610859.98087207,1500,19,0.92349537186873
"result.3057",0,15,11,138.58238058,114.70894527,101.31653034,1610592.27809861,1493,19,0.921739918441324
"result.3747",2,10,14,139.7469384,111.79755072,103.06336707,1610196.64656616,1500,19,0.919145575765423
"result.3282",1,13,12,139.16465949,113.54438745,101.89880925,1610140.38160272,1496,19,0.918776619845945
"result.4085",4,15,15,139.045735026,113.190123141,102.273309234,1609639.10048992,1496,18.5,0.915489483010581
"result.3507",2,11,13,139.7469384,112.37982963,102.48108816,1609438.55021656,1499,19,0.914174380218785
"result.3042",1,14,11,139.16465949,114.12666636,101.31653034,1609149.52598327,1496,19,0.912279111916629
"result.3267",2,12,12,139.7469384,112.96210854,101.89880925,1608585.69182325,1499,19,0.908581785228817
