"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4081",0,15,15,122.64107427,122.64107427,121.40227554,1825991.36412665,1496,21.5,1
"result.4066",1,14,15,123.260473635,122.021674905,121.40227554,1825944.78746702,1500,21.5,0.999729471267808
"result.3826",1,15,14,123.260473635,122.64107427,120.782876175,1825850.20833165,1500,21.5,0.999180132311624
"result.4065",0,14,15,122.64107427,122.021674905,121.40227554,1816769.18551995,1492,21.5,0.946435311026061
"result.4050",1,13,15,123.260473635,121.40227554,121.40227554,1816676.03220069,1496,21.5,0.945894253561679
"result.3825",0,15,14,122.64107427,122.64107427,120.782876175,1816675.08165661,1492,21.5,0.945888732567144
"result.3810",1,14,14,123.260473635,122.021674905,120.782876175,1816628.742633,1496,21.5,0.945619584083586
"result.3795",2,13,14,123.879873,121.40227554,120.782876175,1816489.72556217,1500,21.5,0.944812138632912
"result.4035",2,12,15,123.879873,120.782876175,121.40227554,1816489.72556217,1500,21.5,0.944812138632912
"result.3570",1,15,13,123.260473635,122.64107427,120.16347681,1816486.87392995,1496,21.5,0.944795575649308
"result.3555",2,14,13,123.879873,122.021674905,120.16347681,1816394.67115476,1500,21.5,0.94426003917946
"result.3315",2,15,12,123.879873,122.64107427,119.544077445,1816204.56233994,1499,21.5,0.943155840272555
"result.3233",0,10,12,124.06029174,120.92745609,120.92745609,1814189.42813684,1500,22,0.931451443574845
"result.2993",0,11,11,124.06029174,121.55402322,120.30088896,1814140.72375745,1500,22,0.931168556521223
"result.3473",0,9,13,124.06029174,120.30088896,121.55402322,1814140.72375745,1500,22,0.931168556521223
"result.2753",0,12,10,124.06029174,122.18059035,119.67432183,1813994.61061926,1500,22,0.930319895360352
"result.3713",0,8,14,124.06029174,119.67432183,122.18059035,1813994.61061926,1500,22,0.930319895360352
"result.2513",0,13,9,124.06029174,122.80715748,119.0477547,1813751.08872227,1500,22,0.928905460092236
"result.3953",0,7,15,124.06029174,119.0477547,122.80715748,1813751.08872227,1500,22,0.928905460092236
"result.2273",0,14,8,124.06029174,123.43372461,118.42118757,1813410.1580665,1499,22,0.926925250716872
"result.2033",0,15,7,124.06029174,124.06029174,117.79462044,1812971.81865193,1499,22,0.924379267234262
"result.4049",0,13,15,122.64107427,121.40227554,121.40227554,1807547.00691325,1488,21.5,0.892870622052123
"result.3809",0,14,14,122.64107427,122.021674905,120.782876175,1807499.95498158,1488,21.5,0.892597332822664
"result.3794",1,13,14,123.260473635,121.40227554,120.782876175,1807407.27693436,1492,21.5,0.892059035855548
"result.4034",1,12,15,123.260473635,120.782876175,121.40227554,1807407.27693436,1492,21.5,0.892059035855548
"result.3569",0,15,13,122.64107427,122.64107427,120.16347681,1807358.79918658,1488,21.5,0.891777465134288
"result.3554",1,14,13,123.260473635,122.021674905,120.16347681,1807312.69779899,1492,21.5,0.891509696899363
"result.3779",2,12,14,123.879873,120.782876175,120.782876175,1807221.92083991,1496,21.5,0.890982441921316
"result.4086",5,15,15,124.26792987,121.20714342,119.98282884,1807200.66101814,1498,21,0.890858959630471
"result.3539",2,13,13,123.879873,121.40227554,120.16347681,1807174.39363621,1496,21.5,0.890706392194591
"result.4019",2,11,15,123.879873,120.16347681,121.40227554,1807174.39363621,1496,21.5,0.890706392194591
"result.3314",1,15,12,123.260473635,122.64107427,119.544077445,1807123.53952824,1492,21.5,0.890411018986994
"result.3299",2,14,12,123.879873,122.021674905,119.544077445,1807031.8120251,1496,21.5,0.889878243014412
"result.3524",3,12,13,124.499272365,120.782876175,120.16347681,1806943.88669824,1499,21.5,0.889367551019969
"result.3764",3,11,14,124.499272365,120.16347681,120.782876175,1806943.88669824,1499,21.5,0.889367551019969
"result.3284",3,13,12,124.499272365,121.40227554,119.544077445,1806848.3570188,1499,21.5,0.888812691069249
"result.4004",3,10,15,124.499272365,119.544077445,121.40227554,1806848.3570188,1499,21.5,0.888812691069249
"result.3059",2,15,11,123.879873,122.64107427,118.92467808,1806794.17600658,1496,21.5,0.888497994380782
"result.3044",3,14,11,124.499272365,122.021674905,118.92467808,1806657.29765991,1499,21.5,0.88770297116781
"result.2804",3,15,10,124.499272365,122.64107427,118.305278715,1806370.70862158,1499,21.5,0.886038391315652
"result.2977",0,10,11,124.06029174,120.92745609,120.30088896,1804789.48291333,1496,22,0.876854242225547
"result.3217",0,9,12,124.06029174,120.30088896,120.92745609,1804789.48291333,1496,22,0.876854242225547
"result.2737",0,11,10,124.06029174,121.55402322,119.67432183,1804692.07415454,1496,22,0.8762884681183
"result.3457",0,8,13,124.06029174,119.67432183,121.55402322,1804692.07415454,1496,22,0.8762884681183
"result.2962",1,9,11,124.68685887,120.30088896,120.30088896,1804506.11197866,1499,22,0.875208353913557
"result.2497",0,12,9,124.06029174,122.18059035,119.0477547,1804497.25663696,1496,22,0.875156919903807
"result.3697",0,7,14,124.06029174,119.0477547,122.18059035,1804497.25663696,1496,22,0.875156919903807
"result.2722",1,10,10,124.68685887,120.92745609,119.67432183,1804457.16161755,1499,22,0.874924038137441
"result.3202",1,8,12,124.68685887,119.67432183,120.92745609,1804457.16161755,1499,22,0.874924038137441
"result.2482",1,11,9,124.68685887,121.55402322,119.0477547,1804310.31053422,1499,22,0.874071090809091
"result.3442",1,7,13,124.68685887,119.0477547,121.55402322,1804310.31053422,1499,22,0.874071090809091
"result.2257",0,13,8,124.06029174,122.80715748,118.42118757,1804205.03036058,1496,22,0.873459597582068
"result.3937",0,6,15,124.06029174,118.42118757,122.80715748,1804205.03036058,1496,22,0.873459597582068
"result.2242",1,12,8,124.68685887,122.18059035,118.42118757,1804065.55872867,1499,22,0.87264951192851
"result.3682",1,6,14,124.68685887,118.42118757,122.18059035,1804065.55872867,1499,22,0.87264951192851
"result.2017",0,14,7,124.06029174,123.43372461,117.79462044,1803815.39532541,1495,22,0.871196501153081
"result.2002",1,13,7,124.68685887,122.80715748,117.79462044,1803722.9062009,1499,22,0.870659301495696
"result.3922",1,5,15,124.68685887,117.79462044,122.80715748,1803722.9062009,1499,22,0.870659301495696
"result.1777",0,15,6,124.06029174,124.06029174,117.16805331,1803328.35153144,1495,22,0.868367630616848
"result.1762",1,14,6,124.68685887,123.43372461,117.16805331,1803282.3529509,1499,22,0.868100459510649
"result.1522",1,15,5,124.68685887,124.06029174,116.54148618,1802743.89897869,1499,22,0.864972985973368
"result.3793",0,13,14,122.64107427,121.40227554,120.782876175,1798324.82830655,1485,21.5,0.839305933078186
"result.4033",0,12,15,122.64107427,120.782876175,121.40227554,1798324.82830655,1485,21.5,0.839305933078186
"result.4085",4,15,15,123.65577258,121.20714342,119.98282884,1798298.1947077,1491,21,0.839151238564115
"result.3553",0,14,13,122.64107427,122.021674905,120.16347681,1798230.72444321,1485,21.5,0.838759354619267
"result.3778",1,12,14,123.260473635,120.782876175,120.782876175,1798185.81123571,1488,21.5,0.838498487627512
"result.3538",1,13,13,123.260473635,121.40227554,120.16347681,1798138.52166803,1488,21.5,0.838223818149419
"result.4018",1,11,15,123.260473635,120.16347681,121.40227554,1798138.52166803,1488,21.5,0.838223818149419
"result.4070",5,14,15,124.26792987,120.59498613,119.98282884,1798073.38495239,1494,21,0.837845488032137
"result.3313",0,15,12,122.64107427,122.64107427,119.544077445,1798042.51671654,1484,21.5,0.837666197701433
"result.3298",1,14,12,123.260473635,122.021674905,119.544077445,1797996.65296497,1488,21.5,0.837399809715141
"result.3830",5,15,14,124.26792987,121.20714342,119.37067155,1797980.24948233,1494,21,0.837304534240316
"result.3523",2,12,13,123.879873,120.782876175,120.16347681,1797954.11611766,1492,21.5,0.837152745209722
"result.3763",2,11,14,123.879873,120.16347681,120.782876175,1797954.11611766,1492,21.5,0.837152745209722
"result.3283",2,13,12,123.879873,121.40227554,119.544077445,1797859.06171025,1492,21.5,0.83660064575627
