"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4096",15,15,15,34.77320044,79.030001,79.030001,217184.405708258,274,40,1
"result.3840",15,15,14,34.77320044,79.030001,78.23970099,215012.561651176,273,40,0.980908992298514
"result.4080",15,14,15,34.77320044,78.23970099,79.030001,215012.561651176,273,40,0.980908992298514
"result.3824",15,14,14,34.77320044,78.23970099,78.23970099,212862.436034664,272,40,0.962008894674043
"result.3584",15,15,13,34.77320044,79.030001,77.44940098,212840.717594093,272,40,0.961817984597028
"result.4064",15,13,15,34.77320044,77.44940098,79.030001,212840.717594093,272,40,0.961817984597028
"result.4095",14,15,15,33.98290043,79.030001,79.030001,212248.396487616,268,40,0.956611346132986
"result.3568",15,14,13,34.77320044,78.23970099,77.44940098,210712.310418152,270,40,0.943108797049572
"result.3808",15,13,14,34.77320044,77.44940098,78.23970099,210712.310418152,270,40,0.943108797049572
"result.3328",15,15,12,34.77320044,79.030001,76.65910097,210668.87353701,270,40,0.942726976895542
"result.4048",15,12,15,34.77320044,76.65910097,79.030001,210668.87353701,270,40,0.942726976895542
"result.3839",14,15,14,33.98290043,79.030001,78.23970099,210125.91252274,267,40,0.93795422497017
"result.4079",14,14,15,33.98290043,78.23970099,79.030001,210125.91252274,267,40,0.93795422497017
"result.3552",15,13,13,34.77320044,77.44940098,77.44940098,208583.903242211,269,40,0.924399609502115
"result.3312",15,14,12,34.77320044,78.23970099,76.65910097,208562.18480164,269,40,0.9242086994251
"result.3792",15,12,14,34.77320044,76.65910097,78.23970099,208562.18480164,269,40,0.9242086994251
"result.3072",15,15,11,34.77320044,79.030001,75.86880096,208497.029479928,269,40,0.923635969194056
"result.4032",15,11,15,34.77320044,75.86880096,79.030001,208497.029479928,269,40,0.923635969194056
"result.3823",14,14,14,33.98290043,78.23970099,78.23970099,208024.653397512,265,40,0.919483675018982
"result.3583",14,15,13,33.98290043,79.030001,77.44940098,208003.428557864,265,40,0.919297103807354
"result.4063",14,13,15,33.98290043,77.44940098,79.030001,208003.428557864,265,40,0.919297103807354
"result.4094",13,15,15,33.19260042,79.030001,79.030001,207312.387266974,262,40,0.913222692265973
"result.3296",15,13,12,34.77320044,77.44940098,76.65910097,206455.49606627,267,40,0.905690421954659
"result.3536",15,12,13,34.77320044,76.65910097,77.44940098,206455.49606627,267,40,0.905690421954659
"result.3056",15,14,11,34.77320044,78.23970099,75.86880096,206412.059185129,267,40,0.905308601800629
"result.3776",15,11,14,34.77320044,75.86880096,78.23970099,206412.059185129,267,40,0.905308601800629
"result.2816",15,15,10,34.77320044,79.030001,75.07850095,206325.185422845,267,40,0.90454496149257
"result.4016",15,10,15,34.77320044,75.07850095,79.030001,206325.185422845,267,40,0.90454496149257
"result.3567",14,14,13,33.98290043,78.23970099,77.44940098,205923.394272285,264,40,0.901013125067795
"result.3807",14,13,14,33.98290043,77.44940098,78.23970099,205923.394272285,264,40,0.901013125067795
"result.3327",14,15,12,33.98290043,79.030001,76.65910097,205880.944592987,264,40,0.900639982644538
"result.4047",14,12,15,33.98290043,76.65910097,79.030001,205880.944592987,264,40,0.900639982644538
"result.3838",13,15,14,33.19260042,79.030001,78.23970099,205239.263394304,261,40,0.894999457641827
"result.4078",13,14,15,33.19260042,78.23970099,79.030001,205239.263394304,261,40,0.894999457641827
"result.3280",15,12,12,34.77320044,76.65910097,76.65910097,204348.8073309,266,40,0.887172144484217
"result.3040",15,13,11,34.77320044,77.44940098,75.86880096,204327.088890329,266,40,0.886981234407202
"result.3520",15,11,13,34.77320044,75.86880096,77.44940098,204327.088890329,266,40,0.886981234407202
"result.2800",15,14,10,34.77320044,78.23970099,75.07850095,204261.933568617,266,40,0.886408504176158
"result.3760",15,10,14,34.77320044,75.07850095,78.23970099,204261.933568617,266,40,0.886408504176158
"result.2560",15,15,9,34.77320044,79.030001,74.28820094,204153.341365763,266,40,0.885453953791084
"result.4000",15,9,15,34.77320044,74.28820094,79.030001,204153.341365763,266,40,0.885453953791084
"result.3551",14,13,13,33.98290043,77.44940098,77.44940098,203843.359986706,263,40,0.882729146328235
"result.3311",14,14,12,33.98290043,78.23970099,76.65910097,203822.135147058,263,40,0.882542575116607
"result.3791",14,12,14,33.98290043,76.65910097,78.23970099,203822.135147058,263,40,0.882542575116607
"result.3071",14,15,11,33.98290043,79.030001,75.86880096,203758.460628111,263,40,0.881982861481723
"result.4031",14,11,15,33.98290043,75.86880096,79.030001,203758.460628111,263,40,0.881982861481723
"result.3822",13,14,14,33.19260042,78.23970099,78.23970099,203186.870760361,259,40,0.876958455363922
"result.3582",13,15,13,33.19260042,79.030001,77.44940098,203166.139521634,259,40,0.876776223017681
"result.4062",13,13,15,33.19260042,77.44940098,79.030001,203166.139521634,259,40,0.876776223017681
"result.4093",12,15,15,32.40230041,79.030001,79.030001,202376.378046331,256,40,0.869834038398959
"result.3024",15,12,11,34.77320044,76.65910097,75.86880096,202242.11859553,265,40,0.868653867013776
"result.3264",15,11,12,34.77320044,75.86880096,76.65910097,202242.11859553,265,40,0.868653867013776
"result.2784",15,13,10,34.77320044,77.44940098,75.07850095,202198.681714388,265,40,0.868272046859746
"result.3504",15,10,13,34.77320044,75.07850095,77.44940098,202198.681714388,265,40,0.868272046859746
