"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.3569",0,15,13,125.21009368,113.96367808,125.95985472,1797371.9047016,1500,33,1
"result.4081",0,15,15,124.712462237,113.510744072,126.95280587,1797169.86696379,1497,32.5,0.998800820741619
"result.3809",0,14,14,125.21009368,113.21391704,126.70961576,1796175.34602445,1499,33,0.992897919157857
"result.4049",0,13,15,125.21009368,112.464156,127.4593768,1794838.01573821,1499,33,0.984960299393108
"result.4017",0,11,15,125.705757529,111.403904876,127.96394479,1792021.44731997,1500,33.5,0.968242776896643
"result.3313",0,15,12,125.21009368,113.96367808,125.21009368,1786673.26241171,1495,33,0.936499041882014
"result.3570",1,15,13,125.459243448,113.510744072,125.459243448,1786661.58242995,1497,32.5,0.936429716259848
"result.3058",1,15,11,125.95985472,113.96367808,124.46033264,1786609.19868543,1500,33,0.936118796623822
"result.3825",0,15,14,124.712462237,113.510744072,126.206024659,1786598.27951107,1492,32.5,0.936053986714777
"result.3827",2,15,14,125.70041367,113.05599336,125.70041367,1786351.84998731,1498,32,0.934591323468056
"result.2801",0,15,10,125.705757529,114.414821224,124.200299355,1786323.44589765,1498,33.5,0.934422733205964
"result.4082",1,15,15,124.95662424,113.05599336,126.4442031,1786289.30484358,1494,32,0.934220091638383
"result.4084",3,15,15,125.93354758,112.599407248,125.93354758,1785743.09591793,1499,31.5,0.930978111098108
"result.3298",1,14,12,125.95985472,113.21391704,125.21009368,1785547.08953909,1499,33,0.929814730501173
"result.3553",0,14,13,125.21009368,113.21391704,125.95985472,1785547.08953909,1495,33,0.929814730501173
"result.3810",1,14,14,125.459243448,112.763962861,126.206024659,1785472.15390154,1496,32.5,0.929369955860358
"result.4065",0,14,15,124.712462237,112.763962861,126.95280587,1785346.38099693,1492,32.5,0.928623440580019
"result.3041",0,14,11,125.705757529,113.662092137,124.953028442,1785326.29564874,1498,33.5,0.928504225560095
"result.4067",2,14,15,125.70041367,112.31220393,126.4442031,1785100.12415035,1497,32,0.927161802245258
"result.2529",0,14,9,126.19948017,114.10851201,123.93242364,1784680.79845777,1500,34,0.924672927253408
"result.3538",1,13,13,125.95985472,112.464156,125.95985472,1784343.36583992,1499,33,0.922670122228838
"result.3793",0,13,14,125.21009368,112.464156,126.70961576,1784280.1450574,1494,33,0.922294880197727
"result.3795",2,13,14,126.206024659,112.01718165,126.206024659,1784205.26259083,1500,32.5,0.921850421149136
"result.3281",0,13,12,125.705757529,112.90936305,125.705757529,1784186.69536428,1497,33.5,0.92174021682196
"result.4050",1,13,15,125.459243448,112.01718165,126.95280587,1784142.79260509,1496,32.5,0.921479635413868
"result.2769",0,13,10,126.19948017,113.3528265,124.68810915,1783671.85276328,1500,34,0.918684408658874
"result.3778",1,12,14,125.95985472,111.71439496,126.70961576,1782998.02758789,1498,33,0.914684971806816
"result.3521",0,12,13,125.705757529,112.156633963,126.458486616,1782904.64504426,1497,33.5,0.914130706991557
"result.4033",0,12,15,125.21009368,111.71439496,127.4593768,1782872.42896662,1494,33,0.913939490971676
"result.4035",2,12,15,126.206024659,111.270400439,126.95280587,1782797.60557892,1499,32.5,0.913495382581111
"result.3009",0,12,11,126.19948017,112.59714099,125.44379466,1782518.77196958,1499,34,0.911840387407977
"result.3506",1,11,13,126.458486616,111.403904876,126.458486616,1781543.26626132,1500,33.5,0.906050349247497
"result.4018",1,11,15,125.95985472,110.96463392,127.4593768,1781511.07478303,1497,33,0.905859279235106
"result.3761",0,11,14,125.705757529,111.403904876,127.211215703,1781480.14468868,1496,33.5,0.905675696068887
"result.3249",0,11,12,126.19948017,111.84145548,126.19948017,1781221.55607666,1499,34,0.904140863500718
"result.3746",1,10,14,126.458486616,110.651175789,127.211215703,1780038.5844486,1500,33.5,0.897119427530377
"result.4001",0,10,15,125.705757529,110.651175789,127.96394479,1779913.19429754,1495,33.5,0.896375184053951
"result.3489",0,10,13,126.19948017,111.08576997,126.95516568,1779780.20508453,1498,34,0.895585836937097
"result.3986",1,9,15,126.458486616,109.898446702,127.96394479,1778390.5996061,1499,33.5,0.8873379418402
"result.3729",0,9,14,126.19948017,110.33008446,127.71085119,1778194.71899318,1498,34,0.886175307717115
"result.3217",0,9,12,126.691273126,110.760035188,126.691273126,1777773.7360844,1500,34.5,0.883676596447544
"result.3969",0,8,15,126.19948017,109.57439895,128.4665367,1776465.09780262,1497,34,0.875909275840771
"result.3457",0,8,13,126.691273126,110.00140481,127.449903504,1776169.64199065,1500,34.5,0.874155620878439
"result.3314",1,15,12,125.459243448,113.510744072,124.712462237,1776026.69205834,1492,32.5,0.873307152687934
"result.3057",0,15,11,125.21009368,113.96367808,124.46033264,1775974.62012182,1491,33,0.872998083764027
"result.3059",2,15,11,126.206024659,113.510744072,123.965681026,1775900.08622058,1497,32.5,0.872555693597792
"result.2802",1,15,10,125.95985472,113.96367808,123.7105716,1775846.49266925,1495,33,0.872237593247644
"result.3571",2,15,13,125.70041367,113.05599336,124.95662424,1775781.72069744,1494,32,0.871853144253324
"result.3826",1,15,14,124.95662424,113.05599336,125.70041367,1775781.72069744,1489,32,0.871853144253324
"result.3316",3,15,12,126.4442031,113.05599336,124.21283481,1775656.63040999,1498,32,0.871110680593978
"result.2547",2,15,9,126.70961576,113.96367808,122.96081056,1775590.2377641,1499,33,0.870716612214879
"result.2545",0,15,9,125.705757529,114.414821224,123.447570268,1775497.24319524,1493,33.5,0.870164650193675
"result.3828",3,15,14,125.93354758,112.599407248,125.192762006,1775238.72476548,1495,31.5,0.868630234186816
"result.4083",2,15,15,125.192762006,112.599407248,125.93354758,1775238.72476548,1490,31.5,0.868630234186816
"result.2290",1,15,8,126.458486616,114.414821224,122.694841181,1775237.93295087,1498,33.5,0.868625534432901
"result.3573",4,15,13,126.674333154,112.599407248,124.451976432,1775115.14392839,1499,31.5,0.867896729752564
"result.3297",0,14,12,125.21009368,113.21391704,125.21009368,1774918.83305374,1490,33,0.866731541844489
"result.3554",1,14,13,125.459243448,112.763962861,125.459243448,1774907.22991396,1492,32.5,0.866662672311944
"result.3042",1,14,11,125.95985472,113.21391704,124.46033264,1774855.19079934,1495,33,0.866353798199839
