"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.3825",0,15,14,128.604676779,109.069789167,124.80622641,1750642.58291245,1500,16.5,1
"result.4065",0,14,15,128.604676779,108.5271534,125.348862177,1749506.53970485,1499,16.5,0.993592423321355
"result.3569",0,15,13,128.604676779,109.069789167,124.263590643,1743031.09342153,1497,16.5,0.957069236253085
"result.3314",1,15,12,129.147312546,109.069789167,123.720954876,1742742.04951681,1500,16.5,0.95543895408548
"result.3809",0,14,14,128.604676779,108.5271534,124.80622641,1741932.91832085,1496,16.5,0.950875245463729
"result.3554",1,14,13,129.147312546,108.5271534,124.263590643,1741677.26865388,1499,16.5,0.949433315409463
"result.4049",0,13,15,128.604676779,107.984517633,125.348862177,1740759.00700633,1496,16.5,0.944254082895797
"result.3794",1,13,14,129.147312546,107.984517633,124.80622641,1740536.43201502,1499,16.5,0.942998702542301
"result.4034",1,12,15,129.147312546,107.441881866,125.348862177,1739319.53960024,1498,16.5,0.936135115483997
"result.3313",0,15,12,128.604676779,109.069789167,123.720954876,1735419.6039306,1493,16.5,0.914138472506171
"result.3058",1,15,11,129.147312546,109.069789167,123.178319109,1735098.44403647,1496,16.5,0.912327047875499
"result.2803",2,15,10,129.689948313,109.069789167,122.635683342,1734713.05216351,1499,16.5,0.910153338318692
"result.3553",0,14,13,128.604676779,108.5271534,124.263590643,1734359.29693684,1493,16.5,0.908158067606102
"result.3298",1,14,12,129.147312546,108.5271534,123.720954876,1734071.6910615,1496,16.5,0.906535896295053
"result.3043",2,14,11,129.689948313,108.5271534,123.178319109,1733720.17276942,1499,16.5,0.904553242470437
"result.3793",0,13,14,128.604676779,107.984517633,124.80622641,1733223.25372924,1492,16.5,0.901750490927459
"result.3538",1,13,13,129.147312546,107.984517633,124.263590643,1732968.88231061,1496,16.5,0.900315770523463
"result.3283",2,13,12,129.689948313,107.984517633,123.720954876,1732650.91803731,1499,16.5,0.89852237001847
"result.4033",0,12,15,128.604676779,107.441881866,125.348862177,1732011.4743078,1492,16.5,0.894915742470238
"result.3778",1,12,14,129.147312546,107.441881866,124.80622641,1731790.01778379,1495,16.5,0.89366667056073
"result.3523",2,12,13,129.689948313,107.441881866,124.263590643,1731505.2879672,1498,16.5,0.892060720962791
"result.4018",1,11,15,129.147312546,106.899246099,125.348862177,1730535.09748105,1494,16.5,0.886588596406853
"result.3763",2,11,14,129.689948313,106.899246099,124.80622641,1730283.28255908,1497,16.5,0.8851682953034
"result.3508",3,11,13,130.23258408,106.899246099,124.263590643,1729968.51390662,1500,16.5,0.883392918924086
"result.4003",2,10,15,129.689948313,106.356610332,125.348862177,1728984.90181295,1497,16.5,0.877845093040298
"result.3748",3,10,14,130.23258408,106.356610332,124.80622641,1728703.04805512,1500,16.5,0.87625536515547
"result.3057",0,15,11,128.604676779,109.069789167,123.178319109,1727808.11443968,1490,16.5,0.871207708759256
"result.2802",1,15,10,129.147312546,109.069789167,122.635683342,1727454.83855614,1493,16.5,0.869215141665517
"result.3988",3,9,15,130.23258408,105.813974565,125.348862177,1727360.88730352,1499,16.5,0.868685232370574
"result.2547",2,15,9,129.689948313,109.069789167,122.093047575,1727037.33069376,1496,16.5,0.866860289645644
"result.3297",0,14,12,128.604676779,108.5271534,123.720954876,1726785.67555284,1490,16.5,0.865440889748476
"result.2292",3,15,8,130.23258408,109.069789167,121.550411808,1726555.59085257,1499,16.5,0.864143152699636
"result.3042",1,14,11,129.147312546,108.5271534,123.178319109,1726466.11346913,1493,16.5,0.863638477180643
"result.2787",2,14,10,129.689948313,108.5271534,122.635683342,1726082.63896867,1496,16.5,0.861475582099244
"result.977",0,13,3,130.53786753,109.60774531,120.62359911,1725877.79246065,1500,17,0.860320194963718
"result.3537",0,13,13,128.604676779,107.984517633,124.263590643,1725687.50045216,1489,16.5,0.85924689895912
"result.2532",3,14,9,130.23258408,108.5271534,122.093047575,1725635.25205147,1499,16.5,0.858952204504279
"result.3282",1,13,12,129.147312546,107.984517633,123.720954876,1725401.33260619,1492,16.5,0.857632838504627
"result.3027",2,13,11,129.689948313,107.984517633,123.178319109,1725051.57190557,1495,16.5,0.855660097949134
"result.1217",0,12,4,130.53786753,109.05695262,121.1743918,1725046.15863762,1500,17,0.855629565721804
"result.2772",3,13,10,130.23258408,107.984517633,122.635683342,1724638.21835029,1498,16.5,0.853328677292643
"result.3153",0,5,12,130.53786753,105.20140379,125.58073332,1724570.93931017,1500,17,0.852949206154997
"result.3777",0,12,14,128.604676779,107.441881866,124.80622641,1724513.58913764,1489,16.5,0.852625736391188
"result.3522",1,12,13,129.147312546,107.441881866,124.263590643,1724260.49596734,1492,16.5,0.851198225637464
"result.1457",0,11,5,130.53786753,108.50615993,121.72518449,1724135.32159334,1500,17,0.850492209885423
"result.3267",2,12,12,129.689948313,107.441881866,123.720954876,1723944.12950446,1495,16.5,0.84941383719531
"result.3012",3,12,11,130.23258408,107.441881866,123.178319109,1723564.48974901,1498,16.5,0.847272571064725
