"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.2033",0,15,7,103.38357645,118.42118757,177.94506492,2178546.89040138,1500,22,1
"result.2769",0,13,10,103.38357645,117.16805331,179.82476631,2178262.78152157,1500,22,0.998622484929778
"result.3505",0,11,13,103.38357645,115.91491905,181.7044677,2177491.62884779,1500,22,0.994883515453463
"result.4082",1,15,15,102.82029459,117.066479985,180.86461458,2177032.99394792,1496,21.5,0.992659802886963
"result.3571",2,15,13,103.439693955,117.066479985,179.62581585,2175146.63923292,1499,21.5,0.983513724631959
"result.2273",0,14,8,103.38357645,117.79462044,178.57163205,2174650.54004967,1499,22,0.981108364751245
"result.3009",0,12,11,103.38357645,116.54148618,180.45133344,2174163.4962557,1499,22,0.97874691034515
"result.3745",0,10,14,103.38357645,115.28835192,182.33103483,2173189.40866777,1498,22,0.974024001532961
"result.3811",2,14,14,103.439693955,116.44708062,180.245215215,2171098.74729346,1498,21.5,0.963887332972126
"result.1777",0,15,6,103.38357645,118.42118757,177.31849779,2170875.95064644,1498,22,0.962807093104013
"result.2513",0,13,9,103.38357645,117.16805331,179.19819918,2170673.01573229,1498,22,0.961823153768141
"result.3249",0,11,12,103.38357645,115.91491905,181.07790057,2169983.03702418,1497,22,0.958477760026173
"result.3826",1,15,14,102.82029459,117.066479985,180.245215215,2169577.4015029,1493,21.5,0.956511017402896
"result.3985",0,9,15,103.38357645,114.66178479,182.95760196,2168806.0145221,1497,22,0.952770911878111
"result.3315",2,15,12,103.439693955,117.066479985,179.006416485,2167646.13358039,1497,21.5,0.947147175379917
"result.2017",0,14,7,103.38357645,117.79462044,177.94506492,2167020.18727756,1496,22,0.944112245722434
"result.4051",2,13,15,103.439693955,115.827681255,180.86461458,2166971.48492381,1497,21.5,0.943876110103277
"result.2753",0,12,10,103.38357645,116.54148618,179.82476631,2166614.31744926,1496,22,0.942144367050686
"result.3489",0,10,13,103.38357645,115.28835192,181.7044677,2165721.40382699,1496,22,0.937815033972849
"result.4066",1,14,15,102.82029459,116.44708062,180.86461458,2165514.30085825,1492,21.5,0.936810885631157
"result.3540",3,13,13,104.05909332,115.827681255,179.62581585,2165016.21576344,1500,21.5,0.934395896966193
"result.1506",1,14,5,104.01014358,117.79462044,176.69193066,2164800.44828931,1500,22,0.933349738368597
"result.2242",1,12,8,104.01014358,116.54148618,178.57163205,2164555.45050205,1500,22,0.932161855243106
"result.4081",0,15,15,102.200895225,117.066479985,180.86461458,2163918.33735788,1487,21.5,0.929072782637884
"result.2978",1,10,11,104.01014358,115.28835192,180.45133344,2163820.45714025,1500,22,0.928598205866638
"result.3555",2,14,13,103.439693955,116.44708062,179.62581585,2163637.92685602,1496,21.5,0.927713199324592
"result.1521",0,15,5,103.38357645,118.42118757,176.69193066,2163205.01089151,1495,22,0.925614186208027
"result.2257",0,13,8,103.38357645,117.16805331,178.57163205,2163083.24994302,1495,22,0.925023822606504
"result.3714",1,8,14,104.01014358,114.03521766,182.33103483,2162595.46820391,1499,22,0.922658790239189
"result.2993",0,11,11,103.38357645,115.91491905,180.45133344,2162474.44520056,1495,22,0.922072004598884
"result.3570",1,15,13,102.82029459,117.066479985,179.62581585,2162121.80905787,1491,21.5,0.920362231918831
"result.3044",3,14,11,104.05909332,116.44708062,178.38701712,2161582.85056787,1499,21.5,0.917749066703115
"result.3729",0,9,14,103.38357645,114.66178479,182.33103483,2161378.59666414,1494,22,0.916758732185172
"result.1746",1,13,6,104.01014358,117.16805331,177.31849779,2160921.31665759,1499,22,0.914541588881674
"result.1010",1,15,3,104.01014358,118.42118757,175.4387964,2160880.48369304,1499,22,0.914343608360758
"result.3780",3,12,14,104.05909332,115.20828189,180.245215215,2160864.23924787,1499,21.5,0.914264846415495
"result.2482",1,11,9,104.01014358,115.91491905,179.19819918,2160472.1540476,1499,22,0.912363803151608
"result.3059",2,15,11,103.439693955,117.066479985,178.38701712,2160145.62792786,1494,21.5,0.910780626127875
"result.3795",2,13,14,103.439693955,115.827681255,180.245215215,2159550.34970147,1494,21.5,0.907894392060253
"result.3218",1,9,12,104.01014358,114.66178479,181.07790057,2159532.99586308,1498,22,0.907810251170563
"result.1761",0,14,6,103.38357645,117.79462044,177.31849779,2159389.83450546,1494,22,0.907116126693622
"result.2497",0,12,9,103.38357645,116.54148618,179.19819918,2159065.13864281,1494,22,0.905541823756225
"result.3233",0,10,12,103.38357645,115.28835192,181.07790057,2158253.39898621,1493,22,0.901606066412735
"result.3954",1,7,15,104.01014358,113.40865053,182.95760196,2158103.84210402,1498,22,0.900880932938539
"result.3810",1,14,14,102.82029459,116.44708062,180.245215215,2158098.1559923,1489,21.5,0.900853363562351
"result.2548",3,15,9,104.05909332,117.066479985,177.14821839,2157989.79396786,1498,21.5,0.900327965265013
"result.3284",3,13,12,104.05909332,115.827681255,179.006416485,2157550.64260563,1498,21.5,0.898198719533688
"result.1250",1,14,4,104.01014358,117.79462044,176.06536353,2157123.85095495,1497,22,0.89612940043658
"result.1986",1,12,7,104.01014358,116.54148618,177.94506492,2156960.51909678,1497,22,0.895337478352921
"result.3969",0,8,15,103.38357645,114.03521766,182.95760196,2156954.61553564,1493,22,0.89530885466315
"result.4020",3,11,15,104.05909332,114.588882525,180.86461458,2156632.41703007,1498,21.5,0.893746660277284
"result.3825",0,15,14,102.200895225,117.066479985,180.245215215,2156507.65812035,1484,21.5,0.893141760921794
"result.2722",1,10,10,104.01014358,115.28835192,179.82476631,2156307.19166406,1497,22,0.89216979001828
"result.3299",2,14,12,103.439693955,116.44708062,179.006416485,2156177.10641859,1493,21.5,0.891539065677059
"result.1265",0,15,4,103.38357645,118.42118757,176.06536353,2155534.07113657,1492,22,0.88842127931204
"result.2001",0,13,7,103.38357645,117.16805331,177.94506492,2155493.48415374,1492,22,0.888224491444865
"result.4035",2,12,15,103.439693955,115.20828189,180.86461458,2155383.40211673,1493,21.5,0.887690753586896
"result.3458",1,8,13,104.01014358,114.03521766,181.7044677,2155163.86865682,1497,22,0.88662633543266
"result.2737",0,11,10,103.38357645,115.91491905,179.82476631,2154965.85337695,1492,22,0.885666249171598
"result.3377",0,3,13,104.551347945,112.155082341,183.75691457,2154727.15567132,1500,22.5,0.884508912283894
"result.3314",1,15,12,102.82029459,117.066479985,179.006416485,2154666.21661284,1488,21.5,0.884213446434766
"result.1409",0,8,5,104.551347945,115.323305006,178.687758306,2154475.2880903,1500,22.5,0.883287720644999
"result.2788",3,14,10,104.05909332,116.44708062,177.767617755,2154077.35455895,1497,21.5,0.881358321476856
"result.4050",1,13,15,102.82029459,115.827681255,180.86461458,2153995.60776858,1488,21.5,0.880961968375353
"result.3473",0,9,13,103.38357645,114.66178479,181.7044677,2153951.17880619,1492,22,0.880746552492235
"result.2145",0,6,8,104.551347945,114.05601594,180.588691905,2153467.81776619,1500,22.5,0.878402954089422
"result.3524",3,12,13,104.05909332,115.20828189,179.62581585,2153438.58894117,1496,21.5,0.878261236776747
"result.1490",1,13,5,104.01014358,117.16805331,176.69193066,2153285.55228777,1496,22,0.877519231470573
"result.754",1,15,2,104.01014358,118.42118757,174.81222927,2153163.05339414,1496,22,0.876925289907827
"result.2226",1,11,8,104.01014358,115.91491905,178.57163205,2152918.05560687,1496,22,0.875737406782336
"result.2803",2,15,10,103.439693955,117.066479985,177.767617755,2152645.12227534,1492,21.5,0.874414076875834
"result.4065",0,14,15,102.200895225,116.44708062,180.86461458,2152469.03398561,1483,21.5,0.873560304642657
"result.4086",5,15,15,104.0667393,115.69772781,178.74992868,2152200.13465886,1496,21,0.8722565337953
"result.3539",2,13,13,103.439693955,115.827681255,179.62581585,2152129.21447913,1492,21.5,0.871912674017228
"result.2962",1,9,11,104.01014358,114.66178479,180.45133344,2152060.56335144,1496,22,0.871579815843123
"result.2881",0,4,11,104.551347945,112.788726874,182.489625504,2151956.61228004,1499,22.5,0.871075804256053
"result.2277",4,14,8,104.678492685,116.44708062,176.528819025,2151798.90041339,1500,21.5,0.870311130961739
"result.1505",0,14,5,103.38357645,117.79462044,176.69193066,2151759.48173335,1491,22,0.87012000766481
"result.3683",2,6,14,104.63671071,112.7820834,182.33103483,2151715.20502481,1500,22,0.869905329991528
"result.2241",0,12,8,103.38357645,116.54148618,178.57163205,2151515.95983637,1491,22,0.868939280461763
"result.3013",4,12,11,104.678492685,115.20828189,178.38701712,2151316.97456783,1500,21.5,0.867974491165676
"result.177",0,11,0,104.551347945,117.224238605,175.519535641,2151159.0316068,1499,22.5,0.867208697399554
"result.913",0,9,3,104.551347945,115.956949539,177.42046924,2150949.14195594,1499,22.5,0.866191037700473
"result.979",2,13,3,104.63671071,117.16805331,175.4387964,2150893.62609964,1500,22,0.865921866498419
"result.2977",0,10,11,103.38357645,115.28835192,180.45133344,2150785.39414542,1491,22,0.865397098852621
"result.3698",1,7,14,104.01014358,113.40865053,182.33103483,2150713.07552147,1495,22,0.865046458652929
"result.1715",2,11,6,104.63671071,115.91491905,177.31849779,2150688.23136835,1500,22,0.864926000625142
"result.3554",1,14,13,102.82029459,116.44708062,179.62581585,2150682.01112635,1487,21.5,0.864895841493546
"result.243",2,15,0,104.63671071,118.42118757,173.55909501,2150606.07347583,1500,22,0.864527654275833
"result.2292",3,15,8,104.05909332,117.066479985,176.528819025,2150444.37510783,1495,21.5,0.863743652244995
"result.3749",4,10,14,104.678492685,113.96948316,180.245215215,2150353.12287672,1500,21.5,0.863301211573551
"result.1649",0,7,6,104.551347945,114.689660473,179.321402839,2150235.51714304,1499,22.5,0.862730994723606
"result.3028",3,13,11,104.05909332,115.827681255,178.38701712,2150085.06944783,1495,21.5,0.862001542101183
"result.3575",6,15,13,104.67889659,115.69772781,177.5256141,2150032.32630405,1500,21,0.861745814524293
"result.2451",2,9,9,104.63671071,114.66178479,179.19819918,2149989.88928195,1499,22,0.861540056656001
"result.3617",0,2,14,104.551347945,111.521437808,184.390559103,2149941.67163184,1499,22.5,0.861306271144896
"result.3713",0,8,14,103.38357645,114.03521766,182.33103483,2149567.78466051,1490,22,0.859493462837386
"result.994",1,14,3,104.01014358,117.79462044,175.4387964,2149447.25362059,1495,22,0.858909062504563
"result.1730",1,12,6,104.01014358,116.54148618,177.31849779,2149365.5876915,1495,22,0.858513101462734
"result.3764",3,11,14,104.05909332,114.588882525,180.245215215,2149246.68957449,1495,21.5,0.857936618432293
"result.3569",0,15,13,102.200895225,117.066479985,179.62581585,2149096.97888282,1482,21.5,0.857210739205706
"result.2385",0,5,9,104.551347945,113.422371407,181.222336438,2149018.15716808,1498,22.5,0.856828568468948
"result.3187",2,7,12,104.63671071,113.40865053,181.07790057,2148798.59984045,1499,22,0.855764034590991
"result.2466",1,10,9,104.01014358,115.28835192,179.19819918,2148793.92618788,1494,22,0.855741374169925
"result.3043",2,14,11,103.439693955,116.44708062,178.38701712,2148716.28598115,1490,21.5,0.855364932029525
"result.1781",4,15,6,104.678492685,117.066479985,175.290020295,2148063.97511032,1499,21.5,0.852202172542251
"result.3779",2,12,14,103.439693955,115.20828189,180.245215215,2148001.95210949,1490,21.5,0.851901451148379
"result.1745",0,13,6,103.38357645,117.16805331,177.31849779,2147903.71836447,1490,22,0.851425160283228
"result.2517",4,13,9,104.678492685,115.827681255,177.14821839,2147863.17267467,1499,21.5,0.851228572627224
"result.1009",0,15,3,103.38357645,118.42118757,175.4387964,2147863.13138164,1490,22,0.851228372416054
"result.3202",1,8,12,104.01014358,114.03521766,181.07790057,2147732.26910973,1494,22,0.850593880626134
"result.2481",0,11,9,103.38357645,115.91491905,179.19819918,2147457.26155334,1490,22,0.849260493744308
"result.3121",0,3,12,104.551347945,112.155082341,183.123270037,2147297.06203107,1498,22.5,0.848483758936501
"result.417",0,10,1,104.551347945,116.590594072,176.153180174,2147255.0841009,1498,22.5,0.848280226996685
"result.3058",1,15,11,102.82029459,117.066479985,178.38701712,2147210.62416782,1485,21.5,0.848064660950701
