"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.3569",0,15,13,141.344011638,111.466415682,101.124170928,1593222.47256925,1500,18.5,1
"result.4033",0,12,15,141.344011638,109.742708223,102.273309234,1586409.84133111,1497,18.5,0.955844820040225
"result.3793",0,13,14,141.344011638,110.317277376,101.698740081,1585756.57532197,1497,18.5,0.951610761687919
"result.3553",0,14,13,141.344011638,110.891846529,101.124170928,1585009.98559724,1496,18.5,0.94677183785671
"result.4018",1,11,15,141.918580791,109.16813907,102.273309234,1584519.08767865,1499,18.5,0.943590147085581
"result.3313",0,15,12,141.344011638,111.466415682,100.549601775,1584170.07215693,1496,18.5,0.941328048546602
"result.3778",1,12,14,141.918580791,109.742708223,101.698740081,1583910.01765677,1499,18.5,0.939642539254785
"result.3538",1,13,13,141.918580791,110.317277376,101.124170928,1583207.24455461,1498,18.5,0.935087607142331
"result.3298",1,14,12,141.918580791,110.891846529,100.549601775,1582410.76837216,1498,18.5,0.929925350748214
"result.3058",1,15,11,141.918580791,111.466415682,99.975032622,1581520.58910942,1498,18.5,0.924155770072437
"result.3283",2,13,12,142.493149944,110.317277376,100.549601775,1580585.07576532,1500,18.5,0.918092362466867
"result.3043",2,14,11,142.493149944,110.891846529,99.975032622,1579738.33376045,1500,18.5,0.912604314707083
"result.2803",2,15,10,142.493149944,111.466415682,99.400463469,1578797.50931059,1499,18.5,0.906506483862878
"result.4017",0,11,15,141.344011638,109.16813907,102.273309234,1578104.03064351,1493,18.5,0.902011792418036
"result.4086",5,15,15,142.25538452,109.95037688,100.88230456,1577903.46898191,1498,18,0.900711878192309
"result.3777",0,12,14,141.344011638,109.742708223,101.698740081,1577497.42649217,1493,18.5,0.898080166805179
"result.3537",0,13,13,141.344011638,110.317277376,101.124170928,1576797.49862524,1492,18.5,0.893543675713421
"result.4002",1,10,15,141.918580791,108.593569917,102.273309234,1576179.51353297,1495,18.5,0.889538286017773
"result.4071",6,14,15,142.82213904,109.38362236,100.88230456,1576024.00947559,1500,18,0.888530406771365
"result.3297",0,14,12,141.344011638,110.891846529,100.549601775,1576004.24704271,1492,18.5,0.888402319142762
"result.3762",1,11,14,141.918580791,109.16813907,101.698740081,1575617.29505124,1495,18.5,0.885894340327807
"result.3831",6,15,14,142.82213904,109.95037688,100.31555004,1575289.99351961,1499,18,0.883772978180776
"result.3057",0,15,11,141.344011638,111.466415682,99.975032622,1575117.6717446,1492,18.5,0.882656097093203
"result.3522",1,12,13,141.918580791,109.742708223,101.124170928,1574961.37348922,1495,18.5,0.881643070356182
"result.3282",1,13,12,141.918580791,110.317277376,100.549601775,1574211.74884691,1494,18.5,0.876784476102896
"result.3987",2,9,15,142.493149944,108.019000764,102.273309234,1574187.46950627,1497,18.5,0.876627112726271
"result.3747",2,10,14,142.493149944,108.593569917,101.698740081,1573670.01605885,1497,18.5,0.873273305761958
"result.3042",1,14,11,141.918580791,110.891846529,99.975032622,1573368.42112432,1494,18.5,0.871318557567949
"result.3507",2,11,13,142.493149944,109.16813907,101.124170928,1573058.48016644,1497,18.5,0.869309715713224
"result.3409",0,5,13,143.24061186,107.13931944,102.48108816,1572746.68689556,1500,19,0.867288868333584
"result.2802",1,15,10,141.918580791,111.466415682,99.400463469,1572431.39032143,1493,18.5,0.865245314751342
"result.3267",2,12,12,142.493149944,109.742708223,100.549601775,1572352.86182904,1496,18.5,0.864736342580071
"result.3169",0,6,12,143.24061186,107.72159835,101.89880925,1572309.59696899,1500,19,0.86445592703797
"result.3972",3,8,15,143.067719097,107.444431611,102.273309234,1572127.89856341,1499,18.5,0.863278272543534
"result.2929",0,7,11,143.24061186,108.30387726,101.31653034,1571775.37594762,1500,19,0.860993443232219
"result.3732",3,9,14,143.067719097,108.019000764,101.698740081,1571655.58951499,1499,18.5,0.860217063107631
"result.4085",4,15,15,141.68863,109.95037688,100.88230456,1571617.000978,1492,18,0.859966956542944
