"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4091",10,15,15,130.39950165,132.77040168,99.57780126,1724009.81251215,1499,40,1
"result.4092",11,15,15,130.720613948,132.295561104,99.221670828,1715915.46146769,1497,39.5,0.980939759064799
"result.4060",11,13,15,131.18980166,131.18980166,99.57780126,1713810.04305862,1499,40,0.975982007427167
"result.4075",10,14,15,130.39950165,131.98010167,99.57780126,1713747.84934244,1494,40,0.975835556252942
"result.4090",9,15,15,129.60920164,132.77040168,99.57780126,1713561.2681939,1490,40,0.975396202730268
"result.3837",12,15,14,131.508087526,132.295561104,98.43419725,1712551.88650497,1500,39.5,0.973019352741822
"result.3820",11,14,14,131.18980166,131.98010167,98.78750125,1710450.59518305,1497,40,0.968071319397226
"result.3835",10,15,14,130.39950165,132.77040168,98.78750125,1710327.19495253,1493,40,0.967780741670589
"result.4078",13,14,15,131.81901096,131.03437399,98.86425822,1707664.69298429,1500,39,0.961511192854823
"result.4093",12,15,15,131.03437399,131.81901096,98.86425822,1707664.69298429,1495,39,0.961511192854823
"result.3565",12,14,13,131.98010167,131.98010167,97.99720124,1706988.47831569,1500,40,0.959918870698723
"result.3580",11,15,13,131.18980166,132.77040168,97.99720124,1706927.27180135,1496,40,0.959774744146312
"result.4061",12,13,15,131.508087526,130.720613948,99.221670828,1705701.67895895,1497,39.5,0.956888769132832
"result.4076",11,14,15,130.720613948,131.508087526,99.221670828,1705701.67895895,1493,39.5,0.956888769132832
"result.3838",13,15,14,131.81901096,131.81901096,98.07962125,1704256.18062304,1498,39,0.953484969816179
"result.4044",11,12,15,131.18980166,130.39950165,99.57780126,1703485.88617272,1494,40,0.951671112505884
"result.4059",10,13,15,130.39950165,131.18980166,99.57780126,1703485.88617272,1490,40,0.951671112505884
"result.3325",12,15,12,131.98010167,132.77040168,97.20690123,1703361.49874036,1499,40,0.951378210157435
"result.4029",12,11,15,131.98010167,129.60920164,99.57780126,1703361.49874036,1499,40,0.951378210157435
"result.4074",9,14,15,129.60920164,131.98010167,99.57780126,1703361.49874036,1485,40,0.951378210157435
"result.4089",8,15,15,128.81890163,132.77040168,99.57780126,1703112.72387564,1481,40,0.950792405460536
"result.3821",12,14,14,131.508087526,131.508087526,98.43419725,1702358.12527578,1496,39.5,0.949015508085587
"result.3806",13,13,14,132.295561104,130.720613948,98.43419725,1702297.08478937,1500,39.5,0.948871772488843
"result.3836",11,15,14,130.720613948,132.295561104,98.43419725,1702297.08478937,1491,39.5,0.948871772488843
"result.4096",15,15,15,132.4185675,130.860702,98.1455265,1700703.6361539,1500,38,0.945119585964783
"result.3804",11,13,14,131.18980166,131.18980166,98.78750125,1700208.37605022,1493,40,0.943953368086429
"result.3789",12,12,14,131.98010167,130.39950165,98.78750125,1700146.67593496,1497,40,0.943808079223111
"result.3819",10,14,14,130.39950165,131.98010167,98.78750125,1700146.67593496,1488,40,0.943808079223111
"result.3834",9,15,14,129.60920164,132.77040168,98.78750125,1699961.57558918,1484,40,0.943372212633157
"result.4094",13,15,15,131.34072924,131.34072924,98.50554693,1699258.82168359,1493,38.5,0.941717396986396
