"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4083",2,15,15,124.85660209,129.03840216,111.71380187,1799854.17756495,1499,20,1
"result.3985",0,9,15,125.197494498,127.01195094,113.101118218,1798486.25650965,1500,20.5,0.991995150677375
"result.3745",0,10,14,125.197494498,127.616769754,112.496299404,1797387.10524517,1500,20.5,0.985563098022816
"result.3505",0,11,13,125.197494498,128.221588568,111.89148059,1796196.35804198,1499,20.5,0.978595040980377
"result.3265",0,12,12,125.197494498,128.826407382,111.286661776,1794914.01490008,1499,20.5,0.971090979550058
"result.3025",0,13,11,125.197494498,129.431226196,110.681842962,1793540.07581948,1498,20.5,0.96305091373186
"result.2785",0,14,10,125.197494498,130.03604501,110.077024148,1792074.54080017,1497,20.5,0.954474843525781
"result.4052",3,13,15,125.4540021,127.84360214,111.71380187,1791720.86522614,1499,20,0.952405192160854
"result.4067",2,14,15,124.85660209,128.44100215,111.71380187,1791521.51933548,1495,20,0.951238652753032
"result.4082",1,15,15,124.25920208,129.03840216,111.71380187,1791242.43508856,1491,20,0.949605497582081
"result.2530",1,14,9,125.802313312,130.03604501,109.472205334,1790837.7743814,1500,20.5,0.947237489592813
"result.2545",0,15,9,125.197494498,130.640863824,109.472205334,1790517.40984215,1497,20.5,0.945362768931822
"result.3812",3,14,14,125.4540021,128.44100215,111.11640186,1790467.22475869,1498,20,0.945069094066743
"result.3827",2,15,14,124.85660209,129.03840216,111.11640186,1790229.28891487,1495,20,0.943676732591739
"result.3954",1,7,15,125.802313312,125.802313312,113.101118218,1789963.40928534,1500,20.5,0.942120848672761
"result.3969",0,8,15,125.197494498,126.407132126,113.101118218,1789922.03624056,1496,20.5,0.941878740410603
"result.2290",1,15,8,125.802313312,130.640863824,108.86738652,1789227.10183602,1500,20.5,0.937812098424296
"result.3572",3,15,13,125.4540021,129.03840216,110.51900185,1789124.03854357,1498,20,0.937208988965909
"result.3714",1,8,14,125.802313312,126.407132126,112.496299404,1788950.98654253,1500,20.5,0.936196317081122
"result.3729",0,9,14,125.197494498,127.01195094,112.496299404,1788868.68294543,1496,20.5,0.935714689949983
