"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.3745",0,10,14,134.6746038,119.98282884,103.45458201,1671685.34051486,1500,21,1
"result.4082",1,15,15,133.664957894,121.568581614,102.81919838,1670756.38372159,1494,20.5,0.994068467690052
"result.3505",0,11,13,134.6746038,120.59498613,102.84242472,1670272.25062432,1499,21,0.990977203242046
"result.4067",2,14,15,134.269776708,120.9637628,102.81919838,1669966.53468491,1497,20.5,0.98902515984738
"result.4052",3,13,15,134.874595522,120.358943986,102.81919838,1669101.46193046,1500,20.5,0.983501536972072
"result.3265",0,12,12,134.6746038,121.20714342,102.23026743,1668758.22574159,1499,21,0.981309921001379
"result.3827",2,15,14,134.269776708,121.568581614,102.214379566,1668443.91813858,1496,20.5,0.979303018510328
"result.3812",3,14,14,134.874595522,120.9637628,102.214379566,1667621.32466005,1499,20.5,0.974050632359332
"result.3025",0,13,11,134.6746038,121.81930071,101.61811014,1667143.26586668,1498,21,0.970998153278002
"result.3572",3,15,13,134.874595522,121.568581614,101.609560752,1666042.51157162,1499,20.5,0.963969667439077
"result.2785",0,14,10,134.6746038,122.431458,101.00595285,1665427.37099959,1497,21,0.960041900071914
"result.2770",1,13,10,135.28676109,121.81930071,101.00595285,1664632.50793616,1500,21,0.954966576895565
"result.3969",0,8,15,134.6746038,118.75851426,104.0667393,1664418.02107777,1497,21,0.953597045244803
"result.2545",0,15,9,134.6746038,123.04361529,100.39379556,1663610.54114032,1496,21,0.948441161383116
"result.3954",1,7,15,135.28676109,118.14635697,104.0667393,1663365.08559115,1500,21,0.94687388986834
"result.4081",0,15,15,133.06013908,121.568581614,102.81919838,1663196.40008484,1487,20.5,0.945796806910185
"result.3729",0,9,14,134.6746038,119.37067155,103.45458201,1663156.3336755,1496,21,0.945540976710916
"result.2530",1,14,9,135.28676109,122.431458,100.39379556,1662858.11665315,1499,21,0.94363681505745
"result.4066",1,14,15,133.664957894,120.9637628,102.81919838,1662444.16290705,1490,20.5,0.940993656583831
"result.3714",1,8,14,135.28676109,118.75851426,103.45458201,1662148.36013994,1499,21,0.939104910322205
"result.3489",0,10,13,134.6746038,119.98282884,102.84242472,1661793.71128105,1495,21,0.936840422694316
"result.4051",2,13,15,134.269776708,120.358943986,102.81919838,1661616.70201149,1493,20.5,0.93571019122484
"result.2290",1,15,8,135.28676109,123.04361529,99.78163827,1660982.33158253,1499,21,0.93165963825716
"result.3826",1,15,14,133.664957894,121.568581614,102.214379566,1660928.40499381,1489,20.5,0.931315308676225
"result.3474",1,9,13,135.28676109,119.37067155,102.84242472,1660830.24090113,1498,21,0.930688515813892
"result.4036",3,12,15,134.874595522,119.754125172,102.81919838,1660714.01739815,1496,20.5,0.929946410833213
"result.3249",0,11,12,134.6746038,120.59498613,102.23026743,1660330.15389441,1495,21,0.927495383195006
"result.3811",2,14,14,134.269776708,120.9637628,102.214379566,1660143.20212794,1493,20.5,0.926301667350274
"result.4021",4,11,15,135.479414336,119.149306358,102.81919838,1659736.10906702,1499,20.5,0.923702315408952
"result.3234",1,10,12,135.28676109,119.98282884,102.23026743,1659410.72787472,1498,21,0.921624706343401
"result.3796",3,13,14,134.874595522,120.358943986,102.214379566,1659283.21803675,1495,20.5,0.920810536374232
"result.3009",0,12,11,134.6746038,121.20714342,101.61811014,1658765.66151559,1494,21,0.917505858212984
"result.3571",2,15,13,134.269776708,121.568581614,101.609560752,1658571.46891883,1492,20.5,0.916265908550737
"result.3781",4,12,14,135.479414336,119.754125172,102.214379566,1658348.45272024,1498,20.5,0.9148419157481
"result.2994",1,11,11,135.28676109,120.59498613,101.61811014,1657889.82106071,1497,21,0.911913481910733
"result.3556",3,14,13,134.874595522,120.9637628,101.609560752,1657753.74285733,1495,20.5,0.911044601607736
