"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.3826",1,15,14,106.736640016,102.824825984,192.237718144,2109842.8742387,1500,17.5,1
"result.4081",0,15,15,106.17780944,102.824825984,192.79654872,2104897.72930638,1494,17.5,0.976314665658941
"result.4066",1,14,15,106.736640016,102.265995408,192.79654872,2104476.26809056,1498,17.5,0.97429602920942
"result.3570",1,15,13,106.736640016,102.824825984,191.678887568,2103709.6100694,1498,17.5,0.970624033382195
"result.3825",0,15,14,106.17780944,102.824825984,192.237718144,2098796.57646781,1492,17.5,0.947092499913482
"result.3810",1,14,14,106.736640016,102.265995408,192.237718144,2098376.3368787,1496,17.5,0.945079714584104
"result.3795",2,13,14,107.295470592,101.707164832,192.237718144,2097836.02883556,1500,17.5,0.942491847732047
"result.3314",1,15,12,106.736640016,102.824825984,191.120056992,2097576.3459001,1496,17.5,0.94124806676439
"result.3299",2,14,12,107.295470592,102.265995408,191.120056992,2097098.8643736,1500,17.5,0.938961114662571
"result.2803",2,15,10,107.295470592,102.824825984,190.00239584,2096227.67000947,1499,17.5,0.93478843012592
"result.4065",0,14,15,106.17780944,102.265995408,192.79654872,2093458.06773406,1490,17.5,0.921523104886204
"result.4050",1,13,15,106.736640016,101.707164832,192.79654872,2092976.39777312,1494,17.5,0.919216091801036
"result.3569",0,15,13,106.17780944,102.824825984,191.678887568,2092695.42362924,1490,17.5,0.917870334168022
"result.4035",2,12,15,107.295470592,101.148334256,192.79654872,2092374.31032195,1498,17.5,0.916332325444577
"result.3554",1,14,13,106.736640016,102.265995408,191.678887568,2092276.40566685,1494,17.5,0.915863399958788
"result.1713",0,11,6,107.6833588,102.0158136,190.42951872,2091945.47453242,1500,18,0.914278367635149
"result.3539",2,13,13,107.295470592,101.707164832,191.678887568,2091737.66828662,1498,17.5,0.913283055975485
"result.3058",1,15,11,106.736640016,102.824825984,190.561226416,2091443.0817308,1494,17.5,0.911872100146585
"result.1217",0,12,4,107.6833588,102.58256812,189.29600968,2091046.15934826,1500,18,0.909970995231245
"result.3043",2,14,11,107.295470592,102.265995408,190.561226416,2090966.99634912,1497,17.5,0.909591835039216
"result.2547",2,15,9,107.295470592,102.824825984,189.443565264,2090062.29450944,1497,17.5,0.90525866263577
"result.721",0,13,2,107.6833588,103.14932264,188.16250064,2090008.48798192,1500,18,0.905000950149816
"result.225",0,14,0,107.6833588,103.71607716,187.0289916,2088832.46043341,1499,18,0.899368232390863
"result.2036",3,15,7,107.854301168,102.824825984,188.325904112,2088553.06196516,1500,17.5,0.898030021635578
"result.3937",0,6,15,107.6833588,99.182041,195.5303094,2088313.62475024,1499,18,0.89688320985015
"result.3441",0,7,13,107.6833588,99.74879552,194.39680036,2088071.50143143,1499,18,0.895723532664483
"result.2945",0,8,11,107.6833588,100.31555004,193.26329132,2087691.02193044,1499,18,0.893901182801292
"result.3809",0,14,14,106.17780944,102.265995408,192.237718144,2087390.07333483,1488,17.5,0.892459755258926
"result.2449",0,9,9,107.6833588,100.88230456,192.12978228,2087172.18624727,1499,18,0.891416160260577
"result.3794",1,13,14,106.736640016,101.707164832,192.237718144,2086909.79951871,1492,17.5,0.890159429168208
"result.3313",0,15,12,106.17780944,102.824825984,191.120056992,2086594.27079067,1488,17.5,0.888648168422562
"result.1953",0,10,7,107.6833588,101.44905908,190.99627324,2086514.99438193,1498,18,0.88826846504234
"result.3779",2,12,14,107.295470592,101.148334256,192.237718144,2086309.45724855,1496,17.5,0.887284021554811
"result.3298",1,14,12,106.736640016,102.265995408,191.120056992,2086176.47445499,1492,17.5,0.88664708533347
"result.1457",0,11,5,107.6833588,102.0158136,189.8627642,2085719.4463344,1498,18,0.884458097146578
"result.3283",2,13,12,107.295470592,101.707164832,191.120056992,2085639.30773768,1495,17.5,0.884074264218924
"result.3764",3,11,14,107.854301168,100.58950368,192.237718144,2085589.04652436,1499,17.5,0.883833532418733
"result.2802",1,15,10,106.736640016,102.824825984,190.00239584,2085309.8175615,1491,17.5,0.88249613352878
"result.3268",3,12,12,107.854301168,101.148334256,191.120056992,2084982.77063875,1499,17.5,0.880929705078923
"result.2787",2,14,10,107.295470592,102.265995408,190.00239584,2084835.12832463,1495,17.5,0.880222555415862
"result.961",0,12,3,107.6833588,102.58256812,188.72925516,2084785.5421047,1498,18,0.879985056573292
"result.2772",3,13,10,107.854301168,101.707164832,190.00239584,2084241.76677855,1499,17.5,0.877380582774713
"result.2291",2,15,8,107.295470592,102.824825984,188.884734688,2083896.91900941,1495,17.5,0.875728895145621
"result.465",0,13,1,107.6833588,103.14932264,187.59574612,2083713.28169282,1497,18,0.874849343322483
"result.2276",3,14,8,107.854301168,102.265995408,188.884734688,2083366.03494377,1498,17.5,0.8731861655061
"result.1780",3,15,6,107.854301168,102.824825984,187.767073536,2082355.5751344,1498,17.5,0.868346453273084
"result.3681",0,6,14,107.6833588,99.182041,194.96355488,2082260.54177995,1497,18,0.867891280208482
"result.4049",0,13,15,106.17780944,101.707164832,192.79654872,2082018.40616175,1486,17.5,0.866731544113466
"result.3185",0,7,12,107.6833588,99.74879552,193.83004584,2081983.8294156,1497,18,0.866565934853435
"result.2689",0,8,10,107.6833588,100.31555004,192.6965368,2081568.76086906,1497,18,0.864577916820864
"result.4034",1,12,15,106.736640016,101.148334256,192.79654872,2081476.52745569,1490,17.5,0.864136154392653
"result.3553",0,14,13,106.17780944,102.265995408,191.678887568,2081322.07893561,1486,17.5,0.863396405631648
"result.3666",1,5,14,108.25011332,98.61528648,194.96355488,2081258.55174481,1500,18,0.863092134922836
"result.3170",1,6,12,108.25011332,99.182041,193.83004584,2081049.92518589,1500,18,0.86209289428015
"result.2193",0,9,8,107.6833588,100.88230456,191.56302776,2081015.33614035,1496,18,0.861927226110768
"result.3538",1,13,13,106.736640016,101.707164832,191.678887568,2080843.20126429,1490,17.5,0.861102766535379
"result.4019",2,11,15,107.295470592,100.58950368,192.79654872,2080814.2312594,1494,17.5,0.860964011400546
"result.2674",1,7,10,108.25011332,99.74879552,192.6965368,2080702.21425437,1500,18,0.860427493209004
"result.3057",0,15,11,106.17780944,102.824825984,190.561226416,2080493.1179521,1486,17.5,0.859426002677101
"result.1697",0,10,6,107.6833588,101.44905908,190.42951872,2080323.55522946,1496,18,0.858613862723149
"result.3523",2,12,13,107.295470592,101.148334256,191.678887568,2080244.60417516,1493,17.5,0.858235717665044
"result.2178",1,8,8,108.25011332,100.31555004,191.56302776,2080215.41895023,1500,18,0.858095931709401
"result.3042",1,14,11,106.736640016,102.265995408,190.561226416,2080076.54324313,1490,17.5,0.857430770708154
"result.4004",3,10,15,107.854301168,100.030673104,192.79654872,2080031.51757287,1497,17.5,0.85721511513715
"result.1682",1,9,6,108.25011332,100.88230456,190.42951872,2079589.53927348,1500,18,0.855098209781339
"result.3027",2,13,11,107.295470592,101.707164832,190.561226416,2079540.94718874,1493,17.5,0.854865472462364
"result.3508",3,11,13,107.854301168,100.58950368,191.678887568,2079526.28766819,1497,17.5,0.854795259020641
"result.1201",0,11,4,107.6833588,102.0158136,189.29600968,2079493.41813639,1496,18,0.854637826658007
"result.2546",1,15,9,106.736640016,102.824825984,189.443565264,2079176.5533922,1489,17.5,0.853120166910976
"result.4087",6,15,15,107.95536724,101.34585496,190.02347805,2079014.37751721,1498,17,0.852343407104364
"result.3012",3,12,11,107.854301168,101.148334256,190.561226416,2078886.32978893,1497,17.5,0.851730107939731
"result.1186",1,10,4,108.25011332,101.44905908,189.29600968,2078824.57522413,1500,18,0.851434327424819
"result.2531",2,14,9,107.295470592,102.265995408,189.443565264,2078703.26030015,1493,17.5,0.850853275792507
"result.705",0,12,2,107.6833588,102.58256812,188.16250064,2078524.92486114,1496,18,0.84999911791534
"result.2997",4,11,11,108.413131744,100.58950368,190.561226416,2078112.69104369,1500,17.5,0.848024677140257
"result.2516",3,13,9,107.854301168,101.707164832,189.443565264,2078111.64393508,1497,17.5,0.84801966189442
"result.690",1,11,2,108.25011332,102.0158136,188.16250064,2077920.52680216,1499,18,0.847104284639841
"result.2035",2,15,7,107.295470592,102.824825984,188.325904112,2077731.54350938,1493,17.5,0.846199127655472
"result.209",0,13,0,107.6833588,103.14932264,187.0289916,2077418.07540372,1495,18,0.844697736495149
"result.2501",4,12,9,108.413131744,101.148334256,189.443565264,2077401.704297,1500,17.5,0.844619325216716
"result.2020",3,14,7,107.854301168,102.265995408,188.325904112,2077202.23010666,1496,17.5,0.843663920884706
"result.194",1,12,0,108.25011332,102.58256812,187.0289916,2076877.39400758,1499,18,0.842108081426405
"result.2005",4,13,7,108.413131744,101.707164832,188.325904112,2076555.29150332,1500,17.5,0.840565334831548
"result.3921",0,5,15,107.6833588,98.61528648,195.5303094,2076380.40403738,1495,18,0.83972769141372
"result.3425",0,6,13,107.6833588,99.182041,194.39680036,2076207.45880966,1495,18,0.838899350566816
"result.1524",3,15,5,107.854301168,102.824825984,187.20824296,2076158.08830365,1496,17.5,0.838662884910591
"result.3793",0,13,14,106.17780944,101.707164832,192.237718144,2075983.57020186,1484,17.5,0.83782701060437
"result.2929",0,7,11,107.6833588,99.74879552,193.26329132,2075896.15739976,1495,18,0.837408337042388
"result.1509",4,14,5,108.413131744,102.265995408,187.20824296,2075573.45266265,1500,17.5,0.835862705984752
"result.2433",0,8,9,107.6833588,100.31555004,192.12978228,2075446.49980768,1494,18,0.835254650840435
"result.3778",1,12,14,106.736640016,101.148334256,192.237718144,2075443.26215872,1488,17.5,0.835239143752312
"result.3906",1,4,15,108.25011332,98.04853196,195.5303094,2075312.69481571,1498,18,0.834613776606251
"result.3297",0,14,12,106.17780944,102.265995408,191.120056992,2075254.08453638,1484,17.5,0.83433305600437
"result.3410",1,5,13,108.25011332,98.61528648,194.39680036,2075208.38153625,1498,18,0.834114156284908
"result.2914",1,6,11,108.25011332,99.182041,193.26329132,2074964.98388418,1498,18,0.832948375535106
"result.1937",0,9,7,107.6833588,100.88230456,190.99627324,2074858.48603343,1494,18,0.832438291960959
"result.3763",2,11,14,107.295470592,100.58950368,192.237718144,2074782.88566154,1492,17.5,0.832076195377575
"result.3282",1,13,12,106.736640016,101.707164832,191.120056992,2074776.60300988,1488,17.5,0.832046103902551
"result.2418",1,7,9,108.25011332,99.74879552,192.12978228,2074582.5018595,1498,18,0.831116434356845
"result.1013",4,15,3,108.413131744,102.824825984,186.090581808,2074456.18777499,1499,17.5,0.830511438676331
"result.2801",0,15,10,106.17780944,102.824825984,190.00239584,2074391.96511354,1484,17.5,0.830203836931642
"result.3267",2,12,12,107.295470592,101.148334256,191.120056992,2074179.75110176,1491,17.5,0.829187413775278
"result.1441",0,10,5,107.6833588,101.44905908,189.8627642,2074132.11607699,1494,18,0.828959260403959
"result.1922",1,8,7,108.25011332,100.31555004,190.99627324,2074060.93546221,1498,18,0.828618332750128
"result.3748",3,10,14,107.854301168,100.030673104,192.237718144,2074002.44071034,1495,17.5,0.828338165480158
"result.2786",1,14,10,106.736640016,102.265995408,190.00239584,2073976.61203128,1487,17.5,0.828214456082837
"result.3252",3,11,12,107.854301168,100.58950368,191.120056992,2073463.52881201,1495,17.5,0.82575698562255
"result.2771",2,13,10,107.295470592,101.707164832,190.00239584,2073442.5866398,1491,17.5,0.825656680705804
"result.1426",1,9,5,108.25011332,100.88230456,189.8627642,2073400.28469231,1498,18,0.825454070714952
"result.945",0,11,3,107.6833588,102.0158136,188.72925516,2073267.38993838,1494,18,0.824817556169435
"result.3733",4,9,14,108.413131744,99.471842528,192.237718144,2073101.92730511,1499,17.5,0.824025054060062
"result.2290",1,15,8,106.736640016,102.824825984,188.884734688,2073043.2892229,1487,17.5,0.823744200293172
"result.3831",6,15,14,107.95536724,101.34585496,189.47268536,2072988.24888672,1495,17,0.823480578340221
"result.2756",3,12,10,107.854301168,101.148334256,190.00239584,2072789.88893911,1495,17.5,0.82253051080054
"result.3237",4,10,12,108.413131744,100.030673104,191.120056992,2072627.93614064,1498,17.5,0.821754819444367
"result.930",1,10,3,108.25011332,101.44905908,188.72925516,2072600.5495498,1497,18,0.821623648251318
"result.2275",2,14,8,107.295470592,102.265995408,188.884734688,2072571.39227566,1491,17.5,0.821483996169152
"result.449",0,12,1,107.6833588,102.58256812,187.59574612,2072264.30761759,1493,18,0.820013179257387
"result.3816",7,14,14,108.50615993,100.79506227,189.47268536,2072240.99824244,1499,17,0.819901536352831
"result.2741",4,11,10,108.413131744,100.58950368,190.00239584,2072018.51892919,1498,17.5,0.818835946367046
"result.2260",3,13,8,107.854301168,101.707164832,188.884734688,2071981.52109162,1494,17.5,0.818658741014127
"result.434",1,11,1,108.25011332,102.0158136,187.59574612,2071661.73003468,1497,18,0.817127065359224
"result.1779",2,15,6,107.295470592,102.824825984,187.767073536,2071566.16800936,1490,17.5,0.816669360165324
"result.3320",7,15,12,108.50615993,101.34585496,188.37109998,2071450.97117487,1499,17,0.816117611818757
"result.2245",4,12,8,108.413131744,101.148334256,188.884734688,2071273.67567076,1498,17.5,0.815268434828098
"result.1764",3,14,6,107.854301168,102.265995408,187.767073536,2071038.42526954,1494,17.5,0.814141676263313
"result.4033",0,12,15,106.17780944,101.148334256,192.79654872,2070578.74458943,1482,17.5,0.811939983340729
"result.1749",4,13,6,108.413131744,101.707164832,187.767073536,2070393.40636533,1498,17.5,0.811052284827523
"result.3665",0,5,14,107.6833588,98.61528648,194.96355488,2070361.91011264,1493,18,0.810901429941436
"result.3169",0,6,12,107.6833588,99.182041,193.83004584,2070154.37583937,1493,18,0.809907420925149
"result.4018",1,11,15,106.736640016,100.58950368,192.79654872,2069976.65713825,1486,17.5,0.809056216984269
"result.1268",3,15,4,107.854301168,102.824825984,186.649412384,2069960.60147289,1494,17.5,0.808979316548097
"result.3537",0,13,13,106.17780944,101.707164832,191.678887568,2069948.73424197,1482,17.5,0.808922477095274
"result.2673",0,7,10,107.6833588,99.74879552,192.6965368,2069808.48538393,1492,18,0.80825073923134
"result.3522",1,12,13,106.736640016,101.148334256,191.678887568,2069409.99686174,1486,17.5,0.806342133111971
"result.1253",4,14,4,108.413131744,102.265995408,186.649412384,2069377.71101291,1497,17.5,0.806187496365321
"result.2177",0,8,8,107.6833588,100.31555004,191.56302776,2069324.2387463,1492,18,0.805931384860007
"result.3650",1,4,14,108.25011332,98.04853196,194.96355488,2069297.2957003,1496,18,0.805802338075436
"result.4003",2,10,15,107.295470592,100.030673104,192.79654872,2069254.15219685,1490,17.5,0.805595697356517
"result.3041",0,14,11,106.17780944,102.265995408,190.561226416,2069186.09013715,1482,17.5,0.805269706377091
"result.3154",1,5,12,108.25011332,98.61528648,193.83004584,2069158.21132769,1496,18,0.805136177646978
"result.2658",1,6,10,108.25011332,99.182041,192.6965368,2068880.04258247,1496,18,0.803803856790061
"result.3507",2,11,13,107.295470592,100.58950368,191.678887568,2068751.54006369,1489,17.5,0.803188379354603
"result.3026",1,13,11,106.736640016,101.707164832,190.561226416,2068710.00475547,1485,17.5,0.802989441269723
"result.1681",0,9,6,107.6833588,100.88230456,190.42951872,2068701.6359265,1492,18,0.80294935781115
"result.2162",1,7,8,108.25011332,99.74879552,191.56302776,2068462.78946464,1496,18,0.801805375504687
"result.3988",3,9,15,107.854301168,99.471842528,192.79654872,2068411.2297652,1493,17.5,0.801558424457473
"result.4086",5,15,15,107.40457455,101.34585496,190.02347805,2068407.16130539,1490,17,0.801538938106256
"result.2545",0,15,9,106.17780944,102.824825984,189.443565264,2068290.81227497,1481,17.5,0.800981671186181
"result.757",4,15,2,108.413131744,102.824825984,185.531751232,2068226.58961351,1497,17.5,0.800674069441493
"result.3011",2,12,11,107.295470592,101.148334256,190.561226416,2068114.89802836,1489,17.5,0.800139109885511
"result.3635",2,3,14,108.81686784,97.48177744,194.96355488,2068107.43253357,1500,18,0.800103353048731
"result.3139",2,4,12,108.81686784,98.04853196,193.83004584,2068037.52625205,1500,18,0.799768528959035
"result.3492",3,10,13,107.854301168,100.030673104,191.678887568,2067973.36384781,1493,17.5,0.799461215823167
"result.1185",0,10,4,107.6833588,101.44905908,189.29600968,2067940.67692452,1492,18,0.799304658084769
"result.1666",1,8,6,108.25011332,100.31555004,190.42951872,2067906.45197419,1496,18,0.799140733790854
"result.2530",1,14,9,106.736640016,102.265995408,189.443565264,2067876.68081942,1485,17.5,0.798998141457521
"result.2643",2,5,10,108.81686784,98.61528648,192.6965368,2067827.80740748,1500,18,0.798764056689946
"result.4071",6,14,15,107.95536724,100.79506227,190.02347805,2067715.38633505,1494,17,0.798225603171597
"result.2147",2,6,8,108.81686784,99.182041,191.56302776,2067478.27599987,1499,18,0.797089936241465
"result.3973",4,8,15,108.413131744,98.913011952,192.79654872,2067447.88984332,1497,17.5,0.796944398287138
"result.2996",3,11,11,107.854301168,100.58950368,190.561226416,2067400.76995584,1493,17.5,0.796718712224458
"result.2515",2,13,9,107.295470592,101.707164832,189.443565264,2067344.22609086,1489,17.5,0.796447888949243
"result.1170",1,9,4,108.25011332,100.88230456,189.29600968,2067211.03011114,1495,18,0.795809931648565
"result.3477",4,9,13,108.413131744,99.471842528,191.678887568,2067075.4682141,1496,17.5,0.795160642517664
"result.689",0,11,2,107.6833588,102.0158136,188.16250064,2067041.36174037,1491,18,0.794997285680864
"result.1651",2,7,6,108.81686784,99.74879552,190.42951872,2066988.93202922,1499,18,0.794746167613592
"result.3575",6,15,13,107.95536724,101.34585496,188.92189267,2066962.12025624,1493,17,0.794617749576079
"result.2034",1,15,7,106.736640016,102.824825984,188.325904112,2066910.02505361,1485,17.5,0.794368233675367
"result.4056",7,13,15,108.50615993,100.24426958,190.02347805,2066908.31553632,1497,17,0.794360045747828
"result.2500",3,12,9,107.854301168,101.148334256,189.443565264,2066693.44808928,1492,17.5,0.793330913661348
"result.2981",4,10,11,108.413131744,100.030673104,190.561226416,2066567.62053789,1496,17.5,0.792728248286562
"result.2019",2,14,7,107.295470592,102.265995408,188.325904112,2066439.52425118,1489,17.5,0.792114716545797
"result.674",1,10,2,108.25011332,101.44905908,188.16250064,2066376.52387548,1495,18,0.791812969077816
"result.246",5,15,0,108.97196232,102.824825984,184.41409008,2066364.13243121,1500,17.5,0.791753618845509
"result.3958",5,7,15,108.97196232,98.354181376,192.79654872,2066364.13243121,1500,17.5,0.791753618845509
"result.1155",2,8,4,108.81686784,100.31555004,189.29600968,2066359.77549553,1499,18,0.791732750806326
"result.3560",7,14,13,108.50615993,100.79506227,188.92189267,2066217.0418522,1497,17,0.791049111780513
"result.3462",5,8,13,108.97196232,98.913011952,191.678887568,2066057.85316257,1500,17.5,0.790286659438094
"result.193",0,12,0,107.6833588,102.58256812,187.0289916,2066003.69037403,1491,18,0.790027240599435
"result.2485",4,11,9,108.413131744,100.58950368,189.443565264,2065924.3468147,1496,17.5,0.789647215593834
"result.2004",3,13,7,107.854301168,101.707164832,188.325904112,2065851.39824815,1492,17.5,0.789297820133835
"result.2966",5,9,11,108.97196232,99.471842528,190.561226416,2065615.44977453,1500,17.5,0.788167718071825
"result.659",2,9,2,108.81686784,100.88230456,188.16250064,2065590.80639879,1499,18,0.788049685819667
"result.178",1,11,0,108.25011332,102.0158136,187.0289916,2065402.9332672,1495,18,0.787149846078608
"result.1523",2,15,5,107.295470592,102.824825984,187.20824296,2065400.79250933,1488,17.5,0.787139592675173
