"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4083",2,15,15,134.805967725,108.353475945,113.94919536,1664421.16275892,1497,14.5,1
"result.3828",3,15,14,135.31466949,108.353475945,113.440493595,1663243.50627584,1500,14.5,0.99268069982524
"result.4068",3,14,15,135.31466949,107.84477418,113.94919536,1662858.32598638,1500,14.5,0.990286750315811
"result.4082",1,15,15,134.29726596,108.353475945,113.94919536,1658140.32818247,1492,14.5,0.960963732401281
"result.3827",2,15,14,134.805967725,108.353475945,113.440493595,1656990.71113946,1494,14.5,0.9538187012783
"result.4067",2,14,15,134.805967725,107.84477418,113.94919536,1656606.9788962,1494,14.5,0.951433751579058
"result.3572",3,15,13,135.31466949,108.353475945,112.93179183,1655785.0152163,1496,14.5,0.94632513205176
"result.3812",3,14,14,135.31466949,107.84477418,113.440493595,1655434.8513168,1496,14.5,0.944148814315916
"result.4052",3,13,15,135.31466949,107.336072415,113.94919536,1655014.65463739,1496,14.5,0.941537233032904
"result.3317",4,15,12,135.823371255,108.353475945,112.423090065,1654523.240413,1499,14.5,0.938483024721661
"result.3557",4,14,13,135.823371255,107.84477418,112.93179183,1654206.90813837,1498,14.5,0.936516975278339
"result.3797",4,13,14,135.823371255,107.336072415,113.440493595,1653820.27980271,1498,14.5,0.934114025958726
"result.4037",4,12,15,135.823371255,106.82737065,113.94919536,1653363.35540602,1498,14.5,0.931274176762818
"result.1265",0,15,4,136.07460885,110.20491135,110.20491135,1652642.79167171,1499,15,0.926795772115781
"result.1505",0,14,5,136.07460885,109.6875174,110.7223053,1652606.36497525,1499,15,0.926569375089491
"result.3542",5,13,13,136.33207302,107.336072415,112.93179183,1652570.35265014,1500,14.5,0.926345553439237
"result.1745",0,13,6,136.07460885,109.17012345,111.23969925,1652497.08488587,1499,15,0.925890184010619
"result.1985",0,12,7,136.07460885,108.6527295,111.7570932,1652314.95140357,1499,15,0.924758198879165
"result.3782",5,12,14,136.33207302,106.82737065,113.440493595,1652146.9965972,1500,14.5,0.923714336206727
"result.2225",0,11,8,136.07460885,108.13533555,112.27448715,1652059.96452836,1499,15,0.923173419695132
"result.4081",0,15,15,133.788564195,108.353475945,113.94919536,1651859.49360602,1486,14.5,0.92192746480256
"result.2465",0,10,9,136.07460885,107.6179416,112.7918811,1651732.12426022,1499,15,0.921135846458516
"result.4022",5,11,15,136.33207302,106.318668885,113.94919536,1651653.0812021,1500,14.5,0.920644582768799
"result.2705",0,9,10,136.07460885,107.10054765,113.30927505,1651331.43059917,1499,15,0.91864547916932
"result.2945",0,8,11,136.07460885,106.5831537,113.826669,1650857.88354519,1498,15,0.915702317827543
"result.3826",1,15,14,134.29726596,108.353475945,113.440493595,1650737.91600309,1488,14.5,0.914956702731361
"result.4066",1,14,15,134.29726596,107.84477418,113.94919536,1650355.63180603,1488,14.5,0.912580752842304
"result.3185",0,7,12,136.07460885,106.06575975,114.34406295,1650311.4830983,1498,15,0.912306362433185
"result.3425",0,6,13,136.07460885,105.5483658,114.8614569,1649692.22925849,1498,15,0.908457612986245
"result.3571",2,15,13,134.805967725,108.353475945,112.93179183,1649560.25952,1491,14.5,0.907637402556601
"result.3811",2,14,14,134.805967725,107.84477418,113.440493595,1649211.41202613,1491,14.5,0.90546926646638
"result.2930",1,7,11,136.5920028,106.06575975,113.826669,1649090.56549643,1500,15,0.904718188339073
"result.3665",0,5,14,136.07460885,105.03097185,115.37885085,1649000.12202576,1497,15,0.904156069486724
"result.4051",2,13,15,134.805967725,107.336072415,113.94919536,1648792.79503349,1490,14.5,0.902867503158115
"result.3170",1,6,12,136.5920028,105.5483658,114.34406295,1648505.52228029,1500,15,0.901082062715304
"result.3316",3,15,12,135.31466949,108.353475945,112.423090065,1648326.52415677,1493,14.5,0.899969564278281
"result.3905",0,4,15,136.07460885,104.5135779,115.8962448,1648235.16140011,1497,15,0.899401731934623
"result.3556",3,14,13,135.31466949,107.84477418,112.93179183,1648011.37664721,1493,14.5,0.898010878316022
"result.3410",1,5,13,136.5920028,105.03097185,114.8614569,1647847.34866214,1500,15,0.896991421388564
"result.3796",3,13,14,135.31466949,107.336072415,113.440493595,1647626.19635775,1493,14.5,0.895616928806593
"result.4036",3,12,15,135.31466949,106.82737065,113.94919536,1647170.98328839,1492,14.5,0.892787715749996
"result.3650",1,4,14,136.5920028,104.5135779,115.37885085,1647116.04464196,1499,15,0.892446264358851
"result.3061",4,15,11,135.823371255,108.353475945,111.9143883,1647036.70991339,1495,14.5,0.891953187896401
"result.3301",4,14,12,135.823371255,107.84477418,112.423090065,1646755.52566928,1495,14.5,0.890205588391226
"result.3541",4,13,13,135.823371255,107.336072415,112.93179183,1646404.04536413,1495,14.5,0.888021089009759
"result.3890",1,3,15,136.5920028,103.99618395,115.8962448,1646311.61021977,1499,15,0.887446591626169
"result.3781",4,12,14,135.823371255,106.82737065,113.440493595,1645982.26899796,1495,14.5,0.885399689751999
"result.2806",5,15,10,136.33207302,108.353475945,111.405686535,1645690.81678987,1497,14.5,0.883588273410961
"result.4021",4,11,15,135.823371255,106.318668885,113.94919536,1645490.19657075,1494,14.5,0.882341390617943
"result.3046",5,14,11,136.33207302,107.84477418,111.9143883,1645443.85909232,1497,14.5,0.882053396691997
"result.3286",5,13,12,136.33207302,107.336072415,112.423090065,1645126.34205262,1497,14.5,0.880079983767615
"result.1009",0,15,3,136.07460885,110.20491135,109.6875174,1644883.90532583,1496,15,0.878573205515891
"result.1249",0,14,4,136.07460885,109.6875174,110.20491135,1644883.90532583,1496,15,0.878573205515891
"result.1489",0,13,5,136.07460885,109.17012345,110.7223053,1644811.05193291,1496,15,0.87812041146331
"result.3526",5,12,13,136.33207302,106.82737065,112.93179183,1644738.26567075,1497,14.5,0.877668034637816
"result.1729",0,12,6,136.07460885,108.6527295,111.23969925,1644665.34514708,1495,15,0.877214823358147
"result.3825",0,15,14,133.788564195,108.353475945,113.440493595,1644485.12086671,1483,14.5,0.876094704184421
"result.1969",0,11,7,136.07460885,108.13533555,111.7570932,1644446.78496832,1495,15,0.875856441200405
"result.2551",6,15,9,136.840774785,108.353475945,110.89698477,1644288.8447862,1500,14.5,0.874874820821961
"result.3766",5,11,14,136.33207302,106.318668885,113.440493595,1644279.62994674,1497,14.5,0.874817549302597
"result.2209",0,10,8,136.07460885,107.6179416,112.27448715,1644155.37139664,1495,15,0.87404526499008
"result.4065",0,14,15,133.788564195,107.84477418,113.94919536,1644104.28471585,1483,14.5,0.873727754105549
"result.2791",6,14,10,136.840774785,107.84477418,111.405686535,1644076.37691634,1499,14.5,0.873554303218332
"result.3031",6,13,11,136.840774785,107.336072415,111.9143883,1643793.08642321,1499,14.5,0.871793613080161
