"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4096",15,15,15,48.20830061,71.1270009,113.01290143,387511.27588496,432,40,1
"result.3840",15,15,14,48.20830061,71.1270009,112.22260142,384801.406822827,430,40,0.9840160712726
"result.4080",15,14,15,48.20830061,70.33670089,113.01290143,383205.595041793,429,40,0.974603313244243
"result.3584",15,15,13,48.20830061,71.1270009,111.43230141,382091.537760694,429,40,0.968032142545201
"result.4095",14,15,15,47.4180006,71.1270009,113.01290143,381158.632017993,425,40,0.962529478557079
"result.3824",15,14,14,48.20830061,70.33670089,112.22260142,380525.835635907,428,40,0.958796983724925
"result.3328",15,15,12,48.20830061,71.1270009,110.6420014,379381.668698562,427,40,0.952048213817801
"result.4064",15,13,15,48.20830061,69.54640088,113.01290143,378899.914198627,427,40,0.949206626488485
"result.3839",14,15,14,47.4180006,71.1270009,112.22260142,378493.187038846,423,40,0.946807581448161
"result.3568",15,14,13,48.20830061,70.33670089,111.43230141,377846.07623002,426,40,0.942990654205608
"result.4079",14,14,15,47.4180006,70.33670089,113.01290143,376923.536106682,422,40,0.937549130928465
"result.3072",15,15,11,48.20830061,71.1270009,109.85170139,376671.799636429,426,40,0.936064285090401
"result.3808",15,13,14,48.20830061,69.54640088,112.22260142,376250.264448986,425,40,0.93357789617725
"result.3583",14,15,13,47.4180006,71.1270009,111.43230141,375827.742059699,422,40,0.931085684339243
"result.3312",15,14,12,48.20830061,70.33670089,110.6420014,375166.316824133,425,40,0.92718432468629
"result.4094",13,15,15,46.62770059,71.1270009,113.01290143,374805.988151026,418,40,0.925058957114159
"result.4048",15,12,15,48.20830061,68.75610087,113.01290143,374594.233355461,424,40,0.923809939732728
"result.3823",14,14,14,47.4180006,70.33670089,112.22260142,374287.707182859,421,40,0.922001921565202
"result.2816",15,15,10,48.20830061,71.1270009,109.06140138,373961.930574297,424,40,0.920080356363001
"result.3552",15,13,13,48.20830061,69.54640088,111.43230141,373600.614699346,424,40,0.917949165866014
"result.3327",14,15,12,47.4180006,71.1270009,110.6420014,373162.297080553,420,40,0.915363787230326
"result.4063",14,13,15,47.4180006,69.54640088,113.01290143,372688.440195371,420,40,0.912568783299851
"result.3056",15,14,11,48.20830061,70.33670089,109.85170139,372486.557418247,423,40,0.911377995166972
"result.3838",13,15,14,46.62770059,71.1270009,112.22260142,372184.967254865,416,40,0.909599091623723
"result.3792",15,12,14,48.20830061,68.75610087,112.22260142,371974.693262066,423,40,0.908358808629575
"result.3567",14,14,13,47.4180006,70.33670089,111.43230141,371651.878259036,419,40,0.906454712201939
"result.2560",15,15,9,48.20830061,71.1270009,108.27110137,371252.061512164,423,40,0.904096427635601
"result.3296",15,13,12,48.20830061,69.54640088,110.6420014,370950.964949705,422,40,0.902320435554779
"result.4078",13,14,15,46.62770059,70.33670089,113.01290143,370641.477171571,415,40,0.900494948612688
"result.3071",14,15,11,47.4180006,71.1270009,109.85170139,370496.852101406,419,40,0.899641890121408
"result.4032",15,11,15,48.20830061,67.96580086,113.01290143,370288.552512295,422,40,0.89841325297697
"result.3807",14,13,14,47.4180006,69.54640088,112.22260142,370082.227326872,418,40,0.897196261682243
"result.2800",15,14,10,48.20830061,70.33670089,109.06140138,369806.79801236,422,40,0.895571665647655
"result.3582",13,15,13,46.62770059,71.1270009,111.43230141,369563.946358704,415,40,0.894139226133287
"result.3536",15,12,13,48.20830061,68.75610087,111.43230141,369355.153168671,421,40,0.892907677526422
"result.3311",14,14,12,47.4180006,70.33670089,110.6420014,369016.049335213,418,40,0.890907502838676
"result.2304",15,15,8,48.20830061,71.1270009,107.48080136,368542.192450031,421,40,0.888112498908202
"result.4047",14,12,15,47.4180006,68.75610087,113.01290143,368453.34428406,417,40,0.887588435671238
"result.4093",12,15,15,45.83740058,71.1270009,113.01290143,368453.34428406,410,40,0.887588435671238
"result.3040",15,13,11,48.20830061,69.54640088,109.85170139,368301.315200064,421,40,0.886691705243544
"result.3822",13,14,14,46.62770059,70.33670089,112.22260142,368049.578729811,414,40,0.885206859405479
"result.2815",14,15,10,47.4180006,71.1270009,109.06140138,367831.407122259,417,40,0.88391999301249
"result.3776",15,11,14,48.20830061,67.96580086,112.22260142,367699.122075146,421,40,0.883139721081899
"result.3551",14,13,13,47.4180006,69.54640088,111.43230141,367476.014458373,417,40,0.881823740064634
"result.2544",15,14,9,48.20830061,70.33670089,108.27110137,367127.038606473,420,40,0.879765336128337
"result.3326",13,15,12,46.62770059,71.1270009,110.6420014,366942.925462543,413,40,0.878679360642851
"result.3280",15,12,12,48.20830061,68.75610087,110.6420014,366735.613075276,420,40,0.877456546423269
"result.4062",13,13,15,46.62770059,69.54640088,113.01290143,366476.966192115,413,40,0.875930940111218
"result.3055",14,14,11,47.4180006,70.33670089,109.85170139,366380.22041139,416,40,0.875360293475413
"result.4016",15,10,15,48.20830061,67.17550085,113.01290143,365982.871669128,420,40,0.873016566221213
"result.3791",14,12,14,47.4180006,68.75610087,112.22260142,365876.747470885,416,40,0.872390601799284
"result.3837",12,15,14,45.83740058,71.1270009,112.22260142,365876.747470885,409,40,0.872390601799284
"result.2048",15,15,7,48.20830061,71.1270009,106.69050135,365832.323387899,419,40,0.872128570180802
"result.2784",15,13,10,48.20830061,69.54640088,109.06140138,365651.665450423,419,40,0.871062974932308
"result.3566",13,14,13,46.62770059,70.33670089,111.43230141,365457.680288052,412,40,0.869918770198271
"result.2559",14,15,9,47.4180006,71.1270009,108.27110137,365165.962143112,416,40,0.868198095903573
"result.3520",15,11,13,48.20830061,67.96580086,111.43230141,365109.691637997,419,40,0.867866189186829
"result.3295",14,13,12,47.4180006,69.54640088,110.6420014,364869.801589874,415,40,0.866451218447026
"result.2288",15,14,8,48.20830061,70.33670089,107.48080136,364447.279200587,419,40,0.86395900660902
"result.4077",12,14,15,45.83740058,70.33670089,113.01290143,364359.418236459,408,40,0.863440766296911
"result.3070",13,15,11,46.62770059,71.1270009,109.85170139,364321.904566382,412,40,0.863219495152415
"result.4031",14,11,15,47.4180006,67.96580086,113.01290143,364218.248372749,415,40,0.862608088042624
"result.3024",15,12,11,48.20830061,68.75610087,109.85170139,364116.072981882,418,40,0.862005415320115
"result.3806",13,13,14,46.62770059,69.54640088,112.22260142,363914.190204757,411,40,0.860814627187236
