"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4085",4,15,15,146.4322248,94.89193515,110.30585355,1532725.99737457,1498,13,1
"result.3830",5,15,14,146.91390975,94.89193515,109.8241686,1531052.71571805,1499,13,0.989216379694065
"result.4070",5,14,15,146.91390975,94.4102502,110.30585355,1529961.93098871,1499,13,0.982186715374941
"result.1761",0,14,6,147.25674,96.2077368,107.988276,1529895.57317156,1500,13.5,0.981759066209228
"result.2001",0,13,7,147.25674,95.716881,108.4791318,1529008.57434667,1500,13.5,0.976042719231929
"result.3697",0,7,14,147.25674,92.7717462,111.9151224,1528902.13448769,1500,13.5,0.975356757594654
"result.3815",6,14,14,147.3955947,94.4102502,109.8241686,1528275.23804453,1500,13,0.971316664770002
"result.2241",0,12,8,147.25674,95.2260252,108.9699876,1528050.61561579,1500,13.5,0.969869064496446
"result.4084",3,15,15,145.95053985,94.89193515,110.30585355,1527684.1355411,1493,13,0.967507249341329
"result.3937",0,6,15,147.25674,92.2808904,112.4059782,1527482.93636786,1499,13.5,0.966210602430976
"result.4055",6,13,15,147.3955947,93.92856525,110.30585355,1527146.6781883,1500,13,0.964043555108679
"result.2481",0,11,9,147.25674,94.7351694,109.4608434,1527021.69697892,1499,13.5,0.96323810200278
"result.3829",4,15,14,146.4322248,94.89193515,109.8241686,1526032.87074848,1494,13,0.956865518776262
"result.2721",0,10,10,147.25674,94.2443136,109.9516992,1525921.81843605,1499,13.5,0.956149831750929
"result.4069",4,14,15,146.4322248,94.4102502,110.30585355,1524945.66236252,1494,13,0.949858902536874
"result.2961",0,9,11,147.25674,93.7534578,110.442555,1524750.9799872,1498,13.5,0.948604253740894
"result.3922",1,5,15,147.7475958,91.7900346,112.4059782,1524422.55388897,1500,13.5,0.946487681000101
"result.3574",5,15,13,146.91390975,94.89193515,109.34248365,1524337.57222806,1496,13,0.94594000872946
"result.2466",1,10,9,147.7475958,94.2443136,109.4608434,1524173.36635243,1500,13.5,0.944881768589278
"result.1265",0,15,4,147.25674,96.6985926,107.0065644,1523722.06135033,1497,13.5,0.941973291247228
"result.3201",0,8,12,147.25674,93.262602,110.9334108,1523509.18163235,1497,13.5,0.940601367972677
"result.3814",5,14,14,146.91390975,94.4102502,109.8241686,1523280.87452151,1495,13,0.939130021420309
"result.2706",1,9,10,147.7475958,93.7534578,109.9516992,1523034.22332825,1500,13.5,0.937540454711232
"result.1505",0,14,5,147.25674,96.2077368,107.4974202,1522941.50238442,1497,13.5,0.936942905907205
"result.4083",2,15,15,145.4688549,94.89193515,110.30585355,1522642.27370763,1488,13,0.935014498682658
"result.3319",6,15,12,147.3955947,94.89193515,108.8607987,1522598.23997983,1498,13,0.934730719200922
