"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4096",15,15,15,84.56210107,108.27110137,113.01290143,1034704.51606514,935,40,1
"result.3840",15,15,14,84.56210107,108.27110137,112.22260142,1027468.8201486,932,40,0.977774745476185
"result.4080",15,14,15,84.56210107,107.48080136,113.01290143,1027151.92835664,931,40,0.976801376664923
"result.4095",14,15,15,83.77180106,108.27110137,113.01290143,1025034.38040098,926,40,0.970297089748547
"result.3584",15,15,13,84.56210107,108.27110137,111.43230141,1020233.12423206,928,40,0.95554949095237
"result.3824",15,14,14,84.56210107,107.48080136,112.22260142,1019969.04773876,928,40,0.954738350276319
"result.4064",15,13,15,84.56210107,106.69050135,113.01290143,1019599.34064813,928,40,0.953602753329846
"result.3839",14,15,14,83.77180106,108.27110137,112.22260142,1017866.30781076,923,40,0.948279547883833
"result.4079",14,14,15,83.77180106,107.48080136,113.01290143,1017552.37762433,923,40,0.947315275977349
"result.4094",13,15,15,82.98150105,108.27110137,113.01290143,1015364.24473682,917,40,0.940594179497093
"result.3328",15,15,12,84.56210107,108.27110137,110.6420014,1012997.42831552,925,40,0.933324236428555
"result.3568",15,14,13,84.56210107,107.48080136,111.43230141,1012786.16712088,925,40,0.932675323887714
"result.3808",15,13,14,84.56210107,106.69050135,112.22260142,1012469.27532891,925,40,0.931701955076452
"result.4048",15,12,15,84.56210107,105.90020134,113.01290143,1012046.75293963,925,40,0.930404129994769
"result.3583",14,15,13,83.77180106,108.27110137,111.43230141,1010698.23522055,920,40,0.926262006019119
"result.3823",14,14,14,83.77180106,107.48080136,112.22260142,1010436.62673185,920,40,0.925458446097049
"result.4063",14,13,15,83.77180106,106.69050135,113.01290143,1010070.37484768,919,40,0.924333462206151
"result.3838",13,15,14,82.98150105,108.27110137,112.22260142,1008263.79547293,914,40,0.91878435029148
"result.4078",13,14,15,82.98150105,107.48080136,113.01290143,1007952.82689203,914,40,0.917829175289775
"result.3072",15,15,11,84.56210107,108.27110137,109.85170139,1005761.73239898,922,40,0.91109898190474
"result.4093",12,15,15,82.19120104,108.27110137,113.01290143,1005694.10907266,909,40,0.910891269245639
"result.3312",15,14,12,84.56210107,107.48080136,110.6420014,1005603.286503,922,40,0.91061229749911
"result.3552",15,13,13,84.56210107,106.69050135,111.43230141,1005339.2100097,922,40,0.909801156823058
"result.3792",15,12,14,84.56210107,105.90020134,112.22260142,1004969.50291907,921,40,0.908665559876586
"result.4032",15,11,15,84.56210107,105.10990133,113.01290143,1004494.16523112,921,40,0.907205506659692
"result.3327",14,15,12,83.77180106,108.27110137,110.6420014,1003530.16263033,916,40,0.904244464154405
"result.3567",14,14,13,83.77180106,107.48080136,111.43230141,1003320.87583938,916,40,0.903601616216749
"result.3807",14,13,14,83.77180106,106.69050135,112.22260142,1003006.94565294,916,40,0.902637344310265
"result.4047",14,12,15,83.77180106,105.90020134,113.01290143,1002588.37207103,916,40,0.901351648434953
"result.3582",13,15,13,82.98150105,108.27110137,111.43230141,1001163.34620903,911,40,0.896974521085867
"result.3822",13,14,14,82.98150105,107.48080136,112.22260142,1000904.20572495,911,40,0.896178541917779
"result.4062",13,13,15,82.98150105,106.69050135,113.01290143,1000541.40904723,911,40,0.895064171082456
"result.3837",12,15,14,82.19120104,108.27110137,112.22260142,998661.283135089,905,40,0.889289152699127
"result.2816",15,15,10,84.56210107,108.27110137,109.06140138,998526.036482443,918,40,0.888873727380926
"result.3056",15,14,11,84.56210107,107.48080136,109.85170139,998420.405885122,918,40,0.888549271110505
"result.4077",12,14,15,82.19120104,107.48080136,113.01290143,998353.276159721,905,40,0.8883430746022
"result.3296",15,13,12,84.56210107,106.69050135,110.6420014,998209.144690478,918,40,0.887900358569664
"result.3536",15,12,13,84.56210107,105.90020134,111.43230141,997892.252898513,918,40,0.886926989758402
"result.3776",15,11,14,84.56210107,105.10990133,112.22260142,997469.730509226,918,40,0.885629164676719
"result.4016",15,10,15,84.56210107,104.31960132,113.01290143,996941.577522617,918,40,0.884006883324616
"result.3071",14,15,11,83.77180106,108.27110137,109.85170139,996362.090040114,913,40,0.882226922289691
"result.3311",14,14,12,83.77180106,107.48080136,110.6420014,996205.124946898,913,40,0.881744786336449
"result.4092",11,15,15,81.40090103,108.27110137,113.01290143,996023.9734085,900,40,0.881188358994186
"result.3551",14,13,13,83.77180106,106.69050135,111.43230141,995943.516458203,913,40,0.880941226414379
"result.3791",14,12,14,83.77180106,105.90020134,112.22260142,995577.264574032,913,40,0.879816242523482
"result.4031",14,11,15,83.77180106,105.10990133,113.01290143,995106.369294383,913,40,0.878369834663756
"result.3326",13,15,12,82.98150105,108.27110137,110.6420014,994062.896945139,908,40,0.875164691880254
"result.3566",13,14,13,82.98150105,107.48080136,111.43230141,993855.584557872,908,40,0.874527908545784
"result.3806",13,13,14,82.98150105,106.69050135,112.22260142,993544.615976971,907,40,0.873572733544079
"result.4046",13,12,15,82.98150105,105.90020134,113.01290143,993129.991202437,907,40,0.872299166875137
"result.3581",12,15,13,82.19120104,108.27110137,111.43230141,991628.457197518,902,40,0.867687036152616
"result.3821",12,14,14,82.19120104,107.48080136,112.22260142,991371.784718045,902,40,0.86689863773851
"result.2560",15,15,9,84.56210107,108.27110137,108.27110137,991290.340565904,915,40,0.866648472857111
"result.2800",15,14,10,84.56210107,107.48080136,109.06140138,991237.525267243,915,40,0.8664862447219
"result.3040",15,13,11,84.56210107,106.69050135,109.85170139,991079.07937126,915,40,0.865999560316269
"result.4061",12,13,15,82.19120104,106.69050135,113.01290143,991012.443246782,902,40,0.865794879958761
"result.3280",15,12,12,84.56210107,105.90020134,110.6420014,990815.002877956,915,40,0.865188419640218
"result.3520",15,11,13,84.56210107,105.10990133,111.43230141,990445.29578733,915,40,0.864052822693745
"result.3760",15,10,14,84.56210107,104.31960132,112.22260142,989969.958099382,914,40,0.862592769476852
"result.4000",15,9,15,84.56210107,103.52930131,113.01290143,989388.989814113,914,40,0.860808259989539
"result.2815",14,15,10,83.77180106,108.27110137,109.06140138,989194.017449897,910,40,0.860209380424977
"result.3055",14,14,11,83.77180106,107.48080136,109.85170139,989089.37405442,910,40,0.859887956456149
"result.3836",11,15,14,81.40090103,108.27110137,112.22260142,989058.770797252,897,40,0.859793955106775
"result.3295",14,13,12,83.77180106,106.69050135,110.6420014,988880.087263464,910,40,0.859245108518493
"result.4076",11,14,15,81.40090103,107.48080136,113.01290143,988753.725427416,897,40,0.858856973914626
"result.3535",14,12,13,83.77180106,105.90020134,111.43230141,988566.157077032,910,40,0.85828083661201
"result.3775",14,11,14,83.77180106,105.10990133,112.22260142,988147.583495121,909,40,0.856995140736698
"result.4015",14,10,15,83.77180106,104.31960132,113.01290143,987624.366517733,909,40,0.855388020892558
"result.3070",13,15,11,82.98150105,108.27110137,109.85170139,986962.447681245,904,40,0.853354862674642
"result.3310",13,14,12,82.98150105,107.48080136,110.6420014,986806.963390795,904,40,0.852877275173789
"result.3550",13,13,13,82.98150105,106.69050135,111.43230141,986547.822906711,904,40,0.852081296005701
"result.4091",10,15,15,80.61060102,108.27110137,113.01290143,986353.83774434,891,40,0.851485448742732
"result.3790",13,12,14,82.98150105,105.90020134,112.22260142,986185.026228994,904,40,0.850966925170378
"result.4030",13,11,15,82.98150105,105.10990133,113.01290143,985718.573357643,904,40,0.849534162667819
"result.3325",12,15,12,82.19120104,108.27110137,110.6420014,984595.631259947,899,40,0.846084919606104
"result.3565",12,14,13,82.19120104,107.48080136,111.43230141,984390.293276368,899,40,0.845454200874819
"result.3805",12,13,14,82.19120104,106.69050135,112.22260142,984082.286301,899,40,0.844508122777892
"result.2304",15,15,8,84.56210107,108.27110137,107.48080136,984054.644649365,912,40,0.844423218333295
"result.2544",15,14,9,84.56210107,107.48080136,108.27110137,984054.644649365,912,40,0.844423218333295
"result.2784",15,13,10,84.56210107,106.69050135,109.06140138,983949.014052043,912,40,0.844098762062875
"result.3024",15,12,11,84.56210107,105.90020134,109.85170139,983737.752857399,912,40,0.843449849522034
"result.4045",12,12,15,82.19120104,105.90020134,113.01290143,983671.610333843,899,40,0.843246685315322
"result.3264",15,11,12,84.56210107,105.10990133,110.6420014,983420.861065434,911,40,0.842476480710772
"result.3504",15,10,13,84.56210107,104.31960132,111.43230141,982998.338676147,911,40,0.841178655629089
"result.3744",15,9,14,84.56210107,103.52930131,112.22260142,982470.185689538,911,40,0.839556374276986
