"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4081",0,15,15,124.420825324,111.033774498,130.720613948,1805894.0216637,1498,39.5,1
"result.3569",0,15,13,124.86740158,111.43230141,129.60920164,1803416.38004647,1500,40,0.992307284635576
"result.3809",0,14,14,124.86740158,110.6420014,130.39950165,1801544.64535,1499,40,0.986495821768018
"result.4049",0,13,15,124.86740158,109.85170139,131.18980166,1799516.93276216,1499,40,0.980200070328163
"result.4082",1,15,15,124.75727823,110.63381277,130.24973702,1797755.50057324,1497,39,0.974731080636971
"result.3570",1,15,13,125.208298902,111.033774498,129.145666792,1795428.26402709,1499,39.5,0.967505351051738
"result.3825",0,15,14,124.420825324,111.033774498,129.93314037,1795015.14201512,1494,39.5,0.966222667540621
"result.3810",1,14,14,125.208298902,110.24630092,129.93314037,1793564.8200582,1498,39.5,0.96171962968245
"result.4065",0,14,15,124.420825324,110.24630092,130.720613948,1793086.26264481,1493,39.5,0.96023377880669
"result.3058",1,15,11,125.65770159,111.43230141,128.02860162,1792698.32962477,1500,40,0.959029303436695
"result.3313",0,15,12,124.86740158,111.43230141,128.81890163,1792419.93870472,1496,40,0.958164940288671
"result.4050",1,13,15,125.208298902,109.458827342,130.720613948,1791546.0890919,1497,39.5,0.955451764865722
"result.3298",1,14,12,125.65770159,110.6420014,128.81890163,1790971.71359939,1500,40,0.953668412848425
"result.3553",0,14,13,124.86740158,110.6420014,129.60920164,1790626.19295394,1495,40,0.952595621707261
"result.3828",3,15,14,125.868198855,110.232397755,128.995359075,1789778.79186504,1500,38.5,0.94996456508831
"result.4083",2,15,15,125.0864088,110.232397755,129.77714913,1789441.92403296,1496,38.5,0.948918639668897
"result.3538",1,13,13,125.65770159,109.85170139,129.60920164,1789088.13248079,1499,40,0.947820168570312
"result.3793",0,13,14,124.86740158,109.85170139,130.39950165,1788676.46931179,1494,40,0.946542014553555
"result.4068",3,14,15,125.868198855,109.4506077,129.77714913,1787855.53934853,1500,38.5,0.943993146913643
"result.3571",2,15,13,125.5419152,110.63381277,128.68046308,1787266.20955679,1497,39,0.942163363981305
"result.3778",1,12,14,125.65770159,109.06140138,130.39950165,1787047.58626897,1498,40,0.941484570602357
"result.3826",1,15,14,124.75727823,110.63381277,129.46510005,1786925.64816015,1493,39,0.941105970583394
"result.4033",0,12,15,124.86740158,109.06140138,131.18980166,1786570.76777826,1493,40,0.940004118827552
"result.3811",2,14,14,125.5419152,109.8491758,129.46510005,1785411.23684318,1497,39,0.936403944622469
"result.4066",1,14,15,124.75727823,109.8491758,130.24973702,1785005.46156208,1492,39,0.935144071637724
"result.4018",1,11,15,125.65770159,108.27110137,131.18980166,1784850.07496394,1497,40,0.934661618944559
"result.3059",2,15,11,125.99577248,111.033774498,127.570719636,1784687.09171584,1499,39.5,0.934155579762731
"result.3314",1,15,12,125.208298902,111.033774498,128.358193214,1784480.53070985,1494,39.5,0.933514238007173
"result.4051",2,13,15,125.5419152,109.06453883,130.24973702,1783401.68307011,1496,39,0.930164573650397
"result.3299",2,14,12,125.99577248,110.24630092,128.358193214,1782968.19161875,1498,39.5,0.928818646004897
"result.3554",1,14,13,125.208298902,110.24630092,129.145666792,1782694.73023967,1494,39.5,0.927969588361606
"result.2547",2,15,9,126.4480016,111.43230141,126.4480016,1781701.88828302,1500,40,0.92488695908979
"result.4036",3,12,15,126.32655217,108.27990186,130.24973702,1781637.52672895,1500,39,0.924687125864338
"result.2802",1,15,10,125.65770159,111.43230141,127.23830161,1781632.29055301,1496,40,0.924670868302784
"result.3057",0,15,11,124.86740158,111.43230141,128.02860162,1781423.49736298,1491,40,0.924022595941767
"result.3829",4,15,14,126.1871055,109.82951775,128.52390375,1781221.64293759,1499,38,0.92339586743159
"result.3539",2,13,13,125.99577248,109.458827342,129.145666792,1781093.02787647,1498,39.5,0.922996536450898
"result.4084",3,15,15,125.40817275,109.82951775,129.3028365,1780955.09274785,1494,38,0.922568268021834
"result.3794",1,13,14,125.208298902,109.458827342,129.93314037,1780753.64277207,1493,39.5,0.921942795268598
"result.2787",2,14,10,126.4480016,110.6420014,127.23830161,1780122.36533241,1500,40,0.919982771015901
"result.3042",1,14,11,125.65770159,110.6420014,128.02860162,1779984.15707424,1495,40,0.919553654559435
"result.3297",0,14,12,124.86740158,110.6420014,128.81890163,1779707.74055788,1490,40,0.918695421646505
"result.4069",4,14,15,126.1871055,109.050585,129.3028365,1779307.58572403,1498,38,0.917452999329625
"result.3779",2,12,14,125.99577248,108.671353764,129.93314037,1779061.600489,1497,39.5,0.916689251100731
"result.3572",3,15,13,125.868198855,110.232397755,128.21356902,1778931.64767192,1496,38.5,0.916285766583188
"result.3827",2,15,14,125.0864088,110.232397755,128.995359075,1778662.15340625,1491,38.5,0.915449026247657
"result.4034",1,12,15,125.208298902,108.671353764,130.720613948,1778657.26830707,1492,39.5,0.91543385872815
"result.3027",2,13,11,126.4480016,109.85170139,128.02860162,1778384.89008675,1499,40,0.914588164134623
"result.3282",1,13,12,125.65770159,109.85170139,128.81890163,1778179.05850225,1494,40,0.913949087126244
"result.3537",0,13,13,124.86740158,109.85170139,129.60920164,1777836.00586141,1489,40,0.912883958778947
"result.3557",4,14,13,126.64998891,109.4506077,128.21356902,1777286.01247518,1500,38.5,0.911176309640691
"result.3812",3,14,14,125.868198855,109.4506077,128.995359075,1777085.32525607,1495,38.5,0.910553205135508
"result.4019",2,11,15,125.99577248,107.883880186,130.720613948,1776873.90945634,1496,39.5,0.909896789954398
"result.4067",2,14,15,125.0864088,109.4506077,129.77714913,1776750.84655755,1490,38.5,0.90951469762687
"result.3060",3,15,11,126.32655217,110.63381277,127.11118914,1776504.46942302,1498,39,0.90874973260731
"result.3267",2,12,12,126.4480016,109.06140138,128.81890163,1776489.46254602,1498,40,0.908703138445956
"result.3315",2,15,12,125.5419152,110.63381277,127.89582611,1776368.24486437,1493,39,0.908326775248146
"result.3522",1,12,13,125.65770159,109.06140138,129.60920164,1776216.99483704,1493,40,0.90785716600321
"result.3777",0,12,14,124.86740158,109.06140138,130.39950165,1775808.29327357,1489,40,0.906588207339092
"result.3797",4,13,14,126.64998891,108.668817645,128.995359075,1775350.81429087,1499,38.5,0.905167801912144
"result.4052",3,13,15,125.868198855,108.668817645,129.77714913,1775085.1426389,1494,38.5,0.904342930233854
"result.4004",3,10,15,126.783246058,107.096406608,130.720613948,1774928.42707372,1500,39.5,0.903856351292122
"result.3300",3,14,12,126.32655217,109.8491758,127.89582611,1774793.45032105,1497,39,0.9034372681883
"result.3555",2,14,13,125.5419152,109.8491758,128.68046308,1774590.5626805,1492,39,0.902807331695928
"result.3507",2,11,13,126.4480016,108.27110137,129.60920164,1774436.08271023,1497,40,0.902327693949901
"result.4087",6,15,15,126.802586,109.0192965,128.348959,1774286.86051513,1499,37,0.901864380827865
"result.3762",1,11,14,125.65770159,108.27110137,130.39950165,1774097.96607862,1493,40,0.901277891190334
"result.2548",3,15,9,126.783246058,111.033774498,125.99577248,1773670.50472994,1499,39.5,0.899950686132981
