"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.3569",0,15,13,131.545005491,110.898928396,117.387695483,1712475.19624258,1500,19.5,1
"result.3809",0,14,14,131.545005491,110.309040479,117.9775834,1711925.91520027,1500,19.5,0.996731237748192
"result.4049",0,13,15,131.545005491,109.719152562,118.567471317,1711285.08731758,1500,19.5,0.992917681787749
"result.3313",0,15,12,131.545005491,110.898928396,116.797807566,1703869.79324639,1497,19.5,0.948789391388334
"result.3553",0,14,13,131.545005491,110.309040479,117.387695483,1703366.28562427,1496,19.5,0.945793025990844
"result.3058",1,15,11,132.134893408,110.898928396,116.207919649,1702866.47271769,1500,19.5,0.942818647783387
"result.3793",0,13,14,131.545005491,109.719152562,117.9775834,1702771.23116177,1496,19.5,0.942251866884718
"result.3298",1,14,12,132.134893408,110.309040479,116.797807566,1702406.68589602,1499,19.5,0.940082464134638
"result.4033",0,12,15,131.545005491,109.129264645,118.567471317,1702084.62985888,1496,19.5,0.938165914069956
"result.3538",1,13,13,132.134893408,109.719152562,117.387695483,1701854.94171002,1499,19.5,0.936799043756141
"result.3778",1,12,14,132.134893408,109.129264645,117.9775834,1701211.24015969,1499,19.5,0.932968386647892
"result.4018",1,11,15,132.134893408,108.539376728,118.567471317,1700475.58124503,1498,19.5,0.928590492809895
"result.3057",0,15,11,131.545005491,110.898928396,116.207919649,1695264.3902502,1493,19.5,0.897578782776668
"result.3297",0,14,12,131.545005491,110.309040479,116.797807566,1694806.65604827,1493,19.5,0.894854814233495
"result.3537",0,13,13,131.545005491,109.719152562,117.387695483,1694257.37500596,1492,19.5,0.891586051981686
"result.2802",1,15,10,132.134893408,110.898928396,115.618031732,1694222.48047039,1496,19.5,0.891378395186915
"result.3042",1,14,11,132.134893408,110.309040479,116.207919649,1693808.67233089,1496,19.5,0.888915829903041
"result.3777",0,12,14,131.545005491,109.129264645,117.9775834,1693616.54712327,1492,19.5,0.887772496021243
"result.4085",4,15,15,132.17731257,109.46843508,117.03806091,1693452.20911071,1496,19,0.886794523270286
"result.3282",1,13,12,132.134893408,109.719152562,116.797807566,1693302.90682706,1495,19.5,0.885906027889418
"result.2547",2,15,9,132.724781325,110.898928396,115.028143815,1693103.39218837,1499,19.5,0.884718719627551
"result.4017",0,11,15,131.545005491,108.539376728,118.567471317,1692884.17240019,1492,19.5,0.883414146352165
"result.2787",2,14,10,132.724781325,110.309040479,115.618031732,1692733.92063525,1498,19.5,0.882520000624092
"result.3522",1,12,13,132.134893408,109.129264645,117.387695483,1692705.18395889,1495,19.5,0.882348989146044
"result.3830",5,15,14,132.75959148,109.46843508,116.455782,1692450.10049857,1498,19,0.880830991760462
"result.3027",2,13,11,132.724781325,109.719152562,116.207919649,1692272.08119384,1498,19.5,0.879771601869768
"result.3762",1,11,14,132.134893408,108.539376728,117.9775834,1692015.5037264,1495,19.5,0.878244713672922
"result.4070",5,14,15,132.75959148,108.88615617,117.03806091,1691864.94487871,1498,19,0.877348740500588
"result.3267",2,12,12,132.724781325,109.129264645,116.797807566,1691717.87386416,1498,19.5,0.876473523364581
"result.4002",1,10,15,132.134893408,107.949488811,118.567471317,1691233.86612957,1494,19.5,0.87359320147005
"result.3507",2,11,13,132.724781325,108.539376728,117.387695483,1691071.29864619,1498,19.5,0.872625765108528
"result.3747",2,10,14,132.724781325,107.949488811,117.9775834,1690332.35553995,1497,19.5,0.868228327101611
"result.3987",2,9,15,132.724781325,107.359600894,118.567471317,1689501.04454542,1497,19.5,0.863281209343828
"result.3492",3,10,13,133.314669242,107.949488811,117.387695483,1689355.71906786,1500,19.5,0.862416379869135
"result.1009",0,15,3,133.22020223,112.31120188,112.90860189,1689352.16648425,1500,20,0.862395238503774
"result.1249",0,14,4,133.22020223,111.71380187,113.5060019,1689257.07742838,1500,20,0.86182936513035
"result.1489",0,13,5,133.22020223,111.11640186,114.10340191,1689066.89931665,1500,20,0.860697618383505
"result.1729",0,12,6,133.22020223,110.51900185,114.70080192,1688781.63214906,1499,20,0.858999998263238
"result.3732",3,9,14,133.314669242,107.359600894,117.9775834,1688567.10256391,1500,19.5,0.857723336307308
"result.1969",0,11,7,133.22020223,109.92160184,115.29820193,1688401.2759256,1499,20,0.856736504769547
"result.2209",0,10,8,133.22020223,109.32420183,115.89560194,1687925.83064628,1499,20,0.853907137902435
"result.3972",3,8,15,133.314669242,106.769712977,118.567471317,1687685.70764774,1499,19.5,0.852478169973503
"result.2449",0,9,9,133.22020223,108.72680182,116.49300195,1687355.2963111,1499,20,0.850511897661899
"result.2689",0,8,10,133.22020223,108.12940181,117.09040196,1686689.67292005,1499,20,0.846550784047942
"result.2801",0,15,10,131.545005491,110.898928396,115.618031732,1686658.987254,1489,19.5,0.846368174165003
"result.3041",0,14,11,131.545005491,110.309040479,116.207919649,1686247.02647227,1489,19.5,0.843916602476145
"result.4084",3,15,15,131.59503366,109.46843508,117.03806091,1685992.06722035,1489,19,0.842399344252702
"result.2929",0,7,11,133.22020223,107.5320018,117.68780197,1685928.96047313,1498,20,0.842023797060561
"result.3281",0,13,12,131.545005491,109.719152562,116.797807566,1685743.51885015,1489,19.5,0.840920237078655
"result.2546",1,15,9,132.134893408,110.898928396,115.028143815,1685578.48822309,1492,19.5,0.839938142590443
"result.2786",1,14,10,132.134893408,110.309040479,115.618031732,1685210.65876576,1492,19.5,0.837749195671444
"result.3521",0,12,13,131.545005491,109.129264645,117.387695483,1685148.46438765,1488,19.5,0.837379077972529
"result.3169",0,6,12,133.22020223,106.93460179,118.28520198,1685073.15897036,1498,20,0.836930936699758
"result.3829",4,15,14,132.17731257,109.46843508,116.455782,1685027.073742,1492,19,0.836656684280277
"result.3026",1,13,11,132.134893408,109.719152562,116.207919649,1684750.87194409,1492,19.5,0.835013012022695
"result.3761",0,11,14,131.545005491,108.539376728,117.9775834,1684461.86308476,1488,19.5,0.833293125157769
"result.4069",4,14,15,132.17731257,108.88615617,117.03806091,1684444.48459416,1492,19,0.833189706052246
"result.2291",2,15,8,132.724781325,110.898928396,114.438255898,1684420.81068997,1495,19.5,0.833048823046273
"result.3266",1,12,12,132.134893408,109.129264645,116.797807566,1684199.1277581,1491,19.5,0.831729591644198
"result.3409",0,5,13,133.22020223,106.33720178,118.88260199,1684122.26841171,1497,20,0.831272202965532
"result.2531",2,14,9,132.724781325,110.309040479,115.028143815,1684097.52308099,1495,19.5,0.831124943918246
"result.3574",5,15,13,132.75959148,109.46843508,115.87350309,1683987.84999608,1495,19,0.830472281233051
"result.4001",0,10,15,131.545005491,107.949488811,118.567471317,1683683.71494149,1488,19.5,0.828662378634374
"result.2771",2,13,10,132.724781325,109.719152562,115.618031732,1683681.86758372,1494,19.5,0.828651385039355
"result.3506",1,11,13,132.134893408,108.539376728,117.387695483,1683555.42620777,1491,19.5,0.82789893453595
"result.3814",5,14,14,132.75959148,108.88615617,116.455782,1683447.70634698,1494,19,0.827257895454706
"result.2036",3,15,7,133.314669242,110.898928396,113.848367981,1683185.95465464,1497,19.5,0.825700215532491
"result.3011",2,12,11,132.724781325,109.129264645,116.207919649,1683173.84419818,1494,19.5,0.8256281464096
"result.3154",1,5,12,133.81760224,106.33720178,118.28520198,1683173.50989468,1500,20,0.825626156975105
"result.3649",0,4,14,133.22020223,105.73980177,119.480002,1683076.28879721,1497,20,0.825047595857884
"result.2276",3,14,8,133.314669242,110.309040479,114.438255898,1682907.61941796,1497,19.5,0.824043847216552
"result.3319",6,15,12,133.34187039,109.46843508,115.29122418,1682874.39598259,1497,19,0.823846135111025
"result.3746",1,10,14,132.134893408,107.949488811,117.9775834,1682819.7672931,1491,19.5,0.823521040697952
"result.4054",5,13,15,132.75959148,108.30387726,117.03806091,1682817.53875637,1494,19,0.823507778713304
"result.3251",2,11,12,132.724781325,108.539376728,116.797807566,1682573.45292435,1494,19.5,0.82205522802898
"result.2516",3,13,9,133.314669242,109.719152562,115.028143815,1682536.50576904,1497,19.5,0.821835356128634
"result.3559",6,14,13,133.34187039,108.88615617,115.87350309,1682377.09267408,1497,19,0.820886691479573
"result.3394",1,4,13,133.81760224,105.73980177,118.88260199,1682170.59752072,1500,20,0.819657842292191
"result.2756",3,12,10,133.314669242,109.129264645,115.618031732,1682072.6137079,1497,19.5,0.819074742268736
"result.3986",1,9,15,132.134893408,107.359600894,118.567471317,1681992.15101411,1490,19.5,0.818595910130205
"result.3889",0,3,15,133.22020223,105.14240176,120.07740201,1681935.22012683,1496,20,0.818257115376812
"result.3491",2,10,13,132.724781325,107.949488811,117.387695483,1681880.69376225,1494,19.5,0.817932629897495
"result.1781",4,15,6,133.904557159,110.898928396,113.258480064,1681873.92011711,1500,19.5,0.817892320049099
"result.3799",6,13,14,133.34187039,108.30387726,116.455782,1681789.37058221,1497,19,0.817389167187857
"result.3064",7,15,11,133.9241493,109.46843508,114.70894527,1681686.71170154,1500,19,0.816778245914195
"result.2021",4,14,7,133.904557159,110.309040479,113.848367981,1681640.94777666,1500,19.5,0.816505905566362
"result.2996",3,11,11,133.314669242,108.539376728,116.207919649,1681515.94323452,1497,19.5,0.815762005636858
"result.2261",4,13,8,133.904557159,109.719152562,114.438255898,1681314.78650005,1500,19.5,0.814564925290531
"result.3304",7,14,12,133.9241493,108.88615617,115.29122418,1681232.64357547,1500,19,0.814076094126843
"result.4039",6,12,15,133.34187039,107.72159835,117.03806091,1681111.22970698,1497,19,0.813353562235877
"result.3731",2,9,14,132.724781325,107.359600894,117.9775834,1681095.56671186,1493,19.5,0.813260352015145
"result.3634",1,3,14,133.81760224,105.14240176,119.480002,1681072.16968258,1499,20,0.813121116687095
"result.2501",4,12,9,133.904557159,109.129264645,115.028143815,1680895.43628725,1500,19.5,0.812069379221605
"result.3236",3,10,12,133.314669242,107.949488811,116.797807566,1680866.49434892,1496,19.5,0.811897146233001
"result.3544",7,13,13,133.9241493,108.30387726,115.87350309,1680687.76182419,1500,19,0.810833511982021
"result.753",0,15,2,133.22020223,112.31120188,112.31120188,1680413.79523301,1496,20,0.809203141402052
"result.2741",4,11,10,133.904557159,108.539376728,115.618031732,1680382.89713828,1500,19.5,0.809019267359585
"result.993",0,14,3,133.22020223,111.71380187,112.90860189,1680366.25070507,1496,20,0.808920204715341
"result.1233",0,13,4,133.22020223,111.11640186,113.5060019,1680223.61712128,1496,20,0.808071394655207
"result.3971",2,8,15,132.724781325,106.769712977,118.567471317,1680218.07177319,1493,19.5,0.808038394381932
"result.3476",3,9,13,133.314669242,107.359600894,117.387695483,1680124.26705109,1496,19.5,0.807480164057164
"result.3784",7,12,14,133.9241493,107.72159835,116.455782,1680052.0664477,1499,19,0.807050499479729
"result.1473",0,12,5,133.22020223,110.51900185,114.10340191,1679985.89448162,1496,20,0.806656711221651
"result.3874",1,2,15,133.81760224,104.54500175,120.07740201,1679878.22638025,1499,20,0.806015980159815
"result.2981",4,10,11,133.904557159,107.949488811,116.207919649,1679777.16905313,1499,19.5,0.80541458970447
"result.1713",0,11,6,133.22020223,109.92160184,114.70080192,1679653.08278609,1495,20,0.804676154414671
"result.4024",7,11,15,133.9241493,107.13931944,117.03806091,1679325.55744599,1499,19,0.802727056619966
"result.3716",3,8,14,133.314669242,106.769712977,117.9775834,1679289.26134103,1496,19.5,0.802511059109348
"result.1953",0,10,7,133.22020223,109.32420183,115.29820193,1679225.1820347,1495,20,0.80212972423427
"result.3221",4,9,12,133.904557159,107.359600894,116.797807566,1679078.2520318,1499,19.5,0.801255346256262
"result.498",1,15,1,133.81760224,112.31120188,111.71380187,1678970.82947047,1498,20,0.800616076399084
"result.738",1,14,2,133.81760224,111.71380187,112.31120188,1678970.82947047,1498,20,0.800616076399084
"result.978",1,13,3,133.81760224,111.11640186,112.90860189,1678875.31400629,1498,20,0.800047665476901
"result.2193",0,9,8,133.22020223,108.72680182,115.89560194,1678702.19222745,1495,20,0.799017420680446
"result.1218",1,12,4,133.81760224,110.51900185,113.5060019,1678684.28307792,1498,20,0.798910843632537
"result.4083",2,15,15,131.01275475,109.46843508,117.03806091,1678531.92532999,1482,19,0.798004165235116
"result.1458",1,11,5,133.81760224,109.92160184,114.10340191,1678397.73668536,1498,20,0.79720561086599
"result.3956",3,7,15,133.314669242,106.17982506,118.567471317,1678361.47721875,1495,19.5,0.796989831389551
"result.3461",4,8,13,133.904557159,106.769712977,117.387695483,1678286.1460743,1499,19.5,0.796541537014958
"result.2433",0,8,9,133.22020223,108.12940181,116.49300195,1678084.11336433,1495,20,0.7953392437532
"result.2545",0,15,9,131.545005491,110.898928396,115.028143815,1678053.58425781,1485,19.5,0.795157565553337
"result.1698",1,10,6,133.81760224,109.32420183,114.70080192,1678015.67482861,1498,20,0.794931967177261
"result.2785",0,14,10,131.545005491,110.309040479,115.618031732,1677687.39689627,1485,19.5,0.792978390718797
"result.3828",3,15,14,131.59503366,109.46843508,116.455782,1677604.04698542,1485,19,0.792482376800094
"result.1938",1,9,7,133.81760224,108.72680182,115.29820193,1677538.09750768,1498,20,0.792089912566349
"result.3701",4,7,14,133.904557159,106.17982506,117.9775834,1677400.85118062,1498,19.5,0.791273161980559
"result.2673",0,7,10,133.22020223,107.5320018,117.09040196,1677370.94544535,1494,20,0.79109519345253
"result.3025",0,13,11,131.545005491,109.719152562,116.207919649,1677229.66269434,1485,19.5,0.790254422175624
"result.4068",3,14,15,131.59503366,108.88615617,117.03806091,1677024.0243096,1485,19,0.789030671603903
"result.2178",1,8,8,133.81760224,108.12940181,115.89560194,1676965.00472256,1498,20,0.788679447033255
"result.2290",1,15,8,132.134893408,110.898928396,114.438255898,1676934.49597579,1488,19.5,0.788497889993972
"result.3265",0,12,12,131.545005491,109.129264645,116.797807566,1676680.38165203,1485,19.5,0.786985659923815
"result.2530",1,14,9,132.134893408,110.309040479,115.028143815,1676612.64520063,1488,19.5,0.786582561439848
"result.3573",4,15,13,132.17731257,109.46843508,115.87350309,1676601.93837329,1488,19,0.786518845290268
"result.2913",0,6,11,133.22020223,106.93460179,117.68780197,1676562.6884705,1494,20,0.786285269778438
"result.3941",4,6,15,133.904557159,105.589937143,118.567471317,1676422.36735077,1498,19.5,0.785450221153067
"result.2418",1,7,9,133.81760224,107.5320018,116.49300195,1676296.39647325,1497,20,0.784700570577979
"result.2770",1,13,10,132.134893408,109.719152562,115.618031732,1676198.83706113,1488,19.5,0.784119996155974
"result.3813",4,14,14,132.17731257,108.88615617,116.455782,1676064.16377528,1488,19,0.783318557695162
"result.3505",0,11,13,131.545005491,108.539376728,117.387695483,1676039.55376934,1484,19.5,0.783172103963372
"result.1923",2,8,7,134.41500225,108.12940181,115.29820193,1675768.71617445,1500,20,0.781560353987798
"result.2035",2,15,7,132.724781325,110.898928396,113.848367981,1675738.22919157,1491,19.5,0.781378926464996
"result.3010",1,12,11,132.134893408,109.129264645,116.207919649,1675693.0715573,1488,19.5,0.781110194142351
"result.3153",0,5,12,133.22020223,106.33720178,118.28520198,1675659.34243979,1494,20,0.780909472730924
"result.2658",1,6,10,133.81760224,106.93460179,117.09040196,1675532.27275976,1497,20,0.78015328320052
"result.3318",5,15,12,132.75959148,109.46843508,115.29122418,1675525.59949358,1491,19,0.780113570705642
"result.2275",2,14,8,132.724781325,110.309040479,114.438255898,1675461.12552673,1491,19.5,0.779729887212402
"result.4053",4,13,15,132.17731257,108.30387726,117.03806091,1675436.76007761,1488,19,0.779584888834204
"result.3745",0,10,14,131.545005491,107.949488811,117.9775834,1675307.17904626,1484,19.5,0.778813754294294
"result.2163",2,7,8,134.41500225,107.5320018,115.89560194,1675145.09400315,1500,20,0.777849188926675
"result.3250",1,11,12,132.134893408,108.539376728,116.797807566,1675095.34868913,1487,19.5,0.777553155398978
"result.2515",2,13,9,132.724781325,109.719152562,115.028143815,1675091.6539736,1491,19.5,0.777531168208943
"result.3558",5,14,13,132.75959148,108.88615617,115.87350309,1675030.46781525,1491,19,0.777167050408826
"result.2898",1,5,11,133.81760224,106.33720178,117.68780197,1674672.63358208,1496,20,0.775037584900879
