"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4081",0,15,15,115.977975,121.3902805,137.627197,1937598.10664385,1499,37,1
"result.4049",0,13,15,116.4097443,120.29006911,138.139563236,1934359.48888332,1500,37.5,0.985533170368621
"result.4082",1,15,15,116.314887166,120.936670762,137.112913348,1928731.04647461,1497,36.5,0.960391050045231
"result.3570",1,15,13,116.7511615,121.3902805,136.080824,1928599.52367667,1500,37,0.959803540789371
"result.3810",1,14,14,116.7511615,120.617094,136.8540105,1927203.60624494,1500,37,0.953568010338575
"result.3825",0,15,14,115.977975,121.3902805,136.8540105,1926712.72402226,1494,37,0.951375250954885
"result.3313",0,15,12,116.4097443,121.842199034,135.81136835,1926296.7363925,1497,37.5,0.949517043962463
"result.4050",1,13,15,116.7511615,119.8439075,137.627197,1925668.09707004,1499,37,0.9467089268427
"result.2801",0,15,10,116.8399125,122.29244175,134.75536575,1925470.665832,1499,38,0.945827006129662
"result.4065",0,14,15,115.977975,120.617094,137.627197,1925256.71742956,1494,37,0.944871303630379
"result.3553",0,14,13,116.4097443,121.066134072,136.587433312,1924964.62945924,1496,37.5,0.94356655351275
"result.3041",0,14,11,116.8399125,121.513509,135.5342985,1924265.51869754,1499,38,0.940443642125585
"result.3793",0,13,14,116.4097443,120.29006911,137.363498274,1923492.30074353,1496,37.5,0.936989695647278
"result.3281",0,13,12,116.8399125,120.73457625,136.31323125,1922918.58954725,1498,38,0.934426941179852
"result.4018",1,11,15,117.185809262,118.737939186,138.139563236,1922129.34501812,1500,37.5,0.930901404366097
"result.4033",0,12,15,116.4097443,119.514004148,138.139563236,1921879.75024536,1495,37.5,0.929786470366046
"result.3521",0,12,13,116.8399125,119.9556435,137.092164,1921429.87838115,1498,38,0.927776903292464
"result.3009",0,12,11,117.26850825,120.39566847,136.03146957,1920576.68692271,1500,38.5,0.923965717044227
"result.3761",0,11,14,116.8399125,119.17671075,137.87109675,1919799.38519923,1497,38,0.920493528463419
"result.3571",2,15,13,117.085184432,120.936670762,135.572318816,1919689.4469562,1499,36.5,0.920002436908482
"result.4083",2,15,15,116.64436984,120.48135569,136.59669626,1919657.82049253,1496,36,0.919861162236497
"result.3249",0,11,12,117.26850825,119.613878415,136.813259625,1919071.53277935,1500,38.5,0.917242228762821
"result.3811",2,14,14,117.085184432,120.166373496,136.342616082,1918299.97862459,1498,36.5,0.913795714436754
"result.4001",0,10,15,116.8399125,118.397778,138.6500295,1918027.11000149,1497,38,0.912576816692718
"result.3826",1,15,14,116.314887166,120.936670762,136.342616082,1917895.47879779,1493,36.5,0.911988823190873
"result.3314",1,15,12,116.7511615,121.3902805,135.3076375,1917641.5718376,1496,37,0.910854626750622
"result.3489",0,10,13,117.26850825,118.83208836,137.59504968,1917423.03062234,1499,38.5,0.909878408264138
"result.2802",1,15,10,117.185809262,121.842199034,134.259238426,1916977.12932501,1498,37.5,0.907886577619716
"result.4051",2,13,15,117.085184432,119.39607623,137.112913348,1916771.56345982,1498,36.5,0.906968319717853
"result.3539",2,13,13,117.524348,119.8439075,136.080824,1916640.85619531,1500,37,0.906384453430764
"result.4066",1,14,15,116.314887166,120.166373496,137.112913348,1916446.13535057,1493,36.5,0.905514639981054
"result.3554",1,14,13,116.7511615,120.617094,136.080824,1916315.45027745,1495,37,0.904930872822366
"result.3569",0,15,13,115.977975,121.3902805,136.080824,1915827.34140066,1490,37,0.90275050190977
"result.3042",1,14,11,117.185809262,121.066134072,135.035303388,1915777.29827318,1498,37.5,0.902526960432203
"result.3729",0,9,14,117.26850825,118.050298305,138.376839735,1915631.18045168,1498,38.5,0.901874255548177
"result.3057",0,15,11,116.4097443,121.842199034,135.035303388,1915289.32647026,1493,37.5,0.90034720182536
"result.3779",2,12,14,117.524348,119.070721,136.8540105,1915095.17808548,1500,37,0.899479945540876
"result.3794",1,13,14,116.7511615,119.8439075,136.8540105,1914849.73697414,1495,37,0.89838356584903
"result.2530",1,14,9,117.61884525,121.513509,133.976433,1914828.50772461,1500,38,0.898288735288957
