"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.3825",0,15,14,125.70041367,107.84946735,131.65072911,1784752.42252897,1497,32,1
"result.3553",0,14,13,126.206024659,107.536494384,131.433493136,1783782.96548725,1500,32.5,0.993977252763178
"result.4082",1,15,15,125.93354758,107.41390823,131.859832172,1783669.86476942,1498,31.5,0.993274615094365
"result.4065",0,14,15,125.70041367,107.10567792,132.39451854,1782457.59182788,1496,32,0.985743375240782
"result.3793",0,13,14,126.206024659,106.789713173,132.180274347,1781460.33141761,1499,32.5,0.979547899709733
"result.4050",1,13,15,126.4442031,106.36188849,132.39451854,1780553.25679388,1500,32,0.97391270294642
"result.4033",0,12,15,126.206024659,106.042931962,132.927055558,1778996.93164677,1498,32.5,0.964244040410626
"result.3761",0,11,14,126.70961576,105.71630664,132.70770408,1777655.87146497,1500,33,0.955912710442589
"result.2545",0,15,9,126.70961576,108.7153508,128.95889888,1776444.98274377,1500,33,0.948390070051263
"result.3057",0,15,11,126.206024659,108.283275595,129.939930714,1775759.32051939,1497,32.5,0.944130396760369
"result.3314",1,15,12,126.4442031,107.84946735,130.16315025,1775027.06416063,1498,32,0.939581257632399
"result.4001",0,10,15,126.70961576,104.9665456,133.45746512,1775020.40777766,1499,33,0.939539904884996
"result.3569",0,15,13,125.70041367,107.84946735,130.90693968,1774669.07550904,1493,32,0.937357254845862
"result.2785",0,14,10,126.70961576,107.96558976,129.70865992,1774450.57779121,1499,33,0.935999838818491
"result.3571",2,15,13,126.674333154,107.41390823,130.378261024,1774002.9163946,1499,31.5,0.933218744532243
"result.3042",1,14,11,126.95280587,107.536494384,129.939930714,1773947.69093306,1500,32.5,0.932875656616477
"result.3826",1,15,14,125.93354758,107.41390823,131.119046598,1773649.24755162,1494,31.5,0.931021578536068
"result.3297",0,14,12,126.206024659,107.536494384,130.686711925,1773647.83500153,1496,32.5,0.931012803075419
"result.4081",0,15,15,125.192762006,107.41390823,131.859832172,1773177.68909431,1489,31.5,0.928092023874501
"result.3554",1,14,13,126.4442031,107.10567792,130.90693968,1772858.55819062,1497,32,0.926109424661075
"result.3828",3,15,14,126.89635056,106.9765746,130.58519796,1772685.82396757,1499,31,0.92503631412616
"result.3809",0,14,14,125.70041367,107.10567792,131.65072911,1772443.78513222,1492,32,0.923532649018742
"result.4083",2,15,15,126.15858108,106.9765746,131.32296744,1772336.45742756,1495,31,0.922865876166677
