"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4065",0,14,15,113.57478116,106.66820663,163.45559721,1980234.84801415,1499,36,1
"result.3826",1,15,14,113.908423685,107.0280491,162.07104578,1975872.35807991,1500,35.5,0.976959716119842
"result.3569",0,15,13,113.57478116,107.4356038,161.92080287,1975753.61942574,1497,36,0.976332603544015
"result.3297",0,14,12,114.003995368,107.071319974,161.76242586,1974562.47656808,1500,36.5,0.970041638981104
"result.4033",0,12,15,114.003995368,105.530725442,164.073317658,1973953.6700491,1500,36.5,0.966826256198123
"result.4081",0,15,15,113.14393762,107.0280491,162.835531845,1971869.07104315,1493,35.5,0.955816545322621
"result.4066",1,14,15,113.908423685,106.263563035,162.835531845,1971012.56420728,1498,35.5,0.951292945052726
"result.3809",0,14,14,113.57478116,106.66820663,162.68820004,1970937.97079342,1496,36,0.95089898347191
"result.3058",1,15,11,114.34217833,107.4356038,160.38600853,1970249.24627056,1500,36,0.947261517538174
"result.3794",1,13,14,114.34217833,105.90080946,162.68820004,1969979.90255952,1500,36,0.945838991490598
"result.2801",0,15,10,114.003995368,107.84161724,160.221831328,1969827.31475377,1498,36.5,0.945033106224594
"result.3537",0,13,13,114.003995368,106.301022708,162.532723126,1969692.02441622,1498,36.5,0.944318576717265
"result.2529",0,14,9,114.431602,107.4729235,160.0496055,1968337.87249806,1500,37,0.937166687525186
"result.3265",0,12,12,114.431602,105.9265505,162.369165,1968132.64490214,1500,37,0.936082787701599
"result.4001",0,10,15,114.431602,104.3801775,164.6887245,1967106.50692252,1500,37,0.930663288583672
"result.3570",1,15,13,113.908423685,107.0280491,161.306559715,1966552.20544746,1496,35.5,0.927735771607564
"result.3827",2,15,14,114.234576,106.6189376,161.45153408,1966410.12052139,1498,35,0.926985356802919
"result.3313",0,15,12,113.57478116,107.4356038,161.1534057,1966389.85819623,1494,36,0.9268783422927
"result.4049",0,13,15,113.57478116,105.90080946,163.45559721,1965988.55414354,1494,36,0.924758873953358
"result.4084",3,15,15,114.553187078,106.20825292,161.588270514,1965962.70202165,1500,34.5,0.92462233719656
"result.3298",1,14,12,114.34217833,106.66820663,161.1534057,1965535.73132733,1499,36,0.922367311705587
"result.3041",0,14,11,114.003995368,107.071319974,160.992128594,1965159.79810823,1496,36.5,0.920381838221749
"result.4034",1,12,15,114.34217833,105.13341229,163.45559721,1964929.70797748,1498,36,0.919166628098541
"result.3777",0,12,14,114.003995368,105.530725442,163.303020392,1964686.2819268,1496,36.5,0.917880984946098
"result.2769",0,13,10,114.431602,106.699737,160.822792,1963617.63779183,1498,37,0.912236991582719
"result.2033",0,15,7,114.431602,108.24611,158.5032325,1963344.00099726,1498,37,0.910791791817938
"result.3505",0,11,13,114.431602,105.153364,163.1423515,1963070.3642027,1498,37,0.909346592053157
