"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4096",15,15,15,64.80460082,81.40090103,134.3510017,708722.075918253,677,40,1
"result.3840",15,15,14,64.80460082,81.40090103,133.56070169,704553.122530498,675,40,0.983818063378933
"result.4080",15,14,15,64.80460082,80.61060102,134.3510017,701841.279064677,674,40,0.973291949266199
"result.3584",15,15,13,64.80460082,81.40090103,132.77040168,700384.169142744,673,40,0.967636126757865
"result.4095",14,15,15,64.01430081,81.40090103,134.3510017,700079.123772908,669,40,0.96645208261486
"result.3824",15,14,14,64.80460082,80.61060102,133.56070169,697712.800952532,672,40,0.957267118825919
"result.3328",15,15,12,64.80460082,81.40090103,131.98010167,696215.215754989,671,40,0.951454190136797
"result.3839",14,15,14,64.01430081,81.40090103,133.56070169,695961.011280126,667,40,0.950467486684293
"result.4064",15,13,15,64.80460082,79.82030101,134.3510017,694960.482211102,671,40,0.946583898532398
"result.3568",15,14,13,64.80460082,80.61060102,132.77040168,693584.322840387,670,40,0.941242288385638
"result.4079",14,14,15,64.01430081,80.61060102,134.3510017,693282.239076084,666,40,0.940069739816837
"result.3072",15,15,11,64.80460082,81.40090103,131.18980166,692046.262367235,669,40,0.93527225351573
"result.3583",14,15,13,64.01430081,81.40090103,132.77040168,691842.898787345,665,40,0.934482890753727
"result.4094",13,15,15,63.2240008,81.40090103,134.3510017,691436.171627564,661,40,0.93290416522972
"result.3808",15,13,14,64.80460082,79.82030101,133.56070169,690872.479374566,669,40,0.930716174272905
"result.3312",15,14,12,64.80460082,80.61060102,131.98010167,689455.844728242,668,40,0.925217457945358
"result.3823",14,14,14,64.01430081,80.61060102,133.56070169,689204.108257989,664,40,0.924240334138023
"result.4048",15,12,15,64.80460082,79.030001,134.3510017,688079.685357527,667,40,0.919875847798597
"result.2816",15,15,10,64.80460082,81.40090103,130.39950165,687877.308979481,667,40,0.919090316894662
"result.3327",14,15,12,64.01430081,81.40090103,131.98010167,687724.786294563,663,40,0.91849829482316
"result.3838",13,15,14,63.2240008,81.40090103,133.56070169,687368.900029754,659,40,0.917116909989654
"result.3552",15,13,13,64.80460082,79.82030101,132.77040168,686784.47653803,667,40,0.914848450013411
"result.4063",14,13,15,64.01430081,79.82030101,134.3510017,686485.354379259,662,40,0.913687397018814
"result.3056",15,14,11,64.80460082,80.61060102,131.18980166,685327.366616097,666,40,0.909192627505077
"result.3567",14,14,13,64.01430081,80.61060102,132.77040168,685125.977439895,662,40,0.90841092845921
"result.4078",13,14,15,63.2240008,80.61060102,134.3510017,684723.19908749,657,40,0.906847530367475
"result.3792",15,12,14,64.80460082,79.030001,133.56070169,684032.1577966,665,40,0.904165229719891
"result.2560",15,15,9,64.80460082,81.40090103,129.60920164,683708.355591726,665,40,0.902908380273595
"result.3071",14,15,11,64.01430081,81.40090103,131.18980166,683606.673801781,661,40,0.902513698892593
"result.3582",13,15,13,63.2240008,81.40090103,132.77040168,683301.628431945,657,40,0.901329654749588
"result.4093",12,15,15,62.43370079,81.40090103,134.3510017,682793.219482219,652,40,0.89935624784458
"result.3296",15,13,12,64.80460082,79.82030101,131.98010167,682696.473701495,665,40,0.898980725753918
"result.3807",14,13,14,64.01430081,79.82030101,133.56070169,682447.205235852,660,40,0.898013181591754
"result.2800",15,14,10,64.80460082,80.61060102,130.39950165,681198.888503952,664,40,0.893167797064797
"result.4032",15,11,15,64.80460082,78.23970099,134.3510017,681198.888503952,664,40,0.893167797064797
"result.3311",14,14,12,64.01430081,80.61060102,131.98010167,681047.8466218,660,40,0.892581522780396
"result.3822",13,14,14,63.2240008,80.61060102,133.56070169,680695.415563446,656,40,0.891213549450128
"result.3536",15,12,13,64.80460082,79.030001,132.77040168,679984.630235674,663,40,0.888454611641185
"result.4047",14,12,15,64.01430081,79.030001,134.3510017,679688.469682435,659,40,0.887305054220791
"result.2304",15,15,8,64.80460082,81.40090103,128.81890163,679539.402203972,663,40,0.886726443652527
"result.2815",14,15,10,64.01430081,81.40090103,130.39950165,679488.561308999,659,40,0.886529102962026
"result.3326",13,15,12,63.2240008,81.40090103,131.98010167,679234.356834136,655,40,0.885542399509522
"result.3837",12,15,14,62.43370079,81.40090103,133.56070169,678776.788779382,650,40,0.883766333295015
"result.3040",15,13,11,64.80460082,79.82030101,131.18980166,678608.470864959,663,40,0.883113001494425
"result.3551",14,13,13,64.01430081,79.82030101,132.77040168,678409.056092445,658,40,0.882338966164693
"result.4062",13,13,15,63.2240008,79.82030101,134.3510017,678010.226547417,654,40,0.880790895505231
"result.3776",15,11,14,64.80460082,78.23970099,133.56070169,677191.836218634,662,40,0.877614285166877
"result.2544",15,14,9,64.80460082,80.61060102,129.60920164,677070.410391807,662,40,0.877142966624516
"result.3055",14,14,11,64.01430081,80.61060102,131.18980166,676969.715803705,658,40,0.876752117101583
"result.3566",13,14,13,63.2240008,80.61060102,132.77040168,676667.632039402,654,40,0.875579568532781
"result.4077",12,14,15,62.43370079,80.61060102,134.3510017,676164.159098897,649,40,0.873625320918113
"result.3280",15,12,12,64.80460082,79.030001,131.98010167,675937.102674747,661,40,0.872743993562478
"result.3791",14,12,14,64.01430081,79.030001,133.56070169,675690.302213715,657,40,0.871786029045484
"result.2048",15,15,7,64.80460082,81.40090103,128.02860162,675370.448816217,661,40,0.870544507031459
"result.2559",14,15,9,64.01430081,81.40090103,129.60920164,675370.448816217,657,40,0.870544507031459
"result.3070",13,15,11,63.2240008,81.40090103,131.18980166,675167.085236327,653,40,0.869755144269456
"result.3581",12,15,13,62.43370079,81.40090103,132.77040168,674760.358076546,649,40,0.86817641874545
"result.2784",15,13,10,64.80460082,79.82030101,130.39950165,674520.468028423,661,40,0.867245277234931
"result.3295",14,13,12,64.01430081,79.82030101,131.98010167,674370.906949037,657,40,0.866664750737633
"result.4016",15,10,15,64.80460082,77.44940098,134.3510017,674318.091650376,661,40,0.866459746330996
"result.4092",11,15,15,61.64340078,81.40090103,134.3510017,674150.267336875,644,40,0.86580833045944
"result.3806",13,13,14,63.2240008,79.82030101,133.56070169,674021.931097138,652,40,0.865310188910603
"result.3520",15,11,13,64.80460082,78.23970099,132.77040168,673184.783933317,660,40,0.862060773268958
"result.2288",15,14,8,64.80460082,80.61060102,128.81890163,672941.932279661,660,40,0.861118136184236
"result.2799",14,14,10,64.01430081,80.61060102,130.39950165,672891.584985611,656,40,0.860922711422769
"result.4031",14,11,15,64.01430081,78.23970099,134.3510017,672891.584985611,656,40,0.860922711422769
"result.3310",13,14,12,63.2240008,80.61060102,131.98010167,672639.848515358,652,40,0.859945587615434
"result.3821",12,14,14,62.43370079,80.61060102,133.56070169,672186.722868903,647,40,0.858186764762233
"result.3024",15,12,11,64.80460082,79.030001,131.18980166,671889.57511382,659,40,0.857033375483772
"result.3535",14,12,13,64.01430081,79.030001,132.77040168,671692.134744995,655,40,0.856267003870177
"result.4046",13,12,15,63.2240008,79.030001,134.3510017,671297.254007343,651,40,0.854734260642986
"result.2303",14,15,8,64.01430081,81.40090103,128.81890163,671252.336323435,655,40,0.854559911100893
"result.1792",15,15,6,64.80460082,81.40090103,127.23830161,671201.495428463,659,40,0.854362570410392
"result.2814",13,15,10,63.2240008,81.40090103,130.39950165,671099.813638518,651,40,0.85396788902939
"result.3325",12,15,12,62.43370079,81.40090103,131.98010167,670743.927373709,647,40,0.852586504195884
"result.2528",15,13,9,64.80460082,79.82030101,129.60920164,670432.465191887,659,40,0.851377552975438
"result.3760",15,10,14,64.80460082,77.44940098,133.56070169,670351.514640668,659,40,0.851063340613864
"result.3039",14,13,11,64.01430081,79.82030101,131.18980166,670332.75780563,655,40,0.850990535310572
"result.3836",11,15,14,61.64340078,81.40090103,133.56070169,670184.677529011,642,40,0.850415756600376
"result.3550",13,13,13,63.2240008,79.82030101,132.77040168,670033.635646859,650,40,0.849829482315975
"result.4061",12,13,15,62.43370079,79.82030101,134.3510017,669535.098715574,646,40,0.847894393991646
"result.3264",15,11,12,64.80460082,78.23970099,131.98010167,669177.731647999,658,40,0.846507261371039
"result.3775",14,11,14,64.01430081,78.23970099,133.56070169,668933.399191578,654,40,0.845558876499214
"result.2032",15,14,7,64.80460082,80.61060102,128.02860162,668813.454167516,658,40,0.845093305743955
"result.2543",14,14,9,64.01430081,80.61060102,129.60920164,668813.454167516,654,40,0.845093305743955
"result.3054",13,14,11,63.2240008,80.61060102,131.18980166,668612.064991314,650,40,0.844311606698088
"result.3565",12,14,13,62.43370079,80.61060102,132.77040168,668209.286638909,645,40,0.842748208606353
"result.2768",15,12,10,64.80460082,79.030001,130.39950165,667842.047552894,657,40,0.841322757405066
"result.3279",14,12,12,64.01430081,79.030001,131.98010167,667693.967276274,653,40,0.840747978694869
"result.4076",11,14,15,61.64340078,80.61060102,134.3510017,667605.119110303,641,40,0.840403111468751
"result.4000",15,9,15,64.80460082,76.65910097,134.3510017,667437.294796801,657,40,0.839751695597195
"result.3790",13,12,14,63.2240008,79.030001,133.56070169,667348.446630829,649,40,0.839406828371077
"result.2047",14,15,7,64.01430081,81.40090103,128.02860162,667134.223830654,653,40,0.838575315170326
"result.1536",15,15,5,64.80460082,81.40090103,126.4480016,667032.542040708,657,40,0.838180633789324
"result.2558",13,15,9,63.2240008,81.40090103,129.60920164,667032.542040708,649,40,0.838180633789324
"result.3069",12,15,11,62.43370079,81.40090103,131.18980166,666727.496670873,645,40,0.836996589646319
"result.3504",15,10,13,64.80460082,77.44940098,132.77040168,666384.93763096,657,40,0.835666934896731
"result.2272",15,13,8,64.80460082,79.82030101,128.81890163,666344.462355351,657,40,0.835509828715944
"result.2783",14,13,10,64.01430081,79.82030101,130.39950165,666294.608662222,653,40,0.835316319883511
"result.3580",11,15,13,61.64340078,81.40090103,132.77040168,666219.087721147,640,40,0.835023182741311
"result.4015",14,10,15,64.01430081,77.44940098,134.3510017,666094.700288786,652,40,0.834540368624746
"result.3294",13,13,12,63.2240008,79.82030101,131.98010167,666045.34019658,648,40,0.834348775721347
"result.3805",12,13,14,62.43370079,79.82030101,133.56070169,665596.656958424,644,40,0.832607196229451
"result.4091",10,15,15,60.85310077,81.40090103,134.3510017,665507.31519153,636,40,0.8322604130743
"result.3008",15,11,11,64.80460082,78.23970099,131.18980166,665170.679362682,656,40,0.83095374947312
"result.3519",14,11,13,64.01430081,78.23970099,132.77040168,664975.213397545,652,40,0.83019504157566
"result.2287",14,14,8,64.01430081,80.61060102,128.81890163,664735.323349421,652,40,0.829263900065142
"result.1776",15,14,6,64.80460082,80.61060102,127.23830161,664684.976055371,656,40,0.829068475303675
"result.2798",13,14,10,63.2240008,80.61060102,130.39950165,664584.28146727,648,40,0.828677625780741
"result.4030",13,11,15,63.2240008,78.23970099,134.3510017,664584.28146727,648,40,0.828677625780741
"result.3309",12,14,12,62.43370079,80.61060102,131.98010167,664231.850408916,643,40,0.827309652450473
"result.2512",15,12,9,64.80460082,79.030001,129.60920164,663794.519991967,655,40,0.825612139326359
"result.3023",14,12,11,64.01430081,79.030001,131.18980166,663695.799807554,651,40,0.825228953519561
"result.3820",11,14,14,61.64340078,80.61060102,133.56070169,663678.03017436,639,40,0.825159980074338
"result.3744",15,9,14,64.80460082,76.65910097,133.56070169,663511.193062702,655,40,0.82451239606085
"result.3534",13,12,13,63.2240008,79.030001,132.77040168,663399.639254316,647,40,0.824079396099169
"result.1791",14,15,6,64.01430081,81.40090103,127.23830161,663016.111337872,651,40,0.822590719239759
"result.2302",13,15,8,63.2240008,81.40090103,128.81890163,662965.270442899,647,40,0.822393378549258
"result.4045",12,12,15,62.43370079,79.030001,134.3510017,662906.038332251,643,40,0.82216346706518
"result.1280",15,15,4,64.80460082,81.40090103,125.65770159,662863.588652954,655,40,0.821998697168257
"result.2813",12,15,10,62.43370079,81.40090103,130.39950165,662711.065968036,643,40,0.821406675096755
"result.3248",15,10,12,64.80460082,77.44940098,131.98010167,662418.360621252,655,40,0.820270529179599
"result.2016",15,13,7,64.80460082,79.82030101,128.02860162,662256.459518815,655,40,0.819642104456451
"result.2527",14,13,9,64.01430081,79.82030101,129.60920164,662256.459518815,651,40,0.819642104456451
"result.3324",11,15,12,61.64340078,81.40090103,131.98010167,662253.497913283,638,40,0.819630608882247
"result.3759",14,10,14,64.01430081,77.44940098,133.56070169,662176.496169441,651,40,0.819331723952945
"result.3038",13,13,11,63.2240008,79.82030101,131.18980166,662057.044746301,646,40,0.818868069126719
"result.3549",12,13,13,62.43370079,79.82030101,132.77040168,661658.215201273,642,40,0.817319998467257
"result.3835",10,15,14,60.85310077,81.40090103,133.56070169,661592.566278639,634,40,0.817065179905736
"result.2752",15,11,10,64.80460082,78.23970099,130.39950165,661163.627077365,654,40,0.8154002375752
"result.4060",11,13,15,61.64340078,79.82030101,134.3510017,661059.970883731,638,40,0.814997892478062
"result.3263",14,11,12,64.01430081,78.23970099,131.98010167,661017.027603512,650,40,0.814831206652105
"result.3774",13,11,14,63.2240008,78.23970099,133.56070169,660674.962164521,646,40,0.813503467831551
"result.2031",14,14,7,64.01430081,80.61060102,128.02860162,660657.192531327,650,40,0.813434494386328
"result.1520",15,14,5,64.80460082,80.61060102,126.4480016,660556.497943226,654,40,0.813043644863394
"result.2542",13,14,9,63.2240008,80.61060102,129.60920164,660556.497943226,646,40,0.813043644863394
"result.3984",15,8,15,64.80460082,75.86880096,134.3510017,660556.497943226,654,40,0.813043644863394
"result.3053",12,14,11,62.43370079,80.61060102,131.18980166,660254.414178923,642,40,0.811871096294593
"result.3564",11,14,13,61.64340078,80.61060102,132.77040168,659750.941238417,637,40,0.809916848679925
"result.2256",15,12,8,64.80460082,79.030001,128.81890163,659746.992431041,653,40,0.809901521247653
"result.2767",14,12,10,64.01430081,79.030001,130.39950165,659697.632338834,649,40,0.809709928344254
"result.3488",15,9,13,64.80460082,76.65910097,132.77040168,659585.091328603,653,40,0.809273096524505
"result.3278",13,12,12,63.2240008,79.030001,131.98010167,659450.831877802,645,40,0.80875196382726
"result.3999",14,9,15,64.01430081,76.65910097,134.3510017,659297.815591962,649,40,0.808158025826723
"result.4075",10,14,15,60.85310077,80.61060102,134.3510017,659046.079121709,633,40,0.807180902019389
"result.3789",12,12,14,62.43370079,79.030001,133.56070169,659006.591047944,641,40,0.80702762769667
"result.1535",14,15,5,64.01430081,81.40090103,126.4480016,658897.99884509,649,40,0.806606123309193
"result.2046",13,15,7,63.2240008,81.40090103,128.02860162,658897.99884509,645,40,0.806606123309193
"result.1024",15,15,3,64.80460082,81.40090103,124.86740158,658694.6352652,653,40,0.805816760547189
"result.2557",12,15,9,62.43370079,81.40090103,129.60920164,658694.6352652,641,40,0.805816760547189
"result.2992",15,10,11,64.80460082,77.44940098,131.18980166,658451.783611544,653,40,0.804874123462467
"result.3068",11,15,11,61.64340078,81.40090103,131.18980166,658287.908105419,637,40,0.804238035023183
"result.3503",14,10,13,64.01430081,77.44940098,132.77040168,658258.292050095,649,40,0.804123079281143
"result.2271",14,13,8,64.01430081,79.82030101,128.81890163,658218.310375408,649,40,0.80396788902939
"result.1760",15,13,6,64.80460082,79.82030101,127.23830161,658168.456682279,653,40,0.803774380196958
"result.2782",13,13,10,63.2240008,79.82030101,130.39950165,658068.749296022,645,40,0.803387362532092
"result.4014",13,10,15,63.2240008,77.44940098,134.3510017,657871.308927196,644,40,0.802620990918496
"result.3293",12,13,12,62.43370079,79.82030101,131.98010167,657719.773444123,640,40,0.802032800705062
"result.3579",10,15,13,60.85310077,81.40090103,132.77040168,657677.817365747,632,40,0.801869946737173
"result.3804",11,13,14,61.64340078,79.82030101,133.56070169,657171.382819709,636,40,0.7999042035483
"result.2496",15,11,9,64.80460082,78.23970099,129.60920164,657156.574792047,652,40,0.799846725677281
"result.3007",14,11,11,64.01430081,78.23970099,131.18980166,657058.841809479,648,40,0.799467371728551
"result.4090",9,15,15,60.06280076,81.40090103,134.3510017,656864.363046185,628,40,0.79871249568916
"result.3518",13,11,13,63.2240008,78.23970099,132.77040168,656765.642861773,644,40,0.798329309882362
"result.3728",15,8,14,64.80460082,75.86880096,133.56070169,656670.871484736,652,40,0.797961451507836
"result.1775",14,14,6,64.01430081,80.61060102,127.23830161,656579.061713232,648,40,0.797605088707514
"result.2286",13,14,8,63.2240008,80.61060102,128.81890163,656528.714419182,644,40,0.797409663946047
"result.1264",15,14,4,64.80460082,80.61060102,125.65770159,656428.019831081,652,40,0.797018814423114
"result.2797",12,14,10,62.43370079,80.61060102,130.39950165,656276.977948929,640,40,0.796432540138713
"result.4029",12,11,15,62.43370079,78.23970099,134.3510017,656276.977948929,640,40,0.796432540138713
"result.3308",11,14,12,61.64340078,80.61060102,131.98010167,655823.852302474,635,40,0.794673717285512
"result.2000",15,12,7,64.80460082,79.030001,128.02860162,655699.464870114,651,40,0.794190903168947
"result.2511",14,12,9,64.01430081,79.030001,129.60920164,655699.464870114,647,40,0.794190903168947
"result.3232",15,9,12,64.80460082,76.65910097,131.98010167,655658.989594505,651,40,0.79403379698816
"result.3022",13,12,11,63.2240008,79.030001,131.18980166,655502.024501288,643,40,0.793424531555351
"result.3743",14,9,14,64.01430081,76.65910097,133.56070169,655419.593147303,647,40,0.793104571406675
"result.3819",10,14,14,60.85310077,80.61060102,133.56070169,655169.337479817,631,40,0.792133195386443
"result.3533",12,12,13,62.43370079,79.030001,132.77040168,655107.143763637,639,40,0.79189178832816
"result.1790",13,15,6,63.2240008,81.40090103,127.23830161,654830.727247281,643,40,0.790818868069126
"result.1279",14,15,4,64.01430081,81.40090103,125.65770159,654779.886352308,647,40,0.790621527378626
"result.2301",12,15,8,62.43370079,81.40090103,128.81890163,654678.204562363,639,40,0.790226845997624
"result.768",15,15,2,64.80460082,81.40090103,124.07710157,654525.681877445,651,40,0.789634823926121
"result.4044",11,12,15,61.64340078,79.030001,134.3510017,654514.82265716,635,40,0.789592673487374
"result.2736",15,10,10,64.80460082,77.44940098,130.39950165,654485.206601836,651,40,0.789477717745335
"result.3247",14,10,12,64.01430081,77.44940098,131.98010167,654340.087930749,647,40,0.788914434609342
"result.2812",11,15,10,61.64340078,81.40090103,130.39950165,654322.318297555,635,40,0.788845461164118
"result.2015",14,13,7,64.01430081,79.82030101,128.02860162,654180.161232,647,40,0.78829367360233
"result.1504",15,13,5,64.80460082,79.82030101,126.4480016,654080.453845743,651,40,0.787906655937464
"result.2526",13,13,9,63.2240008,79.82030101,129.60920164,654080.453845743,643,40,0.787906655937464
"result.3758",13,10,14,63.2240008,77.44940098,133.56070169,654001.477698213,643,40,0.787600107292026
"result.3037",12,13,11,62.43370079,79.82030101,131.18980166,653781.331686972,638,40,0.786745602942867
"result.3323",10,15,12,60.85310077,81.40090103,131.98010167,653763.068452856,630,40,0.786674713568609
"result.3968",15,7,15,64.80460082,75.07850095,134.3510017,653675.701089651,650,40,0.786335594129593
"result.3548",11,13,13,61.64340078,79.82030101,132.77040168,653282.794755687,634,40,0.784810514618539
"result.2240",15,11,8,64.80460082,78.23970099,128.81890163,653149.52250673,650,40,0.784293213779361
"result.2751",14,11,10,64.01430081,78.23970099,130.39950165,653100.656015446,646,40,0.784103536804997
"result.3834",9,15,14,60.06280076,81.40090103,133.56070169,653000.455028267,626,40,0.783714603211097
"result.3262",13,11,12,63.2240008,78.23970099,131.98010167,652856.323559024,642,40,0.783155151933172
"result.3472",15,8,13,64.80460082,75.86880096,132.77040168,652785.245026247,650,40,0.782879258152278
"result.4059",10,13,15,60.85310077,79.82030101,134.3510017,652584.843051889,630,40,0.782101390964479
"result.1519",14,14,5,64.01430081,80.61060102,126.4480016,652500.930895138,646,40,0.781775683028701
"result.2030",13,14,7,63.2240008,80.61060102,128.02860162,652500.930895138,642,40,0.781775683028701
"result.3983",14,8,15,64.01430081,75.86880096,134.3510017,652500.930895138,646,40,0.781775683028701
"result.3773",12,11,14,62.43370079,78.23970099,133.56070169,652416.525137465,638,40,0.781448059163889
"result.1008",15,14,3,64.80460082,80.61060102,124.86740158,652299.541718935,650,40,0.780993983982833
"result.2541",12,14,9,62.43370079,80.61060102,129.60920164,652299.541718935,638,40,0.780993983982833
"result.3052",11,14,11,61.64340078,80.61060102,131.18980166,651896.763366531,633,40,0.779430585891099
"result.2976",15,9,11,64.80460082,76.65910097,131.18980166,651732.887860406,649,40,0.778794497451814
"result.2255",14,12,8,64.01430081,79.030001,128.81890163,651701.297401394,645,40,0.778671877993639
"result.1744",15,12,6,64.80460082,79.030001,127.23830161,651651.937309187,649,40,0.77848028509024
"result.2766",13,12,10,63.2240008,79.030001,130.39950165,651553.217124774,641,40,0.778097099283442
"result.3487",14,9,13,64.01430081,76.65910097,132.77040168,651541.370702645,645,40,0.778051116986627
"result.3563",10,14,13,60.85310077,80.61060102,132.77040168,651292.595837925,629,40,0.777085488753497
"result.3277",12,12,12,62.43370079,79.030001,131.98010167,651207.696479329,637,40,0.77675594895965
"result.3998",13,9,15,63.2240008,76.65910097,134.3510017,651158.336387123,641,40,0.776564356056252
"result.1534",13,15,5,63.2240008,81.40090103,126.4480016,650763.455649472,641,40,0.775031612829061
"result.3788",11,12,14,61.64340078,79.030001,133.56070169,650664.735465059,633,40,0.774648427022263
"result.1023",14,15,3,64.01430081,81.40090103,124.86740158,650661.773859526,645,40,0.774636931448059
"result.2045",12,15,7,62.43370079,81.40090103,128.02860162,650661.773859526,637,40,0.774636931448059
"result.2480",15,10,9,64.80460082,77.44940098,129.60920164,650518.629592128,649,40,0.774081312028202
"result.4074",9,14,15,60.06280076,80.61060102,134.3510017,650487.039133116,625,40,0.773958692570027
"result.2991",14,10,11,64.01430081,77.44940098,131.18980166,650421.883811403,645,40,0.773705789937541
"result.512",15,15,1,64.80460082,81.40090103,123.28680156,650356.728489691,649,40,0.773452887305054
"result.2556",11,15,9,61.64340078,81.40090103,129.60920164,650356.728489691,633,40,0.773452887305054
"result.1759",14,13,6,64.01430081,79.82030101,127.23830161,650142.012088593,645,40,0.772619458175269
"result.3502",13,10,13,63.2240008,77.44940098,132.77040168,650131.646469229,641,40,0.772579223665555
"result.2270",13,13,8,63.2240008,79.82030101,128.81890163,650092.158395464,641,40,0.772425949342836
"result.1248",15,13,4,64.80460082,79.82030101,125.65770159,649992.451009207,649,40,0.772038931677971
"result.3067",10,15,11,60.85310077,81.40090103,131.18980166,649848.319539965,628,40,0.771479480400046
"result.2781",12,13,10,62.43370079,79.82030101,130.39950165,649842.889929822,636,40,0.771458405180672
"result.3712",15,7,14,64.80460082,75.07850095,133.56070169,649830.54990677,648,40,0.771410506954822
"result.4013",12,10,15,62.43370079,77.44940098,134.3510017,649647.917565607,636,40,0.770701613212247
"result.3292",11,13,12,61.64340078,79.82030101,131.98010167,649394.206691665,632,40,0.769716825688776
"result.1984",15,11,7,64.80460082,78.23970099,128.02860162,649142.470221413,648,40,0.768739701881442
"result.2495",14,11,9,64.01430081,78.23970099,129.60920164,649142.470221413,644,40,0.768739701881442
"result.3578",9,15,13,60.06280076,81.40090103,132.77040168,649136.547010348,624,40,0.768716710733034
"result.3006",13,11,11,63.2240008,78.23970099,131.18980166,648947.004256275,640,40,0.767980993983983
"result.3216",15,8,12,64.80460082,75.86880096,131.98010167,648899.618567757,648,40,0.76779706479672
