"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4066",1,14,15,104.122089416,121.23804932,171.15959904,2160643.29893774,1499,28.5,1
"result.3521",0,12,13,104.31286805,120.85904712,171.21698342,2158558.84911958,1500,29,0.990581898972029
"result.4081",0,15,15,103.40892442,121.951214316,171.15959904,2158466.986187,1494,28.5,0.990166837706373
"result.2785",0,14,10,104.31286805,122.2978453,169.05878615,2156723.33989413,1499,29,0.982288578033179
"result.3570",1,15,13,104.122089416,121.951214316,169.733269048,2155241.6906904,1498,28.5,0.975594091187215
"result.3761",0,11,14,104.31286805,120.13964803,171.93638251,2154725.87397233,1499,29,0.973263493482079
"result.3025",0,13,11,104.31286805,121.57844621,169.77818524,2153160.29257416,1498,29,0.96618977856365
"result.3810",1,14,14,104.122089416,121.23804932,170.446434044,2151640.6185255,1496,28.5,0.959323485312026
"result.2289",0,15,8,104.31286805,123.01724439,167.61998797,2150946.88439054,1497,29,0.956189009196216
"result.4001",0,10,15,104.31286805,119.42024894,172.6557816,2150784.92769417,1497,29,0.955457245583963
"result.3265",0,12,12,104.31286805,120.85904712,170.49758433,2149489.27412327,1497,29,0.949603136685952
"result.3825",0,15,14,103.40892442,121.951214316,170.446434044,2149473.37374455,1490,28.5,0.949531294527954
"result.3299",2,14,12,104.835254412,121.23804932,169.020104052,2148249.19782226,1500,28.5,0.944000140737787
"result.4050",1,13,15,104.122089416,120.524884324,171.15959904,2147933.6324734,1495,28.5,0.942574332205212
"result.2529",0,14,9,104.31286805,122.2978453,168.33938706,2147545.79376692,1496,29,0.940821973338936
"result.3314",1,15,12,104.122089416,121.951214316,169.020104052,2146186.05333456,1494,28.5,0.934678302883429
"result.4065",0,14,15,103.40892442,121.23804932,171.15959904,2145844.37223269,1489,28.5,0.933134496403328
"result.3505",0,11,13,104.31286805,120.13964803,171.21698342,2145710.28454148,1496,29,0.932528652400088
"result.4084",3,15,15,104.61886308,120.87719991,169.6522104,2145427.82903613,1498,28,0.931252442984002
"result.3539",2,13,13,104.835254412,120.524884324,169.733269048,2144623.46077952,1499,28.5,0.927618092356604
"result.2769",0,13,10,104.31286805,121.57844621,169.05878615,2144036.7320124,1495,29,0.92496709507349
"result.2018",1,14,7,105.03226714,122.2978453,166.90058888,2143874.77531604,1500,29,0.924235331461238
"result.3730",1,9,14,105.03226714,118.70084985,171.93638251,2143602.98591755,1500,29,0.923007314364817
"result.2803",2,15,10,104.835254412,121.951214316,167.59377406,2142650.63327097,1498,28.5,0.918704330737429
"result.3554",1,14,13,104.122089416,121.23804932,169.733269048,2142637.93811326,1493,28.5,0.918646970624049
"result.2994",1,11,11,105.03226714,120.13964803,169.77818524,2142352.75468448,1500,29,0.917358435721277
"result.3745",0,10,14,104.31286805,119.42024894,171.93638251,2141823.32382878,1494,29,0.914966325706054
"result.2033",0,15,7,104.31286805,123.01724439,166.90058888,2141715.35269787,1494,29,0.914478483297886
"result.3779",2,12,14,104.835254412,119.811719328,170.446434044,2140891.084412,1498,28.5,0.91075421902303
"result.497",0,15,1,105.20787504,124.072735392,163.979170752,2140490.43681619,1500,29.5,0.908943986173572
"result.3569",0,15,13,103.40892442,121.951214316,169.733269048,2140479.76130211,1487,28.5,0.908895751349534
"result.2258",1,13,8,105.03226714,121.57844621,167.61998797,2140450.22889502,1499,29,0.908762316046323
"result.3009",0,12,11,104.31286805,120.85904712,169.77818524,2140419.69912697,1494,29,0.908624374399877
"result.1473",0,12,5,105.20787504,121.896020736,166.88145696,2140158.11412767,1500,29.5,0.907442463504533
"result.3921",0,5,15,105.20787504,116.817019872,174.13717248,2140158.11412767,1500,29.5,0.907442463504533
"result.3185",0,7,12,105.20787504,118.268162976,171.960457824,2139659.63009487,1500,29.5,0.905190179500972
"result.3970",1,8,15,105.03226714,117.98145076,172.6557816,2139526.14494015,1499,29,0.904587057918488
"result.3043",2,14,11,104.835254412,121.23804932,168.306939056,2139184.85521542,1497,28.5,0.903045019784826
"result.3794",1,13,14,104.122089416,120.524884324,170.446434044,2138983.90900476,1492,28.5,0.902137091133047
"result.3234",1,10,12,105.03226714,119.42024894,170.49758433,2138547.70310557,1498,29,0.900166196371371
"result.2449",0,9,9,105.20787504,119.71930608,169.783743168,2138496.50068502,1499,29.5,0.899934850159331
"result.2273",0,14,8,104.31286805,122.2978453,167.61998797,2138368.24763972,1493,29,0.899355368644692
"result.3813",4,14,14,105.32574729,120.1703157,168.94532619,2138345.77527642,1500,28,0.899253832505042
"result.1522",1,15,5,105.03226714,123.01724439,165.4617907,2137895.40854919,1498,29,0.897218955339958
"result.3985",0,9,15,104.31286805,118.70084985,172.6557816,2137828.39198517,1493,29,0.896916156603854
"result.737",0,14,2,105.20787504,123.34716384,164.704742304,2137388.75838992,1499,29.5,0.894929774595864
"result.3058",1,15,11,104.122089416,121.951214316,168.306939056,2137130.41597871,1491,28.5,0.893762514579641
"result.4019",2,11,15,104.835254412,119.098554332,171.15959904,2137052.06871969,1496,28.5,0.893408520737069
"result.2498",1,12,9,105.03226714,120.85904712,168.33938706,2136916.96671461,1498,29,0.892798093792841
"result.3809",0,14,14,103.40892442,121.23804932,170.446434044,2136903.35401505,1486,28.5,0.892736587980338
"result.3249",0,11,12,104.31286805,120.13964803,170.49758433,2136694.69511064,1492,29,0.891793811318095
"result.1713",0,11,6,105.20787504,121.170449184,167.607028512,2136668.72589811,1499,29.5,0.891676475479609
"result.3828",3,15,14,104.61886308,120.87719991,168.94532619,2136488.54641515,1495,28,0.890862376450259
"result.3283",2,13,12,104.835254412,120.524884324,169.020104052,2135612.43783507,1496,28.5,0.886903883879836
"result.3425",0,6,13,105.20787504,117.542591424,172.686029376,2135505.59648826,1498,29.5,0.886421146137969
"result.4034",1,12,15,104.122089416,119.811719328,171.15959904,2135223.96600906,1491,28.5,0.885148664410421
"result.2513",0,13,9,104.31286805,121.57844621,168.33938706,2134913.17145065,1492,29,0.883744411583329
"result.4053",4,13,15,105.32574729,119.46343149,169.6522104,2134661.69444282,1499,28,0.882608171293293
"result.1762",1,14,6,105.03226714,122.2978453,166.18118979,2134633.93576726,1497,29,0.882482750182896
"result.3474",1,9,13,105.03226714,118.70084985,171.21698342,2134633.93576726,1497,29,0.882482750182896
"result.2689",0,8,10,105.20787504,118.993734528,170.50931472,2134619.40265218,1498,29.5,0.882417085687196
"result.977",0,13,3,105.20787504,122.621592288,165.430313856,2134176.30573414,1498,29.5,0.880415055461808
"result.3508",3,11,13,105.548419408,119.098554332,169.733269048,2133659.92257886,1500,28.5,0.878081898442069
"result.3298",1,14,12,104.122089416,121.23804932,169.020104052,2133635.25770102,1490,28.5,0.877970455936073
"result.2547",2,15,9,104.835254412,121.951214316,166.880609064,2133532.97100174,1495,28.5,0.877508297308273
"result.2738",1,11,10,105.03226714,120.13964803,169.05878615,2133274.9887748,1496,29,0.876342664700787
"result.4049",0,13,15,103.40892442,120.524884324,171.15959904,2133221.75827838,1485,28.5,0.876102155100284
"result.1953",0,10,7,105.20787504,120.444877632,168.332600064,2133068.56343904,1498,29.5,0.875409979898341
"result.3317",4,15,12,105.32574729,120.87719991,167.53155777,2132924.9134784,1498,28,0.874760931007754
"result.4068",3,14,15,104.61886308,120.1703157,169.6522104,2132881.46746282,1493,28,0.874564630305066
"result.3489",0,10,13,104.31286805,119.42024894,171.21698342,2132861.71996339,1491,29,0.874475405828145
"result.1777",0,15,6,104.31286805,123.01724439,166.18118979,2132483.82100521,1491,29,0.872767957399558
"result.2772",3,13,10,105.548419408,120.524884324,167.59377406,2131995.76876213,1500,28.5,0.870562807008208
"result.3523",2,12,13,104.835254412,119.811719328,169.733269048,2131933.38112994,1494,28.5,0.870280923022457
"result.3313",0,15,12,103.40892442,121.951214316,169.020104052,2131486.14885966,1484,28.5,0.868260208171115
"result.2753",0,12,10,104.31286805,120.85904712,169.05878615,2131350.12413067,1491,29,0.867645612113799
"result.2002",1,13,7,105.03226714,121.57844621,166.90058888,2131263.74722595,1496,29,0.867255338187266
"result.3665",0,5,14,105.20787504,116.817019872,173.411600928,2131240.78865213,1497,29.5,0.867151605218621
"result.241",0,15,0,105.20787504,124.072735392,163.2535992,2131019.24019311,1497,29.5,0.866150590105927
"result.4083",2,15,15,103.91197887,120.87719991,169.6522104,2130931.69505616,1488,28,0.86575503779415
"result.1217",0,12,4,105.20787504,121.896020736,166.155885408,2130853.07884885,1497,29.5,0.865399828771407
"result.2929",0,7,11,105.20787504,118.268162976,171.234886272,2130631.53038983,1497,29.5,0.864398813658713
"result.3714",1,8,14,105.03226714,117.98145076,171.93638251,2130611.45266956,1495,29,0.864308097155852
"result.2787",2,14,10,104.835254412,121.23804932,167.59377406,2130120.51260857,1494,28.5,0.862089898831865
"result.3538",1,13,13,104.122089416,120.524884324,169.733269048,2130034.18553612,1489,28.5,0.861699850060884
"result.3748",3,10,14,105.548419408,118.385389336,170.446434044,2129794.79113354,1499,28.5,0.860618202208585
"result.2036",3,15,7,105.548419408,121.951214316,165.454279072,2129687.42637117,1499,28.5,0.860133099535432
"result.2227",2,11,8,105.75166623,120.13964803,167.61998797,2129606.57652363,1500,29,0.859767798329493
"result.2978",1,10,11,105.03226714,119.42024894,169.77818524,2129524.29507559,1495,29,0.859396028770166
"result.3557",4,14,13,105.32574729,120.1703157,168.23844198,2129398.72182338,1497,28,0.85882865527651
"result.2193",0,9,8,105.20787504,119.71930608,169.058171616,2129357.62675047,1496,29.5,0.858642976760726
"result.2017",0,14,7,104.31286805,122.2978453,166.90058888,2129190.70151251,1490,29,0.857888763950449
"result.3729",0,9,14,104.31286805,118.70084985,171.93638251,2128920.77368524,1490,29,0.856669157930029
"result.1266",1,15,4,105.03226714,123.01724439,164.74239161,2128600.21112071,1495,29,0.855220770642331
"result.3012",3,12,11,105.548419408,119.811719328,168.306939056,2128399.04922273,1498,28.5,0.854311867457603
"result.3763",2,11,14,104.835254412,119.098554332,170.446434044,2128147.68510002,1493,28.5,0.85317613721269
"result.2802",1,15,10,104.122089416,121.951214316,167.59377406,2128074.77862287,1488,28.5,0.852846726275853
"result.481",0,14,1,105.20787504,123.34716384,163.979170752,2127972.9488816,1496,29.5,0.852386632306393
"result.3553",0,14,13,103.40892442,121.23804932,169.733269048,2127962.33579742,1483,28.5,0.85233867955735
"result.3939",2,6,15,105.75166623,116.54265258,172.6557816,2127909.94051139,1500,29,0.85210194366046
"result.2242",1,12,8,105.03226714,120.85904712,167.61998797,2127784.84292523,1494,29,0.851536719353066
"result.2993",0,11,11,104.31286805,120.13964803,169.77818524,2127679.10567979,1489,29,0.851058970236101
"result.3572",3,15,13,104.61886308,120.87719991,168.23844198,2127549.26379416,1491,28,0.850472309916518
"result.1457",0,11,5,105.20787504,121.170449184,166.88145696,2127419.07773405,1496,29.5,0.849884094524659
"result.1491",2,13,5,105.75166623,121.57844621,165.4617907,2127362.63857195,1499,29,0.84962908731561
"result.3203",2,8,12,105.75166623,117.98145076,170.49758433,2127253.17818407,1499,29,0.84913451604664
"result.3905",0,4,15,105.20787504,116.09144832,174.13717248,2126865.2065865,1495,29.5,0.847381556742924
"result.3027",2,13,11,104.835254412,120.524884324,168.306939056,2126601.41489062,1493,28.5,0.846189675403068
"result.3169",0,6,12,105.20787504,117.542591424,171.960457824,2126532.88389797,1495,29.5,0.845880034073886
"result.3954",1,7,15,105.03226714,117.26205167,172.6557816,2126480.25381246,1494,29,0.845642237290241
"result.2276",3,14,8,105.548419408,121.23804932,166.167444068,2126359.1187377,1498,28.5,0.84509491666771
"result.3778",1,12,14,104.122089416,119.811719328,170.446434044,2126327.19948403,1487,28.5,0.84495069695407
"result.2467",2,10,9,105.75166623,119.42024894,168.33938706,2125939.65352943,1499,29,0.843199660819001
"result.3988",3,9,15,105.548419408,117.67222434,171.15959904,2125822.29492585,1497,28.5,0.842669403301948
"result.2257",0,13,8,104.31286805,121.57844621,167.61998797,2125789.61088889,1489,29,0.842521728093169
"result.3797",4,13,14,105.32574729,119.46343149,168.94532619,2125767.27071597,1496,28,0.842420789224928
"result.3218",1,9,12,105.03226714,118.70084985,170.49758433,2125664.88561698,1494,29,0.841958186000976
"result.1682",1,9,6,105.933446592,119.71930608,167.607028512,2125639.05045986,1500,29.5,0.841841455860605
"result.2433",0,8,9,105.20787504,118.993734528,169.783743168,2125535.91583238,1495,29.5,0.841375466066765
"result.1506",1,14,5,105.03226714,122.2978453,165.4617907,2125393.09621849,1494,29,0.840730168904555
"result.3969",0,8,15,104.31286805,117.98145076,172.6557816,2124871.85627617,1488,29,0.838375067623744
"result.721",0,13,2,105.20787504,122.621592288,164.704742304,2124815.88334057,1495,29.5,0.838122166950511
"result.3252",3,11,12,105.548419408,119.098554332,169.020104052,2124694.96492097,1497,28.5,0.837575825233849
"result.3042",1,14,11,104.122089416,121.23804932,168.306939056,2124632.57728878,1487,28.5,0.837293941248098
"result.755",2,15,2,105.75166623,123.01724439,163.30359343,2124461.93829297,1498,29,0.836522948687909
"result.2291",2,15,8,104.835254412,121.951214316,166.167444068,2124415.3087325,1492,28.5,0.836312263879118
"result.3793",0,13,14,103.40892442,120.524884324,170.446434044,2124333.33428555,1482,28.5,0.835941881432724
"result.4003",2,10,15,104.835254412,118.385389336,171.15959904,2124255.34974532,1492,28.5,0.835589526450536
"result.2482",1,11,9,105.03226714,120.13964803,168.33938706,2124197.22286512,1493,29,0.835326893680297
"result.3812",3,14,14,104.61886308,120.1703157,168.94532619,2123994.46134839,1490,28,0.83441076299082
"result.1731",2,12,6,105.75166623,120.85904712,166.18118979,2123969.36654748,1498,29,0.834297377977545
"result.3061",4,15,11,105.32574729,120.87719991,166.82467356,2123925.23029917,1495,28,0.834097958619054
"result.3233",0,10,12,104.31286805,119.42024894,170.49758433,2123900.116098,1488,29,0.833984485950238
"result.1697",0,10,6,105.20787504,120.444877632,167.607028512,2123874.30238974,1494,29.5,0.833867852721564
"result.3394",1,4,13,105.933446592,116.09144832,172.686029376,2123687.13213988,1499,29.5,0.833022167540151
"result.4022",5,11,15,106.0326315,118.04966307,169.6522104,2123556.46899617,1500,28,0.832431796557207
"result.946",1,11,3,105.933446592,121.170449184,165.430313856,2123464.05576045,1499,29.5,0.832014248874957
"result.1521",0,15,5,104.31286805,123.01724439,165.4617907,2123252.28931255,1488,29,0.831057431501231
"result.3443",2,7,13,105.75166623,117.26205167,171.21698342,2123203.14383227,1498,29,0.830835379094756
"result.2658",1,6,10,105.933446592,117.542591424,170.50931472,2123129.44119131,1499,29.5,0.830502370877162
"result.3267",2,12,12,104.835254412,119.811719328,169.020104052,2122975.67784788,1491,28.5,0.829807627021883
"result.2516",3,13,9,105.548419408,120.524884324,166.880609064,2122923.44634186,1496,28.5,0.829571631126835
"result.4018",1,11,15,104.122089416,119.098554332,171.15959904,2122514.29954472,1486,28.5,0.827722996615633
"result.3057",0,15,11,103.40892442,121.951214316,168.306939056,2122492.53641722,1481,28.5,0.827624664992696
"result.3345",0,1,13,106.0965,114.8769,174.1446,2122480.83178111,1500,30,0.827571780320524
"result.2609",0,3,10,106.0965,116.3403,171.9495,2122424.02931813,1500,30,0.827315131621028
"result.3409",0,5,13,105.20787504,116.817019872,172.686029376,2122323.4631766,1494,29.5,0.826860746932709
"result.2497",0,12,9,104.31286805,120.85904712,168.33938706,2122280.54913437,1487,29,0.826666849827724
"result.2707",2,9,10,105.75166623,118.70084985,169.05878615,2122163.27014735,1498,29,0.826136952039542
"result.3286",5,13,12,106.0326315,119.46343149,167.53155777,2122125.92945867,1500,28,0.825968236834525
"result.1746",1,13,6,105.03226714,121.57844621,166.18118979,2122077.26555687,1492,29,0.825748360328207
"result.3827",2,15,14,103.91197887,120.87719991,168.94532619,2122052.81299342,1484,28,0.825637877115365
