"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4096",15,15,15,68.75610087,105.10990133,106.69050135,771046.596342692,728,40,1
"result.3840",15,15,14,68.75610087,105.10990133,105.90020134,765335.140073487,725,40,0.978673522988029
"result.4080",15,14,15,68.75610087,104.31960132,106.69050135,765249.253513047,725,40,0.978352824085593
"result.4095",14,15,15,67.96580086,105.10990133,106.69050135,762183.991787029,719,40,0.966907190843494
"result.3584",15,15,13,68.75610087,105.10990133,105.10990133,759623.683804282,722,40,0.957347045976058
"result.3824",15,14,14,68.75610087,104.31960132,105.90020134,759580.740524062,722,40,0.95718669652484
"result.4064",15,13,15,68.75610087,103.52930131,106.69050135,759451.910683403,722,40,0.956705648171187
"result.3839",14,15,14,67.96580086,105.10990133,105.90020134,756538.184440458,717,40,0.9458258457512
"result.4079",14,14,15,67.96580086,104.31960132,106.69050135,756453.285081863,717,40,0.945508833043046
"result.3328",15,15,12,68.75610087,105.10990133,104.31960132,753912.227535076,719,40,0.936020568964087
"result.3568",15,14,13,68.75610087,104.31960132,105.10990133,753912.227535076,719,40,0.936020568964087
"result.3808",15,13,14,68.75610087,103.52930131,105.90020134,753826.340974637,719,40,0.935699870061652
"result.4048",15,12,15,68.75610087,102.7390013,106.69050135,753654.567853759,719,40,0.93505847225678
"result.4094",13,15,15,67.17550085,105.10990133,106.69050135,753321.387231366,711,40,0.933814381686987
"result.3583",14,15,13,67.96580086,105.10990133,105.10990133,750892.377093888,714,40,0.924744500658907
"result.3823",14,14,14,67.96580086,104.31960132,105.90020134,750849.92741459,714,40,0.92458599430483
"result.4063",14,13,15,67.96580086,103.52930131,106.69050135,750722.578376697,714,40,0.924110475242597
"result.3312",15,14,12,68.75610087,104.31960132,104.31960132,748243.714546091,717,40,0.914854441403334
"result.3072",15,15,11,68.75610087,105.10990133,103.52930131,748200.771265871,717,40,0.914694091952116
"result.3552",15,13,13,68.75610087,103.52930131,105.10990133,748200.771265871,717,40,0.914694091952116
"result.3792",15,12,14,68.75610087,102.7390013,105.90020134,748071.941425213,717,40,0.914213043598463
"result.4032",15,11,15,68.75610087,101.94870129,106.69050135,747857.225024115,717,40,0.913411296342374
"result.3838",13,15,14,67.17550085,105.10990133,105.90020134,747741.22880743,708,40,0.912978168514372
"result.4078",13,14,15,67.17550085,104.31960132,106.69050135,747657.316650679,708,40,0.912664842000498
"result.3327",14,15,12,67.96580086,105.10990133,104.31960132,745246.569747317,711,40,0.903663155566614
"result.3567",14,14,13,67.96580086,104.31960132,105.10990133,745246.569747317,711,40,0.903663155566614
"result.3807",14,13,14,67.96580086,103.52930131,105.90020134,745161.670388722,711,40,0.903346142858459
