"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4096",15,15,15,94.8360012,69.54640088,106.69050135,703677.474494756,816,40,1
"result.3840",15,15,14,94.8360012,69.54640088,105.90020134,698465.048757758,813,40,0.979122182680901
"result.4095",14,15,15,94.04570119,69.54640088,106.69050135,697813.495540633,810,40,0.976512455516014
"result.4080",15,14,15,94.8360012,68.75610087,106.69050135,695681.139557316,812,40,0.967971530249111
"result.3584",15,15,13,94.8360012,69.54640088,105.10990133,693252.62302076,810,40,0.958244365361803
"result.3839",14,15,14,94.04570119,69.54640088,105.90020134,692644.506684777,807,40,0.955808620007908
"result.4094",13,15,15,93.25540118,69.54640088,106.69050135,691949.51658651,803,40,0.953024911032028
"result.3824",15,14,14,94.8360012,68.75610087,105.90020134,690527.945930965,809,40,0.947330960854093
"result.4079",14,14,15,94.04570119,68.75610087,106.69050135,689883.796727672,805,40,0.944750889679715
"result.3328",15,15,12,94.8360012,69.54640088,104.31960132,688040.197283762,807,40,0.937366548042704
"result.4064",15,13,15,94.8360012,67.96580086,106.69050135,687684.804619876,807,40,0.935943060498221
"result.3583",14,15,13,94.04570119,69.54640088,105.10990133,687475.51782892,804,40,0.935104784499802
"result.3838",13,15,14,93.25540118,69.54640088,105.90020134,686823.964611795,800,40,0.932495057334915
"result.4093",12,15,15,92.46510117,69.54640088,106.69050135,686085.537632387,796,40,0.929537366548043
"result.3568",15,14,13,94.8360012,68.75610087,105.10990133,685374.752304615,806,40,0.926690391459075
"result.3823",14,14,14,94.04570119,68.75610087,105.90020134,684773.546381541,802,40,0.924282325029656
"result.4078",13,14,15,93.25540118,68.75610087,106.69050135,684086.453898027,798,40,0.92153024911032
"result.3072",15,15,11,94.8360012,69.54640088,103.52930131,682827.771546764,804,40,0.916488730723606
"result.3808",15,13,14,94.8360012,67.96580086,105.90020134,682590.843104173,804,40,0.915539739027284
"result.3327",14,15,12,94.04570119,69.54640088,104.31960132,682306.528973064,801,40,0.914400948991696
"result.4063",14,13,15,94.04570119,67.96580086,106.69050135,681954.09791471,800,40,0.912989323843416
"result.3582",13,15,13,93.25540118,69.54640088,105.10990133,681698.412637081,797,40,0.911965203637802
"result.3837",12,15,14,92.46510117,69.54640088,105.90020134,681003.422538814,793,40,0.909181494661922
"result.3312",15,14,12,94.8360012,68.75610087,104.31960132,680221.558678264,803,40,0.906049822064057
"result.4092",11,15,15,91.67480116,69.54640088,106.69050135,680221.558678264,789,40,0.906049822064057
"result.4048",15,12,15,94.8360012,67.17550085,106.69050135,679688.469682435,802,40,0.903914590747331
"result.3567",14,14,13,94.04570119,68.75610087,105.10990133,679663.29603541,799,40,0.903813760379597
"result.3822",13,14,14,93.25540118,68.75610087,105.90020134,679019.146832116,795,40,0.901233689205219
"result.4077",12,14,15,92.46510117,68.75610087,106.69050135,678289.111068383,791,40,0.898309608540925
"result.2816",15,15,10,94.8360012,69.54640088,102.7390013,677615.345809765,801,40,0.895610913404508
"result.3552",15,13,13,94.8360012,67.96580086,105.10990133,677496.88158847,801,40,0.895136417556347
"result.3071",14,15,11,94.04570119,69.54640088,103.52930131,677137.540117207,798,40,0.89369711348359
"result.3807",14,13,14,94.04570119,67.96580086,105.90020134,676902.586078305,797,40,0.892756030051404
"result.3326",13,15,12,93.25540118,69.54640088,104.31960132,676572.860662366,794,40,0.891435349940688
"result.4062",13,13,15,93.25540118,67.96580086,106.69050135,676223.391209544,794,40,0.890035587188612
"result.3581",12,15,13,92.46510117,69.54640088,105.10990133,675921.307445241,790,40,0.888825622775801
"result.3836",11,15,14,91.67480116,69.54640088,105.90020134,675182.880465833,786,40,0.885867931988929
"result.3056",15,14,11,94.8360012,68.75610087,103.52930131,675068.365051914,800,40,0.885409252669039
"result.3792",15,12,14,94.8360012,67.17550085,105.90020134,674653.74027738,799,40,0.883748517200474
"result.3311",14,14,12,94.04570119,68.75610087,104.31960132,674553.045689279,796,40,0.883345195729537
"result.4091",10,15,15,90.88450115,69.54640088,106.69050135,674357.579724142,782,40,0.882562277580071
"result.4047",14,12,15,94.04570119,67.17550085,106.69050135,674024.399101748,796,40,0.881227758007118
"result.3566",13,14,13,93.25540118,68.75610087,105.10990133,673951.839766205,792,40,0.880937129300119
"result.3821",12,14,14,92.46510117,68.75610087,105.90020134,673264.747282691,789,40,0.878185053380783
"result.4076",11,14,15,91.67480116,68.75610087,106.69050135,672491.768238739,785,40,0.87508896797153
"result.2560",15,15,9,94.8360012,69.54640088,101.94870129,672402.920072767,798,40,0.874733096085409
"result.3296",15,13,12,94.8360012,67.96580086,104.31960132,672402.920072767,798,40,0.874733096085409
"result.2815",14,15,10,94.04570119,69.54640088,102.7390013,671968.551261351,794,40,0.872993277975484
"result.3551",14,13,13,94.04570119,67.96580086,105.10990133,671851.074241899,794,40,0.872522736259391
"result.4032",15,11,15,94.8360012,66.38520084,106.69050135,671692.134744995,798,40,0.871886120996441
"result.3070",13,15,11,93.25540118,69.54640088,103.52930131,671447.308687651,791,40,0.870905496243575
"result.3806",13,13,14,93.25540118,67.96580086,105.90020134,671214.329052437,791,40,0.869972321075524
"result.3325",12,15,12,92.46510117,69.54640088,104.31960132,670839.192351668,787,40,0.86846975088968
"result.4061",12,13,15,92.46510117,67.96580086,106.69050135,670492.684504379,787,40,0.867081850533808
"result.3580",11,15,13,91.67480116,69.54640088,105.10990133,670144.202253401,783,40,0.8656860419138
"result.2800",15,14,10,94.8360012,68.75610087,102.7390013,669915.171425564,797,40,0.864768683274022
"result.3536",15,12,13,94.8360012,67.17550085,105.10990133,669619.010872325,796,40,0.863582443653618
"result.3055",14,14,11,94.04570119,68.75610087,103.52930131,669442.795343148,793,40,0.862876631079478
"result.3835",10,15,14,90.88450115,69.54640088,105.90020134,669362.338392852,779,40,0.862554369315935
"result.3791",14,12,14,94.04570119,67.17550085,105.90020134,669031.625775069,793,40,0.861229735073152
"result.3310",13,14,12,93.25540118,68.75610087,104.31960132,668884.532700293,789,40,0.860640569395018
"result.4090",9,15,15,90.09420114,69.54640088,106.69050135,668493.600770019,776,40,0.859074733096086
"result.4046",13,12,15,93.25540118,67.17550085,106.69050135,668360.328521061,789,40,0.858540925266904
"result.3565",12,14,13,92.46510117,68.75610087,105.10990133,668240.383497,786,40,0.85806049822064
"result.3820",11,14,14,91.67480116,68.75610087,105.90020134,667510.347733267,782,40,0.855136417556346
"result.3040",15,13,11,94.8360012,67.96580086,103.52930131,667308.958557064,795,40,0.854329774614472
"result.2304",15,15,8,94.8360012,69.54640088,101.15840128,667190.494335769,795,40,0.853855278766311
"result.2559",14,15,9,94.04570119,69.54640088,101.94870129,666799.562405494,791,40,0.852289442467378
