"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4065",0,14,15,122.61177824,105.09580992,142.41243808,1835124.41841828,1500,35,1
"result.3057",0,15,11,123.082256465,106.263563035,139.900949895,1829786.78448621,1500,35.5,0.969866865181028
"result.4033",0,12,15,123.082256465,103.97010484,142.958894155,1829427.11416651,1500,35.5,0.967836378569898
"result.3826",1,15,14,122.898121236,105.449622542,141.105250308,1828662.02759315,1499,34.5,0.963517150770365
"result.3569",0,15,13,122.61177824,105.85737376,140.8893104,1828653.19769147,1497,35,0.963467302350401
"result.4083",2,15,15,123.17673813,105.04028589,141.31319037,1828383.50993208,1500,34,0.961944804233078
"result.4081",0,15,15,122.139490858,105.449622542,141.863880686,1827144.81829109,1493,34.5,0.954951881396402
"result.3297",0,14,12,123.082256465,105.49907697,140.66543596,1826549.75160884,1499,35.5,0.95159248568086
"result.3809",0,14,14,122.61177824,105.09580992,141.65087424,1825310.91885454,1496,35,0.944598766201707
"result.4066",1,14,15,122.898121236,104.690992164,141.863880686,1825266.97161247,1497,34.5,0.944350665978439
"result.3794",1,13,14,123.37334208,104.33424608,141.65087424,1823339.2084372,1499,35,0.933467651444501
"result.4001",0,10,15,123.55094437,102.83122078,143.50327079,1823193.90690745,1500,36,0.932647364658027
"result.3537",0,13,13,123.082256465,104.734590905,141.429922025,1823168.85060357,1497,35.5,0.93250591153624
"result.4049",0,13,15,122.61177824,104.33424608,142.41243808,1821826.41538626,1494,35,0.924927313621153
"result.3265",0,12,12,123.55094437,104.36601512,141.20107928,1820720.10242046,1499,36,0.918681722751732
"result.2289",0,15,8,123.55094437,106.66820663,138.1314906,1820429.06659846,1499,36,0.917038706056875
"result.3315",2,15,12,123.656751614,105.449622542,139.587989552,1820165.65550158,1500,34.5,0.915551642276167
"result.3058",1,15,11,123.37334208,105.85737376,139.36618272,1820119.27811856,1498,35,0.91528982290955
"result.2801",0,15,10,123.082256465,106.263563035,139.13646383,1819787.94959831,1496,35.5,0.913419337391619
"result.4034",1,12,15,123.37334208,103.57268224,142.41243808,1819761.50808315,1498,35,0.913270064183444
"result.3777",0,12,14,123.082256465,103.97010484,142.19440809,1819644.08147043,1496,35.5,0.912607142747167
"result.3570",1,15,13,122.898121236,105.449622542,140.34661993,1818830.51131577,1495,34.5,0.908014205227079
"result.3313",0,15,12,122.61177824,105.85737376,140.12774656,1818768.58581205,1493,35,0.907664610336178
"result.3827",2,15,14,123.17673813,105.04028589,140.55750486,1818606.05800731,1496,34,0.906747074155464
"result.4084",3,15,15,123.447570268,104.629343093,140.760339269,1818094.06879822,1498,33.5,0.90385668488187
"result.2786",1,14,10,123.84674253,105.49907697,139.13646383,1817917.66393583,1500,35.5,0.902860807013744
"result.3762",1,11,14,123.84674253,103.205618775,142.19440809,1817483.37877961,1500,35.5,0.90040908901869
"result.3825",0,15,14,122.139490858,105.449622542,141.105250308,1817373.99038579,1489,34.5,0.899791546628074
"result.2529",0,14,9,123.55094437,105.90080946,138.89888777,1817373.19046748,1498,36,0.899787030760864
"result.4082",1,15,15,122.42105262,105.04028589,141.31319037,1817166.43318403,1491,34,0.898619801015201
"result.3505",0,11,13,123.55094437,103.59861795,141.96847645,1817154.91360098,1498,36,0.89855476823972
"result.3298",1,14,12,123.37334208,105.09580992,140.12774656,1816899.34779991,1497,35,0.897111994374598
"result.3555",2,14,13,123.656751614,104.690992164,140.34661993,1816891.97626507,1498,34.5,0.897070379034158
"result.3041",0,14,11,123.082256465,105.49907697,139.900949895,1816622.85078487,1495,35.5,0.895551055213677
"result.3812",3,14,14,123.93242364,104.28460038,140.55750486,1816599.38671587,1500,34,0.895418590911393
"result.3969",0,8,15,124.017859826,101.679239112,144.045588742,1816420.86970469,1500,36.5,0.894410789096248
"result.4017",0,11,15,123.082256465,103.205618775,142.958894155,1815975.4442094,1495,35.5,0.891896179313642
"result.3810",1,14,14,122.898121236,104.690992164,141.105250308,1815506.18566802,1493,34.5,0.889247022201651
"result.3553",0,14,13,122.61177824,105.09580992,140.8893104,1815497.41929081,1491,35,0.889197532403412
"result.4067",2,14,15,123.17673813,104.28460038,141.31319037,1815229.67173113,1495,34,0.887685987509957
"result.3283",2,13,12,124.13490592,104.33424608,140.12774656,1814867.56735194,1500,35,0.88564175963375
"result.3026",1,13,11,123.84674253,104.734590905,139.900949895,1814660.52526418,1499,35.5,0.884472922050842
"result.2257",0,13,8,124.017859826,105.530725442,138.65350788,1814654.7823253,1500,36.5,0.884440500803221
"result.3233",0,10,12,124.017859826,103.219833644,141.734696944,1814360.43442874,1500,36.5,0.882778786087717
