"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4096",15,15,15,79.030001,69.54640088,106.69050135,586397.895412297,680,40,1
"result.3840",15,15,14,79.030001,69.54640088,105.90020134,582054.207298132,678,40,0.980153360396933
"result.4095",14,15,15,78.23970099,69.54640088,106.69050135,580533.916458174,673,40,0.973207036535859
"result.4080",15,14,15,79.030001,68.75610087,106.69050135,579734.28296443,676,40,0.969553450608931
"result.3584",15,15,13,79.030001,69.54640088,105.10990133,577710.519183967,675,40,0.960306720793865
"result.3839",14,15,14,78.23970099,69.54640088,105.90020134,576233.66522515,671,40,0.953558863328822
"result.3824",15,14,14,79.030001,68.75610087,105.90020134,575439.954942471,674,40,0.949932341001353
"result.4094",13,15,15,77.44940098,69.54640088,106.69050135,574669.937504051,667,40,0.946414073071718
"result.4079",14,14,15,78.23970099,68.75610087,106.69050135,573936.940134786,670,40,0.943064952638701
"result.3328",15,15,12,79.030001,69.54640088,104.31960132,573366.831069801,673,40,0.940460081190798
"result.4064",15,13,15,79.030001,67.96580086,106.69050135,573070.670516563,672,40,0.939106901217862
"result.3583",14,15,13,78.23970099,69.54640088,105.10990133,571933.413992127,668,40,0.933910690121786
"result.3568",15,14,13,79.030001,68.75610087,105.10990133,571145.626920512,671,40,0.930311231393775
"result.3838",13,15,14,77.44940098,69.54640088,105.90020134,570413.123152169,664,40,0.926964366260713
"result.3823",14,14,14,78.23970099,68.75610087,105.90020134,569685.555393046,667,40,0.923640054127199
"result.3072",15,15,11,79.030001,69.54640088,103.52930131,569023.142955636,670,40,0.920613441587731
"result.3808",15,13,14,79.030001,67.96580086,105.90020134,568825.702586811,670,40,0.919711321605773
"result.4093",12,15,15,76.65910097,69.54640088,106.69050135,568805.958549928,660,40,0.919621109607578
"result.4078",13,14,15,77.44940098,68.75610087,106.69050135,568139.597305141,663,40,0.91657645466847
"result.3327",14,15,12,78.23970099,69.54640088,104.31960132,567633.162759103,666,40,0.91426251691475
"result.4063",14,13,15,78.23970099,67.96580086,106.69050135,567339.963811397,666,40,0.912922868741543
"result.3312",15,14,12,79.030001,68.75610087,104.31960132,566851.298898554,669,40,0.910690121786197
"result.4048",15,12,15,79.030001,67.17550085,106.69050135,566407.058068696,669,40,0.908660351826793
"result.3582",13,15,13,77.44940098,69.54640088,105.10990133,566156.308800287,662,40,0.907514659449707
"result.3567",14,14,13,78.23970099,68.75610087,105.10990133,565434.170651307,665,40,0.904215155615697
"result.2816",15,15,10,79.030001,69.54640088,102.7390013,564679.454841471,668,40,0.900766801984664
"result.3837",12,15,14,76.65910097,69.54640088,105.90020134,564592.581079188,657,40,0.900369869192602
"result.3552",15,13,13,79.030001,67.96580086,105.10990133,564580.734657058,667,40,0.900315741993685
"result.3822",13,14,14,77.44940098,68.75610087,105.90020134,563931.155843622,660,40,0.897347767253045
"result.3071",14,15,11,78.23970099,69.54640088,103.52930131,563332.91152608,663,40,0.894614343707713
"result.3807",14,13,14,78.23970099,67.96580086,105.90020134,563137.445560943,663,40,0.893721244925575
"result.4092",11,15,15,75.86880096,69.54640088,106.69050135,562941.979595805,653,40,0.892828146143437
"result.3056",15,14,11,79.030001,68.75610087,103.52930131,562556.970876595,666,40,0.89106901217862
"result.4077",12,14,15,76.65910097,68.75610087,106.69050135,562342.254475497,656,40,0.890087956698241
"result.3792",15,12,14,79.030001,67.17550085,105.90020134,562211.45023115,666,40,0.889490302210194
"result.3326",13,15,12,77.44940098,69.54640088,104.31960132,561899.494448405,659,40,0.888064952638701
"result.4062",13,13,15,77.44940098,67.96580086,106.69050135,561609.257106232,659,40,0.886738836265223
"result.3311",14,14,12,78.23970099,68.75610087,104.31960132,561182.785909568,662,40,0.884790257104195
"result.4047",14,12,15,78.23970099,67.17550085,106.69050135,560742.987488009,662,40,0.882780784844384
"result.3581",12,15,13,76.65910097,69.54640088,105.10990133,560379.203608448,655,40,0.881118628777627
"result.2560",15,15,9,79.030001,69.54640088,101.94870129,560335.766727306,665,40,0.880920162381597
"result.3296",15,13,12,79.030001,67.96580086,104.31960132,560335.766727306,665,40,0.880920162381597
"result.4032",15,11,15,79.030001,66.38520084,106.69050135,559743.445620829,665,40,0.878213802435724
"result.3566",13,14,13,77.44940098,68.75610087,105.10990133,559722.714382102,658,40,0.878119079837618
"result.2815",14,15,10,78.23970099,69.54640088,102.7390013,559032.660293056,661,40,0.874966170500676
"result.3551",14,13,13,78.23970099,67.96580086,105.10990133,558934.927310488,661,40,0.874519621109607
"result.3836",11,15,14,75.86880096,69.54640088,105.90020134,558772.039006207,651,40,0.873775372124493
"result.2800",15,14,10,79.030001,68.75610087,102.7390013,558262.642854636,664,40,0.871447902571042
"result.3821",12,14,14,76.65910097,68.75610087,105.90020134,558176.756294197,654,40,0.87105548037889
"result.3536",15,12,13,79.030001,67.17550085,105.10990133,558015.842393604,664,40,0.870320252593595
"result.3070",13,15,11,77.44940098,69.54640088,103.52930131,557642.680096524,657,40,0.868615245827695
"result.3806",13,13,14,77.44940098,67.96580086,105.90020134,557449.188535074,657,40,0.867731168245376
"result.4091",10,15,15,75.07850095,69.54640088,106.69050135,557078.000641682,646,40,0.866035182679296
"result.3055",14,14,11,78.23970099,68.75610087,103.52930131,556931.401167829,660,40,0.865365358592693
"result.3791",14,12,14,78.23970099,67.17550085,105.90020134,556589.335728838,659,40,0.863802435723951
"result.4076",11,14,15,75.86880096,68.75610087,106.69050135,556544.911645853,649,40,0.863599458728011
"result.3325",12,15,12,76.65910097,69.54640088,104.31960132,556165.826137707,652,40,0.861867388362652
"result.3040",15,13,11,79.030001,67.96580086,103.52930131,556090.798797554,662,40,0.861524582769508
"result.2304",15,15,8,79.030001,69.54640088,101.15840128,555992.078613141,662,40,0.86107352277853
"result.4061",12,13,15,76.65910097,67.96580086,106.69050135,555878.550401066,652,40,0.860554803788904
"result.3776",15,11,14,79.030001,66.38520084,105.90020134,555597.197875489,662,40,0.859269282814614
"result.3310",13,14,12,77.44940098,68.75610087,104.31960132,555514.272920583,655,40,0.858890392422192
"result.4046",13,12,15,77.44940098,67.17550085,106.69050135,555078.916907322,655,40,0.856901217861976
"result.2559",14,15,9,78.23970099,69.54640088,101.94870129,554732.409060033,658,40,0.85531799729364
"result.3295",14,13,12,78.23970099,67.96580086,104.31960132,554732.409060033,658,40,0.85531799729364
"result.3580",11,15,13,75.86880096,69.54640088,105.10990133,554602.098416608,648,40,0.854722598105548
"result.4031",14,11,15,78.23970099,66.38520084,106.69050135,554146.011164621,658,40,0.852638700947226
"result.3565",12,14,13,76.65910097,68.75610087,105.10990133,554011.258112897,651,40,0.85202300405954
"result.2544",15,14,9,79.030001,68.75610087,101.94870129,553968.314832677,661,40,0.851826792963464
"result.3280",15,12,12,79.030001,67.17550085,104.31960132,553820.234556058,661,40,0.851150202976996
"result.2814",13,15,10,77.44940098,69.54640088,102.7390013,553385.865744642,654,40,0.849165539016689
"result.3550",13,13,13,77.44940098,67.96580086,105.10990133,553289.119963917,654,40,0.84872350022553
"result.4016",15,10,15,79.030001,65.59490083,106.69050135,553079.833172962,661,40,0.847767253044655
"result.3835",10,15,14,75.07850095,69.54640088,105.90020134,552951.496933225,644,40,0.847180875056382
"result.2799",14,14,10,78.23970099,68.75610087,102.7390013,552680.01642609,657,40,0.845940460081191
"result.3535",14,12,13,78.23970099,67.17550085,105.10990133,552435.683969668,657,40,0.844824086603518
"result.3820",11,14,14,75.86880096,68.75610087,105.90020134,552422.356744772,647,40,0.844763193504736
"result.3069",12,15,11,76.65910097,69.54640088,103.52930131,551952.448666967,650,40,0.842616147947677
"result.2784",15,13,10,79.030001,67.96580086,102.7390013,551845.830867801,660,40,0.84212900315742
"result.3805",12,13,14,76.65910097,67.96580086,105.90020134,551760.931509206,650,40,0.841741091565178
"result.2048",15,15,7,79.030001,69.54640088,100.36810127,551648.390498976,660,40,0.841226883175462
"result.3520",15,11,13,79.030001,66.38520084,105.10990133,551450.95013015,660,40,0.840324763193505
"result.3054",13,14,11,77.44940098,68.75610087,103.52930131,551305.831459063,653,40,0.839661705006766
"result.4090",9,15,15,74.28820094,69.54640088,106.69050135,551214.021687559,639,40,0.839242219215155
"result.3790",13,12,14,77.44940098,67.17550085,105.90020134,550967.221226527,653,40,0.838114569237708
"result.4075",10,14,15,75.07850095,68.75610087,106.69050135,550747.568816208,643,40,0.83711096075778
"result.3039",14,13,11,78.23970099,67.96580086,103.52930131,550529.890809578,656,40,0.836116373477672
"result.2303",14,15,8,78.23970099,69.54640088,101.15840128,550432.157827009,656,40,0.835669824086604
"result.3324",11,15,12,75.86880096,69.54640088,104.31960132,550432.157827009,646,40,0.835669824086604
"result.4060",11,13,15,75.86880096,67.96580086,106.69050135,550147.8436959,646,40,0.834370771312584
"result.3775",14,11,14,78.23970099,66.38520084,105.90020134,550041.225896735,656,40,0.833883626522327
"result.3309",12,14,12,76.65910097,68.75610087,104.31960132,549845.759931597,649,40,0.832990527740189
"result.2288",15,14,8,79.030001,68.75610087,101.15840128,549673.986810719,659,40,0.832205683355886
"result.3024",15,12,11,79.030001,67.17550085,103.52930131,549624.626718512,659,40,0.831980153360397
"result.4045",12,12,15,76.65910097,67.17550085,106.69050135,549414.846326635,648,40,0.831021650879567
"result.2558",13,15,9,77.44940098,69.54640088,101.94870129,549129.05139276,652,40,0.829715832205683
"result.3294",13,13,12,77.44940098,67.96580086,104.31960132,549129.05139276,652,40,0.829715832205683
"result.3760",15,10,14,79.030001,65.59490083,105.90020134,548982.945519829,658,40,0.829048263419034
"result.3579",10,15,13,75.07850095,69.54640088,105.10990133,548824.993224768,641,40,0.828326567433469
"result.4030",13,11,15,77.44940098,66.38520084,106.69050135,548548.576708412,651,40,0.827063599458728
"result.2543",14,14,9,78.23970099,68.75610087,101.94870129,548428.631684351,655,40,0.826515561569688
"result.3564",11,14,13,75.86880096,68.75610087,105.10990133,548299.801843692,644,40,0.825926928281461
"result.3279",14,12,12,78.23970099,67.17550085,104.31960132,548282.032210498,654,40,0.825845737483085
"result.2813",12,15,10,76.65910097,69.54640088,102.7390013,547739.071196227,647,40,0.823364907532702
"result.3549",12,13,13,76.65910097,67.96580086,105.10990133,547643.312617347,647,40,0.822927379341452
"result.2528",15,13,9,79.030001,67.96580086,101.94870129,547600.862938049,657,40,0.822733423545331
"result.4015",14,10,15,78.23970099,65.59490083,106.69050135,547549.034841232,654,40,0.822496617050067
"result.1792",15,15,6,79.030001,69.54640088,99.57780126,547304.70238481,657,40,0.821380243572395
"result.3264",15,11,12,79.030001,66.38520084,104.31960132,547304.70238481,657,40,0.821380243572395
"result.3834",9,15,14,74.28820094,69.54640088,105.90020134,547130.954860244,637,40,0.820586377988272
"result.2798",13,14,10,77.44940098,68.75610087,102.7390013,547097.389997544,650,40,0.82043301759134
"result.3534",13,12,13,77.44940098,67.17550085,105.10990133,546855.525545732,650,40,0.819327920613441
"result.3819",10,14,14,75.07850095,68.75610087,105.90020134,546667.957195348,640,40,0.818470906630582
"result.4000",15,9,15,79.030001,64.80460082,106.69050135,546416.220725095,657,40,0.817320703653586
"result.2783",14,13,10,78.23970099,67.96580086,102.7390013,546327.372559123,653,40,0.816914749661705
"result.3068",11,15,11,75.86880096,69.54640088,103.52930131,546262.217237411,643,40,0.816617050067659
"result.2047",14,15,7,78.23970099,69.54640088,100.36810127,546131.906593986,653,40,0.816021650879567
"result.3804",11,13,14,75.86880096,67.96580086,105.90020134,546072.674483338,643,40,0.815751014884979
"result.3519",14,11,13,78.23970099,66.38520084,105.10990133,545936.440628849,653,40,0.815128552097429
"result.3053",12,14,11,76.65910097,68.75610087,103.52930131,545680.261750297,646,40,0.813958051420839
"result.2768",15,12,10,79.030001,67.17550085,102.7390013,545429.018880966,656,40,0.812810103743798
"result.2032",15,14,7,79.030001,68.75610087,100.36810127,545379.65878876,656,40,0.812584573748308
"result.4089",8,15,15,73.49790093,69.54640088,106.69050135,545350.042733436,633,40,0.812449255751014
"result.3789",12,12,14,76.65910097,67.17550085,105.90020134,545345.106724216,646,40,0.812426702751466
"result.3038",13,13,11,77.44940098,67.96580086,103.52930131,544968.982821603,649,40,0.810708164185837
"result.4074",9,14,15,74.28820094,68.75610087,106.69050135,544950.225986564,636,40,0.810622462787551
"result.3504",15,10,13,79.030001,65.59490083,105.10990133,544886.057866696,656,40,0.810329273793414
"result.2302",13,15,8,77.44940098,69.54640088,101.15840128,544872.237040878,649,40,0.810266125394678
"result.3323",10,15,12,75.07850095,69.54640088,104.31960132,544698.489516311,639,40,0.809472259810554
"result.3774",13,11,14,77.44940098,66.38520084,105.90020134,544485.25391798,649,40,0.808497970230041
"result.4059",10,13,15,75.07850095,67.96580086,106.69050135,544417.136990735,639,40,0.808186738836265
"result.2287",14,14,8,78.23970099,68.75610087,101.15840128,544177.246942612,652,40,0.807090663058186
"result.3308",11,14,12,75.86880096,68.75610087,104.31960132,544177.246942612,642,40,0.807090663058186
"result.3023",14,12,11,78.23970099,67.17550085,103.52930131,544128.380451327,652,40,0.806867388362652
"result.4044",11,12,15,75.86880096,67.17550085,106.69050135,543750.775745948,642,40,0.805142083897158
"result.2557",12,15,9,76.65910097,69.54640088,101.94870129,543525.693725487,645,40,0.804113667117726
"result.3293",12,13,12,76.65910097,67.96580086,104.31960132,543525.693725487,645,40,0.804113667117726
"result.3759",14,10,14,78.23970099,65.59490083,105.90020134,543493.116064631,652,40,0.803964817320704
"result.2272",15,13,8,79.030001,67.96580086,101.15840128,543355.895008297,655,40,0.803337843933243
"result.3008",15,11,11,79.030001,66.38520084,103.52930131,543158.454639471,655,40,0.802435723951285
"result.3578",9,15,13,74.28820094,69.54640088,105.10990133,543047.888032929,635,40,0.801930536761389
"result.1536",15,15,5,79.030001,69.54640088,98.78750125,542961.014270645,655,40,0.801533603969328
"result.4029",12,11,15,76.65910097,66.38520084,106.69050135,542951.142252204,645,40,0.80148849797023
"result.2542",13,14,9,77.44940098,68.75610087,101.94870129,542888.948536024,648,40,0.801204330175913
"result.3278",13,12,12,77.44940098,67.17550085,104.31960132,542743.829864937,648,40,0.800541271989175
"result.3563",10,14,13,75.07850095,68.75610087,105.10990133,542588.345574487,638,40,0.799830852503383
"result.3744",15,9,14,79.030001,64.80460082,105.90020134,542368.693164168,654,40,0.798827244023455
"result.2527",14,13,9,78.23970099,67.96580086,101.94870129,542124.854308669,651,40,0.797713125845737
"result.2812",11,15,10,75.86880096,69.54640088,102.7390013,542092.276647812,641,40,0.797564276048715
"result.4014",13,10,15,77.44940098,65.59490083,106.69050135,542018.236509503,647,40,0.79722598105548
"result.3548",11,13,13,75.86880096,67.96580086,105.10990133,541997.505270776,641,40,0.797131258457375
"result.1791",14,15,6,78.23970099,69.54640088,99.57780126,541831.655360962,651,40,0.79637347767253
"result.3263",14,11,12,78.23970099,66.38520084,104.31960132,541831.655360962,651,40,0.79637347767253
"result.2797",12,14,10,76.65910097,68.75610087,102.7390013,541514.763568997,644,40,0.794925575101488
"result.3833",8,15,14,73.49790093,69.54640088,105.90020134,541310.412787263,630,40,0.793991880920162
"result.3533",12,12,13,76.65910097,67.17550085,105.10990133,541275.367121796,644,40,0.793831754623365
"result.2512",15,12,9,79.030001,67.17550085,101.94870129,541233.411043421,654,40,0.793640054127199
"result.1776",15,14,6,79.030001,68.75610087,99.57780126,541085.330766801,653,40,0.79296346414073
"result.3999",14,9,15,78.23970099,64.80460082,106.69050135,540952.058517844,650,40,0.792354533152909
"result.3818",9,14,14,74.28820094,68.75610087,105.90020134,540913.557645923,633,40,0.792178619756427
"result.2782",13,13,10,77.44940098,67.96580086,102.7390013,540808.914250445,647,40,0.79170049616599
"result.3248",15,10,12,79.030001,65.59490083,104.31960132,540789.170213563,653,40,0.791610284167794
"result.2046",13,15,7,77.44940098,69.54640088,100.36810127,540615.422688996,647,40,0.790816418583671
"result.3067",10,15,11,75.07850095,69.54640088,103.52930131,540571.985807854,637,40,0.790617952187641
"result.3518",13,11,13,77.44940098,66.38520084,105.10990133,540421.931127547,646,40,0.789932341001353
"result.3803",10,13,14,75.07850095,67.96580086,105.90020134,540384.41745747,636,40,0.789760938204781
"result.3052",11,14,11,75.86880096,68.75610087,103.52930131,540054.692041531,640,40,0.788254397834912
"result.2767",14,12,10,78.23970099,67.17550085,102.7390013,539974.728692157,649,40,0.787889039242219
"result.2031",14,14,7,78.23970099,68.75610087,100.36810127,539925.862200872,649,40,0.787665764546684
"result.3984",15,8,15,79.030001,64.01430081,106.69050135,539752.608277228,653,40,0.786874154262517
"result.3788",11,12,14,75.86880096,67.17550085,105.90020134,539722.992221904,639,40,0.786738836265223
"result.4088",7,15,15,72.70760092,69.54640088,106.69050135,539486.063779313,626,40,0.785656292286874
"result.3503",14,10,13,78.23970099,65.59490083,105.10990133,539437.197288029,649,40,0.785433017591339
"result.3037",12,13,11,76.65910097,67.96580086,103.52930131,539408.074833627,643,40,0.785299954894001
"result.2301",12,15,8,76.65910097,69.54640088,101.15840128,539312.316254747,642,40,0.784862426702752
"result.4073",8,14,15,73.49790093,68.75610087,106.69050135,539152.88315692,629,40,0.784133964817321
"result.2016",15,13,7,79.030001,67.96580086,100.36810127,539110.927078544,652,40,0.783942264321155
"result.2752",15,11,10,79.030001,66.38520084,102.7390013,539012.206894131,652,40,0.783491204330176
"result.3322",9,15,12,74.28820094,69.54640088,104.31960132,538964.821205613,632,40,0.783274695534506
"result.3773",12,11,14,76.65910097,66.38520084,105.90020134,538929.281939225,642,40,0.783112313937753
