"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.3793",0,13,14,103.20509466,106.0326315,199.34134722,2181413.84584607,1500,28,1
"result.3297",0,14,12,103.20509466,106.73951571,197.9275788,2180382.44450051,1500,28,0.995245399950212
"result.2801",0,15,10,103.20509466,107.44639992,196.51381038,2179144.76288585,1499,28,0.989539879890466
"result.4033",0,12,15,103.20509466,105.32574729,200.04823143,2174555.02689813,1498,28,0.96838190966891
"result.4082",1,15,15,102.979184931,106.481878296,198.252444459,2173920.73206669,1496,27.5,0.965457908987543
"result.3537",0,13,13,103.20509466,106.0326315,198.63446301,2173678.33575441,1497,28,0.964340499626589
"result.3041",0,14,11,103.20509466,106.73951571,197.22069459,2172595.36434158,1497,28,0.959348169574313
"result.2545",0,15,9,103.20509466,107.44639992,195.80692617,2171306.11265964,1496,28,0.953404919512077
"result.3762",1,11,14,103.91197887,104.61886308,199.34134722,2167070.30275009,1500,28,0.933878493554181
"result.3777",0,12,14,103.20509466,105.32574729,199.34134722,2166871.08687376,1495,28,0.93296013929799
"result.3811",2,14,14,103.679723604,105.781339623,197.551905786,2166626.83126036,1498,27.5,0.93183415884756
"result.3266",1,12,12,103.91197887,105.32574729,197.9275788,2166239.53015943,1500,28,0.930048760911339
"result.3826",1,15,14,102.979184931,106.481878296,197.551905786,2166239.03336681,1493,27.5,0.930046470774505
"result.3281",0,13,12,103.20509466,106.0326315,197.9275788,2165942.82566276,1495,28,0.92868099925318
"result.3315",2,15,12,103.679723604,106.481878296,196.15082844,2165507.44301444,1498,27.5,0.926673952849455
"result.2770",1,13,10,103.91197887,106.0326315,196.51381038,2165201.0644211,1499,28,0.925261595107785
"result.2785",0,14,10,103.20509466,106.73951571,196.51381038,2164808.28418265,1494,28,0.923450939198413
"result.2274",1,14,8,103.91197887,106.73951571,195.10004196,2163954.9055351,1499,28,0.919516996143521
"result.2289",0,15,8,103.20509466,107.44639992,195.10004196,2163467.46243343,1494,28,0.917269959133689
