"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4096",15,15,15,66.38520084,37.14410047,175.44660222,432619.489748721,535,40,1
"result.3840",15,15,14,66.38520084,37.14410047,174.65630221,430670.753308411,534,40,0.990586552217454
"result.3584",15,15,13,66.38520084,37.14410047,173.8660022,428722.016868102,533,40,0.981173104434907
"result.4095",14,15,15,65.59490083,37.14410047,175.44660222,427469.257727903,529,40,0.975121602288984
"result.3328",15,15,12,66.38520084,37.14410047,173.07570219,426773.280427792,532,40,0.97175965665236
"result.3839",14,15,14,65.59490083,37.14410047,174.65630221,425543.72053093,528,40,0.965820219360992
"result.3072",15,15,11,66.38520084,37.14410047,172.28540218,424824.543987482,531,40,0.962346208869814
"result.3583",14,15,13,65.59490083,37.14410047,173.8660022,423618.183333957,527,40,0.956518836432999
"result.4080",15,14,15,66.38520084,36.35380046,175.44660222,423414.819754067,530,40,0.955536480686695
"result.2816",15,15,10,66.38520084,37.14410047,171.49510217,422875.807547173,529,40,0.952932761087267
"result.4094",13,15,15,64.80460082,37.14410047,175.44660222,422319.025707084,523,40,0.950243204577969
"result.3327",14,15,12,65.59490083,37.14410047,173.07570219,421692.646136985,525,40,0.947217453505007
"result.3824",15,14,14,66.38520084,36.35380046,174.65630221,421507.545791211,528,40,0.946323319027181
"result.2560",15,15,9,66.38520084,37.14410047,170.70480216,420927.071106863,528,40,0.943519313304721
"result.3838",13,15,14,64.80460082,37.14410047,174.65630221,420416.687753449,521,40,0.94105388650453
"result.3071",14,15,11,65.59490083,37.14410047,172.28540218,419767.108940012,524,40,0.937916070577015
"result.3568",15,14,13,66.38520084,36.35380046,173.8660022,419600.271828355,527,40,0.937110157367668
"result.2304",15,15,8,66.38520084,37.14410047,169.91450215,418978.334666554,527,40,0.934105865522174
"result.3582",13,15,13,64.80460082,37.14410047,173.8660022,418514.349799813,520,40,0.931864568431092
"result.4079",14,14,15,65.59490083,36.35380046,175.44660222,418374.167137947,523,40,0.931187410586552
"result.2815",14,15,10,65.59490083,37.14410047,171.49510217,417841.57174304,523,40,0.928614687649022
"result.3312",15,14,12,66.38520084,36.35380046,173.07570219,417692.997865499,526,40,0.927896995708154
"result.4093",12,15,15,64.01430081,37.14410047,175.44660222,417168.793686266,516,40,0.925364806866953
"result.2048",15,15,7,66.38520084,37.14410047,169.12420214,417029.598226244,526,40,0.924692417739628
"result.3326",13,15,12,64.80460082,37.14410047,173.07570219,416612.011846178,519,40,0.922675250357654
"result.3823",14,14,14,65.59490083,36.35380046,174.65630221,416489.598817506,522,40,0.922083929422985
"result.2559",14,15,9,65.59490083,37.14410047,170.70480216,415916.034546067,522,40,0.91931330472103
"result.3056",15,14,11,66.38520084,36.35380046,172.28540218,415785.723902642,525,40,0.918683834048641
"result.3837",12,15,14,64.01430081,37.14410047,174.65630221,415289.654975968,515,40,0.916287553648069
"result.1792",15,15,6,66.38520084,37.14410047,168.33390213,415080.861785935,524,40,0.915278969957081
"result.3070",13,15,11,64.80460082,37.14410047,172.28540218,414709.673892542,518,40,0.913485932284215
"result.3567",14,14,13,65.59490083,36.35380046,173.8660022,414605.030497065,521,40,0.912980448259418
"result.4064",15,13,15,66.38520084,35.56350045,175.44660222,414210.149759413,524,40,0.91107296137339
"result.2303",14,15,8,65.59490083,37.14410047,169.91450215,413990.497349095,521,40,0.910011921793038
"result.2800",15,14,10,66.38520084,36.35380046,171.49510217,413878.449939786,524,40,0.909470672389127
"result.3581",12,15,13,64.01430081,37.14410047,173.8660022,413410.516265669,514,40,0.907210300429184
"result.4078",13,14,15,64.80460082,36.35380046,175.44660222,413333.514521827,517,40,0.906838340486409
"result.1536",15,15,5,66.38520084,37.14410047,167.54360212,413132.125345625,523,40,0.905865522174535
"result.2814",13,15,10,64.80460082,37.14410047,171.49510217,412807.335938907,517,40,0.904296614210777
"result.3311",14,14,12,65.59490083,36.35380046,173.07570219,412720.462176624,520,40,0.903876967095851
"result.3808",15,13,14,66.38520084,35.56350045,174.65630221,412344.338274011,523,40,0.90206008583691
"result.2047",14,15,7,65.59490083,37.14410047,169.12420214,412064.960152122,519,40,0.900710538865045
"result.4092",11,15,15,63.2240008,37.14410047,175.44660222,412018.561665448,510,40,0.900486409155937
"result.2544",15,14,9,66.38520084,36.35380046,170.70480216,411971.17597693,522,40,0.900257510729614
"result.3325",12,15,12,64.01430081,37.14410047,173.07570219,411531.377555371,513,40,0.8981330472103
"result.3822",13,14,14,64.80460082,36.35380046,174.65630221,411471.651843801,516,40,0.897844539818789
"result.1280",15,15,4,66.38520084,37.14410047,166.75330211,411183.388905316,522,40,0.896452074391988
"result.2558",13,15,9,64.80460082,37.14410047,170.70480216,410904.997985271,516,40,0.895107296137339
"result.3055",14,14,11,65.59490083,36.35380046,172.28540218,410835.893856182,519,40,0.894773485932284
"result.3552",15,13,13,66.38520084,35.56350045,173.8660022,410478.526788608,522,40,0.893047210300429
"result.3836",11,15,14,63.2240008,37.14410047,174.65630221,410162.622198487,509,40,0.891521220791607
"result.1791",14,15,6,65.59490083,37.14410047,168.33390213,410139.42295515,518,40,0.891409155937053
"result.2288",15,14,8,66.38520084,36.35380046,169.91450215,410063.902014074,521,40,0.8910443490701
"result.3069",12,15,11,64.01430081,37.14410047,172.28540218,409652.238845072,512,40,0.889055793991416
"result.3566",13,14,13,64.80460082,36.35380046,173.8660022,409609.789165775,515,40,0.888850739151168
"result.4063",14,13,15,65.59490083,35.56350045,175.44660222,409279.076547992,518,40,0.88725321888412
"result.1024",15,15,3,66.38520084,37.14410047,165.9630021,409234.652465006,521,40,0.887038626609442
"result.2302",13,15,8,64.80460082,37.14410047,169.91450215,409002.660031636,514,40,0.885917978063901
"result.2799",14,14,10,65.59490083,36.35380046,171.49510217,408951.325535741,517,40,0.885670004768717
"result.3296",15,13,12,66.38520084,35.56350045,173.07570219,408612.715303205,520,40,0.884034334763948
