"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4096",15,15,15,64.80460082,103.52930131,99.57780126,668084.899206549,657,40,1
"result.4080",15,14,15,64.80460082,102.7390013,99.57780126,662985.014479782,655,40,0.978948655256724
"result.3840",15,15,14,64.80460082,103.52930131,98.78750125,662782.638101736,655,40,0.978113284433578
"result.4095",14,15,15,64.01430081,103.52930131,99.57780126,659937.522386957,649,40,0.966369193154035
"result.4064",15,13,15,64.80460082,101.94870129,99.57780126,657885.129753014,652,40,0.957897310513448
"result.3824",15,14,14,64.80460082,102.7390013,98.78750125,657723.228650577,652,40,0.957229013854931
"result.3584",15,15,13,64.80460082,103.52930131,97.99720124,657480.376996922,652,40,0.956226568867156
"result.4079",14,14,15,64.01430081,102.7390013,99.57780126,654899.83137637,647,40,0.94557457212714
"result.3839",14,15,14,64.01430081,103.52930131,98.78750125,654699.923002934,647,40,0.944749388753057
"result.4048",15,12,15,64.80460082,101.15840128,99.57780126,652785.245026247,650,40,0.936845965770171
"result.3808",15,13,14,64.80460082,101.94870129,98.78750125,652663.819199419,650,40,0.936344743276284
"result.3568",15,14,13,64.80460082,102.7390013,97.99720124,652461.442821373,650,40,0.935509372453138
"result.3328",15,15,12,64.80460082,103.52930131,97.20690123,652178.115892108,650,40,0.934339853300734
"result.4094",13,15,15,63.2240008,103.52930131,99.57780126,651790.145567365,641,40,0.932738386308069
"result.4063",14,13,15,64.01430081,101.94870129,99.57780126,649862.140365782,644,40,0.924779951100245
"result.3823",14,14,14,64.01430081,102.7390013,98.78750125,649702.213667034,644,40,0.924119804400978
"result.3583",14,15,13,64.01430081,103.52930131,97.99720124,649462.32361891,644,40,0.923129584352078
"result.4032",15,11,15,64.80460082,100.36810127,99.57780126,647685.360299479,647,40,0.915794621026895
"result.3792",15,12,14,64.80460082,101.15840128,98.78750125,647604.409748261,647,40,0.915460472697637
"result.3552",15,13,13,64.80460082,101.94870129,97.99720124,647442.508645824,647,40,0.91479217603912
"result.3312",15,14,12,64.80460082,102.7390013,97.20690123,647199.656992168,647,40,0.913789731051345
"result.3072",15,15,11,64.80460082,103.52930131,96.41660122,646875.854787294,647,40,0.912453137734312
"result.4078",13,14,15,63.2240008,102.7390013,99.57780126,646814.648272958,639,40,0.912200488997555
"result.3838",13,15,14,63.2240008,103.52930131,98.78750125,646617.207904132,639,40,0.911385493072535
"result.4047",14,12,15,64.01430081,101.15840128,99.57780126,644824.449355195,642,40,0.90398533007335
"result.3807",14,13,14,64.01430081,101.94870129,98.78750125,644704.504331133,642,40,0.9034902200489
"result.3567",14,14,13,64.01430081,102.7390013,97.99720124,644504.595957697,642,40,0.902665036674817
"result.3327",14,15,12,64.01430081,103.52930131,97.20690123,644224.724234887,642,40,0.9015097799511
"result.4093",12,15,15,62.43370079,103.52930131,99.57780126,643642.768747773,633,40,0.899107579462103
"result.4016",15,10,15,64.80460082,99.57780126,99.57780126,642585.475572712,645,40,0.894743276283619
"result.3776",15,11,14,64.80460082,100.36810127,98.78750125,642545.000297102,645,40,0.894576202118989
"result.3536",15,12,13,64.80460082,101.15840128,97.99720124,642423.574470274,645,40,0.894074979625102
"result.3296",15,13,12,64.80460082,101.94870129,97.20690123,642221.198092228,645,40,0.893239608801956
"result.3056",15,14,11,64.80460082,102.7390013,96.41660122,641937.871162963,644,40,0.892070089649552
"result.4062",13,13,15,63.2240008,101.94870129,99.57780126,641839.15097855,637,40,0.891662591687042
"result.3822",13,14,14,63.2240008,102.7390013,98.78750125,641681.19868349,636,40,0.891010594947026
"result.2816",15,15,10,64.80460082,103.52930131,95.62630121,641573.59368248,644,40,0.890566422167889
"result.3582",13,15,13,63.2240008,103.52930131,97.99720124,641444.270240899,636,40,0.890032599837001
"result.4031",14,11,15,64.01430081,100.36810127,99.57780126,639786.758344607,639,40,0.883190709046455
