"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.3569",0,15,13,130.78366464,109.66755212,119.88502592,1719477.88146442,1499,26,1
"result.3809",0,14,14,130.78366464,108.9863872,120.56619084,1718506.97356975,1499,26,0.994291278590065
"result.4049",0,13,15,130.78366464,108.30522228,121.24735576,1717414.70218824,1498,26,0.987868967003888
"result.3313",0,15,12,130.78366464,109.66755212,119.203861,1709708.12077428,1495,26,0.942555990812526
"result.3553",0,14,13,130.78366464,108.9863872,119.88502592,1708797.89462303,1494,26,0.937204064490711
"result.3058",1,15,11,131.46482956,109.66755212,118.52269608,1708792.20570958,1498,26,0.9371706149512
"result.3298",1,14,12,131.46482956,108.9863872,119.203861,1707938.23659129,1498,26,0.932149467408998
"result.3793",0,13,14,130.78366464,108.30522228,120.56619084,1707766.30498494,1494,26,0.931138547992656
"result.3538",1,13,13,131.46482956,108.30522228,119.88502592,1706962.27188466,1498,26,0.926411013075053
"result.4083",2,15,15,130.868042178,108.606983457,120.074801586,1706645.16367746,1494,25.5,0.9245464876946
"result.4033",0,12,15,130.78366464,107.62405736,121.24735576,1706613.35186001,1493,26,0.924359441318358
"result.3778",1,12,14,131.46482956,107.62405736,120.56619084,1705864.31158971,1497,26,0.919955251949364
"result.3828",3,15,14,131.542619715,108.606983457,119.400224049,1705804.98738352,1497,25.5,0.9196064388767
"result.2993",0,11,11,132.034684416,107.965861736,119.656432752,1705730.98478686,1500,26.5,0.919171320148906
"result.4068",3,14,15,131.542619715,107.93240592,120.074801586,1704787.38255545,1497,25.5,0.913623149935764
"result.4018",1,11,15,131.46482956,106.94289244,121.24735576,1704644.35570643,1496,26,0.912782184031933
"result.3233",0,10,12,132.034684416,107.278181088,120.3441134,1704607.0680387,1500,26.5,0.912562940879977
"result.3813",4,14,14,132.217197252,107.93240592,119.400224049,1703903.30958265,1500,25.5,0.908424998457667
"result.3763",2,11,14,132.14599448,106.94289244,120.56619084,1703850.43623006,1500,26,0.90811411496235
"result.3473",0,9,13,132.034684416,106.59050044,121.031794048,1703358.27165186,1499,26.5,0.905220297247833
"result.4053",4,13,15,132.217197252,107.257828383,120.074801586,1702820.32019096,1500,25.5,0.902057262896998
"result.4003",2,10,15,132.14599448,106.26172752,121.24735576,1702562.84548693,1499,26,0.900543369186284
"result.3713",0,8,14,132.034684416,105.902819792,121.719474696,1701984.59562634,1499,26.5,0.897143389252475
"result.3953",0,7,15,132.034684416,105.215139144,122.407155344,1700486.03996213,1498,26.5,0.888332216893905
"result.3057",0,15,11,130.78366464,109.66755212,118.52269608,1699938.36008414,1491,26,0.885111981625053
"result.3297",0,14,12,130.78366464,108.9863872,119.203861,1699088.8156763,1490,26,0.880116850391359
"result.2802",1,15,10,131.46482956,109.66755212,117.84153116,1698971.56084918,1494,26,0.879427418215876
"result.1777",0,15,6,132.034684416,110.716584328,116.218029512,1698925.04447857,1497,26.5,0.879153912353725
"result.2017",0,14,7,132.034684416,110.02890368,116.90571016,1698363.0861045,1497,26.5,0.875849722719261
"result.3042",1,14,11,131.46482956,108.9863872,118.52269608,1698178.58952505,1494,26,0.874764924069546
"result.3537",0,13,13,130.78366464,108.30522228,119.88502592,1698117.90778163,1490,26,0.874408128981424
"result.2547",2,15,9,132.14599448,109.66755212,117.16036624,1697902.9932737,1497,26,0.873144479710995
"result.4082",1,15,15,130.193464641,108.606983457,120.074801586,1697848.02365851,1486,25.5,0.872821270660115
"result.2257",0,13,8,132.034684416,109.341223032,117.593390808,1697676.24809173,1497,26.5,0.871811268721583
"result.3282",1,13,12,131.46482956,108.30522228,119.203861,1697263.62261259,1493,26,0.869385123131471
"result.2787",2,14,10,132.14599448,108.9863872,117.84153116,1697167.22713477,1497,26,0.86881833926753
"result.1762",1,14,6,132.722365064,110.02890368,116.218029512,1697166.32290044,1500,26.5,0.86881302257179
"result.3827",2,15,14,130.868042178,108.606983457,119.400224049,1697057.2694995,1490,25.5,0.868171812949151
"result.3777",0,12,14,130.78366464,107.62405736,120.56619084,1697025.63640013,1489,26,0.867985817395246
"result.2497",0,12,9,132.034684416,108.653542384,118.281071456,1696864.53044029,1496,26.5,0.867038550360689
"result.2002",1,13,7,132.722365064,109.341223032,116.90571016,1696538.67263309,1500,26.5,0.865122579287926
"result.3027",2,13,11,132.14599448,108.30522228,118.52269608,1696308.83330601,1497,26,0.863771175416819
"result.3522",1,12,13,131.46482956,107.62405736,119.88502592,1696226.6601118,1493,26,0.863288015401654
"result.3572",3,15,13,131.542619715,108.606983457,118.725646512,1696167.67107062,1493,25.5,0.862941173024315
"result.2532",3,14,9,132.8271594,108.9863872,117.16036624,1696054.72850545,1500,26,0.862277095985311
"result.4067",2,14,15,130.868042178,107.93240592,120.074801586,1696044.88315773,1489,25.5,0.862219207541246
"result.2737",0,11,10,132.034684416,107.965861736,118.968752104,1695927.93315015,1496,26.5,0.861531567636583
"result.4017",0,11,15,130.78366464,106.94289244,121.24735576,1695812.00153179,1489,26,0.860849915632828
"result.2242",1,12,8,132.722365064,108.653542384,117.593390808,1695785.49231228,1500,26.5,0.86069404734729
"result.3267",2,12,12,132.14599448,107.62405736,119.203861,1695327.81178744,1496,26,0.858002988158863
"result.2772",3,13,10,132.8271594,108.30522228,117.84153116,1695253.5398619,1500,26,0.857566285837465
"result.3812",3,14,14,131.542619715,107.93240592,119.400224049,1695209.92535008,1493,25.5,0.857309842256376
"result.3317",4,15,12,132.217197252,108.606983457,118.051068975,1695179.22837186,1497,25.5,0.857129350885608
"result.3762",1,11,14,131.46482956,106.94289244,120.56619084,1695067.70202269,1492,26,0.856473600880095
"result.2482",1,11,9,132.722365064,107.965861736,118.281071456,1694906.781938,1499,26.5,0.855527426749882
"result.2977",0,10,11,132.034684416,107.278181088,119.656432752,1694866.45622134,1495,26.5,0.85529032054926
"result.3012",3,12,11,132.8271594,107.62405736,118.52269608,1694329.09142703,1500,26,0.852130735666872
"result.3557",4,14,13,132.217197252,107.93240592,118.725646512,1694276.73721212,1496,25.5,0.851822904585052
"result.3507",2,11,13,132.14599448,106.94289244,119.88502592,1694224.16257904,1496,26,0.851513777493663
"result.4052",3,13,15,131.542619715,107.257828383,120.074801586,1694132.46141448,1492,25.5,0.850974595142445
"result.3062",5,15,11,132.891774789,108.606983457,117.376491438,1694091.94140322,1500,25.5,0.850736346533032
"result.2722",1,10,10,132.722365064,107.278181088,118.968752104,1693902.54151025,1499,26.5,0.8496227174957
"result.4002",1,10,15,131.46482956,106.26172752,121.24735576,1693786.74834524,1492,26,0.848941879566791
"result.3217",0,9,12,132.034684416,106.59050044,120.3441134,1693680.09965384,1495,26.5,0.848314809098724
"result.3252",3,11,12,132.8271594,106.94289244,119.203861,1693281.38320085,1499,26,0.845970445473534
"result.3797",4,13,14,132.217197252,107.257828383,119.400224049,1693253.91389775,1496,25.5,0.845808932111085
"result.3302",5,14,12,132.891774789,107.93240592,118.051068975,1693245.31874385,1500,25.5,0.845758394527271
"result.3747",2,10,14,132.14599448,106.26172752,120.56619084,1692997.88568082,1495,26,0.844303543421219
"result.2962",1,9,11,132.722365064,106.59050044,119.656432752,1692772.77102902,1498,26.5,0.842979919584745
"result.3457",0,8,13,132.034684416,105.902819792,121.031794048,1692368.86344766,1494,26.5,0.840605033284975
"result.3542",5,13,13,132.891774789,107.257828383,118.725646512,1692277.74999028,1499,25.5,0.840069306520686
