"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4096",15,15,15,101.94870129,74.28820094,127.23830161,963650.169733074,991,40,1
"result.3840",15,15,14,101.94870129,74.28820094,126.4480016,957664.764952123,988,40,0.980976137807691
"result.4095",14,15,15,101.15840128,74.28820094,127.23830161,956180.013378554,983,40,0.976257040209598
"result.4080",15,14,15,101.94870129,73.49790093,127.23830161,953398.572182722,985,40,0.967416576457853
"result.3584",15,15,13,101.94870129,74.28820094,125.65770159,951679.360171172,984,40,0.961952275615381
"result.3839",14,15,14,101.15840128,74.28820094,126.4480016,950241.007084277,980,40,0.957380649817229
"result.4094",13,15,15,100.36810127,74.28820094,127.23830161,948709.857024034,975,40,0.952514080419196
"result.3824",15,14,14,101.94870129,73.49790093,126.4480016,947476.841920717,982,40,0.948595095778228
"result.4079",14,14,15,101.15840128,73.49790093,127.23830161,946007.885576654,978,40,0.943926201346072
"result.3328",15,15,12,101.94870129,74.28820094,124.86740158,945693.955390221,981,40,0.942928413423072
"result.3583",14,15,13,101.15840128,74.28820094,125.65770159,944302.00079,977,40,0.93850425942486
"result.4064",15,13,15,101.94870129,72.70760092,127.23830161,943146.97463237,980,40,0.934833152915706
"result.3838",13,15,14,100.36810127,74.28820094,126.4480016,942817.249216431,972,40,0.933785161826768
"result.3568",15,14,13,101.94870129,73.49790093,125.65770159,941555.111658713,979,40,0.929773615098602
"result.4093",12,15,15,99.57780126,74.28820094,127.23830161,941239.700669514,968,40,0.928771120628795
"result.3823",14,14,14,101.15840128,73.49790093,126.4480016,940132.060200402,975,40,0.925250623617452
"result.3072",15,15,11,101.94870129,74.28820094,124.07710157,939708.550609271,978,40,0.923904551230762
"result.4078",13,14,15,100.36810127,73.49790093,127.23830161,938617.198970587,970,40,0.920435826234292
"result.3327",14,15,12,101.15840128,74.28820094,124.86740158,938362.994495724,974,40,0.919627869032491
"result.3808",15,13,14,101.94870129,72.70760092,126.4480016,937288.918889312,977,40,0.916214053748765
"result.3582",13,15,13,100.36810127,74.28820094,125.65770159,936924.641408828,969,40,0.915056243234339
"result.4063",14,13,15,101.15840128,72.70760092,127.23830161,935835.757774755,972,40,0.911595362482547
"result.3312",15,14,12,101.94870129,73.49790093,124.86740158,935633.381396708,976,40,0.910952134418977
"result.3837",12,15,14,99.57780126,74.28820094,126.4480016,935393.491348585,965,40,0.910189673836307
"result.3567",14,14,13,101.15840128,73.49790093,125.65770159,934256.234824149,972,40,0.906575045888831
"result.4092",11,15,15,98.78750125,74.28820094,127.23830161,933769.544314994,960,40,0.905028160838393
"result.2816",15,15,10,101.94870129,74.28820094,123.28680156,933723.14582832,975,40,0.904880689038452
