"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.3838",13,15,14,124.86740158,97.99720124,146.99580186,1798737.0433053,1498,40,1
"result.4093",12,15,15,124.07710157,97.99720124,147.78610187,1796962.05438956,1493,40,0.996115170712103
"result.4078",13,14,15,124.86740158,97.20690123,147.78610187,1793823.73972707,1496,40,0.989246498684171
"result.4096",15,15,15,125.5419152,97.29498428,146.72711339,1792212.80345973,1499,39,0.985720723206475
"result.3839",14,15,14,125.208298902,97.646723672,146.470085508,1790769.65410486,1497,39.5,0.982562174535624
"result.3327",14,15,12,125.65770159,97.99720124,145.41520184,1790657.78341295,1500,40,0.98231732875854
"result.4063",14,13,15,125.65770159,96.41660122,147.78610187,1790500.81831974,1499,40,0.981973787125183
"result.4094",13,15,15,124.420825324,97.646723672,147.257559086,1789074.19355455,1491,39.5,0.978851404995652
"result.3582",13,15,13,124.86740158,97.99720124,146.20550185,1789066.41404022,1494,40,0.978834378362495
"result.3824",15,14,14,125.99577248,96.859250094,146.470085508,1787499.83732926,1500,39.5,0.975405690422821
"result.3837",12,15,14,124.07710157,97.99720124,146.99580186,1787352.63163881,1489,40,0.975083508705215
"result.4079",14,14,15,125.208298902,96.859250094,147.257559086,1785878.11368652,1495,39.5,0.971856305157197
"result.3567",14,14,13,125.65770159,97.20690123,146.20550185,1785870.34806985,1498,40,0.971839308941157
"result.4092",11,15,15,123.28680156,97.99720124,147.78610187,1785516.43620873,1483,40,0.971064719786702
"result.3822",13,14,14,124.86740158,97.20690123,146.99580186,1784231.09940768,1492,40,0.968251567543742
"result.3328",15,15,12,125.99577248,97.646723672,144.895138352,1782655.66432837,1498,39.5,0.964803491737187
"result.3840",15,15,14,125.5419152,97.29498428,145.94247642,1782628.77777278,1495,39,0.964744646480366
"result.4064",15,13,15,125.99577248,96.071776516,147.257559086,1782499.40068318,1498,39.5,0.964461485327973
"result.4077",12,14,15,124.07710157,97.20690123,147.78610187,1782470.42491867,1487,40,0.964398067524296
"result.3583",14,15,13,125.208298902,97.646723672,145.68261193,1781141.86026559,1493,39.5,0.961490304647927
"result.4095",14,15,15,124.75727823,97.29498428,146.72711339,1781011.47343811,1490,39,0.961204933532835
"result.3071",14,15,11,125.65770159,97.99720124,144.62490183,1780925.94763353,1495,40,0.961017747490417
"result.3807",14,13,14,125.65770159,96.41660122,146.99580186,1780925.94763353,1495,40,0.961017747490417
"result.3326",13,15,12,124.86740158,97.99720124,145.41520184,1779395.78477514,1490,40,0.957668756724989
"result.4062",13,13,15,124.86740158,96.41660122,147.78610187,1779239.80688376,1490,40,0.957327375730836
"result.3568",15,14,13,125.99577248,96.859250094,145.68261193,1777889.62315007,1496,39.5,0.954372296256161
"result.4080",15,14,15,125.5419152,96.51034731,146.72711339,1777759.47439957,1493,39,0.95408744620823
"result.3581",12,15,13,124.07710157,97.99720124,146.20550185,1777743.20888806,1485,40,0.954051846698327
"result.3056",15,14,11,126.4480016,97.20690123,144.62490183,1777674.10475898,1499,40,0.953900601954082
"result.3792",15,12,14,126.4480016,95.62630121,146.99580186,1777437.17631638,1499,40,0.953382048545241
"result.3823",14,14,14,125.208298902,96.859250094,146.470085508,1776327.96334595,1491,39.5,0.950954369704079
"result.3311",14,14,12,125.65770159,97.20690123,145.41520184,1776216.99483704,1493,40,0.950711498489713
"result.3836",11,15,14,123.28680156,97.99720124,146.99580186,1775968.21997232,1479,40,0.95016701741043
"result.4047",14,12,15,125.65770159,95.62630121,147.78610187,1775824.582104,1493,40,0.949852644406321
"result.3566",13,14,13,124.86740158,97.20690123,146.20550185,1774638.45908828,1488,40,0.947256636403313
"result.4091",10,15,15,122.49650155,97.99720124,147.78610187,1774070.81802791,1474,40,0.9460142688613
"result.3584",15,15,13,125.5419152,97.29498428,145.15783945,1773044.75208583,1491,39,0.943768569754257
"result.3072",15,15,11,125.99577248,97.646723672,144.107664774,1772967.31832658,1494,39.5,0.94359909436592
"result.3808",15,13,14,125.99577248,96.071776516,146.470085508,1772967.31832658,1494,39.5,0.94359909436592
"result.3821",12,14,14,124.07710157,97.20690123,146.99580186,1772938.49751269,1483,40,0.943536015694883
"result.3296",15,13,12,126.4480016,96.41660122,145.41520184,1772856.55975963,1497,40,0.943356682640992
"result.2560",15,15,9,126.4480016,97.99720124,143.04430181,1772540.65516951,1497,40,0.942665278095872
"result.4032",15,11,15,126.4480016,94.8360012,147.78610187,1772224.75057939,1496,40,0.941973873550751
"result.3551",14,13,13,125.65770159,96.41660122,146.20550185,1771351.07694733,1491,40,0.940061707855652
"result.2815",14,15,10,125.65770159,97.99720124,143.83460182,1771194.11185412,1491,40,0.939718166222295
"result.4076",11,14,15,123.28680156,97.20690123,147.78610187,1771117.11011027,1477,40,0.939549636364422
"result.3070",13,15,11,124.86740158,97.99720124,144.62490183,1769725.15551005,1486,40,0.936503135087484
"result.3806",13,13,14,124.86740158,96.41660122,146.99580186,1769725.15551005,1486,40,0.936503135087484
"result.3312",15,14,12,125.99577248,96.859250094,144.895138352,1768279.40897088,1492,39.5,0.933338902089501
"result.3325",12,15,12,124.07710157,97.99720124,145.41520184,1768133.78613732,1481,40,0.933020184691439
"result.4061",12,13,15,124.07710157,96.41660122,147.78610187,1767978.79544779,1481,40,0.932680964336489
"result.2800",15,14,10,126.4480016,97.20690123,143.83460182,1767960.03861275,1495,40,0.932639912191623
"result.4048",15,12,15,125.99577248,95.284302938,147.257559086,1767888.74985791,1492,39.5,0.932483886066465
"result.3536",15,12,13,126.4480016,95.62630121,146.20550185,1767881.06246522,1495,40,0.932467061055342
"result.3055",14,14,11,125.65770159,97.20690123,144.62490183,1766563.64160423,1489,40,0.929583688038269
"result.3580",11,15,13,123.28680156,97.99720124,146.20550185,1766420.00373591,1475,40,0.92926931503416
"result.3791",14,12,14,125.65770159,95.62630121,146.99580186,1766328.19396441,1489,40,0.929068375588234
"result.3310",13,14,12,124.86740158,97.20690123,145.41520184,1765045.81876888,1484,40,0.926261705262885
"result.4046",13,12,15,124.86740158,95.62630121,147.78610187,1764655.87404045,1484,40,0.925408252777501
"result.3835",10,15,14,122.49650155,97.99720124,146.99580186,1764583.80830583,1470,40,0.925250526115646
"result.3552",15,13,13,125.99577248,96.071776516,145.68261193,1763435.23596999,1490,39.5,0.922736703403867
"result.3565",12,14,13,124.07710157,97.20690123,146.20550185,1763406.57010671,1479,40,0.92267396386547
"result.2816",15,15,10,125.99577248,97.646723672,143.320191196,1763278.9723248,1490,39.5,0.922394696994653
"result.3040",15,13,11,126.4480016,96.41660122,144.62490183,1763221.46976093,1493,40,0.922268844014813
"result.2304",15,15,8,126.4480016,97.99720124,142.2540018,1762747.61287575,1492,40,0.921231737197132
"result.3776",15,11,14,126.4480016,94.8360012,146.99580186,1762747.61287575,1492,40,0.921231737197132
"result.4090",9,15,15,121.70620154,97.99720124,147.78610187,1762625.19984708,1464,40,0.920963817935898
"result.3295",14,13,12,125.65770159,96.41660122,145.41520184,1761776.20626113,1487,40,0.919105668220886
"result.3820",11,14,14,123.28680156,97.20690123,146.99580186,1761645.89561771,1473,40,0.918820463846024
"result.2559",14,15,9,125.65770159,97.99720124,143.04430181,1761462.2760747,1487,40,0.918418584954173
"result.4031",14,11,15,125.65770159,94.8360012,147.78610187,1761148.34588827,1487,40,0.917731501687459
"result.3550",13,13,13,124.86740158,96.41660122,146.20550185,1760210.50413634,1482,40,0.915678894444132
"result.2814",13,15,10,124.86740158,97.99720124,143.83460182,1760054.52624497,1482,40,0.915337513449979
"result.4075",10,14,15,122.49650155,97.20690123,147.78610187,1759763.79530188,1468,40,0.914701205204548
"result.3069",12,15,11,124.07710157,97.99720124,144.62490183,1758524.36338657,1477,40,0.911988522684551
"result.3805",12,13,14,124.07710157,96.41660122,146.99580186,1758524.36338657,1477,40,0.911988522684551
"result.3280",15,12,12,126.4480016,95.62630121,145.41520184,1758324.94861406,1491,40,0.911552073565444
"result.2544",15,14,9,126.4480016,97.20690123,143.04430181,1758245.97246653,1491,40,0.911379222429163
"result.4016",15,10,15,126.4480016,94.04570119,147.78610187,1757456.21099122,1490,40,0.909650711066362
"result.2799",14,14,10,125.65770159,97.20690123,143.83460182,1756910.28837142,1485,40,0.908455877586825
"result.3324",11,15,12,123.28680156,97.99720124,145.41520184,1756871.7874995,1471,40,0.908371612657888
"result.3535",14,12,13,125.65770159,95.62630121,146.20550185,1756831.80582481,1485,40,0.908284106770147
"result.4060",11,13,15,123.28680156,96.41660122,147.78610187,1756717.78401182,1471,40,0.908034552942142
"result.3054",13,14,11,124.86740158,97.20690123,144.62490183,1755453.17844949,1480,40,0.905266774122456
"result.3790",13,12,14,124.86740158,95.62630121,146.99580186,1755219.21161243,1480,40,0.904754702631226
"result.3579",10,15,13,122.49650155,97.99720124,146.20550185,1755096.79858376,1466,40,0.904486783369992
"result.3309",12,14,12,124.07710157,97.20690123,145.41520184,1753874.64270073,1475,40,0.901811912036057
"result.2784",15,13,10,126.4480016,96.41660122,143.83460182,1753586.37976224,1489,40,0.901181005388634
"result.4045",12,12,15,124.07710157,95.62630121,147.78610187,1753487.16597691,1475,40,0.900963861148682
"result.3520",15,11,13,126.4480016,94.8360012,146.20550185,1753270.47517212,1488,40,0.900489600843513
"result.3834",9,15,14,121.70620154,97.99720124,146.99580186,1753199.39663934,1460,40,0.900334034820861
"result.2048",15,15,7,126.4480016,97.99720124,141.46370179,1752954.570582,1488,40,0.899798196298393
"result.3039",14,13,11,125.65770159,96.41660122,144.62490183,1752201.33557493,1483,40,0.898149628586121
"result.3564",11,14,13,123.28680156,97.20690123,146.20550185,1752174.68112514,1469,40,0.898091291327626
"result.2303",14,15,8,125.65770159,97.99720124,142.2540018,1751730.44029528,1483,40,0.89711900368605
"result.3775",14,11,14,125.65770159,94.8360012,146.99580186,1751730.44029528,1483,40,0.89711900368605
"result.4089",8,15,15,120.91590153,97.99720124,147.78610187,1751179.58166626,1455,40,0.895913367010496
"result.3294",13,13,12,124.86740158,96.41660122,145.41520184,1750695.85276263,1478,40,0.89485465380078
"result.2558",13,15,9,124.86740158,97.99720124,143.04430181,1750383.89697989,1478,40,0.894171891812474
"result.3819",10,14,14,122.49650155,97.20690123,146.99580186,1750353.29372272,1464,40,0.894104911997165
"result.4030",13,11,15,124.86740158,94.8360012,147.78610187,1750071.94119714,1478,40,0.893489129824167
"result.3549",12,13,13,124.07710157,96.41660122,146.20550185,1749069.93132535,1473,40,0.891296081032613
"result.2813",12,15,10,124.07710157,97.99720124,143.83460182,1748914.94063583,1473,40,0.890956860677663
"result.3024",15,12,11,126.4480016,95.62630121,144.62490183,1748768.83476289,1487,40,0.890637086075544
