"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.2785",0,14,10,126.05140211,109.32420183,129.63580217,1786442.14340071,1500,20,1
"result.4083",2,15,15,125.646126321,108.539376728,130.955117574,1785907.25690193,1497,19.5,0.996868148461368
"result.3025",0,13,11,126.05140211,108.72680182,130.23320218,1784867.63067076,1499,20,0.990780959835086
"result.4068",3,14,15,126.236014238,107.949488811,130.955117574,1784540.21215537,1500,19.5,0.9888638686699
"result.3265",0,12,12,126.05140211,108.12940181,130.83060219,1783203.14578481,1499,20,0.981035117375034
"result.3505",0,11,13,126.05140211,107.5320018,131.4280022,1781448.68874287,1498,20,0.970762472619844
"result.2289",0,15,8,126.05140211,109.92160184,128.44100215,1779649.24562292,1497,20,0.960226426717084
"result.3745",0,10,14,126.05140211,106.93460179,132.02540221,1779604.25954493,1497,20,0.959963025569516
"result.2274",1,14,8,126.64880212,109.32420183,128.44100215,1778365.75657292,1500,20,0.952711379758009
"result.2529",0,14,9,126.05140211,109.32420183,129.03840216,1778209.69112697,1497,20,0.951797589994878
"result.3572",3,15,13,126.236014238,108.539376728,129.77534174,1778127.00704104,1498,19.5,0.951313460591131
"result.3730",1,9,14,126.64880212,106.33720178,132.02540221,1778049.3615978,1500,20,0.950858833298329
"result.3827",2,15,14,125.646126321,108.539376728,130.365229657,1777862.62961859,1494,19.5,0.949765485760588
"result.3985",0,9,15,126.05140211,106.33720178,132.62280222,1777669.85819099,1496,20,0.948636776224051
"result.4082",1,15,15,125.056238404,108.539376728,130.955117574,1777522.71578971,1490,19.5,0.947775232407035
"result.2514",1,13,9,126.64880212,108.72680182,129.03840216,1776874.18026165,1500,20,0.943977946448091
"result.2769",0,13,10,126.05140211,108.72680182,129.63580217,1776680.16447502,1496,20,0.942841950977533
"result.3812",3,14,14,126.236014238,107.949488811,130.365229657,1776501.74273125,1497,19.5,0.941797261283498
"result.4067",2,14,15,125.646126321,107.949488811,130.955117574,1776201.23920138,1493,19.5,0.940037761941949
"result.3970",1,8,15,126.64880212,105.73980177,132.62280222,1776060.59318277,1499,20,0.939214255551772
"result.2754",1,12,10,126.64880212,108.12940181,129.63580217,1775292.20538606,1499,20,0.934715214149694
"result.3009",0,12,11,126.05140211,108.12940181,130.23320218,1775060.66566707,1495,20,0.933359509665049
"result.3797",4,13,14,126.825902155,107.359600894,130.365229657,1775050.13005142,1500,19.5,0.933297821841267
"result.4052",3,13,15,126.236014238,107.359600894,130.955117574,1774788.6262966,1496,19.5,0.9317666728241
"result.2994",1,11,11,126.64880212,107.5320018,130.23320218,1773619.83194615,1498,20,0.924923182862817
"result.3249",0,11,12,126.05140211,107.5320018,130.83060219,1773351.19470313,1495,20,0.923350266057429
"result.4037",4,12,15,126.825902155,106.769712977,130.955117574,1773284.87707539,1499,19.5,0.922961965053487
"result.3234",1,10,12,126.64880212,106.93460179,130.83060219,1771857.05994192,1498,20,0.91460185258746
"result.3489",0,10,13,126.05140211,106.93460179,131.4280022,1771551.75158318,1494,20,0.91281422015467
"result.1778",1,15,6,126.64880212,109.92160184,127.24620213,1771450.26640249,1497,20,0.912220007139302
"result.2033",0,15,7,126.05140211,109.92160184,127.84360214,1771371.80727119,1494,20,0.911760615564395
"result.3219",2,9,12,127.24620213,106.33720178,130.83060219,1770269.54175814,1500,20,0.905306663275619
"result.3061",4,15,11,126.825902155,108.539376728,128.595565906,1770195.68436733,1498,19.5,0.90487421567487
"result.1763",2,14,6,127.24620213,109.32420183,127.24620213,1770133.30429918,1500,20,0.904508969752887
"result.2018",1,14,7,126.64880212,109.32420183,127.84360214,1770094.28793769,1497,20,0.904280522312104
"result.3316",3,15,12,126.236014238,108.539376728,129.185453823,1770044.61155449,1494,19.5,0.903989658628847
"result.3474",1,9,13,126.64880212,106.33720178,131.4280022,1770003.88937338,1497,20,0.903751223323625
"result.2273",0,14,8,126.05140211,109.32420183,128.44100215,1769977.23885323,1493,20,0.903595179989756
"result.3571",2,15,13,125.646126321,108.539376728,129.77534174,1769818.00233525,1491,19.5,0.90266282305981
"result.3729",0,9,14,126.05140211,106.33720178,132.02540221,1769662.33630724,1493,20,0.901751371956773
"result.3826",1,15,14,125.056238404,108.539376728,130.365229657,1769515.85670958,1487,19.5,0.900893708967763
"result.4081",0,15,15,124.466350487,108.539376728,130.955117574,1769138.1746775,1483,19.5,0.898682316352702
