"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4081",0,15,15,112.880846,134.254734,130.915064,1983990.03482906,1496,25,1
"result.4050",1,13,15,113.54878,132.918866,130.915064,1975871.61465651,1497,25,0.958020125136243
"result.3810",1,14,14,113.54878,133.5868,130.24713,1975668.98194042,1497,25,0.956972323238308
"result.3570",1,15,13,113.54878,134.254734,129.579196,1975365.03286627,1497,25,0.955400620391404
"result.4065",0,14,15,112.880846,133.5868,130.915064,1974119.43764085,1492,25,0.94895972048939
"result.3825",0,15,14,112.880846,134.254734,130.24713,1973867.63669218,1492,25,0.94765767254269
"result.3729",0,9,14,114.003603753,131.542619715,131.542619715,1972656.88876808,1499,25.5,0.941396965993264
"result.3489",0,10,13,114.003603753,132.217197252,130.868042178,1972605.01087488,1499,25.5,0.94112870844829
"result.3969",0,8,15,114.003603753,130.868042178,132.217197252,1972605.01087488,1499,25.5,0.94112870844829
"result.3249",0,11,12,114.003603753,132.891774789,130.193464641,1972449.37719529,1499,25.5,0.940323935813369
"result.3009",0,12,11,114.003603753,133.566352326,129.518887104,1972189.98772931,1499,25.5,0.9389826480885
"result.2769",0,13,10,114.003603753,134.240929863,128.844309567,1971826.84247694,1499,25.5,0.937104845273685
"result.2529",0,14,9,114.003603753,134.9155074,128.16973203,1971359.94143818,1499,25.5,0.934690527368921
"result.2289",0,15,8,114.003603753,135.590084937,127.495154493,1970789.28461303,1498,25.5,0.93173969437421
"result.4019",2,11,15,114.216714,131.582998,130.915064,1967519.57088188,1499,25,0.914832196319573
"result.3779",2,12,14,114.216714,132.250932,130.24713,1967417.65854525,1499,25,0.914305213600317
"result.3539",2,13,13,114.216714,132.918866,129.579196,1967213.833872,1498,25,0.913251248161806
"result.3299",2,14,12,114.216714,133.5868,128.911262,1966908.09686213,1498,25,0.911670300004038
"result.3059",2,15,11,114.216714,134.254734,128.243328,1966500.44751563,1498,25,0.909562369127015
"result.4034",1,12,15,113.54878,132.250932,130.915064,1965942.61156779,1494,25,0.906677832137405
"result.3794",1,13,14,113.54878,132.918866,130.24713,1965790.63703071,1494,25,0.905891980713952
"result.3554",1,14,13,113.54878,133.5868,129.579196,1965537.34613559,1493,25,0.904582228341534
"result.3314",1,15,12,113.54878,134.254734,128.911262,1965182.73888242,1493,25,0.902748575020147
"result.4049",0,13,15,112.880846,132.918866,130.915064,1964248.84045265,1489,25,0.89791944097878
"result.3809",0,14,14,112.880846,133.5868,130.24713,1964047.39969371,1488,25,0.896877802621419
"result.3458",1,8,13,114.67818129,130.868042178,130.868042178,1964029.50303869,1500,25.5,0.896785260067308
"result.3218",1,9,12,114.67818129,131.542619715,130.193464641,1963977.31817571,1500,25.5,0.896515415199583
"result.3698",1,7,14,114.67818129,130.193464641,131.542619715,1963977.31817571,1500,25.5,0.896515415199583
"result.2978",1,10,11,114.67818129,132.217197252,129.518887104,1963820.76358678,1500,25.5,0.895705880596407
"result.3938",1,6,15,114.67818129,129.518887104,132.217197252,1963820.76358678,1500,25.5,0.895705880596407
"result.3569",0,15,13,112.880846,134.254734,129.579196,1963745.23855529,1488,25,0.89531534508538
"result.2738",1,11,10,114.67818129,132.891774789,128.844309567,1963559.83927189,1500,25.5,0.894356656257782
