"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4089",8,15,15,94.8360012,131.98010167,189.6720024,2374022.99476009,1500,40,1
"result.3833",8,15,14,94.8360012,131.98010167,188.88170239,2364131.23228192,1497,40,0.97953431372549
"result.4073",8,14,15,94.8360012,131.18980166,189.6720024,2359807.28820464,1495,40,0.970588235294117
"result.3834",9,15,14,95.284302938,131.508087526,188.206185142,2358347.04789701,1499,39.5,0.967567052760953
"result.3802",9,13,14,95.62630121,130.39950165,188.88170239,2355283.43575392,1500,40,0.961228553921568
"result.3577",8,15,13,94.8360012,131.98010167,188.09140238,2354239.46980375,1494,40,0.95906862745098
"result.4088",7,15,15,94.04570119,131.98010167,189.6720024,2354239.46980375,1487,40,0.95906862745098
"result.4074",9,14,15,95.284302938,130.720613948,188.99365872,2354033.68296588,1497,39.5,0.958642862186931
"result.3066",9,15,11,95.62630121,131.98010167,186.51080236,2353909.74438781,1500,40,0.958386437908496
"result.3835",10,15,14,95.72571034,131.03437399,187.52823583,2352233.89635468,1500,39,0.954919171062408
"result.4042",9,12,15,95.62630121,129.60920164,189.6720024,2350804.00738619,1499,40,0.951960784313725
"result.3817",8,14,14,94.8360012,131.18980166,188.88170239,2349974.75783712,1492,40,0.950245098039215
"result.3306",9,14,12,95.62630121,131.18980166,187.30110237,2349728.94457793,1498,40,0.949736519607843
"result.3578",9,15,13,95.284302938,131.508087526,187.418711564,2348479.48702715,1495,39.5,0.947151438708053
"result.4075",10,14,15,95.72571034,130.24973702,188.3128728,2347931.71224339,1499,39,0.946018113186103
"result.4057",8,13,15,94.8360012,130.39950165,189.6720024,2345591.58164919,1491,40,0.941176470588235
"result.3546",9,13,13,95.62630121,130.39950165,188.09140238,2345428.69334491,1497,40,0.940839460784313
"result.4043",10,12,15,96.071776516,129.145666792,188.99365872,2344892.25972226,1500,39.5,0.939729599700154
"result.3832",7,15,14,94.04570119,131.98010167,188.88170239,2344430.13867957,1484,40,0.938773488562091
"result.3321",8,15,12,94.8360012,131.98010167,187.30110237,2344347.70732559,1491,40,0.938602941176471
"result.3818",9,14,14,95.284302938,130.720613948,188.206185142,2344225.20928685,1494,39.5,0.938349497319976
"result.2810",9,15,10,95.62630121,131.98010167,185.72050235,2343935.55055566,1497,40,0.937750204248366
"result.3307",10,14,12,96.071776516,130.720613948,186.631237986,2343819.90045714,1500,39.5,0.937510928523821
"result.4090",9,15,15,94.94107337,131.03437399,188.3128728,2342714.60148638,1491,39,0.935224106329591
"result.3579",10,15,13,95.72571034,131.03437399,186.74359886,2342391.91352474,1497,39,0.934556477016614
"result.4076",11,14,15,96.160176765,129.77714913,187.6296132,2341503.79421334,1500,38.5,0.93271899140759
"result.3786",9,12,14,95.62630121,129.60920164,188.88170239,2341008.99068874,1496,40,0.931695261437908
"result.3561",8,14,13,94.8360012,131.18980166,188.09140238,2340142.2274696,1489,40,0.929901960784314
"result.4072",7,14,15,94.04570119,131.18980166,189.6720024,2340142.2274696,1483,40,0.929901960784314
"result.4058",9,13,15,95.284302938,129.93314037,188.99365872,2339852.75716488,1493,39.5,0.929303057560007
"result.3050",9,14,11,95.62630121,131.18980166,186.51080236,2339814.47645735,1495,40,0.92922385620915
"result.3547",10,13,13,96.071776516,129.93314037,187.418711564,2339530.46339667,1499,39.5,0.928636243818487
"result.3322",9,15,12,95.284302938,131.508087526,186.631237986,2338611.92615729,1492,39.5,0.926735824655152
"result.3819",10,14,14,95.72571034,130.24973702,187.52823583,2338148.66344237,1496,39,0.925777351439984
"result.2811",10,15,10,96.071776516,131.508087526,185.05629083,2338041.07552845,1498,39.5,0.925554756073579
"result.4026",9,11,15,95.62630121,128.81890163,189.6720024,2336469.83660944,1494,40,0.922303921568627
"result.4091",10,15,15,95.37838671,130.558939185,187.6296132,2336457.94413275,1492,38.5,0.922279316479549
"result.3515",10,11,13,96.41660122,128.81890163,188.09140238,2336148.00880826,1500,40,0.921638071895425
