"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.3057",0,15,11,112.678298124,125.629826644,141.171660868,1998391.4526409,1500,23.5,1
"result.3297",0,14,12,112.678298124,124.982250218,141.819237294,1997210.14680727,1500,23.5,0.993998506462565
"result.3537",0,13,13,112.678298124,124.334673792,142.46681372,1995934.33650694,1499,23.5,0.987516893442135
"result.3777",0,12,14,112.678298124,123.687097366,143.114390146,1994564.02173993,1499,23.5,0.98055516093871
"result.4083",2,15,15,112.7549192,124.2866723,142.2249549,1993131.0874334,1499,23,0.973275296795679
"result.4017",0,11,15,112.678298124,123.03952094,143.761966572,1993099.20250622,1498,23.5,0.97311330895229
"result.2801",0,15,10,112.678298124,125.629826644,140.524084442,1989224.5193719,1497,23.5,0.953428410149503
"result.3041",0,14,11,112.678298124,124.982250218,141.171660868,1988090.46577162,1496,23.5,0.947666976353565
"result.3266",1,12,12,113.32587455,123.687097366,141.819237294,1987872.94255949,1500,23.5,0.946561873750464
"result.3281",0,13,12,112.678298124,124.334673792,141.819237294,1986861.90770464,1496,23.5,0.941425423074632
"result.3506",1,11,13,113.32587455,123.03952094,142.46681372,1986494.75242025,1500,23.5,0.939560131290123
"result.3572",3,15,13,113.39557215,124.2866723,140.943649,1986397.53646234,1500,23,0.939066236376069
"result.3521",0,12,13,112.678298124,123.687097366,142.46681372,1985538.84517097,1495,23.5,0.934703750312704
"result.3812",3,14,14,113.39557215,123.64601935,141.58430195,1985140.91196645,1500,23,0.932682094711539
"result.3746",1,10,14,113.32587455,122.391944514,143.114390146,1985021.5146852,1499,23.5,0.932075510039414
"result.3827",2,15,14,112.7549192,124.2866723,141.58430195,1984153.01947198,1495,23,0.9276632162362
"result.3761",0,11,14,112.678298124,123.03952094,143.114390146,1984121.27817061,1495,23.5,0.927501958067782
"result.4052",3,13,15,113.39557215,123.0053664,142.2249549,1983791.20417457,1499,23,0.92582505366445
"result.3986",1,9,15,113.32587455,121.744368088,143.761966572,1983453.22935435,1499,23.5,0.924108009998336
"result.4067",2,14,15,112.7549192,123.64601935,142.2249549,1982857.21584869,1495,23,0.921080029351326
"result.4001",0,10,15,112.678298124,122.391944514,143.761966572,1982609.20670356,1494,23.5,0.919820046339864
"result.2290",1,15,8,113.32587455,125.629826644,139.22893159,1982217.61060882,1498,23.5,0.917830585723546
"result.4082",1,15,15,112.11426625,124.2866723,142.2249549,1981806.47898207,1490,23,0.915741876999063
"result.2530",1,14,9,113.32587455,124.982250218,139.876508016,1981172.08705492,1498,23.5,0.912518919029495
"result.2545",0,15,9,112.678298124,125.629826644,139.876508016,1980057.58610291,1493,23.5,0.906856820299004
"result.2770",1,13,10,113.32587455,124.334673792,140.524084442,1980031.5159052,1497,23.5,0.906724373545075
"result.2785",0,14,10,112.678298124,124.982250218,140.524084442,1978970.78473597,1493,23.5,0.901335446244564
"result.3010",1,12,11,113.32587455,123.687097366,141.171660868,1978795.89715968,1497,23.5,0.900446949270285
"result.3025",0,13,11,112.678298124,124.334673792,141.171660868,1977789.47890233,1492,23.5,0.895333952707129
"result.2929",0,7,11,113.87179962,121.72502718,142.66696734,1977513.66858676,1500,24,0.893932728926333
"result.3250",1,11,12,113.32587455,123.03952094,141.819237294,1977465.23081834,1496,23.5,0.893686646205128
"result.753",0,15,2,113.87179962,126.96051222,136.77704667,1977416.12919302,1500,24,0.893437190832403
"result.3316",3,15,12,113.39557215,124.2866723,140.30299605,1977368.45675114,1497,23,0.893194996267958
"result.993",0,14,3,113.87179962,126.30607659,137.4314823,1976635.81404314,1500,24,0.889472886080963
"result.3265",0,12,12,112.678298124,123.687097366,141.819237294,1976513.66860201,1492,23.5,0.888852339686698
"result.3556",3,14,13,113.39557215,123.64601935,140.943649,1976158.37390325,1496,23,0.887047304294705
"result.3490",1,10,13,113.32587455,122.391944514,142.46681372,1976039.5168812,1496,23.5,0.886443464349604
"result.3169",0,6,12,113.87179962,121.07059155,143.32140297,1975904.26859013,1499,24,0.88575635037649
"result.1233",0,13,4,113.87179962,125.65164096,138.08591793,1975757.95949953,1499,24,0.885013043235595
"result.3781",4,12,14,114.0362251,122.36471345,141.58430195,1975668.76628422,1500,23,0.884559906977409
"result.3715",2,8,14,113.973450976,121.096791662,143.114390146,1975238.94455992,1500,23.5,0.882376245281015
"result.3571",2,15,13,112.7549192,124.2866723,140.943649,1975174.95151057,1492,23,0.882051135676721
"result.3505",0,11,13,112.678298124,123.03952094,142.46681372,1975143.35383499,1491,23.5,0.881890607183273
"result.1779",2,15,6,113.973450976,125.629826644,137.933778738,1974999.9677476,1500,23.5,0.88116215003666
"result.3796",3,13,14,113.39557215,123.0053664,141.58430195,1974855.20775937,1496,23,0.880426712938895
"result.1473",0,12,5,113.87179962,124.99720533,138.74035356,1974782.56556217,1499,24,0.880057662296296
"result.3730",1,9,14,113.32587455,121.744368088,143.114390146,1974518.75534825,1495,23.5,0.878717403703709
"result.4021",4,11,15,114.0362251,121.7240605,142.2249549,1974217.82383427,1500,23,0.87718855445494
"result.3409",0,5,13,113.87179962,120.41615592,143.9758386,1974197.32919976,1499,24,0.877084433732716
"result.2019",2,14,7,113.973450976,124.982250218,138.581355164,1974044.06049832,1499,23.5,0.876305769059242
"result.3811",2,14,14,112.7549192,123.64601935,141.58430195,1973925.42658811,1491,23,0.875703062609165
"result.1713",0,11,6,113.87179962,124.3427697,139.39478919,1973709.63223109,1499,24,0.874606743263066
"result.3745",0,10,14,112.678298124,122.391944514,143.114390146,1973678.53460129,1491,23.5,0.874448755196854
"result.3955",2,7,15,113.973450976,120.449215236,143.761966572,1973566.10687367,1499,23.5,0.873877578570532
"result.4036",3,12,15,113.39557215,122.36471345,142.2249549,1973458.95831949,1495,23,0.873333222200527
"result.2034",1,15,7,113.32587455,125.629826644,138.581355164,1972997.99381529,1495,23.5,0.870991343057816
"result.2259",2,13,8,113.973450976,124.334673792,139.22893159,1972992.5625241,1499,23.5,0.870963749984081
"result.3970",1,8,15,113.32587455,121.096791662,143.761966572,1972902.94621948,1495,23.5,0.870508464267447
"result.3826",1,15,14,112.11426625,124.2866723,141.58430195,1972879.42277044,1487,23,0.870388955988217
"result.4051",2,13,15,112.7549192,123.0053664,142.2249549,1972583.34426398,1491,23,0.868884761906975
"result.1953",0,10,7,113.87179962,123.68833407,140.04922482,1972539.15950627,1498,24,0.868660286135908
"result.3649",0,4,14,113.87179962,119.76172029,144.63027423,1972392.85041566,1498,24,0.867916978995014
"result.4087",6,15,15,114.05601594,122.927039402,140.669086326,1972260.54174491,1499,22.5,0.867244799437567
"result.3985",0,9,15,112.678298124,121.744368088,143.761966572,1972119.21090089,1490,23.5,0.866526783727439
"result.2274",1,14,8,113.32587455,124.982250218,139.22893159,1971999.99405929,1494,23.5,0.865921115758947
"result.2499",2,12,9,113.973450976,123.687097366,139.876508016,1971845.47382496,1499,23.5,0.865136092811178
"result.4066",1,14,15,112.11426625,123.64601935,142.2249549,1971590.98166773,1486,23,0.863843173574281
