"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4096",15,15,15,64.80460082,86.14270109,99.57780126,555887.435217663,600,40,1
"result.3840",15,15,14,64.80460082,86.14270109,98.78750125,551475.630176253,597,40,0.979073306642317
"result.4080",15,14,15,64.80460082,85.35240108,99.57780126,550787.550490896,597,40,0.975809510430568
"result.4095",14,15,15,64.01430081,86.14270109,99.57780126,549108.320154033,592,40,0.967844349230877
"result.3584",15,15,13,64.80460082,86.14270109,97.99720124,547063.825134843,595,40,0.958146613284634
"result.3824",15,14,14,64.80460082,85.35240108,98.78750125,546416.220725095,595,40,0.955074805085341
"result.4064",15,13,15,64.80460082,84.56210107,99.57780126,545687.665764128,594,40,0.951619020861137
"result.3839",14,15,14,64.01430081,86.14270109,98.78750125,544750.317613128,590,40,0.947172859450727
"result.4079",14,14,15,64.01430081,85.35240108,99.57780126,544070.629143446,590,40,0.943948865631804
"result.3328",15,15,12,64.80460082,86.14270109,97.20690123,542652.020093433,593,40,0.937219919926951
"result.4094",13,15,15,63.2240008,86.14270109,99.57780126,542329.205090403,585,40,0.935688698461755
"result.3568",15,14,13,64.80460082,85.35240108,97.99720124,542044.890959294,592,40,0.934340099740114
"result.3808",15,13,14,64.80460082,84.56210107,98.78750125,541356.811273937,592,40,0.931076303528365
"result.4048",15,12,15,64.80460082,83.77180106,99.57780126,540587.781037361,591,40,0.927428531291705
"result.3583",14,15,13,64.01430081,86.14270109,97.99720124,540392.315072223,588,40,0.926501369670577
"result.3823",14,14,14,64.01430081,85.35240108,98.78750125,539752.608277228,587,40,0.923467022546885
"result.4063",14,13,15,64.01430081,84.56210107,99.57780126,539032.938132858,587,40,0.920053382032732
"result.3072",15,15,11,64.80460082,86.14270109,96.41660122,538240.215052023,590,40,0.916293226569268
"result.3838",13,15,14,63.2240008,86.14270109,98.78750125,538025.005050003,583,40,0.915272412259137
"result.3312",15,14,12,64.80460082,85.35240108,97.20690123,537673.561193493,590,40,0.913605394394886
"result.4078",13,14,15,63.2240008,85.35240108,99.57780126,537353.707795996,582,40,0.912088220833041
"result.3552",15,13,13,64.80460082,84.56210107,97.99720124,537025.956783745,589,40,0.910533586195594
"result.3792",15,12,14,64.80460082,83.77180106,98.78750125,536297.401822778,589,40,0.907077801971389
"result.3327",14,15,12,64.01430081,86.14270109,97.20690123,536034.312531318,585,40,0.905829879890426
"result.4093",12,15,15,62.43370079,86.14270109,99.57780126,535550.090026773,578,40,0.903533047692632
"result.4032",15,11,15,64.80460082,82.98150105,99.57780126,535487.896310593,589,40,0.903238041722273
"result.3567",14,14,13,64.01430081,85.35240108,97.99720124,535434.58741101,585,40,0.902985179461965
"result.3807",14,13,14,64.01430081,84.56210107,98.78750125,534754.898941328,585,40,0.899761185643043
"result.4047",14,12,15,64.01430081,83.77180106,99.57780126,533995.247122271,584,40,0.896157898433659
"result.2816",15,15,10,64.80460082,86.14270109,95.62630121,533828.410010613,588,40,0.895366533211585
"result.3582",13,15,13,63.2240008,86.14270109,97.99720124,533720.805009603,580,40,0.894856126056519
"result.3056",15,14,11,64.80460082,85.35240108,96.41660122,533302.231427693,587,40,0.892870689049659
"result.3822",13,14,14,63.2240008,85.35240108,98.78750125,533088.995829361,580,40,0.891859240008429
"result.3296",15,13,12,64.80460082,84.56210107,97.20690123,532695.102293554,587,40,0.889990868862822
"result.4062",13,13,15,63.2240008,84.56210107,99.57780126,532378.210501588,580,40,0.888487743204327
"result.3536",15,12,13,64.80460082,83.77180106,97.99720124,532007.022608196,587,40,0.886727072651074
"result.3071",14,15,11,64.01430081,86.14270109,96.41660122,531676.309990413,583,40,0.885158390110276
"result.3837",12,15,14,62.43370079,86.14270109,98.78750125,531299.692486878,575,40,0.883371965067547
"result.3776",15,11,14,64.80460082,82.98150105,98.78750125,531237.99237162,586,40,0.883079300414413
"result.3311",14,14,12,64.01430081,85.35240108,97.20690123,531116.566544792,583,40,0.882503336377046
"result.4077",12,14,15,62.43370079,85.35240108,99.57780126,530636.786448546,575,40,0.880227576034277
"result.3551",14,13,13,64.01430081,84.56210107,97.99720124,530476.859749797,582,40,0.879468989253354
"result.4016",15,10,15,64.80460082,82.19120104,99.57780126,530388.011583825,586,40,0.879047552152841
"result.3791",14,12,14,64.01430081,83.77180106,98.78750125,529757.189605427,582,40,0.876055348739201
"result.2560",15,15,9,64.80460082,86.14270109,94.8360012,529416.604969203,585,40,0.874439839853902
"result.3326",13,15,12,63.2240008,86.14270109,97.20690123,529416.604969203,578,40,0.874439839853902
"result.4031",14,11,15,64.01430081,82.98150105,99.57780126,528957.556111683,581,40,0.872262414834586
"result.2800",15,14,10,64.80460082,85.35240108,95.62630121,528930.901661892,585,40,0.872135983704432
"result.3566",13,14,13,63.2240008,85.35240108,97.99720124,528824.283862726,578,40,0.871630259183817
"result.4092",11,15,15,61.64340078,86.14270109,99.57780126,528770.974963143,570,40,0.871377396923509
