"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4096",15,15,15,83.77180106,106.69050135,127.23830161,1137212.10035298,976,40,1
"result.3840",15,15,14,83.77180106,106.69050135,126.4480016,1130148.67115825,973,40,0.979833424935526
"result.4080",15,14,15,83.77180106,105.90020134,127.23830161,1128788.30701704,972,40,0.975949491960146
"result.4095",14,15,15,82.98150105,106.69050135,127.23830161,1126483.68431192,966,40,0.969369635986978
"result.3584",15,15,13,83.77180106,106.69050135,125.65770159,1123085.24196351,969,40,0.959666849871052
"result.3824",15,14,14,83.77180106,105.90020134,126.4480016,1121777.19952004,969,40,0.955932298933187
"result.4064",15,13,15,83.77180106,105.10990133,127.23830161,1120364.51368109,968,40,0.951898983920291
"result.3839",14,15,14,82.98150105,106.69050135,126.4480016,1119486.89124166,963,40,0.94939331163066
"result.4079",14,14,15,82.98150105,105.90020134,127.23830161,1118139.36072442,963,40,0.945546019532405
"result.3328",15,15,12,83.77180106,106.69050135,124.86740158,1116021.81276877,966,40,0.939500274806578
"result.4094",13,15,15,82.19120104,106.69050135,127.23830161,1115755.26827085,957,40,0.938739271973956
"result.3568",15,14,13,83.77180106,105.90020134,125.65770159,1114766.09202304,966,40,0.935915105906227
"result.3808",15,13,14,83.77180106,105.10990133,126.4480016,1113405.72788183,965,40,0.932031172930847
"result.3583",14,15,13,82.98150105,106.69050135,125.65770159,1112490.0981714,960,40,0.929416987274341
"result.4048",15,12,15,83.77180106,104.31960132,127.23830161,1111940.72034514,965,40,0.927848475880438
"result.3823",14,14,14,82.98150105,105.90020134,126.4480016,1111194.39575098,960,40,0.925717667949097
"result.4063",14,13,15,82.98150105,105.10990133,127.23830161,1109795.03713693,959,40,0.921722403077833
"result.3072",15,15,11,83.77180106,106.69050135,124.07710157,1108958.38357403,963,40,0.919333699742104
"result.3838",13,15,14,82.19120104,106.69050135,126.4480016,1108825.11132507,954,40,0.918953198325793
"result.3312",15,14,12,83.77180106,105.90020134,124.86740158,1107754.98452604,963,40,0.915897912879268
"result.4078",13,14,15,82.19120104,105.90020134,127.23830161,1107490.41443181,954,40,0.915142547104666
"result.3552",15,13,13,83.77180106,105.10990133,125.65770159,1106446.94208257,962,40,0.912163361941402
"result.3327",14,15,12,82.98150105,106.69050135,124.86740158,1105493.30510114,957,40,0.909440662918023
"result.3792",15,12,14,83.77180106,104.31960132,126.4480016,1105034.25624362,962,40,0.908130046928508
"result.4093",12,15,15,81.40090103,106.69050135,127.23830161,1105026.85222979,948,40,0.908108907960935
"result.3567",14,14,13,82.98150105,105.90020134,125.65770159,1104249.43077754,957,40,0.905889316365789
"result.4032",15,11,15,83.77180106,103.52930131,127.23830161,1103516.92700919,961,40,0.903797967840583
"result.3807",14,13,14,82.98150105,105.10990133,126.4480016,1102901.9002603,956,40,0.902042024267535
"result.2816",15,15,10,83.77180106,106.69050135,123.28680156,1101894.95437929,960,40,0.899167124677631
"result.3582",13,15,13,82.19120104,106.69050135,125.65770159,1101894.95437929,951,40,0.899167124677631
"result.4047",14,12,15,82.98150105,104.31960132,127.23830161,1101450.71354943,956,40,0.897898786623261
"result.3056",15,14,11,83.77180106,105.90020134,124.07710157,1100743.87702904,960,40,0.895880719852308
"result.3822",13,14,14,82.19120104,105.90020134,126.4480016,1100611.59198192,951,40,0.895503036965007
"result.3296",15,13,12,83.77180106,105.10990133,124.86740158,1099488.1562833,959,40,0.892295550951958
"result.4062",13,13,15,82.19120104,105.10990133,127.23830161,1099225.56059277,950,40,0.891545822235375
"result.3071",14,15,11,82.98150105,106.69050135,124.07710157,1098496.51203088,954,40,0.889464338561704
"result.3837",12,15,14,81.40090103,106.69050135,126.4480016,1098163.33140848,945,40,0.888513085020928
"result.3536",15,12,13,83.77180106,104.31960132,125.65770159,1098127.79214209,959,40,0.888411617976578
"result.3311",14,14,12,82.98150105,105.90020134,124.86740158,1097304.46580409,954,40,0.88606096478248
"result.4077",12,14,15,81.40090103,105.90020134,127.23830161,1096841.4681392,944,40,0.884739074676926
"result.3776",15,11,14,83.77180106,103.52930131,126.4480016,1096662.78460541,958,40,0.884228920926168
"result.3551",14,13,13,82.98150105,105.10990133,125.65770159,1096008.76338367,953,40,0.882361645457236
"result.4016",15,10,15,83.77180106,102.7390013,127.23830161,1095093.13367324,957,40,0.87974745980073
"result.3326",13,15,12,82.19120104,106.69050135,124.86740158,1094964.79743351,948,40,0.879381051029467
"result.2560",15,15,9,83.77180106,106.69050135,122.49650155,1094831.52518455,957,40,0.879000549613157
"result.3791",14,12,14,82.98150105,104.31960132,126.4480016,1094609.40476962,953,40,0.878366380585972
"result.4092",11,15,15,80.61060102,106.69050135,127.23830161,1094298.43618872,939,40,0.877478543947913
"result.2800",15,14,10,83.77180106,105.90020134,123.28680156,1093732.76953203,957,40,0.87586352682535
"result.3566",13,14,13,82.19120104,105.90020134,125.65770159,1093732.76953203,948,40,0.87586352682535
"result.4031",14,11,15,82.98150105,103.52930131,127.23830161,1093106.38996194,952,40,0.874075170168689
"result.3040",15,13,11,83.77180106,105.10990133,124.07710157,1092529.37048404,956,40,0.872427739962513
"result.3806",13,13,14,82.19120104,105.10990133,126.4480016,1092398.07263877,947,40,0.872052875604222
"result.2815",14,15,10,82.98150105,106.69050135,123.28680156,1091499.71896062,951,40,0.869488014205386
"result.3581",12,15,13,81.40090103,106.69050135,125.65770159,1091299.81058718,942,40,0.86891726208092
"result.3280",15,12,12,83.77180106,104.31960132,124.86740158,1091221.32804057,956,40,0.868693189024648
