"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4069",4,14,15,96.41660122,155.68910197,154.89880196,2325188.09393474,1497,40,1
"result.3829",4,15,14,96.41660122,156.47940198,154.10850195,2325067.65530976,1497,40,0.999695817490494
"result.4070",5,14,15,96.859250094,155.132294866,154.344821288,2319184.93679292,1498,39.5,0.984838290834004
"result.3830",5,15,14,96.859250094,155.919768444,153.55734771,2319064.80911568,1498,39.5,0.984534893661137
"result.4084",3,15,15,95.62630121,156.47940198,154.89880196,2317835.41459967,1488,40,0.981429907124603
"result.4053",4,13,15,96.41660122,154.89880196,154.89880196,2313385.10868634,1493,40,0.970190114068442
"result.3813",4,14,14,96.41660122,155.68910197,154.10850195,2313324.88937385,1493,40,0.970038022813689
"result.3573",4,15,13,96.41660122,156.47940198,153.31820194,2313144.23143637,1493,40,0.96958174904943
"result.4071",6,14,15,97.29498428,154.57348309,153.78884612,2312864.99890331,1500,39,0.968876513061773
"result.3831",6,15,14,97.29498428,155.35812006,153.00420915,2312745.19858223,1500,39,0.968573942666995
"result.4085",4,15,15,96.071776516,155.919768444,154.344821288,2312006.575592,1490,39.5,0.966708459772498
"result.3782",5,12,14,97.20690123,154.10850195,154.10850195,2308608.53256353,1498,40,0.95812628560743
"result.3542",5,13,13,97.20690123,154.89880196,153.31820194,2308547.81965011,1498,40,0.957972947703048
"result.4022",5,11,15,97.20690123,153.31820194,154.89880196,2308547.81965011,1498,40,0.957972947703048
"result.3302",5,14,12,97.20690123,155.68910197,152.52790193,2308365.68090987,1497,40,0.957512933989902
"result.3062",5,15,11,97.20690123,156.47940198,151.73760192,2308062.1163428,1497,40,0.956746244467993
"result.4054",5,13,15,96.859250094,154.344821288,154.344821288,2307412.42442342,1494,39.5,0.955105367893134
"result.3814",5,14,14,96.859250094,155.132294866,153.55734771,2307352.3605848,1494,39.5,0.954953669306702
"result.3574",5,15,13,96.859250094,155.919768444,152.769874132,2307172.16906894,1494,39.5,0.954498573547402
"result.4068",3,14,15,95.62630121,155.68910197,154.89880196,2306129.175132,1485,40,0.951864364520352
"result.3828",3,15,14,95.62630121,156.47940198,154.10850195,2306009.72370886,1484,40,0.951562675310105
"result.4086",5,15,15,96.51034731,155.35812006,153.78884612,2305858.61238297,1491,39,0.951181025134934
"result.3783",6,12,14,97.646723672,153.55734771,153.55734771,2302495.97948662,1499,39.5,0.942688283598764
"result.3543",6,13,13,97.646723672,154.344821288,152.769874132,2302435.42732411,1499,39.5,0.942535351690491
"result.4023",6,11,15,97.646723672,152.769874132,154.344821288,2302435.42732411,1499,39.5,0.942535351690491
"result.3303",6,14,12,97.646723672,155.132294866,151.982400554,2302253.77083658,1499,39.5,0.942076555965669
"result.3063",6,15,11,97.646723672,155.919768444,151.194926976,2301951.01002402,1499,39.5,0.9413118964243
"result.3797",4,13,14,96.41660122,154.89880196,154.10850195,2301582.12343794,1489,40,0.940380228136882
"result.4037",4,12,15,96.41660122,154.10850195,154.89880196,2301582.12343794,1489,40,0.940380228136882
"result.3557",4,14,13,96.41660122,155.68910197,153.31820194,2301461.68481296,1489,40,0.940076045627377
"result.3317",4,15,12,96.41660122,156.47940198,152.52790193,2301220.80756299,1489,40,0.939467680608365
"result.4055",6,13,15,97.29498428,153.78884612,153.78884612,2301124.5674368,1496,39,0.939224614373556
"result.3815",6,14,14,97.29498428,154.57348309,153.00420915,2301064.66727625,1496,39,0.939073329176167
"result.3575",6,15,13,97.29498428,155.35812006,152.21957218,2300884.96679462,1496,39,0.938619473584
"result.4087",6,15,15,96.94196682,154.79443089,153.23085078,2299393.88172264,1493,38.5,0.934853555473053
"result.4083",2,15,15,94.8360012,156.47940198,154.89880196,2298679.7500162,1476,40,0.933049928317647
"result.3526",5,12,13,97.20690123,154.10850195,153.31820194,2296769.51444782,1494,40,0.928225394252945
"result.3766",5,11,14,97.20690123,153.31820194,154.10850195,2296769.51444782,1494,40,0.928225394252945
"result.3286",5,13,12,97.20690123,154.89880196,152.52790193,2296648.08862099,1494,40,0.927918718444182
"result.4006",5,10,15,97.20690123,152.52790193,154.89880196,2296648.08862099,1494,40,0.927918718444182
"result.3046",5,14,11,97.20690123,155.68910197,151.73760192,2296405.23696733,1494,40,0.927305366826654
"result.3784",7,12,14,98.07962125,153.00420915,153.00420915,2296072.18212128,1500,39,0.92646419599057
"result.2806",5,15,10,97.20690123,156.47940198,150.94730191,2296040.95948685,1493,40,0.926385339400362
"result.3544",7,13,13,98.07962125,153.78884612,152.21957218,2296011.79889493,1500,39,0.926311690751267
"result.4024",7,11,15,98.07962125,152.21957218,153.78884612,2296011.79889493,1500,39,0.926311690751267
"result.3304",7,14,12,98.07962125,154.57348309,151.43493521,2295830.64921587,1500,39,0.925854175033357
"result.3798",5,13,14,96.859250094,154.344821288,153.55734771,2295639.91205391,1491,39.5,0.925372444952266
"result.4038",5,12,15,96.859250094,153.55734771,154.344821288,2295639.91205391,1491,39.5,0.925372444952266
"result.3064",7,15,11,98.07962125,155.35812006,150.65029824,2295528.73308409,1500,39,0.925091648836841
"result.3558",5,14,13,96.859250094,155.132294866,152.769874132,2295519.78437667,1491,39.5,0.9250690477794
"result.3318",5,15,12,96.859250094,155.919768444,151.982400554,2295279.52902219,1491,39.5,0.924462253433668
"result.4056",7,13,15,97.723756875,153.23085078,153.23085078,2294523.87187213,1497,38.5,0.922553748680634
