"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.3569",0,15,13,115.2278459,117.31027685,144.3818792,1951669.13039267,1499,27,1
"result.3809",0,14,14,115.2278459,116.6161332,145.07602285,1949448.29615235,1498,27,0.988540178479095
"result.4049",0,13,15,115.2278459,115.92198955,145.7701665,1947116.42020001,1497,27,0.976507365882146
"result.3298",1,14,12,115.92198955,116.6161332,143.68773555,1942424.57340435,1500,27,0.9522967670425
"result.3313",0,15,12,115.2278459,117.31027685,143.68773555,1942286.10572732,1496,27,0.951582254074178
"result.3538",1,13,13,115.92198955,115.92198955,144.3818792,1940190.36064451,1499,27,0.940767910452193
"result.3553",0,14,13,115.2278459,116.6161332,144.3818792,1940120.79234301,1495,27,0.940408928091297
"result.4083",2,15,15,115.530348864,116.218029512,144.41293608,1938990.53989402,1496,26.5,0.934576664204273
"result.3778",1,12,14,115.92198955,115.2278459,145.07602285,1937844.43724668,1498,27,0.92866261103237
"result.3793",0,13,14,115.2278459,115.92198955,145.07602285,1937844.43724668,1494,27,0.92866261103237
"result.3233",0,10,12,116.289419718,114.888342372,145.011505311,1937397.02107762,1500,27.5,0.926353879768282
"result.2017",0,14,7,116.289419718,117.690497064,141.508811946,1936712.18649965,1500,27.5,0.922820035642322
"result.4033",0,12,15,115.2278459,115.2278459,145.7701665,1935457.04043833,1493,27,0.916343302897397
"result.4018",1,11,15,115.92198955,114.53370225,145.7701665,1935386.80321085,1497,27,0.915980868783031
"result.2802",1,15,10,115.92198955,117.31027685,142.29944825,1935107.52661587,1497,27,0.914539761709243
"result.3473",0,9,13,116.289419718,114.187803699,145.712043984,1934885.96095839,1500,27.5,0.91339645130643
"result.2257",0,13,8,116.289419718,116.989958391,142.209350619,1934714.7523139,1499,27.5,0.91251299027494
"result.3042",1,14,11,115.92198955,116.6161332,142.9935919,1933040.87981302,1496,27,0.903875569363208
"result.3057",0,15,11,115.2278459,117.31027685,142.9935919,1932903.08106197,1492,27,0.903164508148356
"result.2497",0,12,9,116.289419718,116.289419718,142.909889292,1932603.17903183,1499,27.5,0.901616970886566
"result.3713",0,8,14,116.289419718,113.487265026,146.412582657,1932260.76174284,1499,27.5,0.899850048823586
"result.3572",3,15,13,116.218029512,116.218029512,143.037574784,1931955.65358148,1498,26.5,0.89827564718196
"result.3282",1,13,12,115.92198955,115.92198955,143.68773555,1930862.52237218,1496,27,0.892634934187659
"result.3267",2,12,12,116.6161332,115.2278459,143.68773555,1930793.28853366,1500,27,0.892277677703498
"result.3297",0,14,12,115.2278459,116.6161332,143.68773555,1930793.28853366,1491,27,0.892277677703498
"result.2737",0,11,10,116.289419718,115.588881045,143.610427965,1930377.46665342,1498,27.5,0.890131977477198
"result.3812",3,14,14,116.218029512,115.530348864,143.725255432,1929757.25160881,1497,26.5,0.886931579362486
"result.3827",2,15,14,115.530348864,116.218029512,143.725255432,1929757.25160881,1493,26.5,0.886931579362486
"result.3953",0,7,15,116.289419718,112.786726353,147.11312133,1929521.42343096,1497,27.5,0.885714672319749
"result.1521",0,15,5,116.289419718,118.391035737,140.1077346,1928950.72794932,1497,27.5,0.882769802214782
"result.3522",1,12,13,115.92198955,115.2278459,144.3818792,1928572.45429334,1495,27,0.880817856182593
"result.3537",0,13,13,115.2278459,115.92198955,144.3818792,1928572.45429334,1490,27,0.880817856182593
"result.3507",2,11,13,116.6161332,114.53370225,144.3818792,1928433.31769034,1499,27,0.880099891460802
"result.2977",0,10,11,116.289419718,114.888342372,144.310966638,1928037.61517869,1497,27.5,0.878058010046837
"result.2291",2,15,8,116.6161332,117.31027685,140.91116095,1927702.85052454,1499,27,0.876330576671395
"result.4067",2,14,15,115.530348864,115.530348864,144.41293608,1927517.22308992,1492,26.5,0.875372712625721
"result.4052",3,13,15,116.218029512,114.842668216,144.41293608,1927448.92953751,1496,26.5,0.87502030815204
"result.4082",1,15,15,114.842668216,116.218029512,144.41293608,1927448.92953751,1487,26.5,0.87502030815204
"result.1761",0,14,6,116.289419718,117.690497064,140.808273273,1927124.50240807,1497,27.5,0.87334621787889
"result.3777",0,12,14,115.2278459,115.2278459,145.07602285,1926240.57834101,1489,27,0.868785043585643
"result.3762",1,11,14,115.92198955,114.53370225,145.07602285,1926170.67557652,1494,27,0.868424335348012
"result.3747",2,10,14,116.6161332,113.8395586,145.07602285,1925960.96728304,1498,27,0.86734221063512
"result.2531",2,14,9,116.6161332,116.6161332,141.6053046,1925736.20815511,1498,27,0.866182421469149
"result.2546",1,15,9,115.92198955,117.31027685,141.6053046,1925667.97770555,1494,27,0.865830342615194
"result.3217",0,9,12,116.289419718,114.187803699,145.011505311,1925583.62460763,1496,27.5,0.865395068595482
"result.3202",1,8,12,116.989958391,113.487265026,145.011505311,1925298.96445173,1500,27.5,0.86392618157927
"result.1986",1,12,7,116.989958391,116.289419718,141.508811946,1925184.13777048,1500,27.5,0.863333659522005
"result.2001",0,13,7,116.289419718,116.989958391,141.508811946,1925184.13777048,1496,27.5,0.863333659522005
"result.3061",4,15,11,116.90571016,116.218029512,141.662213488,1924700.92707168,1500,26.5,0.860840223377699
"result.4017",0,11,15,115.2278459,114.53370225,145.7701665,1923797.66067666,1488,27,0.856179239912649
"result.2771",2,13,10,116.6161332,115.92198955,142.29944825,1923657.1862217,1497,27,0.855454371683916
"result.2786",1,14,10,115.92198955,116.6161332,142.29944825,1923657.1862217,1493,27,0.855454371683916
"result.4002",1,10,15,115.92198955,113.8395586,145.7701665,1923657.1862217,1493,27,0.855454371683916
"result.2801",0,15,10,115.2278459,117.31027685,142.29944825,1923520.05639662,1488,27,0.854746762222536
"result.3987",2,9,15,116.6161332,113.14541495,145.7701665,1923376.23731178,1497,27,0.854004635226452
"result.2241",0,12,8,116.289419718,116.289419718,142.209350619,1923129.63403657,1495,27.5,0.852732127144128
"result.2226",1,11,8,116.989958391,115.588881045,142.209350619,1923059.84416743,1499,27.5,0.852372001462617
"result.3457",0,8,13,116.289419718,113.487265026,145.712043984,1923015.49494025,1495,27.5,0.852143153123134
"result.3316",3,15,12,116.218029512,116.218029512,142.349894136,1922667.40524696,1494,26.5,0.850346960644685
"result.3442",1,7,13,116.989958391,112.786726353,145.712043984,1922657.95078307,1499,27.5,0.850298174262192
"result.3301",4,14,12,116.90571016,115.530348864,142.349894136,1922600.08731673,1499,26.5,0.849999590520628
"result.3026",1,13,11,115.92198955,115.92198955,142.9935919,1921534.68409985,1492,27,0.844501957923124
"result.3011",2,12,11,116.6161332,115.2278459,142.9935919,1921465.78472432,1496,27,0.844146427315699
"result.3041",0,14,11,115.2278459,116.6161332,142.9935919,1921465.78472432,1487,27,0.844146427315699
"result.1010",1,15,3,116.989958391,118.391035737,138.706657254,1921165.20392687,1499,27.5,0.842595387517756
"result.2481",0,11,9,116.289419718,115.588881045,142.909889292,1920960.99120633,1494,27.5,0.841541620745256
"result.2466",1,10,9,116.989958391,114.888342372,142.909889292,1920820.72388314,1499,27.5,0.840817821345963
