"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4096",15,15,15,55.3210007,55.3210007,92.46510117,282981.408619419,395,40,1
"result.3840",15,15,14,55.3210007,55.3210007,91.67480116,280562.764101304,393,40,0.981491973559962
"result.4080",15,14,15,55.3210007,54.53070069,92.46510117,278938.817067713,392,40,0.969065155807366
"result.4095",14,15,15,54.53070069,55.3210007,92.46510117,278938.817067713,390,40,0.969065155807366
"result.3584",15,15,13,55.3210007,55.3210007,90.88450115,278144.11958319,392,40,0.962983947119925
"result.3824",15,14,14,55.3210007,54.53070069,91.67480116,276554.724614143,391,40,0.950821529745043
"result.3839",14,15,14,54.53070069,55.3210007,91.67480116,276554.724614143,388,40,0.950821529745043
"result.3328",15,15,12,55.3210007,55.3210007,90.09420114,275725.475065075,390,40,0.944475920679887
"result.4079",14,14,15,54.53070069,54.53070069,92.46510117,274953.976823889,387,40,0.93857223796034
"result.4064",15,13,15,55.3210007,53.74040068,92.46510117,274896.225516007,389,40,0.938130311614731
"result.4094",13,15,15,53.74040068,55.3210007,92.46510117,274896.225516007,384,40,0.938130311614731
"result.3568",15,14,13,55.3210007,54.53070069,90.88450115,274170.632160573,389,40,0.93257790368272
"result.3583",14,15,13,54.53070069,55.3210007,90.88450115,274170.632160573,386,40,0.93257790368272
"result.3072",15,15,11,55.3210007,55.3210007,89.30390113,273306.83054696,388,40,0.925967894239849
"result.3823",14,14,14,54.53070069,54.53070069,91.67480116,272603.942833941,385,40,0.920589235127479
"result.3808",15,13,14,55.3210007,53.74040068,91.67480116,272546.685126981,388,40,0.920151085930123
"result.3838",13,15,14,53.74040068,55.3210007,91.67480116,272546.685126981,382,40,0.920151085930123
"result.3312",15,14,12,55.3210007,54.53070069,90.09420114,271786.539707002,387,40,0.914334277620397
"result.3327",14,15,12,54.53070069,55.3210007,90.09420114,271786.539707002,384,40,0.914334277620397
"result.4063",14,13,15,54.53070069,53.74040068,92.46510117,270969.136580064,384,40,0.908079320113315
"result.4078",13,14,15,53.74040068,54.53070069,92.46510117,270969.136580064,381,40,0.908079320113315
"result.2816",15,15,10,55.3210007,55.3210007,88.51360112,270888.186028846,387,40,0.907459867799811
"result.4048",15,12,15,55.3210007,52.95010067,92.46510117,270853.633964301,387,40,0.907195467422096
"result.4093",12,15,15,52.95010067,55.3210007,92.46510117,270853.633964301,378,40,0.907195467422096
"result.3567",14,14,13,54.53070069,54.53070069,90.88450115,270253.908843993,383,40,0.902606232294617
"result.3552",15,13,13,55.3210007,53.74040068,90.88450115,270197.144737956,386,40,0.902171860245515
"result.3582",13,15,13,53.74040068,55.3210007,90.88450115,270197.144737956,381,40,0.902171860245515
"result.3056",15,14,11,55.3210007,54.53070069,89.30390113,269402.447253432,386,40,0.896090651558074
"result.3071",14,15,11,54.53070069,55.3210007,89.30390113,269402.447253432,383,40,0.896090651558074
"result.3807",14,13,14,54.53070069,53.74040068,91.67480116,268653.161053739,382,40,0.890356940509915
"result.3822",13,14,14,53.74040068,54.53070069,91.67480116,268653.161053739,379,40,0.890356940509915
"result.3792",15,12,14,55.3210007,52.95010067,91.67480116,268538.64563982,385,40,0.889480642115203
"result.3837",12,15,14,52.95010067,55.3210007,91.67480116,268538.64563982,377,40,0.889480642115203
"result.2560",15,15,9,55.3210007,55.3210007,87.72330111,268469.541510731,385,40,0.888951841359774
"result.3311",14,14,12,54.53070069,54.53070069,90.09420114,267903.874854045,382,40,0.884623229461756
"result.3296",15,13,12,55.3210007,53.74040068,90.09420114,267847.60434893,384,40,0.884192634560906
"result.3326",13,15,12,53.74040068,55.3210007,90.09420114,267847.60434893,379,40,0.884192634560906
"result.4062",13,13,15,53.74040068,53.74040068,92.46510117,267042.047644121,378,40,0.878028328611898
"result.2800",15,14,10,55.3210007,54.53070069,88.51360112,267018.354799862,384,40,0.877847025495751
"result.2815",14,15,10,54.53070069,55.3210007,88.51360112,267018.354799862,381,40,0.877847025495751
"result.4047",14,12,15,54.53070069,52.95010067,92.46510117,266984.29633624,381,40,0.877586402266289
