"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4096",15,15,15,71.1270009,64.01430081,127.23830161,579334.466217558,641,40,1
"result.3840",15,15,14,71.1270009,64.01430081,126.4480016,575736.11549571,639,40,0.983835561764119
"result.4095",14,15,15,70.33670089,64.01430081,127.23830161,572897.416592918,634,40,0.971083616044702
"result.4080",15,14,15,71.1270009,63.2240008,127.23830161,572182.188856847,637,40,0.967870684494113
"result.3584",15,15,13,71.1270009,64.01430081,125.65770159,572137.764773862,637,40,0.967671123528238
"result.3839",14,15,14,70.33670089,64.01430081,126.4480016,569339.047545757,632,40,0.955098782678108
"result.3824",15,14,14,71.1270009,63.2240008,126.4480016,568628.262217985,635,40,0.951905807224107
"result.3328",15,15,12,71.1270009,64.01430081,124.86740158,568539.414052013,635,40,0.951506685292357
"result.4094",13,15,15,69.54640088,64.01430081,127.23830161,566460.366968279,627,40,0.942167232089404
"result.4079",14,14,15,70.33670089,63.2240008,127.23830161,565824.60898066,630,40,0.939311292933324
"result.3583",14,15,13,70.33670089,64.01430081,125.65770159,565780.678498596,630,40,0.939113949311515
"result.3568",15,14,13,71.1270009,63.2240008,125.65770159,565074.335579123,633,40,0.935940929954101
"result.4064",15,13,15,71.1270009,62.43370079,127.23830161,565029.911496137,633,40,0.935741368988226
"result.3072",15,15,11,71.1270009,64.01430081,124.07710157,564941.063330165,633,40,0.935342247056476
"result.3838",13,15,14,69.54640088,64.01430081,126.4480016,562941.979595805,625,40,0.926362003592097
"result.3823",14,14,14,70.33670089,63.2240008,126.4480016,562310.170415563,628,40,0.923523803188541
"result.3327",14,15,12,70.33670089,64.01430081,124.86740158,562222.309451435,628,40,0.923129115944921
"result.3312",15,14,12,71.1270009,63.2240008,124.86740158,561520.40894026,631,40,0.919976052684095
"result.3808",15,13,14,71.1270009,62.43370079,126.4480016,561520.40894026,631,40,0.919976052684095
"result.2816",15,15,10,71.1270009,64.01430081,123.28680156,561342.712608317,631,40,0.919177808820595
"result.4093",12,15,15,68.75610087,64.01430081,127.23830161,560023.317343639,620,40,0.913250848134105
"result.4078",13,14,15,69.54640088,63.2240008,127.23830161,559467.029104473,623,40,0.910751901372536
"result.3582",13,15,13,69.54640088,64.01430081,125.65770159,559423.592223331,623,40,0.910556775094792
"result.3567",14,14,13,70.33670089,63.2240008,125.65770159,558795.731850466,626,40,0.907736313443757
"result.4063",14,13,15,70.33670089,62.43370079,127.23830161,558751.801368402,626,40,0.907538969821947
"result.3071",14,15,11,70.33670089,64.01430081,124.07710157,558663.940404274,626,40,0.907144282578327
"result.3552",15,13,13,71.1270009,62.43370079,125.65770159,558010.906384383,629,40,0.904210736379964
