"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.3825",0,15,14,109.34866168,113.66505622,165.4617907,2056544.74612342,1499,29,1
"result.4065",0,14,15,109.34866168,112.94565713,166.18118979,2052413.54726632,1498,29,0.980631773075791
"result.3569",0,15,13,109.34866168,113.66505622,164.74239161,2047603.24722723,1496,29,0.958079728027054
"result.3794",1,13,14,110.06806077,112.22625804,165.4617907,2043871.16924025,1499,29,0.940582692456734
"result.3809",0,14,14,109.34866168,112.94565713,165.4617907,2043528.64013529,1494,29,0.938976819279888
"result.3058",1,15,11,110.06806077,113.66505622,163.30359343,2043073.6721285,1499,29,0.9368438007776
"result.2273",0,14,8,110.286875904,113.914733664,162.528027648,2041888.38522909,1500,29.5,0.93128684105908
"result.4034",1,12,15,110.06806077,111.50685895,166.18118979,2039598.86328448,1498,29,0.920552915604237
"result.4049",0,13,15,109.34866168,112.22625804,166.18118979,2039340.84951303,1493,29,0.919343274178634
"result.3298",1,14,12,110.06806077,112.94565713,164.02299252,2039086.18656978,1498,29,0.918149342381937
"result.4083",2,15,15,109.827409384,112.680069368,164.741114076,2038730.61126662,1496,28.5,0.916482304943505
"result.3313",0,15,12,109.34866168,113.66505622,164.02299252,2038661.74833104,1493,29,0.916159456054107
"result.3249",0,11,12,110.286875904,111.738019008,165.430313856,2038636.97060293,1499,29.5,0.916043291067301
"result.3985",0,9,15,110.286875904,110.286875904,167.607028512,2038636.97060293,1499,29.5,0.916043291067301
"result.2513",0,13,9,110.286875904,113.189162112,163.2535992,2037940.23889732,1499,29.5,0.912776816069063
"result.1777",0,15,6,110.286875904,114.640305216,161.076884544,2036546.77548611,1498,29.5,0.906243866072587
"result.3538",1,13,13,110.06806077,112.22625804,164.74239161,2034984.77285224,1496,29,0.89892075660354
"result.3553",0,14,13,109.34866168,112.94565713,164.74239161,2034643.73300427,1491,29,0.897321865483986
"result.3489",0,10,13,110.286875904,111.012447456,166.155885408,2034282.39744289,1497,29.5,0.895627822328313
"result.3572",3,15,13,110.54057438,112.680069368,163.314784084,2034203.15530749,1499,28.5,0.895256312818949
"result.2802",1,15,10,110.06806077,113.66505622,162.58419434,2034073.34758168,1496,29,0.894647737541673
"result.2753",0,12,10,110.286875904,112.46359056,163.979170752,2033875.97061462,1497,29.5,0.89372237857934
"result.2017",0,14,7,110.286875904,113.914733664,161.802456096,2032772.81208075,1497,29.5,0.88855045983213
"result.3763",2,11,14,110.78745986,110.78745986,165.4617907,2030855.06325212,1499,29,0.879559511736621
"result.3778",1,12,14,110.06806077,111.50685895,165.4617907,2030769.43097588,1495,29,0.879158043442409
"result.3793",0,13,14,109.34866168,112.22625804,165.4617907,2030512.53414717,1490,29,0.877953638559776
"result.3027",2,13,11,110.78745986,112.22625804,163.30359343,2030396.37210288,1499,29,0.877409038091106
"result.3812",3,14,14,110.54057438,111.966904372,164.02794908,2030155.2135911,1498,28.5,0.876278418882877
"result.3042",1,14,11,110.06806077,112.94565713,163.30359343,2030142.82610237,1494,29,0.876220342837376
"result.3827",2,15,14,109.827409384,112.680069368,164.02794908,2029904.93762477,1493,28.5,0.875105054472851
"result.3729",0,9,14,110.286875904,110.286875904,166.88145696,2029811.70233192,1496,29.5,0.874667941089617
"result.3057",0,15,11,109.34866168,113.66505622,163.30359343,2029720.24943485,1489,29,0.874239184081161
"result.2993",0,11,11,110.286875904,111.738019008,164.704742304,2029695.58038099,1496,29.5,0.87412352858991
"result.2291",2,15,8,110.78745986,113.66505622,161.14539616,2029249.64422979,1499,29,0.872032853977321
"result.2242",1,12,8,111.012447456,112.46359056,162.528027648,2029139.41735283,1500,29.5,0.871516079249212
"result.2257",0,13,8,110.286875904,113.189162112,162.528027648,2028882.72672445,1495,29.5,0.870312641091966
"result.1506",1,14,5,111.012447456,113.914733664,160.351312992,2027795.22937474,1500,29.5,0.865214146398993
"result.1521",0,15,5,110.286875904,114.640305216,160.351312992,2027373.1413623,1495,29.5,0.863235278595784
"result.4003",2,10,15,110.78745986,110.06806077,166.18118979,2026440.1609407,1498,29,0.858861202898547
"result.4018",1,11,15,110.06806077,110.78745986,166.18118979,2026440.1609407,1493,29,0.858861202898547
"result.3267",2,12,12,110.78745986,111.50685895,164.02299252,2026268.15175974,1498,29,0.858054775281478
"result.4033",0,12,15,109.34866168,111.50685895,166.18118979,2026268.15175974,1488,29,0.858054775281478
"result.3282",1,13,12,110.06806077,112.22625804,164.02299252,2026098.37646424,1493,29,0.857258820750347
"result.4052",3,13,15,110.54057438,111.253739376,164.741114076,2025994.82904927,1496,28.5,0.856773361226359
"result.4067",2,14,15,109.827409384,111.966904372,164.741114076,2025827.25296746,1491,28.5,0.85598771723008
"result.3297",0,14,12,109.34866168,112.94565713,164.02299252,2025758.82587325,1488,29,0.855666911688083
"result.4082",1,15,15,109.114244388,112.680069368,164.741114076,2025492.10080385,1486,28.5,0.854416429237523
"result.2531",2,14,9,110.78745986,112.94565713,161.86479525,2025408.10585492,1497,29,0.854022637196139
"result.3218",1,9,12,111.012447456,110.286875904,165.430313856,2025399.06819642,1499,29.5,0.853980266100775
"result.3233",0,10,12,110.286875904,111.012447456,165.430313856,2025399.06819642,1494,29.5,0.853980266100775
"result.3316",3,15,12,110.54057438,112.680069368,162.601619088,2025320.17209654,1496,28.5,0.85361037890368
"result.3969",0,8,15,110.286875904,109.561304352,167.607028512,2025224.88527001,1494,29.5,0.853163647351215
"result.2546",1,15,9,110.06806077,113.66505622,161.86479525,2025073.02303486,1492,29,0.852451674305748
"result.2482",1,11,9,111.012447456,111.738019008,163.2535992,2025048.410463,1499,29.5,0.852336283618109
"result.3954",1,7,15,111.012447456,108.8357328,167.607028512,2025048.410463,1499,29.5,0.852336283618109
"result.721",0,13,2,111.2184,114.1452,159.5106,2024994.48610598,1500,30,0.852083471003757
"result.2497",0,12,9,110.286875904,112.46359056,163.2535992,2024876.51941721,1494,29.5,0.851530409852096
"result.4086",5,15,15,110.98082097,111.68770518,163.29025251,2024014.22968252,1498,28,0.847487752058638
"result.1746",1,13,6,111.012447456,113.189162112,161.076884544,2023996.43726276,1498,29.5,0.847404336170111
"result.1761",0,14,6,110.286875904,113.914733664,161.076884544,2023657.2389324,1493,29.5,0.84581407860518
"result.2433",0,8,9,111.2184,110.4867,164.6325,2023029.51262793,1499,30,0.842871120415136
"result.3169",0,6,12,111.2184,109.0233,166.8276,2022850.87867538,1499,30,0.842033633997989
"result.1697",0,10,6,111.2184,111.9501,162.4374,2022493.61077029,1499,30,0.840358661163695
"result.1010",1,15,3,111.012447456,114.640305216,158.900169888,2022243.14859569,1498,29.5,0.839184423756782
"result.3507",2,11,13,110.78745986,110.78745986,164.74239161,2022025.25862929,1496,29,0.838162894060472
"result.3905",0,4,15,111.2184,107.5599,169.0227,2021957.70891264,1499,30,0.837846201912253
"result.3522",1,12,13,110.06806077,111.50685895,164.74239161,2021939.99866729,1491,29,0.837763171280583
"result.3537",0,13,13,109.34866168,112.22625804,164.74239161,2021684.21878131,1486,29,0.836564002940917
"result.2771",2,13,10,110.78745986,112.22625804,162.58419434,2021451.89469274,1496,29,0.835474802003579
"result.3541",4,13,13,111.253739376,111.253739376,163.314784084,2021411.5143962,1499,28.5,0.835285487769709
"result.3556",3,14,13,110.54057438,111.966904372,163.314784084,2021328.45179288,1494,28.5,0.834896066827831
"result.961",0,12,3,111.2184,113.4135,160.2423,2021243.17310244,1499,30,0.834496256243663
"result.2786",1,14,10,110.06806077,112.94565713,162.58419434,2021199.46563496,1491,29,0.834291343292817
"result.3571",2,15,13,109.827409384,112.680069368,163.314784084,2021079.26398292,1489,28.5,0.833727804002197
"result.3473",0,9,13,110.286875904,110.286875904,166.155885408,2020986.43406091,1492,29.5,0.833292591111934
"result.3458",1,8,13,111.012447456,109.561304352,166.155885408,2020898.96061761,1497,29.5,0.832882490906562
"result.2722",1,10,10,111.012447456,111.012447456,163.979170752,2020840.51766204,1497,29.5,0.832608493826118
"result.2801",0,15,10,109.34866168,113.66505622,162.58419434,2020778.75053866,1486,29,0.832318912108214
"result.2737",0,11,10,110.286875904,111.738019008,163.979170752,2020754.19015904,1492,29.5,0.83220376611252
"result.2805",4,15,10,111.253739376,112.680069368,161.175289096,2020506.16829189,1499,28.5,0.83104096955605
"result.2020",3,14,7,111.50685895,112.94565713,160.42599707,2020439.57226191,1500,29,0.830728748560273
"result.2035",2,15,7,110.78745986,113.66505622,160.42599707,2020190.49403233,1496,29,0.829560999478415
"result.1986",1,12,7,111.012447456,112.46359056,161.802456096,2020080.75923964,1497,29.5,0.829046531780342
"result.2001",0,13,7,110.286875904,113.189162112,161.802456096,2019825.21455157,1492,29.5,0.827848466114869
"result.225",0,14,0,111.2184,114.8769,158.0472,2019278.19962439,1498,30,0.825283905655044
"result.1250",1,14,4,111.012447456,113.914733664,159.62574144,2018619.68535042,1496,29.5,0.822196604769234
"result.2673",0,7,10,111.2184,109.755,165.3642,2018563.66381419,1498,30,0.821933959986454
"result.1937",0,9,7,111.2184,111.2184,163.1691,2018325.48521079,1498,30,0.820817311430259
"result.1265",0,15,4,110.286875904,114.640305216,159.62574144,2018199.50723849,1491,29.5,0.820226691118981
"result.3409",0,5,13,111.2184,108.2916,167.5593,2018087.30660739,1498,30,0.819700662874062
"result.3747",2,10,14,110.78745986,110.06806077,165.4617907,2017667.69271152,1495,29,0.817733394428086
"result.3762",1,11,14,110.06806077,110.78745986,165.4617907,2017667.69271152,1490,29,0.817733394428086
"result.3732",3,9,14,111.50685895,109.34866168,165.4617907,2017496.42815905,1499,29,0.816930457839664
"result.3777",0,12,14,109.34866168,111.50685895,165.4617907,2017496.42815905,1485,29,0.816930457839664
"result.2996",3,11,11,111.50685895,110.78745986,163.30359343,2017381.01074325,1499,29,0.81638934839964
"result.3011",2,12,11,110.78745986,111.50685895,163.30359343,2017381.01074325,1494,29,0.81638934839964
"result.1201",0,11,4,111.2184,112.6818,160.974,2017372.77079719,1497,30,0.816350717205472
"result.3781",4,12,14,111.253739376,110.54057438,164.02794908,2017224.28866377,1498,28.5,0.815654591031535
"result.3796",3,13,14,110.54057438,111.253739376,164.02794908,2017224.28866377,1493,28.5,0.815654591031535
"result.3026",1,13,11,110.06806077,112.22625804,163.30359343,2017211.98007624,1490,29,0.815596884897153
"result.3811",2,14,14,109.827409384,111.966904372,164.02794908,2017057.43801955,1488,28.5,0.814872348091518
"result.3041",0,14,11,109.34866168,112.94565713,163.30359343,2016873.91874223,1485,29,0.814011957892181
"result.3826",1,15,14,109.114244388,112.680069368,164.02794908,2016723.7367311,1483,28.5,0.813307862211484
"result.1905",0,7,7,111.680633368,110.21115135,163.847245007,2016705.81729055,1500,30.5,0.813223850813593
"result.3045",4,14,11,111.253739376,111.966904372,161.888454092,2016601.86321706,1497,28.5,0.812736484759645
"result.2641",0,5,10,111.680633368,108.741669332,166.051468034,2016585.23697263,1500,30.5,0.812658536230358
"result.2260",3,13,8,111.50685895,112.22625804,161.14539616,2016573.08883266,1499,29,0.812601582319473
"result.2962",1,9,11,111.012447456,110.286875904,164.704742304,2016515.73894994,1496,29.5,0.812332709873238
"result.2977",0,10,11,110.286875904,111.012447456,164.704742304,2016515.73894994,1491,29.5,0.812332709873238
"result.3713",0,8,14,110.286875904,109.561304352,166.88145696,2016457.67797447,1491,29.5,0.812060503623384
"result.3060",3,15,11,110.54057438,112.680069368,161.888454092,2016437.18888559,1492,28.5,0.811964444988411
"result.2275",2,14,8,110.78745986,112.94565713,161.14539616,2016406.29205112,1494,29,0.811819591902922
"result.3698",1,7,14,111.012447456,108.8357328,166.88145696,2016281.96712766,1496,29.5,0.81123672155146
"result.1169",0,9,4,111.680633368,111.680633368,161.64302198,2016102.91570093,1500,30.5,0.810397277897421
"result.2290",1,15,8,110.06806077,113.66505622,161.14539616,2016072.69848804,1489,29,0.810255611069821
"result.2211",2,10,8,111.738019008,111.012447456,162.528027648,2016048.19530539,1500,29.5,0.810140733229683
"result.2226",1,11,8,111.012447456,111.738019008,162.528027648,2016048.19530539,1496,29.5,0.810140733229683
"result.3683",2,6,14,111.738019008,108.110161248,166.88145696,2015930.54543405,1500,29.5,0.809589157407612
"result.2241",0,12,8,110.286875904,112.46359056,162.528027648,2015877.0682198,1491,29.5,0.809338441124853
"result.3377",0,3,13,111.680633368,107.272187314,168.255691061,2015741.17474715,1500,30.5,0.808701334147719
"result.465",0,13,1,111.2184,114.1452,158.7789,2015705.52057339,1497,30,0.808534177312099
"result.3815",6,14,14,111.68770518,110.98082097,162.5833683,2015252.26332026,1500,28,0.8064091793061
"result.3830",5,15,14,110.98082097,111.68770518,162.5833683,2015252.26332026,1495,28,0.8064091793061
"result.1524",3,15,5,111.50685895,113.66505622,158.98719889,2015072.66242728,1498,29,0.805567159599162
"result.1475",2,12,5,111.738019008,112.46359056,160.351312992,2015048.17139899,1500,29.5,0.80545233874208
"result.1490",1,13,5,111.012447456,113.189162112,160.351312992,2014879.33619401,1495,29.5,0.804660791620796
"result.433",0,11,1,111.680633368,113.150115386,159.438798953,2014776.53220376,1500,30.5,0.804178817481846
"result.1505",0,14,5,110.286875904,113.914733664,160.351312992,2014541.66578406,1490,29.5,0.80307769737823
"result.2177",0,8,8,111.2184,110.4867,163.9008,2014038.27034959,1496,30,0.800717637418724
"result.2913",0,6,11,111.2184,109.0233,166.0959,2013978.72569874,1496,30,0.800438475279674
"result.1441",0,10,5,111.2184,111.9501,161.7057,2013383.27919024,1496,30,0.797646853889184
"result.739",2,14,2,111.738019008,113.914733664,158.174598336,2013342.24826454,1499,29.5,0.797454489322052
"result.4002",1,10,15,110.06806077,110.06806077,166.18118979,2013281.45859693,1488,29,0.797169490192856
"result.3649",0,4,14,111.2184,107.5599,168.291,2013204.64523769,1496,30,0.796809367472036
"result.3251",2,11,12,110.78745986,110.78745986,164.02299252,2013195.45400645,1493,29,0.796766276384323
"result.3987",2,9,15,110.78745986,109.34866168,166.18118979,2013195.45400645,1493,29,0.796766276384323
"result.4017",0,11,15,109.34866168,110.78745986,166.18118979,2013195.45400645,1483,29,0.796766276384323
"result.3236",3,10,12,111.50685895,110.06806077,164.02299252,2013110.5663587,1498,29,0.796368299118757
"result.3266",1,12,12,110.06806077,111.50685895,164.02299252,2013110.5663587,1488,29,0.796368299118757
"result.754",1,15,2,111.012447456,114.640305216,158.174598336,2013009.16161581,1494,29.5,0.795892885046579
"result.4036",3,12,15,110.54057438,110.54057438,164.741114076,2013007.68270921,1491,28.5,0.795885951514794
"result.3972",3,8,15,111.50685895,108.62926259,166.18118979,2012937.440235,1498,29,0.79555663495872
"result.4021",4,11,15,111.253739376,109.827409384,164.741114076,2012923.8946683,1496,28.5,0.795493129516655
"result.4051",2,13,15,109.827409384,111.253739376,164.741114076,2012923.8946683,1486,28.5,0.795493129516655
"result.3281",0,13,12,109.34866168,112.22625804,164.02299252,2012855.90341546,1483,29,0.795174367322059
"result.4066",1,14,15,109.114244388,111.966904372,164.741114076,2012672.53054559,1481,28.5,0.794314663522237
"result.2500",3,12,9,111.50685895,111.50685895,161.86479525,2012591.18798761,1498,29,0.793933306638649
"result.3285",4,13,12,111.253739376,111.253739376,162.601619088,2012584.38987919,1496,28.5,0.793901435186533
"result.2515",2,13,9,110.78745986,112.22625804,161.86479525,2012507.41728259,1493,29,0.793540565916051
"result.3300",3,14,12,110.54057438,111.966904372,162.601619088,2012501.68999466,1491,28.5,0.793513714772785
"result.2530",1,14,9,110.06806077,112.94565713,161.86479525,2012256.10516755,1488,29,0.792362343748256
"result.3315",2,15,12,109.827409384,112.680069368,162.601619088,2012253.59034108,1486,28.5,0.792350553531542
"result.4081",0,15,15,108.401079392,112.680069368,164.741114076,2012253.59034108,1476,28.5,0.792350553531542
"result.2145",0,6,8,111.680633368,109.476410341,164.581986016,2012244.34552734,1499,30.5,0.792307211233928
"result.690",1,11,2,111.9501,112.6818,159.5106,2012184.55135076,1500,30,0.7920268792478
"result.3217",0,9,12,110.286875904,110.286875904,165.430313856,2012161.1657899,1489,29.5,0.791917241134249
"result.3202",1,8,12,111.012447456,109.561304352,165.430313856,2012074.0743267,1494,29.5,0.791508931759469
"result.705",0,12,2,111.2184,113.4135,159.5106,2012013.75222069,1495,30,0.791226124691055
